GCD Test
Bias: 5000.000000
IV_34340_007_PSS_HM_XX_DIODE_Irradiated
Date/Time: 7/2/2021 1:35:53 PM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-6.7063E-7	-6.7200E-7	-6.7280E-7	-6.7200E-7	-6.6570E-7	-6.746356E-7	-6.705650E-7	-6.729146E-7	-6.781301E-7	-6.769325E-7	  -20.1814	   12.9364	    4.9630	  -25.8873	
  -20.0000	-1.0568E-6	-1.0760E-6	-1.0580E-6	-1.0520E-6	-1.0410E-6	-1.042634E-6	-1.041912E-6	-1.035640E-6	-1.051729E-6	-1.041257E-6	  -20.1178	   12.9191	    4.9133	  -26.0096	
  -30.0000	-1.3178E-6	-1.3240E-6	-1.3210E-6	-1.3150E-6	-1.3110E-6	-1.294061E-6	-1.298627E-6	-1.292366E-6	-1.297756E-6	-1.287493E-6	  -20.0084	   12.7885	    4.8650	  -26.2109	
  -40.0000	-1.5240E-6	-1.5330E-6	-1.5310E-6	-1.5190E-6	-1.5130E-6	-1.515602E-6	-1.520737E-6	-1.518046E-6	-1.506748E-6	-1.516877E-6	  -19.9448	   12.7885	    4.8289	  -26.2919	
  -50.0000	-1.6940E-6	-1.7110E-6	-1.6940E-6	-1.6790E-6	-1.6920E-6	-1.658538E-6	-1.684283E-6	-1.656876E-6	-1.638178E-6	-1.654814E-6	  -19.8354	   12.7773	    4.7846	  -26.4002	
  -60.0000	-1.8533E-6	-1.8670E-6	-1.8590E-6	-1.8430E-6	-1.8440E-6	-1.825494E-6	-1.844688E-6	-1.834684E-6	-1.817546E-6	-1.805058E-6	  -19.7998	   12.7527	    4.7638	  -26.4653	
  -70.0000	-1.9582E-6	-1.9750E-6	-1.9650E-6	-1.9390E-6	-1.9540E-6	-1.948299E-6	-1.951785E-6	-1.944166E-6	-1.958572E-6	-1.938672E-6	  -19.7337	   12.7918	    4.7283	  -26.5186	
  -80.0000	-2.0890E-6	-2.1030E-6	-2.1030E-6	-2.0650E-6	-2.0850E-6	-2.080352E-6	-2.080449E-6	-2.086947E-6	-2.063610E-6	-2.090401E-6	  -19.6955	   12.7364	    4.7144	  -26.5901	
  -90.0000	-2.2085E-6	-2.2170E-6	-2.1950E-6	-2.2130E-6	-2.2090E-6	-2.163499E-6	-2.152276E-6	-2.166455E-6	-2.157009E-6	-2.178256E-6	  -19.6675	   12.7458	    4.6980	  -26.6213	
 -100.0000	-2.2855E-6	-2.3170E-6	-2.3000E-6	-2.2720E-6	-2.2530E-6	-2.260890E-6	-2.240564E-6	-2.278243E-6	-2.256532E-6	-2.268222E-6	  -19.6116	   12.8015	    4.6584	  -26.6735	
 -110.0000	-2.3623E-6	-2.3770E-6	-2.3660E-6	-2.3660E-6	-2.3400E-6	-2.338229E-6	-2.339097E-6	-2.335972E-6	-2.351409E-6	-2.326439E-6	  -19.6090	   12.8015	    4.6417	  -26.7126	
 -120.0000	-2.4185E-6	-2.4400E-6	-2.4220E-6	-2.4060E-6	-2.4060E-6	-2.392931E-6	-2.404852E-6	-2.415811E-6	-2.380062E-6	-2.370999E-6	  -19.5938	   12.7646	    4.6116	  -26.8092	
 -130.0000	-2.4595E-6	-2.4830E-6	-2.4700E-6	-2.4440E-6	-2.4410E-6	-2.449943E-6	-2.427595E-6	-2.454814E-6	-2.448183E-6	-2.469181E-6	  -19.6014	   12.7692	    4.5781	  -26.8850	
 -140.0000	-2.5385E-6	-2.5580E-6	-2.5280E-6	-2.5340E-6	-2.5340E-6	-2.514932E-6	-2.540369E-6	-2.523338E-6	-2.510419E-6	-2.485601E-6	  -19.5836	   12.7454	    4.5386	  -26.9958	
 -150.0000	-2.5940E-6	-2.6260E-6	-2.5820E-6	-2.5830E-6	-2.5850E-6	-2.569768E-6	-2.602529E-6	-2.586016E-6	-2.539422E-6	-2.551105E-6	  -19.5988	   12.7454	    4.5259	  -27.0260	
 -160.0000	-2.6572E-6	-2.6780E-6	-2.6550E-6	-2.6520E-6	-2.6440E-6	-2.629702E-6	-2.641745E-6	-2.626509E-6	-2.625844E-6	-2.624710E-6	  -19.6192	   12.7394	    4.4991	  -27.0947	
 -170.0000	-2.6900E-6	-2.6990E-6	-2.6900E-6	-2.6910E-6	-2.6800E-6	-2.658915E-6	-2.676791E-6	-2.658455E-6	-2.656414E-6	-2.644001E-6	  -19.6777	   12.7220	    4.4731	  -27.1695	
 -180.0000	-2.7633E-6	-2.7490E-6	-2.7540E-6	-2.7460E-6	-2.8040E-6	-2.849074E-6	-2.914114E-6	-2.813108E-6	-2.865247E-6	-2.803828E-6	  -19.7031	   12.6731	    4.4526	  -27.2538	
 -190.0000	-3.0043E-6	-3.0260E-6	-3.0180E-6	-2.9790E-6	-2.9940E-6	-2.946700E-6	-2.936727E-6	-2.938831E-6	-2.954963E-6	-2.956278E-6	  -19.7438	   12.7052	    4.4352	  -27.2734	
 -200.0000	-3.0995E-6	-3.0930E-6	-3.1180E-6	-3.1040E-6	-3.0830E-6	-3.095328E-6	-3.127106E-6	-3.084126E-6	-3.102115E-6	-3.067964E-6	  -19.7998	   12.7170	    4.4241	  -27.2919	
 -210.0000	-3.1325E-6	-3.1410E-6	-3.1600E-6	-3.0990E-6	-3.1300E-6	-3.152423E-6	-3.161075E-6	-3.159269E-6	-3.141238E-6	-3.148110E-6	  -19.8659	   12.6991	    4.4133	  -27.3309	
 -220.0000	-3.2557E-6	-3.2400E-6	-3.2620E-6	-3.2540E-6	-3.2670E-6	-3.232759E-6	-3.259541E-6	-3.225874E-6	-3.202738E-6	-3.242882E-6	  -19.9041	   12.6782	    4.3928	  -27.3960	
 -230.0000	-3.3260E-6	-3.3400E-6	-3.2980E-6	-3.3280E-6	-3.3380E-6	-3.412844E-6	-3.379099E-6	-3.425361E-6	-3.432811E-6	-3.414107E-6	  -19.9448	   12.6419	    4.3631	  -27.4948	
 -240.0000	-3.4955E-6	-3.5080E-6	-3.5090E-6	-3.5060E-6	-3.4590E-6	-3.480000E-6	-3.491419E-6	-3.463321E-6	-3.482100E-6	-3.483158E-6	  -19.9957	   12.7013	    4.3314	  -27.5312	
 -250.0000	-3.5202E-6	-3.5100E-6	-3.5480E-6	-3.5410E-6	-3.4820E-6	-3.491183E-6	-3.514899E-6	-3.486592E-6	-3.479291E-6	-3.483952E-6	  -20.0262	   12.6858	    4.2985	  -27.6242	
 -260.0000	-3.6200E-6	-3.6390E-6	-3.6210E-6	-3.5990E-6	-3.6210E-6	-3.573639E-6	-3.630424E-6	-3.593030E-6	-3.541885E-6	-3.529217E-6	  -20.0593	   12.6418	    4.2698	  -27.7274	
 -270.0000	-3.6935E-6	-3.7390E-6	-3.7150E-6	-3.6630E-6	-3.6570E-6	-3.647801E-6	-3.639230E-6	-3.631611E-6	-3.659765E-6	-3.660599E-6	  -20.0898	   12.6333	    4.2378	  -27.8141	
 -280.0000	-3.7570E-6	-3.7180E-6	-3.7620E-6	-3.7850E-6	-3.7630E-6	-3.768325E-6	-3.731269E-6	-3.801138E-6	-3.767607E-6	-3.773285E-6	  -20.1534	   12.6891	    4.2113	  -27.8423	
 -290.0000	-3.8250E-6	-3.7960E-6	-3.8320E-6	-3.8280E-6	-3.8440E-6	-3.821865E-6	-3.839755E-6	-3.827907E-6	-3.833798E-6	-3.786001E-6	  -20.1585	   12.6698	    4.1961	  -27.8947	
