GCD Test
Bias: 5000.000000
IV_34340_040_PSS_HM_XX_DIODEHALFPSTOP_Irradiated
Date/Time: 8/19/2021 2:36:52 PM
Sensor Name: 34340_040_PSS_HM_XX_DIODEHALFPSTOP
Type: P
Annealing Status: Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-3.5597E-8	-3.6070E-8	-3.5800E-8	-3.5620E-8	-3.4900E-8	-3.417285E-8	-3.423512E-8	-3.420928E-8	-3.417272E-8	-3.407429E-8	  -20.6671	    8.0653	    6.7517	  -26.0753	
  -20.0000	-7.0920E-8	-7.1390E-8	-7.1140E-8	-7.0680E-8	-7.0470E-8	-7.076795E-8	-7.094454E-8	-7.097159E-8	-7.058574E-8	-7.056991E-8	  -20.7917	    8.2046	    6.6657	  -26.1118	
  -30.0000	-1.0683E-7	-1.0640E-7	-1.0630E-7	-1.0730E-7	-1.0730E-7	-1.052927E-7	-1.055692E-7	-1.053763E-7	-1.051904E-7	-1.050347E-7	  -20.8451	    8.0920	    6.6129	  -26.2821	
  -40.0000	-1.3998E-7	-1.4000E-7	-1.3970E-7	-1.4030E-7	-1.3990E-7	-1.382158E-7	-1.386308E-7	-1.383639E-7	-1.380701E-7	-1.377982E-7	  -20.8858	    8.1457	    6.5500	  -26.3464	
  -50.0000	-1.7198E-7	-1.7360E-7	-1.7180E-7	-1.7140E-7	-1.7110E-7	-1.694684E-7	-1.699247E-7	-1.696592E-7	-1.692592E-7	-1.690304E-7	  -20.9214	    8.0086	    6.5225	  -26.4937	
  -60.0000	-2.0158E-7	-2.0210E-7	-2.0110E-7	-2.0200E-7	-2.0110E-7	-1.988539E-7	-1.993126E-7	-1.990476E-7	-1.987187E-7	-1.983368E-7	  -20.9418	    8.2859	    6.4614	  -26.3909	
  -70.0000	-2.2930E-7	-2.3060E-7	-2.3050E-7	-2.2890E-7	-2.2720E-7	-2.256704E-7	-2.261162E-7	-2.257356E-7	-2.254747E-7	-2.253551E-7	  -20.9367	    8.1439	    6.4336	  -26.5428	
  -80.0000	-2.5430E-7	-2.5570E-7	-2.5400E-7	-2.5400E-7	-2.5350E-7	-2.513246E-7	-2.519709E-7	-2.515580E-7	-2.511280E-7	-2.506414E-7	  -20.8935	    8.2918	    6.4023	  -26.4865	
  -90.0000	-2.7810E-7	-2.7960E-7	-2.7830E-7	-2.7790E-7	-2.7660E-7	-2.752180E-7	-2.755335E-7	-2.752867E-7	-2.751848E-7	-2.748669E-7	  -20.8985	    8.2918	    6.3868	  -26.5129	
 -100.0000	-3.0098E-7	-3.0170E-7	-3.0250E-7	-3.0130E-7	-2.9840E-7	-2.978463E-7	-2.982469E-7	-2.981888E-7	-2.976113E-7	-2.973383E-7	  -20.8604	    8.1268	    6.3855	  -26.6368	
 -110.0000	-3.2330E-7	-3.2550E-7	-3.2420E-7	-3.2210E-7	-3.2140E-7	-3.202497E-7	-3.207918E-7	-3.203374E-7	-3.202007E-7	-3.196687E-7	  -20.8146	    8.0978	    6.3763	  -26.6739	
 -120.0000	-3.4535E-7	-3.4590E-7	-3.4530E-7	-3.4570E-7	-3.4450E-7	-3.424160E-7	-3.434515E-7	-3.426457E-7	-3.419677E-7	-3.415989E-7	  -20.7180	    8.0249	    6.3264	  -26.8130	
 -130.0000	-3.6683E-7	-3.6740E-7	-3.6620E-7	-3.6710E-7	-3.6660E-7	-3.646445E-7	-3.645166E-7	-3.648512E-7	-3.643452E-7	-3.648651E-7	  -20.6900	    8.0249	    6.3112	  -26.8390	
 -140.0000	-3.9308E-7	-3.9360E-7	-3.9290E-7	-3.9350E-7	-3.9230E-7	-3.908538E-7	-3.910895E-7	-3.907362E-7	-3.909613E-7	-3.906281E-7	  -20.6086	    8.1400	    6.2976	  -26.7775	
 -150.0000	-4.1518E-7	-4.1510E-7	-4.1650E-7	-4.1600E-7	-4.1310E-7	-4.132391E-7	-4.132884E-7	-4.139893E-7	-4.131328E-7	-4.125460E-7	  -20.4916	    7.8858	    6.2666	  -27.0184	
 -160.0000	-4.3935E-7	-4.3900E-7	-4.4050E-7	-4.4000E-7	-4.3790E-7	-4.378943E-7	-4.383510E-7	-4.382811E-7	-4.376140E-7	-4.373310E-7	  -20.4357	    7.9599	    6.2416	  -27.0070	
 -170.0000	-4.6295E-7	-4.6410E-7	-4.6280E-7	-4.6270E-7	-4.6220E-7	-4.604601E-7	-4.615063E-7	-4.607771E-7	-4.599696E-7	-4.595872E-7	  -20.3569	    8.0490	    6.2122	  -26.9925	
 -180.0000	-4.8600E-7	-4.8800E-7	-4.8730E-7	-4.8500E-7	-4.8370E-7	-4.836494E-7	-4.835337E-7	-4.837197E-7	-4.839937E-7	-4.833505E-7	  -20.2653	    7.9436	    6.1825	  -27.1219	
 -190.0000	-5.1225E-7	-5.1450E-7	-5.1130E-7	-5.1080E-7	-5.1240E-7	-5.108236E-7	-5.111374E-7	-5.117827E-7	-5.104458E-7	-5.099287E-7	  -20.1330	    7.9089	    6.1398	  -27.2224	
 -200.0000	-5.3727E-7	-5.3540E-7	-5.3650E-7	-5.3920E-7	-5.3800E-7	-5.375531E-7	-5.384428E-7	-5.379328E-7	-5.372150E-7	-5.366218E-7	  -20.0949	    7.9089	    6.1338	  -27.2329	
 -210.0000	-5.6248E-7	-5.6360E-7	-5.6170E-7	-5.6160E-7	-5.6300E-7	-5.606582E-7	-5.601411E-7	-5.606428E-7	-5.608424E-7	-5.610065E-7	  -19.9753	    8.0903	    6.1110	  -27.1397	
 -220.0000	-5.8450E-7	-5.8480E-7	-5.8450E-7	-5.8500E-7	-5.8370E-7	-5.828716E-7	-5.833332E-7	-5.823233E-7	-5.837975E-7	-5.820324E-7	  -19.9448	    7.8856	    6.0892	  -27.3288	
 -230.0000	-6.0708E-7	-6.0630E-7	-6.0830E-7	-6.0780E-7	-6.0590E-7	-6.061758E-7	-6.062968E-7	-6.064472E-7	-6.056442E-7	-6.063148E-7	  -19.8685	    7.9330	    6.0541	  -27.3563	
 -240.0000	-6.3225E-7	-6.3300E-7	-6.3300E-7	-6.3090E-7	-6.3210E-7	-6.323316E-7	-6.325453E-7	-6.326750E-7	-6.319123E-7	-6.321937E-7	  -19.8125	    7.9859	    6.0218	  -27.3751	
 -250.0000	-6.5820E-7	-6.5930E-7	-6.5820E-7	-6.5740E-7	-6.5790E-7	-6.567044E-7	-6.567739E-7	-6.561961E-7	-6.574315E-7	-6.564163E-7	  -19.7464	    7.9415	    6.0133	  -27.4230	
 -260.0000	-6.8072E-7	-6.8220E-7	-6.8190E-7	-6.7960E-7	-6.7920E-7	-6.794708E-7	-6.795509E-7	-6.796691E-7	-6.800566E-7	-6.786067E-7	  -19.7006	    8.0394	    5.9851	  -27.4017	
 -270.0000	-7.1118E-7	-7.1260E-7	-7.1240E-7	-7.1080E-7	-7.0890E-7	-7.096132E-7	-7.108217E-7	-7.085746E-7	-7.091533E-7	-7.099032E-7	  -19.6548	    7.9597	    5.9763	  -27.4761	
