GCD Test
Bias: 5000.000000
CV_34341_012_PSS_HM_XX_DIODEHALFPSTOP_Irradiated
Date/Time: 9/7/2021 5:16:45 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	6.061E-11	1.575E-11	2.715E+6	1.119E+6	  -19.8431	    7.6324	    2.4851	  -36.7438	
  -20.0000	6.250E-11	1.580E-11	3.006E+6	1.154E+6	  -19.9575	    7.6439	    2.5206	  -36.5965	
  -30.0000	6.314E-11	1.581E-11	3.188E+6	1.166E+6	  -20.0237	    7.6160	    2.5234	  -36.6042	
  -40.0000	6.330E-11	1.579E-11	3.311E+6	1.189E+6	  -20.0974	    7.6131	    2.5250	  -36.5999	
  -50.0000	6.337E-11	1.579E-11	3.401E+6	1.202E+6	  -20.2042	    7.6830	    2.5326	  -36.5232	
  -60.0000	6.317E-11	1.579E-11	3.468E+6	1.214E+6	  -20.2806	    7.6508	    2.5455	  -36.4945	
  -70.0000	6.286E-11	1.577E-11	3.527E+6	1.237E+6	  -20.3289	    7.6270	    2.5443	  -36.5155	
  -80.0000	6.244E-11	1.577E-11	3.571E+6	1.247E+6	  -20.3823	    7.6689	    2.5503	  -36.4639	
  -90.0000	6.204E-11	1.577E-11	3.606E+6	1.259E+6	  -20.4815	    7.7195	    2.5525	  -36.4213	
 -100.0000	6.205E-11	1.578E-11	3.635E+6	1.262E+6	  -20.5247	    7.6905	    2.5566	  -36.4249	
 -110.0000	6.171E-11	1.577E-11	3.667E+6	1.278E+6	  -20.5629	    7.7690	    2.5582	  -36.3659	
 -120.0000	6.113E-11	1.578E-11	3.690E+6	1.286E+6	  -20.6086	    7.8178	    2.5591	  -36.3293	
 -130.0000	6.122E-11	1.578E-11	3.713E+6	1.294E+6	  -20.6188	    7.8456	    2.5598	  -36.3081	
 -140.0000	6.074E-11	1.579E-11	3.734E+6	1.295E+6	  -20.6214	    7.7635	    2.5721	  -36.3160	
 -150.0000	6.039E-11	1.578E-11	3.745E+6	1.308E+6	  -20.6671	    7.7680	    2.5715	  -36.3153	
 -160.0000	6.026E-11	1.578E-11	3.761E+6	1.312E+6	  -20.6798	    7.8620	    2.5746	  -36.2398	
 -170.0000	5.985E-11	1.578E-11	3.773E+6	1.323E+6	  -20.6824	    7.8620	    2.5705	  -36.2556	
 -180.0000	5.963E-11	1.578E-11	3.792E+6	1.328E+6	  -20.6748	    7.8714	    2.5696	  -36.2237	
 -190.0000	5.961E-11	1.578E-11	3.802E+6	1.328E+6	  -20.6570	    7.8363	    2.5797	  -36.2377	
 -200.0000	5.946E-11	1.577E-11	3.812E+6	1.343E+6	  -20.6519	    7.7704	    2.5769	  -36.2931	
 -210.0000	5.911E-11	1.577E-11	3.828E+6	1.347E+6	  -20.6493	    7.8417	    2.5762	  -36.2474	
 -220.0000	5.886E-11	1.576E-11	3.836E+6	1.354E+6	  -20.6214	    7.8623	    2.5800	  -36.2190	
