GCD Test
Bias: 5000.000000
CV_34341_012_PSS_HM_XX_DIODEQUARTER_Irradiated
Date/Time: 9/7/2021 4:15:10 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	8.288E-11	1.708E-11	1.884E+6	9.052E+5	  -18.8814	    8.1187	    5.0955	  -29.0650	
  -20.0000	8.206E-11	1.707E-11	1.950E+6	9.181E+5	  -19.0620	    8.1530	    5.0825	  -29.0673	
  -30.0000	8.109E-11	1.706E-11	1.986E+6	9.395E+5	  -19.1358	    8.1271	    5.0784	  -29.0946	
  -40.0000	7.996E-11	1.706E-11	2.016E+6	9.537E+5	  -19.2096	    8.1152	    5.0746	  -29.1111	
  -50.0000	7.931E-11	1.707E-11	2.040E+6	9.599E+5	  -19.3750	    8.1207	    5.0639	  -29.1296	
  -60.0000	7.867E-11	1.706E-11	2.058E+6	9.685E+5	  -19.4411	    8.1237	    5.0614	  -29.1327	
  -70.0000	7.848E-11	1.706E-11	2.067E+6	9.742E+5	  -19.5149	    8.1351	    5.0449	  -29.1590	
  -80.0000	7.746E-11	1.705E-11	2.083E+6	9.860E+5	  -19.6726	    8.1557	    5.0326	  -29.1702	
  -90.0000	7.693E-11	1.705E-11	2.094E+6	9.897E+5	  -19.7311	    8.1757	    5.0202	  -29.1817	
 -100.0000	7.656E-11	1.705E-11	2.106E+6	9.985E+5	  -19.8074	    8.1800	    5.0164	  -29.1867	
 -110.0000	7.567E-11	1.705E-11	2.116E+6	1.008E+6	  -19.9270	    8.1862	    5.0028	  -29.2109	
 -120.0000	7.489E-11	1.706E-11	2.129E+6	1.018E+6	  -20.0008	    8.1822	    5.0009	  -29.2179	
 -130.0000	7.420E-11	1.705E-11	2.137E+6	1.028E+6	  -20.0745	    8.1751	    4.9883	  -29.2498	
 -140.0000	7.324E-11	1.704E-11	2.149E+6	1.041E+6	  -20.2195	    8.1742	    4.9709	  -29.2874	
