GCD Test
Bias: 5000.000000
IV_34341_012_PSS_HM_XX_DIODEHALFPSTOP_Irradiated
Date/Time: 9/8/2021 2:10:12 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-3.1477E-8	-3.1220E-8	-3.1340E-8	-3.1630E-8	-3.1720E-8	-3.129345E-8	-3.134266E-8	-3.130496E-8	-3.123587E-8	-3.129033E-8	  -18.8000	    9.4369	    7.4418	  -23.9797	
  -20.0000	-7.1435E-8	-7.1340E-8	-7.1340E-8	-7.1470E-8	-7.1590E-8	-7.110225E-8	-7.119257E-8	-7.117676E-8	-7.111142E-8	-7.092824E-8	  -18.9170	    9.4818	    7.3893	  -24.0249	
  -30.0000	-1.1172E-7	-1.1160E-7	-1.1140E-7	-1.1200E-7	-1.1190E-7	-1.110773E-7	-1.112194E-7	-1.111278E-7	-1.110427E-7	-1.109194E-7	  -19.0569	    9.4383	    7.3343	  -24.1405	
  -40.0000	-1.5147E-7	-1.5180E-7	-1.5220E-7	-1.5190E-7	-1.5000E-7	-1.504899E-7	-1.507133E-7	-1.506268E-7	-1.504155E-7	-1.502038E-7	  -19.3114	    9.4164	    7.1986	  -24.3642	
  -50.0000	-1.9070E-7	-1.9190E-7	-1.9110E-7	-1.8970E-7	-1.9010E-7	-1.898087E-7	-1.899001E-7	-1.899454E-7	-1.896988E-7	-1.896903E-7	  -19.4615	    9.4164	    7.1293	  -24.4714	
  -60.0000	-2.2980E-7	-2.3090E-7	-2.2940E-7	-2.2940E-7	-2.2950E-7	-2.280365E-7	-2.283001E-7	-2.280648E-7	-2.279570E-7	-2.278241E-7	  -19.5887	    9.3421	    7.0708	  -24.6180	
  -70.0000	-2.7303E-7	-2.7300E-7	-2.7250E-7	-2.7300E-7	-2.7360E-7	-2.728057E-7	-2.729461E-7	-2.728719E-7	-2.728322E-7	-2.725724E-7	  -19.7260	    9.2520	    7.0092	  -24.7820	
  -80.0000	-3.1333E-7	-3.1280E-7	-3.1330E-7	-3.1380E-7	-3.1340E-7	-3.127003E-7	-3.129192E-7	-3.127683E-7	-3.129324E-7	-3.121815E-7	  -19.8558	    9.3117	    6.9453	  -24.8387	
  -90.0000	-3.4978E-7	-3.5060E-7	-3.4920E-7	-3.4920E-7	-3.5010E-7	-3.498920E-7	-3.499346E-7	-3.499744E-7	-3.500012E-7	-3.496578E-7	  -20.0440	    9.2316	    6.8763	  -25.0083	
 -100.0000	-3.8770E-7	-3.8860E-7	-3.8730E-7	-3.8700E-7	-3.8790E-7	-3.873497E-7	-3.874996E-7	-3.874021E-7	-3.874185E-7	-3.870786E-7	  -20.1483	    9.2316	    6.8555	  -25.0418	
