GCD Test
Bias: 5000.000000
IV_34341_012_PSS_HM_XX_DIODEQUARTER_Irradiated
Date/Time: 9/7/2021 4:27:21 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	 1.7467E-9	 1.5870E-9	 1.5140E-9	 1.9070E-9	 1.9790E-9	-2.954490E-9	-2.930682E-9	-3.017107E-9	-2.925227E-9	-2.944944E-9	  -19.9524	    8.2333	    4.4949	  -30.3056	
  -20.0000	9.0550E-10	 1.1740E-9	9.8900E-10	8.6100E-10	5.9800E-10	-2.820275E-9	-2.982775E-9	-2.677527E-9	-2.812678E-9	-2.808122E-9	  -19.9473	    8.2666	    4.4883	  -30.2974	
  -30.0000	1.5100E-10	1.7800E-10	2.3800E-10	-1.1700E-10	3.0500E-10	-2.947688E-9	-2.873647E-9	-2.883987E-9	-3.022552E-9	-3.010567E-9	  -19.9473	    8.2388	    4.4880	  -30.3180	
  -40.0000	-4.0675E-10	-7.6000E-10	-4.8200E-10	-2.5500E-10	-1.3000E-10	-2.735334E-9	-2.797324E-9	-2.788232E-9	-2.714536E-9	-2.641242E-9	  -19.9423	    8.2910	    4.4848	  -30.2882	
  -50.0000	-9.2575E-10	-8.8000E-10	-1.0990E-9	-1.0150E-9	-7.0900E-10	-2.728911E-9	-2.757732E-9	-2.652555E-9	-2.768753E-9	-2.736606E-9	  -19.9346	    8.2739	    4.4813	  -30.3085	
  -60.0000	-1.1448E-9	-1.3430E-9	-8.4500E-10	-1.2240E-9	-1.1670E-9	-2.881705E-9	-2.951129E-9	-2.883551E-9	-2.848996E-9	-2.843143E-9	  -19.9397	    8.2204	    4.4738	  -30.3643	
  -70.0000	-1.6458E-9	-1.4580E-9	-1.5630E-9	-1.6900E-9	-1.8720E-9	-2.766373E-9	-2.722337E-9	-2.633534E-9	-2.853709E-9	-2.855911E-9	  -19.9397	    8.2319	    4.4639	  -30.3792	
  -80.0000	-2.2958E-9	-2.2810E-9	-2.4020E-9	-2.4240E-9	-2.0760E-9	-2.641956E-9	-2.716418E-9	-2.682454E-9	-2.625703E-9	-2.543250E-9	  -19.9397	    8.2035	    4.4541	  -30.4224	
  -90.0000	-2.7092E-9	-2.6720E-9	-2.9790E-9	-2.6410E-9	-2.5450E-9	-2.666276E-9	-2.683195E-9	-2.789876E-9	-2.560723E-9	-2.631310E-9	  -19.9372	    8.1586	    4.4421	  -30.4827	
 -100.0000	-3.0832E-9	-3.3730E-9	-3.2620E-9	-2.9570E-9	-2.7410E-9	-2.541676E-9	-2.494538E-9	-2.538473E-9	-2.459930E-9	-2.673765E-9	  -19.9397	    8.1656	    4.4390	  -30.4851	
 -110.0000	-3.2765E-9	-3.4530E-9	-2.9370E-9	-3.3630E-9	-3.3530E-9	-2.550932E-9	-2.679259E-9	-2.421356E-9	-2.530488E-9	-2.572624E-9	  -19.9473	    8.1903	    4.4311	  -30.4862	
 -120.0000	-3.6447E-9	-3.9340E-9	-3.3310E-9	-3.6260E-9	-3.6880E-9	-1.261862E-9	-1.392952E-9	-1.140011E-9	-1.439004E-9	-1.075480E-9	  -19.9550	    8.2277	    4.4355	  -30.4492	
 -130.0000	-4.0952E-9	-4.6030E-9	-4.1180E-9	-4.0960E-9	-3.5640E-9	-1.327572E-9	-1.410428E-9	-1.286086E-9	-1.448000E-9	-1.165773E-9	  -19.9550	    8.2577	    4.4146	  -30.4772	
 -140.0000	-4.4005E-9	-4.6910E-9	-4.2030E-9	-4.1850E-9	-4.5230E-9	-1.135413E-9	-1.313279E-9	-1.148989E-9	-1.048634E-9	-1.030750E-9	  -19.9575	    8.2850	    4.4124	  -30.4630	
 -150.0000	-4.8548E-9	-4.5280E-9	-4.9320E-9	-4.8590E-9	-5.1000E-9	-9.046814E-10	-8.815188E-10	-9.393145E-10	-9.548136E-10	-8.430785E-10	  -19.9601	    8.2599	    4.4070	  -30.4936	
 -160.0000	-5.4400E-9	-5.4810E-9	-5.3000E-9	-5.6610E-9	-5.3180E-9	-1.133847E-9	-1.146301E-9	-1.141968E-9	-1.124710E-9	-1.122410E-9	  -19.9728	    8.2939	    4.4061	  -30.4717	
 -170.0000	-5.8208E-9	-5.8970E-9	-6.0880E-9	-5.6220E-9	-5.6760E-9	-8.094709E-10	-9.685989E-10	-7.498109E-10	-8.409438E-10	-6.785299E-10	  -19.9830	    8.2515	    4.3937	  -30.5312	
 -180.0000	-6.2005E-9	-6.3930E-9	-6.3790E-9	-6.0000E-9	-6.0300E-9	-5.457201E-10	-5.083193E-10	-5.346577E-10	-4.857797E-10	-6.541238E-10	  -19.9880	    8.2737	    4.3836	  -30.5395	
 -190.0000	-6.3492E-9	-6.5990E-9	-6.4400E-9	-5.9310E-9	-6.4270E-9	-5.752936E-10	-5.320390E-10	-6.100572E-10	-6.405549E-10	-5.185233E-10	  -20.0135	    8.2857	    4.3719	  -30.5590	
 -200.0000	-6.7423E-9	-7.0380E-9	-6.4050E-9	-6.7090E-9	-6.8170E-9	-2.220648E-10	-3.474058E-10	-2.039591E-11	-2.110041E-10	-3.094534E-10	  -19.9957	    8.2857	    4.3697	  -30.5643	
 -210.0000	-7.3955E-9	-7.3630E-9	-7.6890E-9	-7.2860E-9	-7.2440E-9	-9.872917E-11	-1.608177E-10	-6.264277E-11	-2.407677E-10	6.931150E-11	  -20.0287	    8.2780	    4.3627	  -30.5864	
 -220.0000	-7.5348E-9	-7.7680E-9	-7.6860E-9	-7.0800E-9	-7.6050E-9	-9.355671E-11	-2.434001E-10	-3.288203E-11	-1.866588E-10	8.871409E-11	  -20.0262	    8.2780	    4.3754	  -30.5562	
 -230.0000	-8.1832E-9	-8.1640E-9	-8.3340E-9	-8.2080E-9	-8.0270E-9	-6.135453E-11	-4.801739E-12	1.242350E-10	-1.534280E-10	-2.114234E-10	  -20.0313	    8.2449	    4.3466	  -30.6487	
