GCD Test
Bias: 5000.000000
IV_34330_048_2-S_HM_XX_DIODEQUARTER_Irradiated
Date/Time: 10/20/2021 9:19:32 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-2.6460E-6	-2.6480E-6	-2.6460E-6	-2.6460E-6	-2.6440E-6	-9.030593E-8	-9.036081E-8	-9.058169E-8	-9.016549E-8	-9.011574E-8	  -14.9602	    7.5104	   16.1257	  -16.5797	
  -20.0000	-3.8478E-6	-3.8450E-6	-3.8480E-6	-3.8480E-6	-3.8500E-6	-1.202733E-7	-1.205113E-7	-1.203435E-7	-1.201495E-7	-1.200888E-7	  -14.9495	    7.5465	   16.1074	  -16.5638	
  -30.0000	-4.7737E-6	-4.7710E-6	-4.7700E-6	-4.7740E-6	-4.7800E-6	-1.428297E-7	-1.427068E-7	-1.429804E-7	-1.428821E-7	-1.427494E-7	  -14.9266	    7.7767	   16.1198	  -16.3673	
  -40.0000	-5.6595E-6	-5.6480E-6	-5.6640E-6	-5.6750E-6	-5.6510E-6	-1.619796E-7	-1.625551E-7	-1.617435E-7	-1.618070E-7	-1.618130E-7	  -14.9081	    7.6163	   16.0822	  -16.5257	
  -50.0000	-6.3277E-6	-6.3110E-6	-6.3270E-6	-6.3360E-6	-6.3370E-6	-1.800948E-7	-1.803618E-7	-1.800788E-7	-1.800039E-7	-1.799346E-7	  -14.8921	    7.4969	   16.0773	  -16.6265	
  -60.0000	-6.9580E-6	-6.9470E-6	-6.9520E-6	-6.9600E-6	-6.9730E-6	-1.950179E-7	-1.952560E-7	-1.949971E-7	-1.947445E-7	-1.950741E-7	  -14.9121	    7.4996	   16.0553	  -16.6406	
  -70.0000	-7.6225E-6	-7.5960E-6	-7.6190E-6	-7.6550E-6	-7.6200E-6	-2.092892E-7	-2.091870E-7	-2.092574E-7	-2.094525E-7	-2.092598E-7	  -14.9367	    7.4546	   16.0720	  -16.6648	
  -80.0000	-8.1822E-6	-8.1740E-6	-8.1870E-6	-8.1980E-6	-8.1700E-6	-2.220086E-7	-2.217019E-7	-2.218271E-7	-2.222040E-7	-2.223013E-7	  -14.9154	    7.4454	   16.0361	  -16.6989	
  -90.0000	-8.7733E-6	-8.7850E-6	-8.8060E-6	-8.7680E-6	-8.7340E-6	-2.340201E-7	-2.343344E-7	-2.340739E-7	-2.339376E-7	-2.337346E-7	  -14.9228	    7.3494	   16.0268	  -16.7839	
 -100.0000	-9.2525E-6	-9.2430E-6	-9.2540E-6	-9.2510E-6	-9.2620E-6	-2.453869E-7	-2.455584E-7	-2.453677E-7	-2.454291E-7	-2.451925E-7	  -14.9335	    7.4933	   16.0384	  -16.6582	
 -110.0000	-9.7647E-6	-9.7560E-6	-9.7860E-6	-9.8010E-6	-9.7160E-6	-2.551686E-7	-2.552407E-7	-2.551267E-7	-2.551538E-7	-2.551531E-7	  -14.9368	    7.5082	   16.0388	  -16.6458	
 -120.0000	-1.0165E-5	-1.0170E-5	-1.0160E-5	-1.0170E-5	-1.0160E-5	-2.641143E-7	-2.640818E-7	-2.641600E-7	-2.640108E-7	-2.642047E-7	  -14.9318	    7.3892	   16.0246	  -16.7532	
