34330_049_2-S_HM_X_Irrad_Single
Date/Time: 10/4/2021 12:15:45 PM
Sensor Name: 34330_049_2-S_HM_X
Type: P
Annealing Status: 20 min
Environment: -20.0C
Tester: Eric Spencer
Notes: Irradiated to 4e14 at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.6100E-6	-1.6100E-6	-1.6100E-6	-1.6100E-6	-1.6100E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
  -20.0000	-2.1500E-6	-2.1500E-6	-2.1500E-6	-2.1500E-6	-2.1500E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
  -30.0000	-2.5700E-6	-2.5700E-6	-2.5700E-6	-2.5700E-6	-2.5700E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
  -40.0000	-2.9300E-6	-2.9300E-6	-2.9300E-6	-2.9300E-6	-2.9300E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
  -50.0000	-3.2500E-6	-3.2500E-6	-3.2500E-6	-3.2500E-6	-3.2500E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
  -60.0000	-3.5500E-6	-3.5500E-6	-3.5500E-6	-3.5500E-6	-3.5500E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
  -70.0000	-3.8200E-6	-3.8200E-6	-3.8200E-6	-3.8200E-6	-3.8200E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
  -80.0000	-4.0700E-6	-4.0700E-6	-4.0700E-6	-4.0700E-6	-4.0700E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
  -90.0000	-4.3100E-6	-4.3100E-6	-4.3100E-6	-4.3100E-6	-4.3100E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -100.0000	-4.5400E-6	-4.5400E-6	-4.5400E-6	-4.5400E-6	-4.5400E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -110.0000	-4.7600E-6	-4.7600E-6	-4.7600E-6	-4.7600E-6	-4.7600E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -120.0000	-4.9700E-6	-4.9700E-6	-4.9700E-6	-4.9700E-6	-4.9700E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -130.0000	-5.1800E-6	-5.1800E-6	-5.1800E-6	-5.1800E-6	-5.1800E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -140.0000	-5.3700E-6	-5.3700E-6	-5.3700E-6	-5.3700E-6	-5.3700E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -150.0000	-5.5500E-6	-5.5500E-6	-5.5500E-6	-5.5500E-6	-5.5500E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -160.0000	-5.7400E-6	-5.7400E-6	-5.7400E-6	-5.7400E-6	-5.7400E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -170.0000	-5.9200E-6	-5.9200E-6	-5.9200E-6	-5.9200E-6	-5.9200E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -180.0000	-6.0800E-6	-6.0800E-6	-6.0800E-6	-6.0800E-6	-6.0800E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -190.0000	-6.2500E-6	-6.2500E-6	-6.2500E-6	-6.2500E-6	-6.2500E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -200.0000	-6.4100E-6	-6.4100E-6	-6.4100E-6	-6.4100E-6	-6.4100E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -210.0000	-6.5700E-6	-6.5700E-6	-6.5700E-6	-6.5700E-6	-6.5700E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -220.0000	-6.7200E-6	-6.7200E-6	-6.7200E-6	-6.7200E-6	-6.7200E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -230.0000	-6.8600E-6	-6.8600E-6	-6.8600E-6	-6.8600E-6	-6.8600E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -240.0000	-7.0000E-6	-7.0000E-6	-7.0000E-6	-7.0000E-6	-7.0000E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -250.0000	-7.1400E-6	-7.1400E-6	-7.1400E-6	-7.1400E-6	-7.1400E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -260.0000	-7.2700E-6	-7.2700E-6	-7.2700E-6	-7.2700E-6	-7.2700E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -270.0000	-7.4000E-6	-7.4000E-6	-7.4000E-6	-7.4000E-6	-7.4000E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -280.0000	-7.5200E-6	-7.5200E-6	-7.5200E-6	-7.5200E-6	-7.5200E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -290.0000	-7.6400E-6	-7.6400E-6	-7.6400E-6	-7.6400E-6	-7.6400E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -300.0000	-7.7500E-6	-7.7500E-6	-7.7500E-6	-7.7500E-6	-7.7500E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -310.0000	-7.8600E-6	-7.8600E-6	-7.8600E-6	-7.8600E-6	-7.8600E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -320.0000	-7.9700E-6	-7.9700E-6	-7.9700E-6	-7.9700E-6	-7.9700E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -330.0000	-8.0700E-6	-8.0700E-6	-8.0700E-6	-8.0700E-6	-8.0700E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -340.0000	-8.1700E-6	-8.1700E-6	-8.1700E-6	-8.1700E-6	-8.1700E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -350.0000	-8.2600E-6	-8.2600E-6	-8.2600E-6	-8.2600E-6	-8.2600E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -360.0000	-8.3500E-6	-8.3500E-6	-8.3500E-6	-8.3500E-6	-8.3500E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -370.0000	-8.4300E-6	-8.4300E-6	-8.4300E-6	-8.4300E-6	-8.4300E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -380.0000	-8.5200E-6	-8.5200E-6	-8.5200E-6	-8.5200E-6	-8.5200E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -390.0000	-8.6000E-6	-8.6000E-6	-8.6000E-6	-8.6000E-6	-8.6000E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -400.0000	-8.6800E-6	-8.6800E-6	-8.6800E-6	-8.6800E-6	-8.6800E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -410.0000	-8.7400E-6	-8.7400E-6	-8.7400E-6	-8.7400E-6	-8.7400E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -420.0000	-8.8200E-6	-8.8200E-6	-8.8200E-6	-8.8200E-6	-8.8200E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -430.0000	-8.8900E-6	-8.8900E-6	-8.8900E-6	-8.8900E-6	-8.8900E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -440.0000	-8.9500E-6	-8.9500E-6	-8.9500E-6	-8.9500E-6	-8.9500E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -450.0000	-9.0200E-6	-9.0200E-6	-9.0200E-6	-9.0200E-6	-9.0200E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -460.0000	-9.0800E-6	-9.0800E-6	-9.0800E-6	-9.0800E-6	-9.0800E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -470.0000	-9.1400E-6	-9.1400E-6	-9.1400E-6	-9.1400E-6	-9.1400E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -480.0000	-9.2100E-6	-9.2100E-6	-9.2100E-6	-9.2100E-6	-9.2100E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
 -490.0000	-9.2600E-6	-9.2600E-6	-9.2600E-6	-9.2600E-6	-9.2600E-6	  -20.0000	   23.9257	    1.7363	    0.0000	
