34343_036_PSS_HM_X_Irrad_Single
Date/Time: 10/5/2021 2:36:33 PM
Sensor Name: 34343_036_PSS_HM_XX
Type: P
Annealing Status: 1100 min
Environment: -20.0C
Tester: Eric Spencer
Notes: Irradiated to 4e14 at RINSC and after Alibava

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.723E-10	1.662E-6	  -20.0000	   25.1084	    1.5132	    0.0000	
  -20.0000	1.779E-10	1.368E-6	  -20.0000	   25.1084	    1.5132	    0.0000	
  -30.0000	1.755E-10	1.182E-6	  -20.0000	   25.1084	    1.5132	    0.0000	
  -40.0000	1.708E-10	1.047E-6	  -20.0000	   25.1084	    1.5132	    0.0000	
  -50.0000	1.650E-10	9.345E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
  -60.0000	1.598E-10	8.448E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
  -70.0000	1.550E-10	7.688E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
  -80.0000	1.508E-10	7.096E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
  -90.0000	1.466E-10	6.591E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
 -100.0000	1.428E-10	6.184E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
 -110.0000	1.388E-10	5.855E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
 -120.0000	1.354E-10	5.462E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
 -130.0000	1.320E-10	5.233E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
 -140.0000	1.290E-10	4.959E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
 -150.0000	1.259E-10	4.704E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
 -160.0000	1.236E-10	4.462E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
 -170.0000	1.213E-10	4.250E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
 -180.0000	1.193E-10	4.040E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
 -190.0000	1.172E-10	3.898E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
 -200.0000	1.163E-10	3.798E-7	  -20.0000	   25.1084	    1.5132	    0.0000	
