GCD Test
Bias: 5000.000000
IV_34340_007_PSS_HM_XX_DIODEHALF_Irradiated
Date/Time: 7/2/2021 2:37:16 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.0958E-8	-1.1020E-8	-1.0930E-8	-1.0920E-8	-1.0960E-8	-1.140499E-8	-1.146534E-8	-1.144458E-8	-1.137104E-8	-1.133900E-8	  -19.9880	   11.2112	    3.1885	  -31.7995	
  -20.0000	-2.7565E-8	-2.7790E-8	-2.7750E-8	-2.7460E-8	-2.7260E-8	-2.790756E-8	-2.768335E-8	-2.800187E-8	-2.820197E-8	-2.774304E-8	  -19.9702	   11.2792	    3.1765	  -31.7918	
  -30.0000	-4.9357E-8	-4.9270E-8	-4.9350E-8	-4.9450E-8	-4.9360E-8	-4.954657E-8	-5.007531E-8	-4.937089E-8	-4.916444E-8	-4.957564E-8	  -19.9702	   11.2792	    3.1720	  -31.8063	
  -40.0000	-7.5117E-8	-7.5070E-8	-7.4510E-8	-7.5330E-8	-7.5560E-8	-7.578840E-8	-7.599505E-8	-7.544853E-8	-7.584421E-8	-7.586581E-8	  -19.9575	   11.2763	    3.1559	  -31.8609	
  -50.0000	-1.0860E-7	-1.0850E-7	-1.0810E-7	-1.0870E-7	-1.0910E-7	-1.100023E-7	-1.096611E-7	-1.099225E-7	-1.102898E-7	-1.101357E-7	  -19.9677	   11.2148	    3.1524	  -31.9144	
  -60.0000	-1.5265E-7	-1.5430E-7	-1.5160E-7	-1.5150E-7	-1.5320E-7	-1.543347E-7	-1.544366E-7	-1.548135E-7	-1.547313E-7	-1.533575E-7	  -19.9677	   11.1972	    3.1436	  -31.9555	
  -70.0000	-2.1193E-7	-2.1000E-7	-2.1100E-7	-2.1340E-7	-2.1330E-7	-2.128944E-7	-2.125226E-7	-2.112790E-7	-2.135242E-7	-2.142518E-7	  -19.9906	   11.0930	    3.1290	  -32.0747	
  -80.0000	-2.8322E-7	-2.8320E-7	-2.8230E-7	-2.8650E-7	-2.8090E-7	-2.808291E-7	-2.837466E-7	-2.843462E-7	-2.829076E-7	-2.723161E-7	  -20.0084	   11.0725	    3.1230	  -32.1086	
  -90.0000	-3.5940E-7	-3.5900E-7	-3.6180E-7	-3.6030E-7	-3.5650E-7	-3.572273E-7	-3.553475E-7	-3.603587E-7	-3.552039E-7	-3.579993E-7	  -19.9957	   11.1323	    3.1211	  -32.0739	
 -100.0000	-4.3240E-7	-4.3110E-7	-4.3430E-7	-4.3280E-7	-4.3140E-7	-4.338281E-7	-4.360170E-7	-4.300774E-7	-4.406474E-7	-4.285705E-7	  -20.0135	   11.1778	    3.1151	  -32.0626	
