GCD Test
Bias: 5000.000000
CV_37903_045_2-S_HM_XX_DIODEHALF
Date/Time: 4/22/2022 1:19:31 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.781E-11	2.965E+9	   20.0064	   21.5292	   25.2938	    0.8458	
  -20.0000	1.205E-11	3.521E+9	   20.0039	   21.5267	   25.2868	    0.8399	
  -30.0000	9.270E-12	3.441E+9	   20.0013	   21.5313	   25.2653	    0.8320	
  -40.0000	7.763E-12	4.025E+9	   19.9987	   21.5302	   25.2565	    0.8262	
  -50.0000	6.771E-12	4.642E+9	   19.9987	   21.5254	   25.2568	    0.8223	
  -60.0000	6.115E-12	4.503E+9	   19.9961	   21.5310	   25.2634	    0.8307	
  -70.0000	5.637E-12	4.269E+9	   19.9936	   21.5310	   25.2625	    0.8302	
  -80.0000	5.250E-12	1.737E+9	   19.9987	   21.5318	   25.2650	    0.8322	
  -90.0000	4.519E-12	2.536E+8	   19.9987	   21.5284	   25.2634	    0.8285	
 -100.0000	3.354E-12	9.245E+8	   20.0013	   21.5208	   25.2764	    0.8292	
 -110.0000	3.155E-12	3.414E+9	   20.0039	   21.5250	   25.2783	    0.8338	
 -120.0000	3.013E-12	4.063E+9	   20.0064	   21.5273	   25.2783	    0.8357	
 -130.0000	2.884E-12	4.705E+9	   20.0090	   21.5269	   25.2710	    0.8314	
 -140.0000	2.769E-12	4.849E+9	   20.0064	   21.5303	   25.2600	    0.8282	
 -150.0000	2.667E-12	5.621E+9	   20.0039	   21.5303	   25.2568	    0.8265	
 -160.0000	2.580E-12	5.155E+9	   20.0013	   21.5243	   25.2577	    0.8219	
 -170.0000	2.497E-12	5.434E+9	   20.0013	   21.5243	   25.2577	    0.8219	
 -180.0000	2.422E-12	5.547E+9	   19.9987	   21.5147	   25.2543	    0.8118	
 -190.0000	2.346E-12	5.166E+9	   19.9987	   21.5169	   25.2479	    0.8103	
 -200.0000	2.273E-12	6.164E+9	   19.9987	   21.5195	   25.2464	    0.8116	
 -210.0000	2.212E-12	6.609E+9	   20.0013	   21.5205	   25.2397	    0.8088	
 -220.0000	2.165E-12	6.624E+9	   20.0039	   21.5205	   25.2328	    0.8050	
 -230.0000	2.140E-12	6.476E+9	   20.0039	   21.5203	   25.2350	    0.8060	
 -240.0000	2.126E-12	5.921E+9	   20.0064	   21.5214	   25.2113	    0.7940	
 -250.0000	2.115E-12	6.178E+9	   20.0064	   21.5169	   25.2081	    0.7884	
 -260.0000	2.110E-12	6.198E+9	   20.0039	   21.5130	   25.1986	    0.7798	
 -270.0000	2.105E-12	5.774E+9	   20.0039	   21.5189	   25.1844	    0.7771	
 -280.0000	2.102E-12	6.497E+9	   20.0039	   21.5189	   25.1844	    0.7771	
 -290.0000	2.099E-12	7.422E+9	   20.0013	   21.5189	   25.1698	    0.7691	
 -300.0000	2.098E-12	6.370E+9	   19.9987	   21.5241	   25.1736	    0.7756	
 -310.0000	2.090E-12	5.802E+9	   19.9936	   21.5175	   25.1648	    0.7651	
 -320.0000	2.089E-12	6.357E+9	   19.9961	   21.5193	   25.1654	    0.7670	
 -330.0000	2.090E-12	6.190E+9	   19.9987	   21.5171	   25.1708	    0.7681	
 -340.0000	2.086E-12	6.990E+9	   19.9987	   21.5180	   25.1616	    0.7638	
 -350.0000	2.086E-12	6.451E+9	   20.0013	   21.5177	   25.1575	    0.7612	
 -360.0000	2.086E-12	8.159E+9	   20.0013	   21.5220	   25.1550	    0.7635	
 -370.0000	2.086E-12	7.086E+9	   20.0039	   21.5220	   25.1436	    0.7572	
 -380.0000	2.085E-12	6.112E+9	   20.0064	   21.5193	   25.1464	    0.7565	
 -390.0000	2.081E-12	5.487E+9	   20.0064	   21.5186	   25.1373	    0.7509	
 -400.0000	2.079E-12	6.831E+9	   20.0064	   21.5219	   25.1303	    0.7499	
 -420.0000	2.077E-12	6.305E+9	   20.0039	   21.5219	   25.1249	    0.7469	
 -440.0000	2.078E-12	7.827E+9	   20.0039	   21.5219	   25.1249	    0.7469	
 -460.0000	2.079E-12	6.920E+9	   19.9987	   21.5176	   25.0867	    0.7221	
 -480.0000	2.081E-12	5.612E+9	   19.9987	   21.5188	   25.1012	    0.7312	
 -500.0000	2.077E-12	6.184E+9	   19.9961	   21.5198	   25.0825	    0.7217	
 -520.0000	2.073E-12	7.244E+9	   19.9961	   21.5265	   25.0772	    0.7245	
 -540.0000	2.075E-12	7.335E+9	   19.9961	   21.5146	   25.0585	    0.7041	
 -560.0000	2.074E-12	7.257E+9	   19.9987	   21.5226	   25.0497	    0.7060	
 -580.0000	2.069E-12	6.638E+9	   20.0013	   21.5170	   25.0348	    0.6931	
 -600.0000	2.074E-12	6.644E+9	   20.0013	   21.5170	   25.0348	    0.6931	
