GCD Test
Bias: 5000.000000
IV_38202_031_2-S_HM_XX_DIODEQUARTER
Date/Time: 4/4/2022 11:11:12 PM
Sensor Name: 
Type: P
Annealing Status: Not Irradiated
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.8900E-10	3.8900E-10	-4.274345E-11	-4.274345E-11	   19.9910	   21.0792	   23.2859	   -0.6941	
  -20.0000	2.5100E-10	2.5100E-10	-4.543264E-11	-4.543264E-11	   19.9910	   21.0762	   23.2859	   -0.6747	
  -30.0000	2.5000E-10	2.5000E-10	-4.901678E-11	-4.901678E-11	   19.9936	   21.0762	   23.3292	   -0.6747	
  -40.0000	2.4200E-10	2.4200E-10	-5.487309E-11	-5.487309E-11	   19.9961	   21.0737	   23.3292	   -0.6514	
  -50.0000	1.8700E-10	1.8700E-10	-6.052205E-11	-6.052205E-11	   19.9987	   21.0831	   23.3748	   -0.6272	
  -60.0000	7.6000E-11	7.6000E-11	-6.333187E-11	-6.333187E-11	   20.0013	   21.0831	   23.3909	   -0.6168	
  -70.0000	-5.0000E-12	-5.0000E-12	-6.458244E-11	-6.458244E-11	   20.0064	   21.0823	   23.4058	   -0.6080	
  -80.0000	-3.0000E-11	-3.0000E-11	-6.599316E-11	-6.599316E-11	   20.0064	   21.0837	   23.4058	   -0.5982	
  -90.0000	-3.8000E-11	-3.8000E-11	-6.826190E-11	-6.826190E-11	   20.0090	   21.0874	   23.4140	   -0.5903	
 -100.0000	-2.2600E-10	-2.2600E-10	-6.846972E-11	-6.846972E-11	   20.0116	   21.0860	   23.4298	   -0.5822	
 -110.0000	-1.1600E-10	-1.1600E-10	-6.937480E-11	-6.937480E-11	   20.0090	   21.0873	   23.4437	   -0.5730	
