GCD Test
Bias: 5000.000000
IV_38202_031_2-S_HM_XX_DIODE
Date/Time: 4/4/2022 10:32:39 PM
Sensor Name: 
Type: P
Annealing Status: Not Irradiated
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	4.5000E-11	4.5000E-11	-1.644693E-10	-1.644693E-10	   20.0193	   20.6512	   23.4810	   -0.9178	
  -20.0000	2.4000E-11	2.4000E-11	-1.738999E-10	-1.738999E-10	   20.0167	   20.6512	   23.5171	   -0.8968	
  -30.0000	-1.5800E-10	-1.5800E-10	-1.882103E-10	-1.882103E-10	   20.0167	   20.6548	   23.5345	   -0.8837	
  -40.0000	-2.3100E-10	-2.3100E-10	-2.118864E-10	-2.118864E-10	   20.0142	   20.6541	   23.5408	   -0.8806	
  -50.0000	-3.1300E-10	-3.1300E-10	-2.233145E-10	-2.233145E-10	   20.0064	   20.6613	   23.5588	   -0.8641	
  -60.0000	-3.6500E-10	-3.6500E-10	-2.278643E-10	-2.278643E-10	   19.9987	   20.6609	   23.5661	   -0.8602	
  -70.0000	-3.9800E-10	-3.9800E-10	-2.402157E-10	-2.402157E-10	   19.9884	   20.6593	   23.5810	   -0.8530	
  -80.0000	-3.8500E-10	-3.8500E-10	-2.448705E-10	-2.448705E-10	   19.9884	   20.6593	   23.5810	   -0.8530	
  -90.0000	-4.0500E-10	-4.0500E-10	-2.471520E-10	-2.471520E-10	   19.9833	   20.6660	   23.5889	   -0.8428	
 -100.0000	-5.6700E-10	-5.6700E-10	-2.501237E-10	-2.501237E-10	   19.9807	   20.6711	   23.5952	   -0.8349	
 -110.0000	-5.0600E-10	-5.0600E-10	-2.528728E-10	-2.528728E-10	   19.9833	   20.6711	   23.6075	   -0.8349	
 -120.0000	-5.3000E-10	-5.3000E-10	-2.548009E-10	-2.548009E-10	   19.9910	   20.6711	   23.6097	   -0.8277	
 -130.0000	-6.0800E-10	-6.0800E-10	-2.578414E-10	-2.578414E-10	   19.9961	   20.6720	   23.6183	   -0.8257	
 -140.0000	-6.1400E-10	-6.1400E-10	-2.603775E-10	-2.603775E-10	   19.9961	   20.6784	   23.6183	   -0.8153	
 -150.0000	-6.2000E-10	-6.2000E-10	-2.638874E-10	-2.638874E-10	   20.0064	   20.6782	   23.6142	   -0.8179	
 -160.0000	-6.2000E-10	-6.2000E-10	-2.685684E-10	-2.685684E-10	   20.0142	   20.6799	   23.6145	   -0.8163	
 -170.0000	-7.2300E-10	-7.2300E-10	-2.748763E-10	-2.748763E-10	   20.0219	   20.6805	   23.6240	   -0.8103	
 -180.0000	-7.3500E-10	-7.3500E-10	-2.845372E-10	-2.845372E-10	   20.0219	   20.6858	   23.6246	   -0.8054	
 -190.0000	-6.6500E-10	-6.6500E-10	-2.958545E-10	-2.958545E-10	   20.0245	   20.6850	   23.6183	   -0.8097	
 -200.0000	-7.0200E-10	-7.0200E-10	-3.096340E-10	-3.096340E-10	   20.0219	   20.6866	   23.6256	   -0.8042	
 -210.0000	-7.5800E-10	-7.5800E-10	-3.213194E-10	-3.213194E-10	   20.0142	   20.6868	   23.6319	   -0.8004	
 -220.0000	-7.6500E-10	-7.6500E-10	-3.312201E-10	-3.312201E-10	   20.0090	   20.6890	   23.6306	   -0.7993	
 -230.0000	-8.4300E-10	-8.4300E-10	-3.389460E-10	-3.389460E-10	   20.0013	   20.6863	   23.6312	   -0.8012	
 -240.0000	-8.4200E-10	-8.4200E-10	-3.451912E-10	-3.451912E-10	   19.9936	   20.6870	   23.6303	   -0.8011	
 -250.0000	-9.5600E-10	-9.5600E-10	-3.507610E-10	-3.507610E-10	   19.9884	   20.6851	   23.6423	   -0.7958	
 -260.0000	-9.3700E-10	-9.3700E-10	-3.557624E-10	-3.557624E-10	   19.9858	   20.6932	   23.6388	   -0.7910	
 -270.0000	-8.9100E-10	-8.9100E-10	-3.603174E-10	-3.603174E-10	   19.9858	   20.6910	   23.6354	   -0.7948	
 -280.0000	-9.6400E-10	-9.6400E-10	-3.647112E-10	-3.647112E-10	   19.9858	   20.6905	   23.6452	   -0.7896	
 -290.0000	-9.6700E-10	-9.6700E-10	-3.688726E-10	-3.688726E-10	   19.9884	   20.6937	   23.6562	   -0.7805	
 -300.0000	-1.0190E-9	-1.0190E-9	-3.725291E-10	-3.725291E-10	   19.9987	   20.6896	   23.6528	   -0.7860	
 -310.0000	-1.0220E-9	-1.0220E-9	-3.762004E-10	-3.762004E-10	   20.0039	   20.6958	   23.6528	   -0.7807	
 -320.0000	-1.1240E-9	-1.1240E-9	-3.798237E-10	-3.798237E-10	   20.0116	   20.6955	   23.6537	   -0.7804	
 -330.0000	-1.0570E-9	-1.0570E-9	-3.820927E-10	-3.820927E-10	   20.0167	   20.6944	   23.6505	   -0.7832	
 -340.0000	-1.0430E-9	-1.0430E-9	-3.849785E-10	-3.849785E-10	   20.0219	   20.6974	   23.6490	   -0.7816	
 -350.0000	-1.1090E-9	-1.1090E-9	-3.874059E-10	-3.874059E-10	   20.0219	   20.7033	   23.6483	   -0.7770	
 -360.0000	-1.1430E-9	-1.1430E-9	-3.888884E-10	-3.888884E-10	   20.0219	   20.6998	   23.6414	   -0.7840	
 -370.0000	-1.1200E-9	-1.1200E-9	-3.913271E-10	-3.913271E-10	   20.0193	   20.7022	   23.6467	   -0.7788	
 -380.0000	-1.1520E-9	-1.1520E-9	-3.931613E-10	-3.931613E-10	   20.0116	   20.7038	   23.6600	   -0.7699	
 -390.0000	-1.1600E-9	-1.1600E-9	-3.950375E-10	-3.950375E-10	   20.0039	   20.7019	   23.6512	   -0.7765	
 -400.0000	-1.2620E-9	-1.2620E-9	-3.970368E-10	-3.970368E-10	   19.9987	   20.6996	   23.6531	   -0.7774	
 -420.0000	-1.4030E-9	-1.4030E-9	-4.009456E-10	-4.009456E-10	   19.9884	   20.7023	   23.6531	   -0.7751	
 -440.0000	-1.4570E-9	-1.4570E-9	-4.052307E-10	-4.052307E-10	   19.9858	   20.7023	   23.6467	   -0.7751	
 -460.0000	-1.6080E-9	-1.6080E-9	-4.090060E-10	-4.090060E-10	   19.9858	   20.6990	   23.6467	   -0.7816	
 -480.0000	-1.6700E-9	-1.6700E-9	-4.132466E-10	-4.132466E-10	   19.9807	   20.7004	   23.6578	   -0.7739	
 -500.0000	-1.7250E-9	-1.7250E-9	-4.165910E-10	-4.165910E-10	   19.9833	   20.7065	   23.6575	   -0.7690	
 -520.0000	-1.9360E-9	-1.9360E-9	-4.204433E-10	-4.204433E-10	   19.9858	   20.7026	   23.6654	   -0.7677	
 -540.0000	-1.8420E-9	-1.8420E-9	-4.242159E-10	-4.242159E-10	   19.9961	   20.7026	   23.6515	   -0.7677	
