GCD Test
Bias: 5000.000000
CV_38693_046_2-S_HM_XX_DIODEHALFPSTOP
Date/Time: 4/22/2022 3:24:53 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.042E-11	1.622E+9	   20.0064	   21.5391	   21.3510	   -1.4705	
  -20.0000	7.413E-12	2.391E+9	   20.0064	   21.5352	   21.3469	   -1.4763	
  -30.0000	5.920E-12	2.875E+9	   20.0013	   21.5389	   21.3387	   -1.4785	
  -40.0000	5.106E-12	3.029E+9	   19.9987	   21.5415	   21.3533	   -1.4671	
  -50.0000	4.532E-12	2.776E+9	   19.9987	   21.5436	   21.3425	   -1.4722	
  -60.0000	4.114E-12	2.963E+9	   19.9961	   21.5406	   21.3529	   -1.4680	
  -70.0000	3.790E-12	2.795E+9	   19.9936	   21.5380	   21.3422	   -1.4770	
  -80.0000	3.532E-12	3.088E+9	   19.9961	   21.5357	   21.3457	   -1.4767	
  -90.0000	3.313E-12	3.084E+9	   19.9987	   21.5392	   21.3381	   -1.4786	
 -100.0000	3.135E-12	3.070E+9	   20.0013	   21.5411	   21.3340	   -1.4796	
 -110.0000	2.980E-12	2.978E+9	   20.0013	   21.5377	   21.3330	   -1.4831	
 -120.0000	2.844E-12	3.295E+9	   20.0039	   21.5380	   21.3378	   -1.4798	
 -130.0000	2.730E-12	3.311E+9	   20.0064	   21.5416	   21.3444	   -1.4726	
 -140.0000	2.624E-12	3.464E+9	   20.0064	   21.5347	   21.3393	   -1.4816	
 -150.0000	2.526E-12	3.689E+9	   20.0090	   21.5347	   21.3406	   -1.4808	
 -160.0000	2.438E-12	3.575E+9	   20.0064	   21.5383	   21.3374	   -1.4798	
 -170.0000	2.357E-12	3.631E+9	   20.0039	   21.5368	   21.3425	   -1.4778	
 -180.0000	2.278E-12	4.034E+9	   20.0013	   21.5435	   21.3406	   -1.4735	
 -190.0000	2.207E-12	4.468E+9	   20.0013	   21.5354	   21.3359	   -1.4832	
 -200.0000	2.141E-12	4.012E+9	   19.9987	   21.5315	   21.3352	   -1.4868	
 -210.0000	2.094E-12	4.769E+9	   19.9987	   21.5327	   21.3381	   -1.4840	
 -220.0000	2.066E-12	4.674E+9	   19.9987	   21.5371	   21.3371	   -1.4810	
 -230.0000	2.052E-12	4.368E+9	   19.9987	   21.5352	   21.3321	   -1.4858	
 -240.0000	2.043E-12	4.949E+9	   20.0013	   21.5447	   21.3435	   -1.4706	
 -250.0000	2.033E-12	4.891E+9	   20.0039	   21.5322	   21.3387	   -1.4841	
 -260.0000	2.028E-12	5.273E+9	   20.0039	   21.5392	   21.3390	   -1.4780	
 -270.0000	2.025E-12	4.337E+9	   20.0039	   21.5368	   21.3371	   -1.4812	
 -280.0000	2.022E-12	4.838E+9	   20.0039	   21.5364	   21.3349	   -1.4830	
 -290.0000	2.014E-12	4.960E+9	   20.0064	   21.5318	   21.3422	   -1.4822	
 -300.0000	2.015E-12	4.913E+9	   20.0064	   21.5240	   21.3292	   -1.4969	
 -310.0000	2.012E-12	4.952E+9	   20.0064	   21.5240	   21.3292	   -1.4969	
 -320.0000	2.012E-12	5.040E+9	   20.0039	   21.5291	   21.3264	   -1.4945	
 -330.0000	2.010E-12	5.095E+9	   20.0039	   21.5291	   21.3264	   -1.4945	
 -340.0000	2.005E-12	4.968E+9	   19.9987	   21.5350	   21.3343	   -1.4845	
 -350.0000	2.005E-12	4.616E+9	   19.9987	   21.5300	   21.3330	   -1.4895	
 -360.0000	2.008E-12	4.844E+9	   19.9961	   21.5305	   21.3495	   -1.4786	
 -370.0000	2.001E-12	5.289E+9	   19.9961	   21.5335	   21.3463	   -1.4781	
 -380.0000	2.005E-12	5.271E+9	   19.9961	   21.5308	   21.3387	   -1.4852	
 -390.0000	2.002E-12	4.872E+9	   19.9961	   21.5316	   21.3460	   -1.4799	
 -400.0000	1.999E-12	5.112E+9	   19.9987	   21.5257	   21.3457	   -1.4850	
 -420.0000	1.998E-12	5.432E+9	   20.0039	   21.5265	   21.3479	   -1.4829	
 -440.0000	1.997E-12	5.437E+9	   20.0039	   21.5245	   21.3393	   -1.4900	
 -460.0000	1.999E-12	5.494E+9	   20.0064	   21.5272	   21.3548	   -1.4779	
 -480.0000	1.994E-12	4.990E+9	   20.0064	   21.5250	   21.3605	   -1.4761	
 -500.0000	1.993E-12	4.985E+9	   20.0064	   21.5250	   21.3605	   -1.4761	
 -520.0000	1.993E-12	5.265E+9	   20.0039	   21.5224	   21.3593	   -1.4791	
 -540.0000	1.994E-12	4.851E+9	   20.0013	   21.5274	   21.3580	   -1.4757	
 -560.0000	1.990E-12	5.595E+9	   19.9987	   21.5270	   21.3507	   -1.4807	
 -580.0000	1.990E-12	5.391E+9	   19.9987	   21.5261	   21.3612	   -1.4748	
 -600.0000	1.991E-12	4.909E+9	   19.9987	   21.5259	   21.3665	   -1.4716	
