GCD Test
Bias: 5000.000000
IV_38694_003_2-S_HM_XX_DIODEHALFPSTOP
Date/Time: 2/10/2022 4:17:26 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.8900E-10	2.8900E-10	-7.905934E-11	-7.905934E-11	   19.9807	   21.3737	   23.6354	   -0.2206	
  -20.0000	3.1600E-10	3.1600E-10	-8.652738E-11	-8.652738E-11	   19.9781	   21.3745	   23.6471	   -0.2131	
  -30.0000	7.2000E-11	7.2000E-11	-8.905812E-11	-8.905812E-11	   19.9781	   21.3786	   23.6553	   -0.2049	
  -40.0000	5.1000E-11	5.1000E-11	-9.180395E-11	-9.180395E-11	   19.9833	   21.3850	   23.6629	   -0.1951	
  -50.0000	4.2000E-11	4.2000E-11	-9.497881E-11	-9.497881E-11	   19.9910	   21.3909	   23.6803	   -0.1801	
  -60.0000	-9.6000E-11	-9.6000E-11	-9.751075E-11	-9.751075E-11	   20.0064	   21.3909	   23.6793	   -0.1801	
  -70.0000	-1.2700E-10	-1.2700E-10	-1.021195E-10	-1.021195E-10	   20.0167	   21.3909	   23.6920	   -0.1807	
  -80.0000	-1.6200E-10	-1.6200E-10	-1.058772E-10	-1.058772E-10	   20.0245	   21.3965	   23.6935	   -0.1686	
  -90.0000	-2.3200E-10	-2.3200E-10	-1.121183E-10	-1.121183E-10	   20.0296	   21.3945	   23.6958	   -0.1693	
 -100.0000	-2.8200E-10	-2.8200E-10	-1.194607E-10	-1.194607E-10	   20.0296	   21.3969	   23.7015	   -0.1661	
 -110.0000	-2.9300E-10	-2.9300E-10	-1.251301E-10	-1.251301E-10	   20.0296	   21.4032	   23.7015	   -0.1574	
 -120.0000	-3.2700E-10	-3.2700E-10	-1.274961E-10	-1.274961E-10	   20.0245	   21.4031	   23.7062	   -0.1548	
 -130.0000	-3.7300E-10	-3.7300E-10	-1.289008E-10	-1.289008E-10	   20.0167	   21.4070	   23.7211	   -0.1429	
 -140.0000	-3.8100E-10	-3.8100E-10	-1.308235E-10	-1.308235E-10	   20.0039	   21.4088	   23.7147	   -0.1451	
 -150.0000	-3.6100E-10	-3.6100E-10	-1.315612E-10	-1.315612E-10	   19.9961	   21.4130	   23.7264	   -0.1348	
 -160.0000	-3.2700E-10	-3.2700E-10	-1.334549E-10	-1.334549E-10	   19.9884	   21.4058	   23.7226	   -0.1430	
 -170.0000	-4.2800E-10	-4.2800E-10	-1.371822E-10	-1.371822E-10	   19.9833	   21.4061	   23.7192	   -0.1448	
 -180.0000	-4.0300E-10	-4.0300E-10	-1.404525E-10	-1.404525E-10	   19.9781	   21.4113	   23.7359	   -0.1307	
 -190.0000	-4.0800E-10	-4.0800E-10	-1.462626E-10	-1.462626E-10	   19.9781	   21.4098	   23.7347	   -0.1327	
 -200.0000	-5.2300E-10	-5.2300E-10	-1.526066E-10	-1.526066E-10	   19.9833	   21.4101	   23.7391	   -0.1298	
 -210.0000	-4.7300E-10	-4.7300E-10	-1.592702E-10	-1.592702E-10	   19.9884	   21.4191	   23.7419	   -0.1206	
 -220.0000	-5.3200E-10	-5.3200E-10	-1.646897E-10	-1.646897E-10	   19.9987	   21.4103	   23.7359	   -0.1315	
 -230.0000	-5.2300E-10	-5.2300E-10	-1.690319E-10	-1.690319E-10	   20.0064	   21.4132	   23.7432	   -0.1249	
 -240.0000	-5.5000E-10	-5.5000E-10	-1.724961E-10	-1.724961E-10	   20.0193	   21.4129	   23.7524	   -0.1198	
 -250.0000	-5.5500E-10	-5.5500E-10	-1.758759E-10	-1.758759E-10	   20.0245	   21.4157	   23.7596	   -0.1132	
 -260.0000	-5.7700E-10	-5.7700E-10	-1.787548E-10	-1.787548E-10	   20.0296	   21.4196	   23.7546	   -0.1129	
 -270.0000	-6.0300E-10	-6.0300E-10	-1.807891E-10	-1.807891E-10	   20.0270	   21.4196	   23.7676	   -0.1129	
