GCD Test
Bias: 5000.000000
CV_38694_046_2-S_HM_XX_DIODEHALF
Date/Time: 2/10/2022 3:14:15 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.875E-11	1.832E+9	   19.9833	   21.4459	   26.9997	    1.6822	
  -20.0000	1.306E-11	4.301E+9	   19.9936	   21.4513	   26.9810	    1.6771	
  -30.0000	1.024E-11	2.434E+9	   20.0013	   21.4522	   26.9836	    1.6792	
  -40.0000	8.348E-12	4.579E+9	   20.0116	   21.4551	   26.9655	    1.6723	
  -50.0000	6.748E-12	4.783E+9	   20.0193	   21.4530	   26.9703	    1.6730	
  -60.0000	5.826E-12	5.446E+9	   20.0245	   21.4530	   26.9775	    1.6768	
  -70.0000	5.339E-12	5.882E+9	   20.0270	   21.4517	   26.9791	    1.6764	
  -80.0000	4.962E-12	5.331E+9	   20.0270	   21.4514	   26.9738	    1.6735	
  -90.0000	4.660E-12	1.655E+9	   20.0193	   21.4515	   26.9763	    1.6748	
 -100.0000	3.208E-12	3.089E+9	   20.0142	   21.4483	   26.9772	    1.6726	
 -110.0000	3.045E-12	3.196E+9	   20.0039	   21.4445	   26.9703	    1.6658	
 -120.0000	2.901E-12	3.496E+9	   19.9936	   21.4445	   26.9633	    1.6622	
 -130.0000	2.769E-12	3.920E+9	   19.9833	   21.4475	   26.9617	    1.6639	
 -140.0000	2.666E-12	3.976E+9	   19.9781	   21.4420	   26.9554	    1.6559	
 -150.0000	2.574E-12	4.212E+9	   19.9781	   21.4420	   26.9554	    1.6559	
 -160.0000	2.492E-12	4.486E+9	   19.9755	   21.4441	   26.9526	    1.6562	
 -170.0000	2.414E-12	4.318E+9	   19.9884	   21.4414	   26.9450	    1.6500	
 -180.0000	2.334E-12	4.836E+9	   19.9884	   21.4414	   26.9450	    1.6500	
 -190.0000	2.263E-12	4.542E+9	   20.0039	   21.4446	   26.9443	    1.6524	
 -200.0000	2.210E-12	4.206E+9	   20.0245	   21.4493	   26.9386	    1.6535	
 -210.0000	2.175E-12	4.530E+9	   20.0347	   21.4473	   26.9500	    1.6577	
 -220.0000	2.156E-12	4.759E+9	   20.0373	   21.4499	   26.9462	    1.6579	
 -230.0000	2.145E-12	4.538E+9	   20.0347	   21.4468	   26.9522	    1.6584	
 -240.0000	2.139E-12	5.091E+9	   20.0270	   21.4468	   26.9500	    1.6572	
 -250.0000	2.136E-12	5.099E+9	   20.0142	   21.4517	   26.9481	    1.6605	
 -260.0000	2.130E-12	4.863E+9	   20.0039	   21.4490	   26.9522	    1.6603	
 -270.0000	2.127E-12	5.313E+9	   19.9936	   21.4489	   26.9481	    1.6581	
 -280.0000	2.125E-12	4.976E+9	   19.9936	   21.4489	   26.9481	    1.6581	
 -290.0000	2.127E-12	5.516E+9	   19.9833	   21.4488	   26.9519	    1.6599	
 -300.0000	2.123E-12	5.444E+9	   19.9807	   21.4487	   26.9500	    1.6589	
 -310.0000	2.120E-12	5.217E+9	   19.9807	   21.4487	   26.9500	    1.6589	
 -320.0000	2.122E-12	6.342E+9	   19.9858	   21.4472	   26.9497	    1.6574	
 -330.0000	2.118E-12	5.820E+9	   19.9936	   21.4432	   26.9538	    1.6562	
 -340.0000	2.119E-12	5.355E+9	   20.0039	   21.4461	   26.9503	    1.6568	
 -350.0000	2.119E-12	5.533E+9	   20.0219	   21.4455	   26.9374	    1.6496	
 -360.0000	2.118E-12	5.989E+9	   20.0296	   21.4423	   26.9472	    1.6519	
 -370.0000	2.116E-12	6.030E+9	   20.0347	   21.4456	   26.9497	    1.6561	
 -380.0000	2.115E-12	5.661E+9	   20.0347	   21.4456	   26.9497	    1.6561	
 -390.0000	2.115E-12	6.310E+9	   20.0322	   21.4455	   26.9526	    1.6575	
 -400.0000	2.116E-12	7.023E+9	   20.0245	   21.4438	   26.9529	    1.6561	
 -420.0000	2.113E-12	7.119E+9	   19.9987	   21.4465	   26.9510	    1.6575	
 -440.0000	2.110E-12	5.888E+9	   19.9910	   21.4410	   26.9491	    1.6518	
 -460.0000	2.111E-12	6.926E+9	   19.9833	   21.4404	   26.9409	    1.6470	
 -480.0000	2.109E-12	7.671E+9	   19.9781	   21.4398	   26.9466	    1.6495	
 -500.0000	2.107E-12	7.802E+9	   19.9833	   21.4398	   26.9409	    1.6465	
 -520.0000	2.109E-12	8.373E+9	   19.9884	   21.4429	   26.9453	    1.6514	
 -540.0000	2.106E-12	7.893E+9	   19.9961	   21.4448	   26.9405	    1.6506	
 -560.0000	2.110E-12	8.077E+9	   20.0039	   21.4415	   26.9374	    1.6462	
 -580.0000	2.111E-12	1.061E+10	   20.0167	   21.4433	   26.9396	    1.6489	
 -600.0000	2.108E-12	7.370E+9	   20.0270	   21.4433	   26.9364	    1.6473	
