GCD Test
Bias: 5000.000000
IV_38694_046_2-S_HM_XX_DIODE
Date/Time: 2/10/2022 2:53:28 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	 2.6260E-9	 2.6260E-9	-1.389088E-10	-1.389088E-10	   19.4042	   21.5281	   27.6920	    2.1062	
  -20.0000	 2.3880E-9	 2.3880E-9	-1.511565E-10	-1.511565E-10	   19.4016	   21.5251	   27.6844	    2.0998	
  -30.0000	 2.0230E-9	 2.0230E-9	-1.627900E-10	-1.627900E-10	   19.3991	   21.5251	   27.6822	    2.0998	
  -40.0000	 1.1830E-9	 1.1830E-9	-1.792700E-10	-1.792700E-10	   19.3991	   21.5288	   27.6822	    2.1018	
  -50.0000	 1.3890E-9	 1.3890E-9	-2.062448E-10	-2.062448E-10	   19.3965	   21.5248	   27.6822	    2.0984	
  -60.0000	 1.0240E-9	 1.0240E-9	-2.358057E-10	-2.358057E-10	   19.3939	   21.5248	   27.6882	    2.0984	
  -70.0000	5.9700E-10	5.9700E-10	-2.475233E-10	-2.475233E-10	   19.3939	   21.5236	   27.6882	    2.1004	
  -80.0000	7.6300E-10	7.6300E-10	-2.539039E-10	-2.539039E-10	   19.3939	   21.5299	   27.6825	    2.1029	
  -90.0000	3.5000E-10	3.5000E-10	-2.630180E-10	-2.630180E-10	   19.3913	   21.5295	   27.6815	    2.1022	
 -100.0000	2.0900E-10	2.0900E-10	-2.740852E-10	-2.740852E-10	   19.3913	   21.5295	   27.6894	    2.1022	
 -110.0000	2.7800E-10	2.7800E-10	-2.726452E-10	-2.726452E-10	   19.3913	   21.5304	   27.6894	    2.1069	
 -120.0000	1.9000E-10	1.9000E-10	-2.741267E-10	-2.741267E-10	   19.3862	   21.5237	   27.6762	    2.0944	
 -130.0000	-5.8000E-11	-5.8000E-11	-2.765796E-10	-2.765796E-10	   19.3836	   21.5237	   27.6796	    2.0944	
 -140.0000	5.7000E-11	5.7000E-11	-2.811785E-10	-2.811785E-10	   19.3836	   21.5254	   27.6796	    2.0977	
 -150.0000	-4.1200E-10	-4.1200E-10	-2.834647E-10	-2.834647E-10	   19.3810	   21.5254	   27.6825	    2.0977	
 -160.0000	1.7000E-11	1.7000E-11	-2.897701E-10	-2.897701E-10	   19.3810	   21.5222	   27.6825	    2.0964	
 -170.0000	-6.0400E-10	-6.0400E-10	-2.952745E-10	-2.952745E-10	   19.3785	   21.5256	   27.6736	    2.0948	
 -180.0000	-2.8400E-10	-2.8400E-10	-3.041618E-10	-3.041618E-10	   19.3785	   21.5256	   27.6793	    2.0948	
 -190.0000	-7.2500E-10	-7.2500E-10	-3.179516E-10	-3.179516E-10	   19.3785	   21.5267	   27.6793	    2.0986	
 -200.0000	-4.3100E-10	-4.3100E-10	-3.355783E-10	-3.355783E-10	   19.3733	   21.5267	   27.6755	    2.0986	
 -210.0000	-7.2900E-10	-7.2900E-10	-3.541341E-10	-3.541341E-10	   19.3733	   21.5227	   27.6755	    2.0933	
 -220.0000	-7.9800E-10	-7.9800E-10	-3.688634E-10	-3.688634E-10	   19.3733	   21.5208	   27.6689	    2.0883	
 -230.0000	-6.4300E-10	-6.4300E-10	-3.820797E-10	-3.820797E-10	   19.3707	   21.5208	   27.6762	    2.0883	
 -240.0000	-1.0760E-9	-1.0760E-9	-3.914455E-10	-3.914455E-10	   19.3707	   21.5216	   27.6762	    2.0927	
 -250.0000	-7.2600E-10	-7.2600E-10	-4.005882E-10	-4.005882E-10	   19.3682	   21.5216	   27.6758	    2.0927	
 -260.0000	-1.0230E-9	-1.0230E-9	-4.072467E-10	-4.072467E-10	   19.3682	   21.5191	   27.6758	    2.0903	
 -270.0000	-6.8400E-10	-6.8400E-10	-4.140872E-10	-4.140872E-10	   19.3656	   21.5148	   27.6765	    2.0869	
 -280.0000	-9.4800E-10	-9.4800E-10	-4.184716E-10	-4.184716E-10	   19.3630	   21.5148	   27.6796	    2.0869	
 -290.0000	-8.2200E-10	-8.2200E-10	-4.237841E-10	-4.237841E-10	   19.3630	   21.5148	   27.6796	    2.0885	
 -300.0000	-1.1900E-9	-1.1900E-9	-4.286796E-10	-4.286796E-10	   19.3630	   21.5171	   27.6796	    2.0905	
 -310.0000	-9.4300E-10	-9.4300E-10	-4.318552E-10	-4.318552E-10	   19.3605	   21.5171	   27.6847	    2.0931	
 -320.0000	-1.2940E-9	-1.2940E-9	-4.353565E-10	-4.353565E-10	   19.3605	   21.5153	   27.6727	    2.0855	
 -330.0000	-1.0230E-9	-1.0230E-9	-4.394377E-10	-4.394377E-10	   19.3579	   21.5153	   27.6720	    2.0855	
 -340.0000	-1.2460E-9	-1.2460E-9	-4.450287E-10	-4.450287E-10	   19.3579	   21.5082	   27.6720	    2.0791	
 -350.0000	-1.2510E-9	-1.2510E-9	-4.470997E-10	-4.470997E-10	   19.3553	   21.5146	   27.6727	    2.0849	
 -360.0000	-1.1470E-9	-1.1470E-9	-4.490651E-10	-4.490651E-10	   19.3553	   21.5146	   27.6799	    2.0849	
 -370.0000	-1.4910E-9	-1.4910E-9	-4.515792E-10	-4.515792E-10	   19.3553	   21.5146	   27.6799	    2.0886	
 -380.0000	-1.0570E-9	-1.0570E-9	-4.551397E-10	-4.551397E-10	   19.3502	   21.5146	   27.6768	    2.0886	
 -390.0000	-1.4530E-9	-1.4530E-9	-4.560337E-10	-4.560337E-10	   19.3502	   21.5101	   27.6768	    2.0831	
 -400.0000	-1.5370E-9	-1.5370E-9	-4.585469E-10	-4.585469E-10	   19.3502	   21.5112	   27.6866	    2.0890	
 -420.0000	-1.6790E-9	-1.6790E-9	-4.661321E-10	-4.661321E-10	   19.3476	   21.5112	   27.6711	    2.0890	
 -440.0000	-1.6480E-9	-1.6480E-9	-4.732194E-10	-4.732194E-10	   19.3476	   21.5103	   27.6711	    2.0804	
 -460.0000	-1.6550E-9	-1.6550E-9	-4.748897E-10	-4.748897E-10	   19.3450	   21.5126	   27.6708	    2.0822	
 -480.0000	-1.6750E-9	-1.6750E-9	-4.787946E-10	-4.787946E-10	   19.3450	   21.5126	   27.6698	    2.0822	
 -500.0000	-1.9650E-9	-1.9650E-9	-4.849846E-10	-4.849846E-10	   19.3450	   21.5131	   27.6698	    2.0822	
 -520.0000	-2.1900E-9	-2.1900E-9	-4.871308E-10	-4.871308E-10	   19.3424	   21.5077	   27.6711	    2.0782	
 -540.0000	-2.4070E-9	-2.4070E-9	-4.929777E-10	-4.929777E-10	   19.3399	   21.5077	   27.6705	    2.0782	
 -560.0000	-2.1050E-9	-2.1050E-9	-4.958514E-10	-4.958514E-10	   19.3399	   21.5091	   27.6705	    2.0791	
