GCD Test
Bias: 5000.000000
IV_38695_044_2-S_HM_XX_DIODEHALF
Date/Time: 2/11/2022 11:01:42 AM
Sensor Name: DIODEHALF
Type: 
Annealing Status: Not Irradiated
Environment: 
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.8000E-10	2.8000E-10	-8.401547E-11	-8.401547E-11	   19.9987	   21.6563	   21.0961	   -1.5362	
  -20.0000	1.9700E-10	1.9700E-10	-9.073976E-11	-9.073976E-11	   20.0064	   21.6591	   21.0936	   -1.5356	
  -30.0000	1.0100E-10	1.0100E-10	-9.877175E-11	-9.877175E-11	   20.0116	   21.6550	   21.0927	   -1.5395	
  -40.0000	-5.3000E-11	-5.3000E-11	-1.085490E-10	-1.085490E-10	   20.0142	   21.6628	   21.0854	   -1.5378	
  -50.0000	-1.3600E-10	-1.3600E-10	-1.182062E-10	-1.182062E-10	   20.0167	   21.6641	   21.0791	   -1.5408	
  -60.0000	-2.0200E-10	-2.0200E-10	-1.242839E-10	-1.242839E-10	   20.0142	   21.6593	   21.0769	   -1.5462	
  -70.0000	-2.4100E-10	-2.4100E-10	-1.262221E-10	-1.262221E-10	   20.0116	   21.6635	   21.0727	   -1.5454	
  -80.0000	-2.7900E-10	-2.7900E-10	-1.281201E-10	-1.281201E-10	   20.0064	   21.6625	   21.0614	   -1.5535	
  -90.0000	-3.1300E-10	-3.1300E-10	-1.297830E-10	-1.297830E-10	   20.0039	   21.6666	   21.0667	   -1.5467	
 -100.0000	-2.2600E-10	-2.2600E-10	-1.305598E-10	-1.305598E-10	   19.9961	   21.6700	   21.0576	   -1.5497	
 -110.0000	-3.3100E-10	-3.3100E-10	-1.311581E-10	-1.311581E-10	   19.9884	   21.6700	   21.0604	   -1.5497	
 -120.0000	-3.6900E-10	-3.6900E-10	-1.319544E-10	-1.319544E-10	   19.9884	   21.6698	   21.0604	   -1.5481	
 -130.0000	-3.2100E-10	-3.2100E-10	-1.326686E-10	-1.326686E-10	   19.9858	   21.6709	   21.0614	   -1.5465	
 -140.0000	-4.3400E-10	-4.3400E-10	-1.334545E-10	-1.334545E-10	   19.9858	   21.6709	   21.0541	   -1.5465	
 -150.0000	-3.2500E-10	-3.2500E-10	-1.348195E-10	-1.348195E-10	   19.9884	   21.6709	   21.0566	   -1.5512	
 -160.0000	-3.6100E-10	-3.6100E-10	-1.357411E-10	-1.357411E-10	   19.9884	   21.6733	   21.0566	   -1.5476	
 -170.0000	-3.9000E-10	-3.9000E-10	-1.374357E-10	-1.374357E-10	   19.9936	   21.6769	   21.0500	   -1.5489	
 -180.0000	-5.2900E-10	-5.2900E-10	-1.401464E-10	-1.401464E-10	   19.9987	   21.6776	   21.0569	   -1.5438	
 -190.0000	-4.5200E-10	-4.5200E-10	-1.415498E-10	-1.415498E-10	   20.0064	   21.6759	   21.0497	   -1.5499	
 -200.0000	-5.2400E-10	-5.2400E-10	-1.450322E-10	-1.450322E-10	   20.0090	   21.6829	   21.0452	   -1.5469	
 -210.0000	-5.3900E-10	-5.3900E-10	-1.491717E-10	-1.491717E-10	   20.0142	   21.6775	   21.0509	   -1.5478	
 -220.0000	-6.0700E-10	-6.0700E-10	-1.529321E-10	-1.529321E-10	   20.0167	   21.6787	   21.0468	   -1.5495	
 -230.0000	-5.2200E-10	-5.2200E-10	-1.553428E-10	-1.553428E-10	   20.0167	   21.6837	   21.0528	   -1.5414	
 -240.0000	-5.6800E-10	-5.6800E-10	-1.575434E-10	-1.575434E-10	   20.0142	   21.6817	   21.0411	   -1.5506	
 -250.0000	-5.5700E-10	-5.5700E-10	-1.595789E-10	-1.595789E-10	   20.0090	   21.6817	   21.0490	   -1.5455	
 -260.0000	-6.1000E-10	-6.1000E-10	-1.618074E-10	-1.618074E-10	   20.0013	   21.6777	   21.0414	   -1.5538	
 -270.0000	-6.8800E-10	-6.8800E-10	-1.626756E-10	-1.626756E-10	   20.0013	   21.6793	   21.0459	   -1.5495	
 -280.0000	-6.5700E-10	-6.5700E-10	-1.642852E-10	-1.642852E-10	   19.9936	   21.6793	   21.0471	   -1.5487	
 -290.0000	-6.6800E-10	-6.6800E-10	-1.656539E-10	-1.656539E-10	   19.9884	   21.6761	   21.0446	   -1.5531	
