GCD Test
Bias: 5000.000000
IV_38873_003_2-S_HM_XX_DIODE
Date/Time: 3/9/2022 4:47:33 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-7.1000E-11	-7.1000E-11	-1.793887E-10	-1.793887E-10	   20.0039	   21.7273	   19.2834	   -2.5651	
  -20.0000	-1.4600E-10	-1.4600E-10	-1.902697E-10	-1.902697E-10	   20.0039	   21.7246	   19.2834	   -2.6938	
  -30.0000	-1.0300E-10	-1.0300E-10	-2.023708E-10	-2.023708E-10	   20.0013	   21.7257	   19.1565	   -2.7816	
  -40.0000	-2.0700E-10	-2.0700E-10	-2.150501E-10	-2.150501E-10	   19.9987	   21.7200	   19.0481	   -2.8626	
  -50.0000	-2.7300E-10	-2.7300E-10	-2.301638E-10	-2.301638E-10	   19.9987	   21.7224	   18.9915	   -2.9005	
  -60.0000	-3.3700E-10	-3.3700E-10	-2.471947E-10	-2.471947E-10	   19.9961	   21.7209	   18.9156	   -2.9555	
  -70.0000	-4.3200E-10	-4.3200E-10	-2.577153E-10	-2.577153E-10	   19.9936	   21.7172	   18.8659	   -2.9938	
  -80.0000	-4.7600E-10	-4.7600E-10	-2.633182E-10	-2.633182E-10	   19.9936	   21.7187	   18.8302	   -3.0180	
  -90.0000	-3.7600E-10	-3.7600E-10	-2.750658E-10	-2.750658E-10	   19.9961	   21.7236	   18.7875	   -3.0444	
 -100.0000	-4.5400E-10	-4.5400E-10	-2.804375E-10	-2.804375E-10	   19.9961	   21.7236	   18.7359	   -3.0444	
 -110.0000	-4.5800E-10	-4.5800E-10	-2.843524E-10	-2.843524E-10	   19.9987	   21.7211	   18.7258	   -3.0833	
 -120.0000	-4.7100E-10	-4.7100E-10	-2.879639E-10	-2.879639E-10	   20.0013	   21.7243	   18.6898	   -3.0879	
 -130.0000	-5.0900E-10	-5.0900E-10	-2.919452E-10	-2.919452E-10	   20.0013	   21.7238	   18.6834	   -3.1142	
 -140.0000	-6.0300E-10	-6.0300E-10	-2.972396E-10	-2.972396E-10	   20.0064	   21.7237	   18.6581	   -3.1188	
 -150.0000	-5.8800E-10	-5.8800E-10	-3.042846E-10	-3.042846E-10	   20.0064	   21.7218	   18.6521	   -3.1385	
 -160.0000	-6.6500E-10	-6.6500E-10	-3.157297E-10	-3.157297E-10	   20.0064	   21.7184	   18.6521	   -3.1455	
 -170.0000	-5.7400E-10	-5.7400E-10	-3.314104E-10	-3.314104E-10	   20.0064	   21.7228	   18.6436	   -3.1481	
 -180.0000	-6.2600E-10	-6.2600E-10	-3.507884E-10	-3.507884E-10	   20.0039	   21.7200	   18.6328	   -3.1581	
 -190.0000	-6.4500E-10	-6.4500E-10	-3.684959E-10	-3.684959E-10	   20.0039	   21.7199	   18.6202	   -3.1673	
 -200.0000	-6.8000E-10	-6.8000E-10	-3.821563E-10	-3.821563E-10	   20.0013	   21.7166	   18.6173	   -3.1721	
 -210.0000	-7.5500E-10	-7.5500E-10	-3.919621E-10	-3.919621E-10	   19.9987	   21.7161	   18.6116	   -3.1765	
