GCD Test
Bias: 5000.000000
IV_38874_011_2-S_HM_XX_DIODEQUARTER
Date/Time: 3/9/2022 11:20:55 AM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	 1.7940E-9	 1.7940E-9	-4.697057E-11	-4.697057E-11	   20.1789	   21.9582	   18.1961	   -3.2929	
  -20.0000	 1.4410E-9	 1.4410E-9	-5.105788E-11	-5.105788E-11	   20.1789	   21.9518	   18.1961	   -3.2862	
  -30.0000	 1.1270E-9	 1.1270E-9	-5.526741E-11	-5.526741E-11	   20.1763	   21.9484	   18.1863	   -3.2962	
  -40.0000	9.3400E-10	9.3400E-10	-6.155684E-11	-6.155684E-11	   20.1737	   21.9518	   18.2043	   -3.2802	
  -50.0000	8.1300E-10	8.1300E-10	-6.826672E-11	-6.826672E-11	   20.1686	   21.9512	   18.2056	   -3.2798	
  -60.0000	6.5200E-10	6.5200E-10	-7.198021E-11	-7.198021E-11	   20.1634	   21.9558	   18.2113	   -3.2718	
  -70.0000	5.3200E-10	5.3200E-10	-7.353435E-11	-7.353435E-11	   20.1583	   21.9461	   18.2116	   -3.2795	
  -80.0000	4.3300E-10	4.3300E-10	-7.445470E-11	-7.445470E-11	   20.1531	   21.9480	   18.2078	   -3.2807	
  -90.0000	2.5700E-10	2.5700E-10	-7.537058E-11	-7.537058E-11	   20.1454	   21.9497	   18.2201	   -3.2703	
 -100.0000	1.6600E-10	1.6600E-10	-7.612576E-11	-7.612576E-11	   20.1403	   21.9497	   18.2182	   -3.2703	
 -110.0000	1.3200E-10	1.3200E-10	-7.688421E-11	-7.688421E-11	   20.1351	   21.9505	   18.2185	   -3.2710	
 -120.0000	8.2000E-11	8.2000E-11	-7.776792E-11	-7.776792E-11	   20.1326	   21.9479	   18.2255	   -3.2729	
 -130.0000	5.5000E-11	5.5000E-11	-7.825334E-11	-7.825334E-11	   20.1326	   21.9500	   18.2255	   -3.2661	
 -140.0000	1.0100E-10	1.0100E-10	-7.839571E-11	-7.839571E-11	   20.1274	   21.9526	   18.2283	   -3.2619	
 -150.0000	5.7000E-11	5.7000E-11	-7.928821E-11	-7.928821E-11	   20.1223	   21.9478	   18.2283	   -3.2657	
 -160.0000	-1.2000E-10	-1.2000E-10	-8.005359E-11	-8.005359E-11	   20.1197	   21.9496	   18.2381	   -3.2571	
 -170.0000	-7.5000E-11	-7.5000E-11	-8.109310E-11	-8.109310E-11	   20.1171	   21.9475	   18.2324	   -3.2630	
 -180.0000	-1.9500E-10	-1.9500E-10	-8.220780E-11	-8.220780E-11	   20.1120	   21.9432	   18.2375	   -3.2628	
 -190.0000	-2.2800E-10	-2.2800E-10	-8.390857E-11	-8.390857E-11	   20.1094	   21.9422	   18.2394	   -3.2623	
 -200.0000	-1.4900E-10	-1.4900E-10	-8.565768E-11	-8.565768E-11	   20.1042	   21.9394	   18.2312	   -3.2705	
 -210.0000	-2.2200E-10	-2.2200E-10	-8.707982E-11	-8.707982E-11	   20.1017	   21.9484	   18.2426	   -3.2549	
 -220.0000	-1.9900E-10	-1.9900E-10	-8.853800E-11	-8.853800E-11	   20.0991	   21.9441	   18.2438	   -3.2574	
