GCD Test
Bias: 5000.000000
CV_34253_037_PSS_HM_XX_DIODEHALF
Date/Time: 4/11/2021 5:05:34 PM
Sensor Name: DIODEHALF
Type: N
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	3.330E-11	3.321E-11	1.527E+9	9.887E+7	   23.0759	   23.4223	   34.7473	    6.9906	
  -10.0000	2.502E-11	2.498E-11	1.831E+9	1.276E+8	   23.0759	   23.4275	   34.7426	    6.9932	
  -15.0000	2.118E-11	2.111E-11	2.004E+9	1.462E+8	   23.0759	   23.4229	   34.7340	    6.9856	
  -20.0000	1.878E-11	1.871E-11	2.073E+9	1.588E+8	   23.0759	   23.4215	   34.7378	    6.9860	
  -25.0000	1.703E-11	1.696E-11	2.089E+9	1.706E+8	   23.0733	   23.4244	   34.7451	    6.9915	
  -30.0000	1.571E-11	1.558E-11	2.022E+9	1.785E+8	   23.0759	   23.4207	   34.7378	    6.9852	
  -35.0000	1.453E-11	1.439E-11	2.109E+9	1.865E+8	   23.0759	   23.4251	   34.7343	    6.9877	
  -40.0000	1.342E-11	1.328E-11	2.113E+9	1.915E+8	   23.0733	   23.4259	   34.7318	    6.9872	
  -45.0000	1.245E-11	1.233E-11	2.149E+9	1.916E+8	   23.0759	   23.4241	   34.7486	    6.9928	
  -50.0000	1.185E-11	1.174E-11	2.237E+9	1.650E+8	   23.0759	   23.4235	   34.7388	    6.9880	
  -55.0000	1.146E-11	1.130E-11	1.906E+9	8.527E+7	   23.0759	   23.4209	   34.7426	    6.9874	
  -60.0000	1.103E-11	1.080E-11	1.118E+9	3.473E+7	   23.0759	   23.4229	   34.7410	    6.9885	
  -65.0000	1.073E-11	9.867E-12	5.734E+8	1.906E+7	   23.0759	   23.4259	   34.7426	    6.9918	
  -70.0000	1.036E-11	9.145E-12	2.978E+8	2.669E+7	   23.0759	   23.4240	   34.7423	    6.9900	
  -75.0000	9.551E-12	8.804E-12	2.116E+8	6.184E+7	   23.0759	   23.4198	   34.7328	    6.9823	
  -80.0000	8.865E-12	8.623E-12	4.274E+8	1.231E+8	   23.0759	   23.4234	   34.7413	    6.9891	
  -85.0000	8.627E-12	8.485E-12	8.076E+8	2.076E+8	   23.0759	   23.4247	   34.7438	    6.9912	
  -90.0000	8.463E-12	8.371E-12	1.367E+9	2.588E+8	   23.0759	   23.4192	   34.7413	    6.9854	
  -95.0000	8.346E-12	8.260E-12	1.541E+9	2.689E+8	   23.0759	   23.4201	   34.7473	    6.9887	
 -100.0000	8.247E-12	8.160E-12	1.586E+9	2.749E+8	   23.0759	   23.4212	   34.7400	    6.9866	
 -105.0000	8.154E-12	8.068E-12	1.689E+9	2.799E+8	   23.0759	   23.4248	   34.7249	    6.9834	
 -110.0000	8.066E-12	7.984E-12	1.717E+9	2.867E+8	   23.0785	   23.4301	   34.7385	    6.9937	
 -115.0000	7.991E-12	7.911E-12	1.749E+9	2.697E+8	   23.0759	   23.4253	   34.7470	    6.9931	
 -120.0000	7.919E-12	7.841E-12	2.005E+9	2.790E+8	   23.0759	   23.4270	   34.7378	    6.9908	
 -125.0000	7.841E-12	7.766E-12	1.957E+9	2.759E+8	   23.0759	   23.4241	   34.7271	    6.9837	
 -130.0000	7.776E-12	7.701E-12	2.022E+9	2.798E+8	   23.0759	   23.4235	   34.7277	    6.9835	
 -135.0000	7.719E-12	7.642E-12	2.079E+9	2.813E+8	   23.0759	   23.4234	   34.7264	    6.9828	
 -140.0000	7.659E-12	7.585E-12	2.102E+9	2.836E+8	   23.0759	   23.4255	   34.7252	    6.9841	
 -145.0000	7.613E-12	7.533E-12	2.103E+9	2.865E+8	   23.0759	   23.4226	   34.7233	    6.9808	
 -150.0000	7.560E-12	7.483E-12	2.276E+9	2.872E+8	   23.0759	   23.4256	   34.7163	    6.9805	
 -155.0000	7.514E-12	7.436E-12	2.193E+9	2.883E+8	   23.0759	   23.4162	   34.7245	    6.9757	
 -160.0000	7.470E-12	7.391E-12	2.324E+9	2.868E+8	   23.0759	   23.4174	   34.7318	    6.9798	
 -165.0000	7.426E-12	7.348E-12	2.264E+9	2.898E+8	   23.0759	   23.4250	   34.7109	    6.9777	
 -170.0000	7.380E-12	7.307E-12	2.336E+9	2.895E+8	   23.0785	   23.4224	   34.7182	    6.9785	
 -175.0000	7.347E-12	7.269E-12	2.362E+9	2.908E+8	   23.0785	   23.4235	   34.7087	    6.9754	
 -180.0000	7.310E-12	7.231E-12	2.291E+9	2.902E+8	   23.0759	   23.4215	   34.7214	    6.9790	
 -185.0000	7.273E-12	7.195E-12	2.333E+9	2.910E+8	   23.0785	   23.4236	   34.7040	    6.9736	
 -190.0000	7.238E-12	7.160E-12	2.431E+9	2.896E+8	   23.0759	   23.4176	   34.7081	    6.9700	
 -195.0000	7.201E-12	7.125E-12	2.383E+9	2.921E+8	   23.0785	   23.4209	   34.7113	    6.9743	
 -200.0000	7.166E-12	7.092E-12	2.305E+9	2.906E+8	   23.0785	   23.4241	   34.7135	    6.9780	
 -205.0000	7.137E-12	7.060E-12	2.467E+9	2.931E+8	   23.0759	   23.4265	   34.7084	    6.9780	
 -210.0000	7.102E-12	7.028E-12	2.480E+9	2.921E+8	   23.0785	   23.4261	   34.7068	    6.9770	
 -215.0000	7.076E-12	6.996E-12	2.421E+9	2.903E+8	   23.0785	   23.4233	   34.7116	    6.9765	
 -220.0000	7.043E-12	6.965E-12	2.450E+9	2.916E+8	   23.0785	   23.4233	   34.7160	    6.9783	
 -225.0000	7.011E-12	6.936E-12	2.520E+9	2.932E+8	   23.0785	   23.4231	   34.7049	    6.9735	
 -230.0000	6.980E-12	6.908E-12	2.714E+9	2.923E+8	   23.0785	   23.4261	   34.7034	    6.9755	
 -235.0000	6.951E-12	6.880E-12	2.655E+9	2.942E+8	   23.0785	   23.4276	   34.7024	    6.9764	
 -240.0000	6.932E-12	6.856E-12	2.679E+9	2.955E+8	   23.0785	   23.4222	   34.7027	    6.9719	
 -245.0000	6.905E-12	6.834E-12	2.661E+9	2.964E+8	   23.0785	   23.4203	   34.7087	    6.9727	
 -250.0000	6.890E-12	6.817E-12	2.724E+9	2.949E+8	   23.0785	   23.4237	   34.7071	    6.9750	
 -255.0000	6.873E-12	6.805E-12	2.666E+9	2.963E+8	   23.0785	   23.4198	   34.7021	    6.9695	
 -260.0000	6.867E-12	6.796E-12	2.785E+9	2.984E+8	   23.0785	   23.4212	   34.7081	    6.9732	
 -265.0000	6.860E-12	6.789E-12	2.895E+9	2.984E+8	   23.0785	   23.4224	   34.6939	    6.9683	
 -270.0000	6.855E-12	6.783E-12	2.651E+9	2.996E+8	   23.0810	   23.4254	   34.6948	    6.9713	
 -275.0000	6.848E-12	6.780E-12	2.866E+9	2.990E+8	   23.0810	   23.4246	   34.6983	    6.9720	
 -280.0000	6.845E-12	6.776E-12	2.814E+9	2.989E+8	   23.0785	   23.4216	   34.6872	    6.9648	
 -285.0000	6.844E-12	6.773E-12	2.604E+9	2.992E+8	   23.0785	   23.4217	   34.6888	    6.9655	
 -290.0000	6.840E-12	6.771E-12	2.802E+9	2.978E+8	   23.0810	   23.4208	   34.6929	    6.9665	
 -295.0000	6.839E-12	6.769E-12	2.603E+9	2.992E+8	   23.0810	   23.4221	   34.6882	    6.9657	
 -300.0000	6.838E-12	6.767E-12	2.709E+9	3.003E+8	   23.0785	   23.4237	   34.6828	    6.9648	
 -305.0000	6.837E-12	6.765E-12	2.804E+9	2.999E+8	   23.0785	   23.4239	   34.6727	    6.9607	
 -310.0000	6.833E-12	6.763E-12	2.819E+9	2.982E+8	   23.0785	   23.4237	   34.6844	    6.9654	
 -315.0000	6.834E-12	6.762E-12	2.717E+9	2.996E+8	   23.0785	   23.4232	   34.6863	    6.9658	
 -320.0000	6.827E-12	6.761E-12	2.690E+9	2.992E+8	   23.0785	   23.4242	   34.6945	    6.9701	
 -325.0000	6.829E-12	6.759E-12	2.716E+9	2.999E+8	   23.0785	   23.4230	   34.6822	    6.9639	
 -330.0000	6.824E-12	6.759E-12	2.769E+9	2.977E+8	   23.0810	   23.4189	   34.6799	    6.9593	
 -335.0000	6.829E-12	6.757E-12	3.076E+9	3.003E+8	   23.0785	   23.4216	   34.6803	    6.9619	
 -340.0000	6.826E-12	6.757E-12	2.802E+9	3.013E+8	   23.0785	   23.4252	   34.6733	    6.9621	
 -345.0000	6.826E-12	6.756E-12	2.814E+9	2.999E+8	   23.0810	   23.4231	   34.6660	    6.9572	
 -350.0000	6.825E-12	6.755E-12	2.702E+9	2.992E+8	   23.0785	   23.4242	   34.6708	    6.9602	
 -355.0000	6.825E-12	6.754E-12	2.752E+9	2.989E+8	   23.0810	   23.4223	   34.6670	    6.9569	
 -360.0000	6.822E-12	6.754E-12	2.842E+9	2.995E+8	   23.0785	   23.4236	   34.6714	    6.9599	
 -365.0000	6.821E-12	6.753E-12	2.836E+9	3.001E+8	   23.0785	   23.4251	   34.6679	    6.9598	
 -370.0000	6.821E-12	6.752E-12	2.837E+9	2.986E+8	   23.0810	   23.4241	   34.6739	    6.9614	
 -375.0000	6.824E-12	6.752E-12	2.808E+9	2.999E+8	   23.0810	   23.4223	   34.6664	    6.9566	
 -380.0000	6.823E-12	6.751E-12	2.893E+9	2.989E+8	   23.0810	   23.4226	   34.6667	    6.9571	
 -385.0000	6.820E-12	6.750E-12	2.799E+9	3.003E+8	   23.0810	   23.4260	   34.6651	    6.9594	
 -390.0000	6.818E-12	6.750E-12	2.809E+9	2.993E+8	   23.0785	   23.4214	   34.6720	    6.9582	
 -395.0000	6.822E-12	6.749E-12	2.793E+9	2.991E+8	   23.0810	   23.4214	   34.6553	    6.9512	
 -400.0000	6.822E-12	6.749E-12	2.558E+9	2.986E+8	   23.0785	   23.4214	   34.6559	    6.9515	
 -410.0000	6.818E-12	6.748E-12	2.782E+9	2.996E+8	   23.0810	   23.4224	   34.6632	    6.9554	
 -420.0000	6.817E-12	6.747E-12	2.809E+9	3.006E+8	   23.0785	   23.4259	   34.6645	    6.9590	
 -430.0000	6.816E-12	6.746E-12	2.753E+9	2.984E+8	   23.0810	   23.4210	   34.6600	    6.9529	
 -440.0000	6.815E-12	6.746E-12	2.910E+9	3.000E+8	   23.0810	   23.4274	   34.6629	    6.9597	
 -450.0000	6.818E-12	6.745E-12	2.862E+9	3.002E+8	   23.0810	   23.4281	   34.6531	    6.9561	
 -460.0000	6.810E-12	6.745E-12	2.781E+9	2.991E+8	   23.0810	   23.4229	   34.6537	    6.9519	
 -470.0000	6.812E-12	6.744E-12	2.771E+9	2.990E+8	   23.0810	   23.4247	   34.6458	    6.9501	
 -480.0000	6.810E-12	6.746E-12	2.807E+9	3.062E+8	   23.0810	   23.4226	   34.6490	    6.9496	
 -490.0000	6.815E-12	6.746E-12	2.923E+9	3.057E+8	   23.0810	   23.4269	   34.6512	    6.9543	
 -500.0000	6.815E-12	6.743E-12	2.810E+9	2.993E+8	   23.0810	   23.4257	   34.6537	    6.9543	
 -510.0000	6.812E-12	6.742E-12	2.757E+9	2.998E+8	   23.0810	   23.4225	   34.6499	    6.9499	
 -520.0000	6.812E-12	6.741E-12	2.705E+9	3.000E+8	   23.0810	   23.4254	   34.6486	    6.9519	
 -530.0000	6.810E-12	6.741E-12	2.666E+9	2.997E+8	   23.0810	   23.4275	   34.6467	    6.9529	
 -540.0000	6.808E-12	6.740E-12	2.833E+9	2.999E+8	   23.0810	   23.4288	   34.6344	    6.9489	
 -550.0000	6.812E-12	6.741E-12	2.703E+9	2.989E+8	   23.0810	   23.4246	   34.6515	    6.9524	
 -560.0000	6.809E-12	6.740E-12	2.715E+9	2.987E+8	   23.0810	   23.4260	   34.6483	    6.9523	
 -570.0000	6.810E-12	6.740E-12	2.819E+9	3.004E+8	   23.0810	   23.4294	   34.6467	    6.9546	
 -580.0000	6.810E-12	6.739E-12	2.806E+9	2.984E+8	   23.0810	   23.4242	   34.6477	    6.9505	
 -590.0000	6.812E-12	6.739E-12	2.657E+9	3.006E+8	   23.0810	   23.4232	   34.6388	    6.9458	
 -600.0000	6.811E-12	6.739E-12	2.690E+9	3.002E+8	   23.0836	   23.4279	   34.6486	    6.9541	
