GCD Test
Bias: 5000.000000
CV_34330_048_2-S_HM_XX_DIODEHALF
Date/Time: 9/10/2021 10:03:37 AM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqfreq1000.0	LCR_Rp_freqfreq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	3.286E-11	1.326E+9	   21.0130	   22.4962	   12.4282	   -7.8530	
  -10.0000	2.358E-11	2.137E+9	   21.0130	   22.4962	   12.4282	   -7.8530	
  -15.0000	1.943E-11	2.423E+9	   20.2432	   22.4692	   12.0705	   -8.2491	
  -20.0000	1.724E-11	2.708E+9	   19.9369	   22.4569	   11.8849	   -8.4572	
  -25.0000	1.574E-11	2.554E+9	   19.9369	   22.4569	   11.8849	   -8.4572	
  -30.0000	1.462E-11	2.723E+9	   19.6718	   22.4187	   11.6319	   -8.7619	
  -35.0000	1.386E-11	2.341E+9	   19.6564	   22.4065	   11.5569	   -8.8538	
  -40.0000	1.326E-11	2.137E+9	   19.6564	   22.4023	   11.4741	   -8.9487	
  -45.0000	1.276E-11	9.393E+8	   19.6667	   22.3895	   11.4118	   -9.0281	
  -50.0000	1.167E-11	1.467E+8	   19.6821	   22.3842	   11.3523	   -9.0987	
  -55.0000	9.896E-12	9.101E+8	   19.7002	   22.3747	   11.2868	   -9.1796	
  -60.0000	9.667E-12	2.259E+9	   19.7233	   22.3701	   11.2400	   -9.2359	
  -65.0000	9.467E-12	2.491E+9	   19.7465	   22.3670	   11.1907	   -9.2942	
  -70.0000	9.293E-12	2.593E+9	   19.7722	   22.3574	   11.1417	   -9.3574	
  -75.0000	9.136E-12	2.728E+9	   19.7954	   22.3517	   11.0762	   -9.4366	
  -80.0000	8.994E-12	3.010E+9	   19.8185	   22.3500	   11.0427	   -9.4764	
  -85.0000	8.869E-12	2.951E+9	   19.8443	   22.3526	   10.9937	   -9.5308	
  -90.0000	8.750E-12	3.285E+9	   19.8674	   22.3529	   10.9576	   -9.5722	
  -95.0000	8.640E-12	3.165E+9	   19.8932	   22.3455	   10.9108	   -9.6321	
 -100.0000	8.543E-12	3.148E+9	   19.9138	   22.3379	   10.8744	   -9.6803	
 -105.0000	8.451E-12	2.945E+9	   19.9344	   22.3301	   10.8346	   -9.7327	
 -110.0000	8.366E-12	2.970E+9	   19.9498	   22.3290	   10.7982	   -9.7761	
 -115.0000	8.283E-12	3.222E+9	   19.9627	   22.3252	   10.7739	   -9.8076	
 -120.0000	8.206E-12	3.503E+9	   19.9678	   22.3251	   10.7394	   -9.8483	
 -125.0000	8.136E-12	3.509E+9	   19.9678	   22.3251	   10.7394	   -9.8483	
 -130.0000	8.074E-12	3.160E+9	   19.9678	   22.3178	   10.6613	   -9.9461	
 -135.0000	8.011E-12	3.325E+9	   19.9627	   22.3130	   10.6341	   -9.9821	
 -140.0000	7.950E-12	3.495E+9	   19.9550	   22.3114	   10.6129	  -10.0084	
 -145.0000	7.893E-12	3.259E+9	   19.9498	   22.3031	   10.5860	  -10.0468	
 -150.0000	7.841E-12	3.233E+9	   19.9447	   22.2950	   10.5443	  -10.1029	
 -155.0000	7.789E-12	3.389E+9	   19.9421	   22.2948	   10.5313	  -10.1186	
 -160.0000	7.740E-12	3.402E+9	   19.9472	   22.2875	   10.4839	  -10.1811	
 -165.0000	7.696E-12	3.375E+9	   19.9575	   22.2916	   10.4674	  -10.1978	
 -170.0000	7.652E-12	3.681E+9	   19.9678	   22.2872	   10.4396	  -10.2347	
 -175.0000	7.606E-12	3.346E+9	   19.9807	   22.2812	   10.4143	  -10.2699	
 -180.0000	7.567E-12	3.158E+9	   19.9936	   22.2805	   10.3934	  -10.2957	
 -185.0000	7.529E-12	3.348E+9	   20.0039	   22.2780	   10.3716	  -10.3241	
 -190.0000	7.491E-12	3.533E+9	   20.0116	   22.2801	   10.3504	  -10.3482	
 -195.0000	7.455E-12	3.274E+9	   20.0193	   22.2754	   10.3491	  -10.3533	
 -200.0000	7.422E-12	3.463E+9	   20.0193	   22.2770	   10.3156	  -10.3929	
 -205.0000	7.386E-12	3.384E+9	   20.0167	   22.2779	   10.3039	  -10.4066	
 -210.0000	7.354E-12	3.297E+9	   20.0090	   22.2705	   10.2732	  -10.4497	
 -215.0000	7.325E-12	3.387E+9	   20.0013	   22.2720	   10.2559	  -10.4699	
 -220.0000	7.292E-12	3.189E+9	   19.9910	   22.2671	   10.2385	  -10.4950	
 -225.0000	7.263E-12	3.650E+9	   19.9833	   22.2698	   10.2239	  -10.5108	
 -230.0000	7.235E-12	3.555E+9	   19.9730	   22.2694	   10.2135	  -10.5239	
 -235.0000	7.204E-12	3.256E+9	   19.9704	   22.2694	   10.1913	  -10.5512	
 -240.0000	7.178E-12	3.403E+9	   19.9678	   22.2581	   10.1762	  -10.5786	
 -245.0000	7.151E-12	3.389E+9	   19.9730	   22.2565	   10.1578	  -10.6024	
 -250.0000	7.126E-12	3.486E+9	   19.9730	   22.2565	   10.1578	  -10.6024	
 -255.0000	7.101E-12	3.491E+9	   19.9833	   22.2459	   10.1436	  -10.6282	
 -260.0000	7.076E-12	3.252E+9	   20.0013	   22.2406	   10.1091	  -10.6749	
 -265.0000	7.052E-12	3.286E+9	   20.0116	   22.2442	   10.1006	  -10.6828	
 -270.0000	7.026E-12	3.219E+9	   20.0219	   22.2451	   10.0844	  -10.7022	
 -275.0000	7.005E-12	3.626E+9	   20.0270	   22.2446	   10.0636	  -10.7285	
 -280.0000	6.979E-12	3.329E+9	   20.0322	   22.2473	   10.0490	  -10.7446	
 -285.0000	6.960E-12	3.221E+9	   20.0296	   22.2443	   10.0357	  -10.7635	
 -290.0000	6.939E-12	3.135E+9	   20.0245	   22.2448	   10.0111	  -10.7940	
 -295.0000	6.916E-12	3.306E+9	   20.0142	   22.2375	    9.9981	  -10.8158	
 -300.0000	6.897E-12	3.419E+9	   20.0064	   22.2393	    9.9753	  -10.8430	
 -305.0000	6.885E-12	3.131E+9	   19.9910	   22.2348	    9.9684	  -10.8552	
 -310.0000	6.877E-12	3.230E+9	   19.9807	   22.2324	    9.9409	  -10.8916	
 -315.0000	6.869E-12	3.222E+9	   19.9704	   22.2377	    9.9304	  -10.9008	
 -320.0000	6.863E-12	3.462E+9	   19.9704	   22.2377	    9.9304	  -10.9008	
 -325.0000	6.855E-12	3.429E+9	   19.9653	   22.2305	    9.9121	  -10.9294	
 -330.0000	6.850E-12	3.264E+9	   19.9653	   22.2278	    9.9029	  -10.9431	
 -335.0000	6.846E-12	3.183E+9	   19.9704	   22.2280	    9.8830	  -10.9681	
 -340.0000	6.842E-12	3.327E+9	   19.9833	   22.2280	    9.8621	  -10.9946	
 -345.0000	6.837E-12	3.234E+9	   20.0116	   22.2277	    9.8431	  -11.0189	
 -350.0000	6.837E-12	3.438E+9	   20.0270	   22.2238	    9.8254	  -11.0445	
 -355.0000	6.831E-12	3.474E+9	   20.0347	   22.2248	    9.8099	  -11.0634	
 -360.0000	6.832E-12	3.245E+9	   20.0399	   22.2244	    9.8188	  -11.0525	
 -365.0000	6.826E-12	3.091E+9	   20.0399	   22.2233	    9.7900	  -11.0900	
 -370.0000	6.824E-12	3.310E+9	   20.0322	   22.2246	    9.7666	  -11.1189	
 -375.0000	6.823E-12	3.267E+9	   20.0219	   22.2210	    9.7739	  -11.1124	
 -380.0000	6.823E-12	3.169E+9	   20.0064	   22.2243	    9.7606	  -11.1268	
 -385.0000	6.821E-12	3.430E+9	   19.9910	   22.2181	    9.7309	  -11.1697	
 -390.0000	6.817E-12	3.374E+9	   19.9755	   22.2150	    9.7280	  -11.1757	
 -395.0000	6.816E-12	3.316E+9	   19.9601	   22.2167	    9.7166	  -11.1890	
 -400.0000	6.815E-12	3.252E+9	   19.9550	   22.2133	    9.6983	  -11.2152	
 -410.0000	6.812E-12	3.357E+9	   19.9524	   22.2090	    9.6929	  -11.2255	
 -420.0000	6.812E-12	3.220E+9	   19.9575	   22.2062	    9.6736	  -11.2525	
