GCD Test
Bias: 5000.000000
IV_34340_007_PSS_HM_XX_DIODEHALF
Date/Time: 4/23/2021 2:18:21 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-1.439890E-10	-1.439890E-10	   23.0115	   23.2368	   16.3909	   -3.6402	
  -10.0000	-1.480560E-10	-1.480560E-10	   23.0115	   23.2368	   16.3909	   -3.6402	
  -15.0000	-1.493665E-10	-1.493665E-10	   23.0115	   23.2361	   16.4020	   -3.6318	
  -20.0000	-1.525787E-10	-1.525787E-10	   23.0115	   23.2361	   16.4020	   -3.6318	
  -25.0000	-1.544310E-10	-1.544310E-10	   23.0115	   23.2327	   16.4102	   -3.6278	
  -30.0000	-1.576242E-10	-1.576242E-10	   23.0115	   23.2327	   16.4102	   -3.6278	
  -35.0000	-1.617158E-10	-1.617158E-10	   23.0115	   23.2347	   16.4045	   -3.6308	
  -40.0000	-1.658023E-10	-1.658023E-10	   23.0115	   23.2347	   16.4045	   -3.6308	
  -45.0000	-1.710765E-10	-1.710765E-10	   23.0115	   23.2347	   16.4089	   -3.6273	
  -50.0000	-1.779771E-10	-1.779771E-10	   23.0115	   23.2356	   16.4092	   -3.6263	
  -55.0000	-1.819838E-10	-1.819838E-10	   23.0115	   23.2356	   16.4092	   -3.6263	
  -60.0000	-1.861185E-10	-1.861185E-10	   23.0115	   23.2356	   16.4225	   -3.6155	
  -65.0000	-1.882796E-10	-1.882796E-10	   23.0115	   23.2356	   16.4225	   -3.6155	
  -70.0000	-1.906098E-10	-1.906098E-10	   23.0115	   23.2339	   16.4137	   -3.6241	
  -75.0000	-1.937175E-10	-1.937175E-10	   23.0115	   23.2339	   16.4137	   -3.6241	
  -80.0000	-1.957540E-10	-1.957540E-10	   23.0115	   23.2350	   16.4175	   -3.6201	
  -85.0000	-1.971112E-10	-1.971112E-10	   23.0115	   23.2343	   16.4200	   -3.6185	
  -90.0000	-1.980299E-10	-1.980299E-10	   23.0115	   23.2343	   16.4200	   -3.6185	
  -95.0000	-1.979999E-10	-1.979999E-10	   23.0115	   23.2343	   16.4200	   -3.6185	
 -100.0000	-1.985506E-10	-1.985506E-10	   23.0089	   23.2343	   16.4181	   -3.6201	
 -105.0000	-1.995793E-10	-1.995793E-10	   23.0089	   23.2343	   16.4181	   -3.6201	
 -110.0000	-1.996753E-10	-1.996753E-10	   23.0115	   23.2335	   16.4317	   -3.6097	
 -115.0000	-2.004414E-10	-2.004414E-10	   23.0115	   23.2358	   16.4317	   -3.6078	
 -120.0000	-2.004051E-10	-2.004051E-10	   23.0115	   23.2358	   16.4317	   -3.6078	
 -125.0000	-2.010989E-10	-2.010989E-10	   23.0115	   23.2358	   16.4317	   -3.6078	
 -130.0000	-2.014940E-10	-2.014940E-10	   23.0089	   23.2323	   16.4434	   -3.6011	
 -135.0000	-2.015588E-10	-2.015588E-10	   23.0089	   23.2346	   16.4602	   -3.5857	
 -140.0000	-2.019468E-10	-2.019468E-10	   23.0089	   23.2346	   16.4602	   -3.5857	
 -145.0000	-2.022347E-10	-2.022347E-10	   23.0089	   23.2335	   16.4535	   -3.5920	
 -150.0000	-2.026664E-10	-2.026664E-10	   23.0089	   23.2335	   16.4535	   -3.5920	
 -155.0000	-2.025219E-10	-2.025219E-10	   23.0089	   23.2329	   16.4646	   -3.5835	
 -160.0000	-2.036356E-10	-2.036356E-10	   23.0115	   23.2350	   16.4602	   -3.5854	
 -165.0000	-2.029658E-10	-2.029658E-10	   23.0115	   23.2350	   16.4602	   -3.5854	
 -170.0000	-2.034659E-10	-2.034659E-10	   23.0089	   23.2331	   16.4681	   -3.5805	
 -175.0000	-2.050469E-10	-2.050469E-10	   23.0089	   23.2331	   16.4681	   -3.5805	
 -180.0000	-2.042478E-10	-2.042478E-10	   23.0115	   23.2340	   16.4636	   -3.5834	
 -185.0000	-2.048220E-10	-2.048220E-10	   23.0115	   23.2340	   16.4636	   -3.5834	
 -190.0000	-2.042231E-10	-2.042231E-10	   23.0115	   23.2309	   16.4668	   -3.5833	
 -195.0000	-2.048678E-10	-2.048678E-10	   23.0115	   23.2324	   16.4665	   -3.5824	
 -200.0000	-2.061275E-10	-2.061275E-10	   23.0115	   23.2324	   16.4665	   -3.5824	
 -205.0000	-2.050744E-10	-2.050744E-10	   23.0089	   23.2297	   16.4738	   -3.5787	
 -210.0000	-2.063594E-10	-2.063594E-10	   23.0089	   23.2297	   16.4738	   -3.5787	
 -215.0000	-2.066282E-10	-2.066282E-10	   23.0089	   23.2300	   16.4700	   -3.5815	
 -220.0000	-2.072361E-10	-2.072361E-10	   23.0115	   23.2349	   16.4690	   -3.5783	
 -225.0000	-2.068544E-10	-2.068544E-10	   23.0115	   23.2349	   16.4690	   -3.5783	
 -230.0000	-2.080238E-10	-2.080238E-10	   23.0115	   23.2349	   16.4690	   -3.5783	
 -235.0000	-2.084540E-10	-2.084540E-10	   23.0089	   23.2394	   16.4848	   -3.5619	
 -240.0000	-2.080859E-10	-2.080859E-10	   23.0089	   23.2394	   16.4848	   -3.5619	
 -245.0000	-2.084052E-10	-2.084052E-10	   23.0089	   23.2307	   16.4677	   -3.5827	
 -250.0000	-2.090651E-10	-2.090651E-10	   23.0089	   23.2361	   16.4734	   -3.5738	
 -255.0000	-2.093662E-10	-2.093662E-10	   23.0089	   23.2361	   16.4734	   -3.5738	
 -260.0000	-2.105850E-10	-2.105850E-10	   23.0115	   23.2361	   16.4883	   -3.5617	
 -265.0000	-2.099382E-10	-2.099382E-10	   23.0115	   23.2361	   16.4883	   -3.5617	
 -270.0000	-2.098684E-10	-2.098684E-10	   23.0115	   23.2362	   16.4763	   -3.5714	
 -275.0000	-2.108966E-10	-2.108966E-10	   23.0089	   23.2329	   16.4779	   -3.5728	
 -280.0000	-2.108801E-10	-2.108801E-10	   23.0089	   23.2329	   16.4779	   -3.5728	
 -285.0000	-2.109182E-10	-2.109182E-10	   23.0115	   23.2316	   16.4804	   -3.5717	
 -290.0000	-2.109630E-10	-2.109630E-10	   23.0115	   23.2316	   16.4804	   -3.5717	
 -295.0000	-2.114754E-10	-2.114754E-10	   23.0089	   23.2334	   16.4687	   -3.5798	
 -300.0000	-2.116788E-10	-2.116788E-10	   23.0089	   23.2334	   16.4687	   -3.5798	
 -305.0000	-2.122480E-10	-2.122480E-10	   23.0115	   23.2331	   16.4823	   -3.5690	
 -310.0000	-2.123277E-10	-2.123277E-10	   23.0089	   23.2331	   16.4731	   -3.5764	
 -315.0000	-2.129249E-10	-2.129249E-10	   23.0089	   23.2331	   16.4731	   -3.5764	
 -320.0000	-2.126010E-10	-2.126010E-10	   23.0089	   23.2334	   16.4738	   -3.5757	
 -325.0000	-2.131899E-10	-2.131899E-10	   23.0089	   23.2334	   16.4738	   -3.5757	
 -330.0000	-2.127983E-10	-2.127983E-10	   23.0089	   23.2339	   16.4807	   -3.5696	
 -335.0000	-2.132402E-10	-2.132402E-10	   23.0089	   23.2339	   16.4807	   -3.5696	
 -340.0000	-2.132683E-10	-2.132683E-10	   23.0089	   23.2311	   16.4877	   -3.5662	
 -345.0000	-2.133573E-10	-2.133573E-10	   23.0115	   23.2334	   16.4801	   -3.5706	
 -350.0000	-2.140015E-10	-2.140015E-10	   23.0115	   23.2334	   16.4801	   -3.5706	
 -355.0000	-2.146253E-10	-2.146253E-10	   23.0115	   23.2330	   16.4782	   -3.5724	
 -360.0000	-2.144795E-10	-2.144795E-10	   23.0115	   23.2330	   16.4782	   -3.5724	
 -365.0000	-2.148100E-10	-2.148100E-10	   23.0089	   23.2346	   16.4861	   -3.5647	
 -370.0000	-2.149823E-10	-2.149823E-10	   23.0115	   23.2349	   16.4921	   -3.5597	
 -375.0000	-2.153942E-10	-2.153942E-10	   23.0115	   23.2349	   16.4921	   -3.5597	
 -380.0000	-2.156889E-10	-2.156889E-10	   23.0089	   23.2362	   16.4855	   -3.5640	
 -385.0000	-2.154115E-10	-2.154115E-10	   23.0089	   23.2362	   16.4855	   -3.5640	
 -390.0000	-2.158201E-10	-2.158201E-10	   23.0115	   23.2321	   16.4975	   -3.5575	
 -395.0000	-2.160656E-10	-2.160656E-10	   23.0115	   23.2321	   16.4975	   -3.5575	
 -400.0000	-2.163536E-10	-2.163536E-10	   23.0115	   23.2365	   16.4911	   -3.5591	
 -410.0000	-2.169018E-10	-2.169018E-10	   23.0089	   23.2333	   16.4930	   -3.5602	
 -420.0000	-2.166203E-10	-2.166203E-10	   23.0089	   23.2333	   16.4930	   -3.5602	
 -430.0000	-2.168706E-10	-2.168706E-10	   23.0089	   23.2369	   16.4902	   -3.5595	
 -440.0000	-2.182059E-10	-2.182059E-10	   23.0089	   23.2369	   16.4902	   -3.5595	
 -450.0000	-2.179680E-10	-2.179680E-10	   23.0089	   23.2357	   16.4924	   -3.5587	
 -460.0000	-2.186700E-10	-2.186700E-10	   23.0089	   23.2340	   16.4763	   -3.5732	
 -470.0000	-2.190835E-10	-2.190835E-10	   23.0089	   23.2340	   16.4763	   -3.5732	
 -480.0000	-2.189818E-10	-2.189818E-10	   23.0089	   23.2358	   16.4829	   -3.5663	
