GCD Test
Bias: 5000.000000
CV_34341_012_PSS_HM_XX_DIODEQUARTER
Date/Time: 6/30/2021 2:05:52 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.630E-11	1.887E+9	   20.1274	   16.7661	    8.1505	  -17.4422	
  -10.0000	1.296E-11	2.101E+9	   20.1763	   16.7659	    8.1464	  -17.4483	
  -15.0000	1.140E-11	2.093E+9	   20.1763	   16.7636	    8.1505	  -17.4440	
  -20.0000	1.043E-11	2.148E+9	   20.1068	   16.7561	    8.1360	  -17.4707	
  -25.0000	9.746E-12	2.145E+9	   19.9627	   16.7561	    8.1312	  -17.4776	
  -30.0000	9.241E-12	2.139E+9	   19.8494	   16.7435	    8.1344	  -17.4825	
  -35.0000	8.810E-12	2.206E+9	   19.7413	   16.7346	    8.1376	  -17.4846	
  -40.0000	8.447E-12	2.233E+9	   19.6718	   16.7317	    8.1357	  -17.4895	
  -45.0000	8.143E-12	2.196E+9	   19.6410	   16.7206	    8.1363	  -17.4969	
  -50.0000	7.862E-12	2.149E+9	   19.6616	   16.7294	    8.1442	  -17.4789	
  -55.0000	7.602E-12	2.096E+9	   19.7259	   16.7316	    8.1423	  -17.4800	
  -60.0000	7.351E-12	2.222E+9	   19.8134	   16.7380	    8.1512	  -17.4623	
  -65.0000	7.104E-12	2.295E+9	   19.9086	   16.7489	    8.1493	  -17.4568	
  -70.0000	6.850E-12	2.219E+9	   20.0167	   16.7525	    8.1496	  -17.4537	
  -75.0000	6.618E-12	2.306E+9	   20.0939	   16.7733	    8.1648	  -17.4161	
  -80.0000	6.434E-12	2.274E+9	   20.1557	   16.7831	    8.1638	  -17.4102	
  -85.0000	6.293E-12	2.222E+9	   20.1815	   16.7699	    8.1597	  -17.4260	
  -90.0000	6.203E-12	2.270E+9	   20.1686	   16.7661	    8.1572	  -17.4325	
  -95.0000	6.143E-12	2.243E+9	   20.1197	   16.7563	    8.1597	  -17.4362	
 -100.0000	6.099E-12	2.314E+9	   20.0322	   16.7441	    8.1695	  -17.4312	
 -105.0000	6.058E-12	1.871E+9	   19.9369	   16.7294	    8.1771	  -17.4312	
 -110.0000	5.901E-12	5.358E+8	   19.8366	   16.7309	    8.1632	  -17.4502	
 -115.0000	5.258E-12	2.008E+9	   19.7336	   16.7314	    8.1853	  -17.4178	
 -120.0000	5.240E-12	2.044E+9	   19.6667	   16.7229	    8.1796	  -17.4324	
 -125.0000	5.221E-12	2.108E+9	   19.6435	   16.7174	    8.1958	  -17.4133	
 -130.0000	5.214E-12	2.140E+9	   19.6744	   16.7074	    8.2024	  -17.4112	
 -135.0000	5.198E-12	2.125E+9	   19.7439	   16.7141	    8.2043	  -17.4035	
 -140.0000	5.186E-12	2.157E+9	   19.8494	   16.7332	    8.2062	  -17.3863	
 -145.0000	5.170E-12	2.344E+9	   19.9884	   16.7332	    8.2211	  -17.3649	
 -150.0000	5.159E-12	2.255E+9	   20.0734	   16.7399	    8.2106	  -17.3750	
 -155.0000	5.151E-12	2.197E+9	   20.1377	   16.7432	    8.2230	  -17.3548	
 -160.0000	5.140E-12	2.233E+9	   20.1712	   16.7457	    8.2290	  -17.3442	
 -165.0000	5.129E-12	2.351E+9	   20.1145	   16.7457	    8.2201	  -17.3569	
 -170.0000	5.122E-12	2.373E+9	   20.0425	   16.7337	    8.2214	  -17.3641	
 -175.0000	5.109E-12	2.245E+9	   19.9575	   16.7298	    8.2113	  -17.3816	
 -180.0000	5.099E-12	2.358E+9	   19.8546	   16.7317	    8.2258	  -17.3593	
