GCD Test
Bias: 5000.000000
IV_34341_012_PSS_HM_XX_DIODEHALFPSTOP_GRConnected
Date/Time: 6/30/2021 1:36:28 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.8300E-10	1.8300E-10	-8.288007E-12	-8.288007E-12	   19.9292	   16.9389	   10.6252	  -13.8794	
  -10.0000	5.7000E-11	5.7000E-11	-8.888343E-12	-8.888343E-12	   19.9292	   16.9581	   10.6252	  -14.1152	
  -15.0000	1.1200E-10	1.1200E-10	-9.003848E-12	-9.003848E-12	   20.0528	   16.9723	   10.4023	  -14.3622	
  -20.0000	7.5000E-11	7.5000E-11	-9.213668E-12	-9.213668E-12	   20.1326	   16.9801	   10.1733	  -14.6263	
  -25.0000	9.5000E-11	9.5000E-11	-9.490714E-12	-9.490714E-12	   20.1943	   16.9949	    9.9614	  -14.8698	
  -30.0000	-4.8000E-11	-4.8000E-11	-1.006212E-11	-1.006212E-11	   20.2046	   17.0068	    9.7729	  -15.0915	
  -35.0000	-1.0000E-10	-1.0000E-10	-1.002729E-11	-1.002729E-11	   20.1789	   17.0255	    9.5848	  -15.3117	
  -40.0000	-4.5000E-11	-4.5000E-11	-1.012690E-11	-1.012690E-11	   20.1068	   17.0259	    9.4168	  -15.5242	
  -45.0000	-1.4500E-10	-1.4500E-10	-1.044347E-11	-1.044347E-11	   20.0116	   17.0101	    9.2834	  -15.7076	
  -50.0000	-1.5000E-10	-1.5000E-10	-1.046628E-11	-1.046628E-11	   19.8880	   17.0025	    9.1423	  -15.8971	
  -55.0000	-1.8100E-10	-1.8100E-10	-1.066653E-11	-1.066653E-11	   19.7671	   16.9935	    9.0215	  -16.0632	
  -60.0000	-1.4900E-10	-1.4900E-10	-1.117519E-11	-1.117519E-11	   19.6693	   16.9739	    8.9089	  -16.2282	
  -65.0000	-2.1200E-10	-2.1200E-10	-1.158180E-11	-1.158180E-11	   19.6127	   16.9849	    8.8156	  -16.3456	
  -70.0000	-1.7200E-10	-1.7200E-10	-1.238604E-11	-1.238604E-11	   19.6101	   16.9819	    8.7306	  -16.4636	
  -75.0000	-2.2500E-10	-2.2500E-10	-1.268387E-11	-1.268387E-11	   19.6538	   16.9791	    8.6724	  -16.5454	
  -80.0000	-2.2600E-10	-2.2600E-10	-1.283462E-11	-1.283462E-11	   19.7388	   16.9946	    8.6012	  -16.6319	
  -85.0000	-2.7900E-10	-2.7900E-10	-1.297029E-11	-1.297029E-11	   19.9241	   16.9946	    8.4937	  -16.6319	
  -90.0000	-2.8300E-10	-2.8300E-10	-1.307744E-11	-1.307744E-11	   19.9241	   17.0069	    8.4937	  -16.7722	
  -95.0000	-2.8200E-10	-2.8200E-10	-1.400595E-11	-1.400595E-11	   20.0425	   17.0137	    8.4554	  -16.8208	
 -100.0000	-2.1000E-10	-2.1000E-10	-1.412247E-11	-1.412247E-11	   20.1918	   17.0137	    8.3795	  -16.8208	
 -105.0000	-2.8500E-10	-2.8500E-10	-1.365190E-11	-1.365190E-11	   20.1918	   17.0366	    8.3795	  -16.9107	
 -110.0000	-2.7600E-10	-2.7600E-10	-1.376884E-11	-1.376884E-11	   20.2149	   17.0371	    8.3498	  -16.9525	
 -115.0000	-3.3200E-10	-3.3200E-10	-1.355168E-11	-1.355168E-11	   20.1429	   17.0371	    8.2998	  -16.9525	
 -120.0000	-2.2700E-10	-2.2700E-10	-1.398476E-11	-1.398476E-11	   20.1429	   17.0277	    8.2998	  -17.0308	
 -125.0000	-2.0900E-10	-2.0900E-10	-1.413348E-11	-1.413348E-11	   19.9447	   17.0056	    8.2638	  -17.0990	
 -130.0000	-3.1900E-10	-3.1900E-10	-1.423574E-11	-1.423574E-11	   19.7722	   17.0056	    8.2451	  -17.0990	
 -135.0000	-3.4000E-10	-3.4000E-10	-1.448956E-11	-1.448956E-11	   19.6435	   16.9993	    8.2201	  -17.1305	
 -140.0000	-2.8400E-10	-2.8400E-10	-1.424959E-11	-1.424959E-11	   19.5586	   16.9851	    8.2271	  -17.1772	
 -145.0000	-3.2900E-10	-3.2900E-10	-1.384991E-11	-1.384991E-11	   19.5586	   16.9737	    8.2271	  -17.1757	
 -150.0000	-4.2200E-10	-4.2200E-10	-1.445636E-11	-1.445636E-11	   19.5509	   16.9704	    8.2195	  -17.1892	
 -155.0000	-4.4600E-10	-4.4600E-10	-1.474318E-11	-1.474318E-11	   19.6049	   16.9675	    8.2097	  -17.2055	
 -160.0000	-4.1000E-10	-4.1000E-10	-1.515366E-11	-1.515366E-11	   19.7516	   16.9675	    8.2052	  -17.2055	
 -165.0000	-3.8500E-10	-3.8500E-10	-1.518319E-11	-1.518319E-11	   19.8494	   16.9726	    8.2119	  -17.2080	
 -170.0000	-3.4500E-10	-3.4500E-10	-1.593916E-11	-1.593916E-11	   19.9575	   16.9758	    8.2119	  -17.1961	
 -175.0000	-4.6200E-10	-4.6200E-10	-1.639650E-11	-1.639650E-11	   20.0399	   16.9883	    8.2005	  -17.1989	
 -180.0000	-4.8300E-10	-4.8300E-10	-1.594935E-11	-1.594935E-11	   20.0965	   16.9883	    8.1923	  -17.2031	
 -185.0000	-4.8900E-10	-4.8900E-10	-1.625410E-11	-1.625410E-11	   20.1145	   16.9998	    8.1787	  -17.2063	
 -190.0000	-5.0500E-10	-5.0500E-10	-1.620500E-11	-1.620500E-11	   20.1145	   17.0087	    8.1787	  -17.2194	
 -195.0000	-3.8400E-10	-3.8400E-10	-1.663666E-11	-1.663666E-11	   20.0811	   17.0021	    8.1673	  -17.2408	
 -200.0000	-4.7600E-10	-4.7600E-10	-1.629077E-11	-1.629077E-11	   20.0245	   16.9900	    8.1720	  -17.2430	
 -205.0000	-3.9800E-10	-3.9800E-10	-1.697116E-11	-1.697116E-11	   19.9550	   16.9831	    8.1588	  -17.2674	
 -210.0000	-4.7100E-10	-4.7100E-10	-1.707363E-11	-1.707363E-11	   19.8623	   16.9824	    8.1626	  -17.2624	
 -215.0000	-5.2800E-10	-5.2800E-10	-1.768068E-11	-1.768068E-11	   19.7825	   16.9632	    8.1613	  -17.2787	
 -220.0000	-4.0500E-10	-4.0500E-10	-1.747046E-11	-1.747046E-11	   19.7207	   16.9643	    8.1553	  -17.2865	
 -225.0000	-5.6300E-10	-5.6300E-10	-1.753911E-11	-1.753911E-11	   19.6976	   16.9643	    8.1578	  -17.2865	
 -230.0000	-5.6900E-10	-5.6900E-10	-1.836678E-11	-1.836678E-11	   19.6976	   16.9569	    8.1578	  -17.2884	
 -235.0000	-5.6800E-10	-5.6800E-10	-1.855461E-11	-1.855461E-11	   19.7516	   16.9707	    8.1584	  -17.2772	
 -240.0000	-6.1600E-10	-6.1600E-10	-1.889195E-11	-1.889195E-11	   19.8263	   16.9682	    8.1679	  -17.2653	
 -245.0000	-5.2900E-10	-5.2900E-10	-1.988219E-11	-1.988219E-11	   19.9266	   16.9689	    8.1613	  -17.2744	
 -250.0000	-5.9900E-10	-5.9900E-10	-1.947293E-11	-1.947293E-11	   20.0296	   16.9673	    8.1654	  -17.2696	
 -255.0000	-6.5400E-10	-6.5400E-10	-1.939878E-11	-1.939878E-11	   20.1171	   16.9673	    8.1509	  -17.2907	
 -260.0000	-6.6100E-10	-6.6100E-10	-1.953017E-11	-1.953017E-11	   20.1840	   16.9743	    8.1645	  -17.2657	
 -265.0000	-6.6200E-10	-6.6200E-10	-1.926596E-11	-1.926596E-11	   20.2201	   16.9844	    8.1591	  -17.2660	
 -270.0000	-6.3500E-10	-6.3500E-10	-1.931668E-11	-1.931668E-11	   20.2124	   16.9752	    8.1594	  -17.2724	
 -275.0000	-5.3300E-10	-5.3300E-10	-1.913334E-11	-1.913334E-11	   20.1042	   16.9752	    8.1540	  -17.2724	
 -280.0000	-4.9700E-10	-4.9700E-10	-1.853484E-11	-1.853484E-11	   20.1042	   16.9768	    8.1540	  -17.2790	
 -285.0000	-6.1100E-10	-6.1100E-10	-1.923541E-11	-1.923541E-11	   19.9833	   16.9608	    8.1452	  -17.3039	
 -290.0000	-6.0400E-10	-6.0400E-10	-1.874752E-11	-1.874752E-11	   19.8546	   16.9533	    8.1420	  -17.3141	
 -295.0000	-5.5200E-10	-5.5200E-10	-1.870861E-11	-1.870861E-11	   19.7388	   16.9444	    8.1395	  -17.3244	
 -300.0000	-6.7900E-10	-6.7900E-10	-1.876238E-11	-1.876238E-11	   19.6616	   16.9294	    8.1385	  -17.3371	
 -305.0000	-6.1200E-10	-6.1200E-10	-1.942872E-11	-1.942872E-11	   19.6255	   16.9306	    8.1385	  -17.3362	
 -310.0000	-7.0200E-10	-7.0200E-10	-1.882228E-11	-1.882228E-11	   19.6461	   16.9350	    8.1537	  -17.3108	
 -315.0000	-6.6900E-10	-6.6900E-10	-1.962755E-11	-1.962755E-11	   19.7156	   16.9377	    8.1496	  -17.3148	
 -320.0000	-6.2700E-10	-6.2700E-10	-1.951307E-11	-1.951307E-11	   19.8005	   16.9389	    8.1426	  -17.3240	
 -325.0000	-7.7400E-10	-7.7400E-10	-2.011034E-11	-2.011034E-11	   19.9086	   16.9578	    8.1502	  -17.2988	
 -330.0000	-7.0900E-10	-7.0900E-10	-2.002030E-11	-2.002030E-11	   20.0167	   16.9551	    8.1429	  -17.3114	
