GCD Test
Bias: 5000.000000
IV_34341_024_PSS_HM_XX_DIODEHALFPSTOP_Biased_Box
Date/Time: 7/22/2021 4:08:53 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-6.2900E-10	-6.2900E-10	-3.274739E-11	-3.274739E-11	   19.8288	   20.3181	   60.2034	   12.3534	
  -10.0000	-3.8300E-10	-3.8300E-10	-5.786354E-11	-5.786354E-11	   19.7954	   20.3561	   60.3273	   12.4205	
  -15.0000	-8.7800E-10	-8.7800E-10	-5.543778E-11	-5.543778E-11	   19.7851	   20.3620	   60.4946	   12.4681	
  -20.0000	-1.3670E-9	-1.3670E-9	-5.983364E-11	-5.983364E-11	   19.8185	   20.3620	   60.5772	   12.4681	
  -25.0000	-1.4980E-9	-1.4980E-9	-6.017566E-11	-6.017566E-11	   19.8185	   20.3620	   60.5772	   12.4889	
  -30.0000	-1.3590E-9	-1.3590E-9	-5.896016E-11	-5.896016E-11	   19.8855	   20.3966	   60.5582	   12.5167	
  -35.0000	-1.5490E-9	-1.5490E-9	-6.113516E-11	-6.113516E-11	   20.0013	   20.3966	   60.5478	   12.5167	
  -40.0000	-1.6400E-9	-1.6400E-9	-6.168273E-11	-6.168273E-11	   20.0013	   20.3580	   60.5478	   12.4778	
  -45.0000	-2.1360E-9	-2.1360E-9	-6.342198E-11	-6.342198E-11	   20.0914	   20.3637	   60.5313	   12.4790	
  -50.0000	-2.4460E-9	-2.4460E-9	-6.385078E-11	-6.385078E-11	   20.1634	   20.3588	   60.5114	   12.4694	
  -55.0000	-2.8720E-9	-2.8720E-9	-6.611908E-11	-6.611908E-11	   20.2329	   20.3588	   60.4842	   12.4694	
  -60.0000	-3.2790E-9	-3.2790E-9	-6.613071E-11	-6.613071E-11	   20.2329	   20.3644	   60.4842	   12.4678	
  -65.0000	-4.0770E-9	-4.0770E-9	-6.770763E-11	-6.770763E-11	   20.2407	   20.3627	   60.4690	   12.4624	
  -70.0000	-4.6860E-9	-4.6860E-9	-7.041166E-11	-7.041166E-11	   20.2201	   20.3425	   60.4478	   12.4381	
  -75.0000	-5.3880E-9	-5.3880E-9	-7.013014E-11	-7.013014E-11	   20.1403	   20.3425	   60.4696	   12.4381	
  -80.0000	-5.9500E-9	-5.9500E-9	-7.084108E-11	-7.084108E-11	   20.1403	   20.3425	   60.4696	   12.4436	
  -85.0000	-5.9460E-9	-5.9460E-9	-7.358589E-11	-7.358589E-11	   20.0450	   20.3839	   60.4285	   12.4721	
  -90.0000	-5.8510E-9	-5.8510E-9	-7.617603E-11	-7.617603E-11	   19.9550	   20.3584	   60.4339	   12.4495	
  -95.0000	-5.7200E-9	-5.7200E-9	-7.444653E-11	-7.444653E-11	   19.8391	   20.3584	   60.4105	   12.4495	
 -100.0000	-5.3930E-9	-5.3930E-9	-7.908930E-11	-7.908930E-11	   19.8391	   20.3584	   60.4105	   12.4436	
 -105.0000	-4.3530E-9	-4.3530E-9	-7.898968E-11	-7.898968E-11	   19.7696	   20.3160	   60.4690	   12.4185	
 -110.0000	-4.7350E-9	-4.7350E-9	-8.211702E-11	-8.211702E-11	   19.7362	   20.3503	   60.4345	   12.4421	
 -115.0000	-3.7460E-9	-3.7460E-9	-7.962567E-11	-7.962567E-11	   19.7336	   20.3474	   60.4200	   12.4356	
 -120.0000	-4.0500E-9	-4.0500E-9	-8.055601E-11	-8.055601E-11	   19.7722	   20.3661	   60.4118	   12.4511	
 -125.0000	-4.1260E-9	-4.1260E-9	-8.469971E-11	-8.469971E-11	   19.8417	   20.3925	   60.4367	   12.4823	
 -130.0000	-3.8590E-9	-3.8590E-9	-8.177012E-11	-8.177012E-11	   19.9447	   20.3587	   60.4001	   12.4412	
 -135.0000	-4.2800E-9	-4.2800E-9	-8.620410E-11	-8.620410E-11	   20.1300	   20.3587	   60.4001	   12.4412	
 -140.0000	-4.9300E-9	-4.9300E-9	-8.743286E-11	-8.743286E-11	   20.1300	   20.3460	   60.3925	   12.4274	
 -145.0000	-5.6420E-9	-5.6420E-9	-8.709267E-11	-8.709267E-11	   20.2304	   20.3460	   60.4007	   12.4295	
 -150.0000	-7.0460E-9	-7.0460E-9	-8.730576E-11	-8.730576E-11	   20.2896	   20.3562	   60.3767	   12.4330	
 -155.0000	-8.3670E-9	-8.3670E-9	-8.788693E-11	-8.788693E-11	   20.3230	   20.3588	   60.3257	   12.4226	
 -160.0000	-9.6170E-9	-9.6170E-9	-8.893582E-11	-8.893582E-11	   20.3102	   20.3532	   60.3134	   12.4142	
 -165.0000	-1.0370E-8	-1.0370E-8	-9.003077E-11	-9.003077E-11	   20.2664	   20.3648	   60.2498	   12.4091	
 -170.0000	-1.0510E-8	-1.0510E-8	-8.971585E-11	-8.971585E-11	   20.1866	   20.3681	   60.2106	   12.4023	
 -175.0000	-1.0790E-8	-1.0790E-8	-9.220744E-11	-9.220744E-11	   20.0631	   20.3681	   60.1992	   12.4023	
 -180.0000	-1.0890E-8	-1.0890E-8	-9.319645E-11	-9.319645E-11	   20.0631	   20.3723	   60.1992	   12.4034	
 -185.0000	-1.0510E-8	-1.0510E-8	-9.376500E-11	-9.376500E-11	   19.9498	   20.3723	   60.2340	   12.4034	
 -190.0000	-9.2720E-9	-9.2720E-9	-9.376436E-11	-9.376436E-11	   19.8649	   20.3451	   60.2128	   12.3866	
 -195.0000	-8.0330E-9	-8.0330E-9	-9.214568E-11	-9.214568E-11	   19.8108	   20.3657	   60.2128	   12.4006	
 -200.0000	-7.3130E-9	-7.3130E-9	-9.441584E-11	-9.441584E-11	   19.7928	   20.3956	   60.2331	   12.4338	
 -205.0000	-7.2320E-9	-7.2320E-9	-9.650347E-11	-9.650347E-11	   19.7928	   20.3717	   60.2132	   12.4063	
 -210.0000	-6.7180E-9	-6.7180E-9	-9.820586E-11	-9.820586E-11	   19.8083	   20.3717	   60.2378	   12.4125	
 -215.0000	-6.7990E-9	-6.7990E-9	-9.967500E-11	-9.967500E-11	   19.8572	   20.3758	   60.2565	   12.4211	
 -220.0000	-6.5750E-9	-6.5750E-9	-9.832888E-11	-9.832888E-11	   19.9266	   20.3176	   60.2796	   12.3723	
 -225.0000	-6.7210E-9	-6.7210E-9	-9.811318E-11	-9.811318E-11	   19.9987	   20.3612	   60.2770	   12.4125	
 -230.0000	-7.2670E-9	-7.2670E-9	-9.420499E-11	-9.420499E-11	   20.1377	   20.3612	   60.2144	   12.4125	
 -235.0000	-7.6110E-9	-7.6110E-9	-9.958762E-11	-9.958762E-11	   20.1377	   20.3601	   60.2144	   12.3957	
 -240.0000	-8.4350E-9	-8.4350E-9	-1.004338E-10	-1.004338E-10	   20.2098	   20.3738	   60.2619	   12.4206	
 -245.0000	-1.0036E-8	-1.0036E-8	-1.010924E-10	-1.010924E-10	   20.2587	   20.3569	   60.2366	   12.3983	
 -250.0000	-1.1320E-8	-1.1320E-8	-9.736940E-11	-9.736940E-11	   20.2767	   20.3521	   60.2293	   12.3920	
 -255.0000	-1.2840E-8	-1.2840E-8	-9.708465E-11	-9.708465E-11	   20.2767	   20.3521	   60.2293	   12.3920	
 -260.0000	-1.4030E-8	-1.4030E-8	-9.984529E-11	-9.984529E-11	   20.2535	   20.3646	   60.1964	   12.3954	
 -265.0000	-1.4790E-8	-1.4790E-8	-1.010476E-10	-1.010476E-10	   20.2046	   20.3613	   60.2141	   12.3968	
 -270.0000	-1.5810E-8	-1.5810E-8	-1.041835E-10	-1.041835E-10	   20.2046	   20.3613	   60.2141	   12.3968	
 -275.0000	-1.5860E-8	-1.5860E-8	-1.057763E-10	-1.057763E-10	   20.1120	   20.3562	   60.1727	   12.3815	
 -280.0000	-1.5310E-8	-1.5310E-8	-1.027626E-10	-1.027626E-10	   20.0373	   20.3543	   60.1518	   12.3744	
 -285.0000	-1.4900E-8	-1.4900E-8	-1.037689E-10	-1.037689E-10	   20.0373	   20.3543	   60.1518	   12.3744	
 -290.0000	-1.4000E-8	-1.4000E-8	-1.059425E-10	-1.059425E-10	   19.9344	   20.3296	   60.1572	   12.3526	
 -295.0000	-1.2870E-8	-1.2870E-8	-1.047072E-10	-1.047072E-10	   19.8752	   20.3474	   60.1556	   12.3689	
 -300.0000	-1.1950E-8	-1.1950E-8	-1.048406E-10	-1.048406E-10	   19.8752	   20.3474	   60.1556	   12.3689	
 -305.0000	-1.1610E-8	-1.1610E-8	-1.080613E-10	-1.080613E-10	   19.8031	   20.3876	   60.1569	   12.4070	
 -310.0000	-1.0320E-8	-1.0320E-8	-1.051069E-10	-1.051069E-10	   19.7825	   20.3750	   60.1746	   12.3996	
 -315.0000	-9.4900E-9	-9.4900E-9	-1.042468E-10	-1.042468E-10	   19.8031	   20.3750	   60.1746	   12.3996	
 -320.0000	-9.1200E-9	-9.1200E-9	-1.065209E-10	-1.065209E-10	   19.8031	   20.3596	   60.1803	   12.3866	
 -325.0000	-9.3340E-9	-9.3340E-9	-1.054241E-10	-1.054241E-10	   19.8623	   20.3596	   60.1935	   12.3900	
 -330.0000	-9.0470E-9	-9.0470E-9	-1.062442E-10	-1.062442E-10	   19.9318	   20.3517	   60.1825	   12.3798	
 -335.0000	-9.2880E-9	-9.2880E-9	-1.048068E-10	-1.048068E-10	   20.0039	   20.3536	   60.2128	   12.3892	
 -340.0000	-9.6560E-9	-9.6560E-9	-1.071899E-10	-1.071899E-10	   20.0862	   20.3608	   60.2407	   12.4030	
 -345.0000	-1.0010E-8	-1.0010E-8	-1.038688E-10	-1.038688E-10	   20.1583	   20.3569	   60.2650	   12.4055	
 -350.0000	-1.1180E-8	-1.1180E-8	-1.061994E-10	-1.061994E-10	   20.2124	   20.3463	   60.2476	   12.3911	
 -355.0000	-1.2770E-8	-1.2770E-8	-1.059377E-10	-1.059377E-10	   20.2124	   20.3463	   60.2476	   12.3911	
 -360.0000	-1.4250E-8	-1.4250E-8	-1.083899E-10	-1.083899E-10	   20.2407	   20.3497	   60.2135	   12.3857	
 -365.0000	-1.6150E-8	-1.6150E-8	-1.055248E-10	-1.055248E-10	   20.2329	   20.3207	   60.2027	   12.3558	
 -370.0000	-1.6990E-8	-1.6990E-8	-1.064553E-10	-1.064553E-10	   20.2329	   20.3207	   60.2027	   12.3558	
 -375.0000	-1.8810E-8	-1.8810E-8	-1.091679E-10	-1.091679E-10	   20.1840	   20.3264	   60.1907	   12.3580	
 -380.0000	-1.9590E-8	-1.9590E-8	-1.077851E-10	-1.077851E-10	   20.1351	   20.3477	   60.1588	   12.3700	
 -385.0000	-1.9770E-8	-1.9770E-8	-1.093150E-10	-1.093150E-10	   20.1351	   20.3477	   60.1588	   12.3700	
