GCD Test
Bias: 5000.000000
IV_34343_015_PSS_HM_XX_DIODEHALF
Date/Time: 7/14/2021 4:55:05 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	4.8200E-10	4.8200E-10	-5.250997E-11	-5.250997E-11	   19.9575	   20.8798	   26.6309	    1.0078	
  -10.0000	3.3000E-10	3.3000E-10	-5.387889E-11	-5.387889E-11	   19.9138	   20.8827	   26.6420	    1.0160	
  -15.0000	2.5600E-10	2.5600E-10	-5.612642E-11	-5.612642E-11	   19.8906	   20.8743	   26.6256	    1.0003	
  -20.0000	1.3700E-10	1.3700E-10	-5.795575E-11	-5.795575E-11	   19.8803	   20.8647	   26.6354	    0.9972	
  -25.0000	9.6000E-11	9.6000E-11	-6.027277E-11	-6.027277E-11	   19.8906	   20.8748	   26.6297	    1.0028	
  -30.0000	1.3800E-10	1.3800E-10	-6.298599E-11	-6.298599E-11	   19.9215	   20.8656	   26.6297	    0.9950	
  -35.0000	1.2800E-10	1.2800E-10	-6.631666E-11	-6.631666E-11	   20.0142	   20.8656	   26.6297	    0.9950	
  -40.0000	1.6000E-11	1.6000E-11	-6.969866E-11	-6.969866E-11	   20.0142	   20.8714	   26.6341	    1.0023	
  -45.0000	-4.3000E-11	-4.3000E-11	-7.454638E-11	-7.454638E-11	   20.0837	   20.8780	   26.6423	    1.0122	
  -50.0000	2.8000E-11	2.8000E-11	-7.898807E-11	-7.898807E-11	   20.1660	   20.8780	   26.6385	    1.0122	
  -55.0000	-5.8000E-11	-5.8000E-11	-8.300095E-11	-8.300095E-11	   20.1892	   20.8780	   26.6335	    1.0102	
  -60.0000	-1.4300E-10	-1.4300E-10	-8.592215E-11	-8.592215E-11	   20.1892	   20.8797	   26.6354	    1.0090	
  -65.0000	-1.8700E-10	-1.8700E-10	-8.723771E-11	-8.723771E-11	   20.1892	   20.8873	   26.6354	    1.0165	
  -70.0000	-2.2800E-10	-2.2800E-10	-8.834915E-11	-8.834915E-11	   20.1583	   20.8784	   26.6287	    1.0055	
