GCD Test
Bias: 5000.000000
CV_34252_008_PSS_HM_XX_DIODEHALF_Irradiated
Date/Time: 5/28/2021 5:24:28 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated, Annealed for 80 min at 60C
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	4.497E-12	4.209E-12	2.658E+7	1.908E+7	  -19.9066	   12.0507	    4.8688	  -26.7296	
  -20.0000	4.486E-12	4.162E-12	4.659E+7	2.979E+7	  -19.9499	   12.0395	    4.7650	  -26.9709	
  -30.0000	4.390E-12	4.130E-12	5.945E+7	3.922E+7	  -19.9652	   12.0584	    4.7116	  -27.0794	
  -40.0000	4.310E-12	4.116E-12	7.268E+7	4.851E+7	  -19.9728	   12.0007	    4.6670	  -27.2233	
  -50.0000	4.259E-12	4.110E-12	8.468E+7	5.645E+7	  -20.0109	   12.0583	    4.6186	  -27.2948	
  -60.0000	4.245E-12	4.106E-12	9.771E+7	6.318E+7	  -20.0287	   12.0288	    4.6186	  -27.3158	
  -70.0000	4.225E-12	4.101E-12	1.098E+8	6.966E+7	  -20.0364	   12.0241	    4.5980	  -27.3672	
  -80.0000	4.210E-12	4.099E-12	1.216E+8	7.498E+7	  -20.0669	   11.9690	    4.5471	  -27.5264	
  -90.0000	4.193E-12	4.096E-12	1.307E+8	8.041E+7	  -20.0898	   11.8866	    4.5180	  -27.6539	
 -100.0000	4.196E-12	4.094E-12	1.415E+8	8.528E+7	  -20.1076	   11.9051	    4.4639	  -27.7702	
 -110.0000	4.193E-12	4.093E-12	1.524E+8	8.966E+7	  -20.1203	   11.8879	    4.4522	  -27.8106	
 -120.0000	4.167E-12	4.103E-12	1.621E+8	9.204E+7	  -20.1330	   11.8879	    4.4067	  -27.9210	
 -130.0000	4.165E-12	4.102E-12	1.727E+8	9.563E+7	  -20.1457	   11.9046	    4.3982	  -27.9299	
 -140.0000	4.161E-12	4.101E-12	1.823E+8	9.918E+7	  -20.1559	   11.8810	    4.3384	  -28.0932	
 -150.0000	4.157E-12	4.099E-12	1.887E+8	1.031E+8	  -20.1534	   11.8713	    4.3102	  -28.1698	
 -160.0000	4.150E-12	4.098E-12	1.970E+8	1.060E+8	  -20.1585	   11.8538	    4.2777	  -28.2633	
 -170.0000	4.152E-12	4.097E-12	2.050E+8	1.088E+8	  -20.1356	   11.8259	    4.2008	  -28.4766	
 -180.0000	4.157E-12	4.096E-12	2.132E+8	1.122E+8	  -20.1407	   11.7992	    4.1581	  -28.6043	
 -190.0000	4.154E-12	4.095E-12	2.217E+8	1.158E+8	  -20.1407	   11.6977	    4.0873	  -28.8586	
 -200.0000	4.147E-12	4.094E-12	2.310E+8	1.197E+8	  -20.1381	   11.7080	    4.0098	  -29.0547	
 -210.0000	4.136E-12	4.093E-12	2.364E+8	1.212E+8	  -20.1432	   11.7945	    3.9662	  -29.1101	
 -220.0000	4.145E-12	4.092E-12	2.463E+8	1.241E+8	  -20.1381	   11.8831	    3.9143	  -29.1877	
 -230.0000	4.143E-12	4.092E-12	2.488E+8	1.263E+8	  -20.1279	   11.8023	    3.8637	  -29.3819	
 -240.0000	4.132E-12	4.090E-12	2.573E+8	1.310E+8	  -20.1152	   11.8282	    3.8321	  -29.4508	
 -250.0000	4.130E-12	4.090E-12	2.616E+8	1.338E+8	  -20.1076	   11.7879	    3.8077	  -29.5463	
