GCD Test
Bias: 5000.000000
CV_34252_009_PSS_HM_XX_DIODEHALF_PCB
Date/Time: 9/13/2021 5:36:11 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	9.758E-11	1.073E+8	   19.9987	   21.8196	    6.9573	  -15.5793	
  -10.0000	7.377E-11	1.862E+8	   20.0013	   21.8210	    6.9662	  -15.5630	
  -15.0000	6.303E-11	2.930E+8	   20.0013	   21.8184	    6.9576	  -15.5797	
  -20.0000	5.608E-11	3.225E+8	   20.0013	   21.8184	    6.9576	  -15.5797	
  -25.0000	5.116E-11	4.912E+8	   20.0039	   21.8140	    6.9583	  -15.5818	
  -30.0000	4.754E-11	5.327E+8	   20.0039	   21.8117	    6.9630	  -15.5753	
  -35.0000	4.425E-11	4.131E+8	   20.0013	   21.8139	    6.9570	  -15.5841	
  -40.0000	4.150E-11	7.086E+8	   20.0013	   21.8140	    6.9507	  -15.5950	
  -45.0000	3.915E-11	4.853E+8	   20.0013	   21.8132	    6.9472	  -15.6015	
  -50.0000	3.733E-11	6.095E+8	   20.0013	   21.8126	    6.9418	  -15.6113	
  -55.0000	3.575E-11	5.641E+8	   20.0013	   21.8150	    6.9405	  -15.6117	
  -60.0000	3.451E-11	6.042E+8	   20.0013	   21.8149	    6.9415	  -15.6102	
  -65.0000	3.338E-11	6.384E+8	   20.0013	   21.8147	    6.9503	  -15.5950	
  -70.0000	3.230E-11	2.962E+8	   19.9987	   21.8143	    6.9466	  -15.6018	
  -75.0000	3.028E-11	5.200E+8	   19.9987	   21.8174	    6.9611	  -15.5744	
  -80.0000	2.954E-11	5.562E+8	   19.9987	   21.8175	    6.9434	  -15.6049	
  -85.0000	2.822E-11	1.834E+8	   19.9987	   21.8190	    6.9507	  -15.5913	
  -90.0000	2.657E-11	8.364E+8	   20.0013	   21.8170	    6.9494	  -15.5949	
  -95.0000	2.617E-11	7.448E+8	   20.0013	   21.8171	    6.9456	  -15.6014	
 -100.0000	2.567E-11	1.165E+9	   20.0013	   21.8123	    6.9532	  -15.5918	
 -105.0000	2.539E-11	1.064E+9	   20.0039	   21.8104	    6.9418	  -15.6129	
 -110.0000	2.498E-11	2.137E+9	   20.0039	   21.8100	    6.9447	  -15.6082	
 -115.0000	2.464E-11	7.844E+8	   20.0013	   21.8129	    6.9529	  -15.5919	
 -120.0000	2.441E-11	3.612E+9	   20.0013	   21.8097	    6.9513	  -15.5970	
 -125.0000	2.411E-11	6.916E+8	   20.0013	   21.8057	    6.9478	  -15.6060	
 -130.0000	2.389E-11	9.944E+8	   19.9987	   21.8096	    6.9415	  -15.6140	
 -135.0000	2.360E-11	8.598E+8	   20.0013	   21.8077	    6.9494	  -15.6017	
 -140.0000	2.340E-11	1.562E+9	   20.0013	   21.8115	    6.9361	  -15.6219	
 -145.0000	2.317E-11	2.530E+9	   20.0013	   21.8115	    6.9450	  -15.6066	
 -150.0000	2.296E-11	1.131E+9	   20.0013	   21.8132	    6.9507	  -15.5955	
 -155.0000	2.270E-11	7.626E+8	   20.0013	   21.8132	    6.9507	  -15.5955	
 -160.0000	2.256E-11	1.133E+9	   20.0013	   21.8132	    6.9399	  -15.6141	
 -165.0000	2.238E-11	1.064E+9	   20.0013	   21.8146	    6.9349	  -15.6219	
 -170.0000	2.218E-11	1.202E+10	   20.0013	   21.8135	    6.9405	  -15.6128	
 -175.0000	2.203E-11	9.890E+8	   20.0013	   21.8077	    6.9390	  -15.6198	
 -180.0000	2.184E-11	8.731E+8	   20.0013	   21.8130	    6.9342	  -15.6241	
 -185.0000	2.163E-11	1.143E+9	   19.9987	   21.8076	    6.9320	  -15.6320	
 -190.0000	2.158E-11	1.520E+9	   19.9987	   21.8076	    6.9320	  -15.6320	
 -195.0000	2.134E-11	1.510E+9	   19.9961	   21.8076	    6.9333	  -15.6298	
 -200.0000	2.121E-11	2.481E+9	   19.9961	   21.8112	    6.9279	  -15.6364	
 -205.0000	2.111E-11	2.799E+9	   19.9961	   21.8089	    6.9330	  -15.6293	
 -210.0000	2.102E-11	5.481E+9	   19.9961	   21.8037	    6.9412	  -15.6189	
 -215.0000	2.082E-11	1.405E+9	   19.9987	   21.8117	    6.9374	  -15.6196	
 -220.0000	2.073E-11	9.022E+8	   19.9987	   21.8070	    6.9320	  -15.6324	
 -225.0000	2.061E-11	7.013E+9	   20.0039	   21.8072	    6.9282	  -15.6388	
 -230.0000	2.051E-11	1.277E+11	   20.0039	   21.8146	    6.9244	  -15.6400	
 -235.0000	2.035E-11	8.231E+8	   20.0064	   21.8105	    6.9254	  -15.6413	
 -240.0000	2.028E-11	1.087E+9	   20.0064	   21.8103	    6.9276	  -15.6376	
 -245.0000	2.012E-11	2.400E+9	   20.0039	   21.8165	    6.9317	  -15.6260	
 -250.0000	2.003E-11	8.603E+8	   20.0039	   21.8156	    6.9266	  -15.6354	
 -255.0000	1.997E-11	1.032E+9	   20.0039	   21.8075	    6.9336	  -15.6293	
 -260.0000	1.990E-11	1.675E+9	   20.0039	   21.8101	    6.9203	  -15.6504	
 -265.0000	1.976E-11	8.419E+8	   20.0039	   21.8101	    6.9181	  -15.6542	
 -270.0000	1.978E-11	4.222E+9	   20.0039	   21.8119	    6.9326	  -15.6277	
 -275.0000	1.972E-11	1.824E+11	   20.0013	   21.8172	    6.9209	  -15.6441	
 -280.0000	1.973E-11	1.235E+10	   20.0013	   21.8158	    6.9260	  -15.6364	
 -285.0000	1.971E-11	1.912E+9	   19.9987	   21.8147	    6.9194	  -15.6487	
 -290.0000	1.970E-11	1.519E+9	   19.9987	   21.8147	    6.9206	  -15.6465	
 -295.0000	1.970E-11	3.147E+9	   20.0013	   21.8106	    6.9133	  -15.6621	
 -300.0000	1.954E-11	1.638E+9	   20.0013	   21.8119	    6.9260	  -15.6392	
 -305.0000	1.955E-11	1.012E+9	   20.0013	   21.8117	    6.9292	  -15.6339	
 -310.0000	1.964E-11	7.689E+9	   20.0013	   21.8103	    6.9266	  -15.6393	
 -315.0000	1.964E-11	1.279E+9	   19.9987	   21.8150	    6.9254	  -15.6380	
 -320.0000	1.956E-11	1.094E+9	   20.0013	   21.8150	    6.9197	  -15.6479	
 -325.0000	1.954E-11	8.529E+8	   20.0013	   21.8124	    6.9206	  -15.6482	
 -330.0000	1.950E-11	1.202E+9	   20.0039	   21.8129	    6.9219	  -15.6456	
 -335.0000	1.962E-11	4.103E+9	   20.0039	   21.8137	    6.9266	  -15.6367	
 -340.0000	1.950E-11	8.774E+8	   20.0013	   21.8114	    6.9288	  -15.6346	
 -345.0000	1.957E-11	1.348E+9	   20.0013	   21.8149	    6.9254	  -15.6381	
 -350.0000	1.952E-11	8.724E+8	   20.0013	   21.8025	    6.9146	  -15.6659	
 -355.0000	1.949E-11	1.120E+9	   20.0013	   21.8079	    6.9216	  -15.6498	
 -360.0000	1.951E-11	3.138E+9	   19.9987	   21.8081	    6.9178	  -15.6563	
 -365.0000	1.947E-11	1.892E+9	   20.0013	   21.8114	    6.9247	  -15.6418	
 -370.0000	1.958E-11	4.388E+9	   19.9987	   21.8070	    6.9288	  -15.6378	
 -375.0000	1.951E-11	6.926E+9	   19.9987	   21.8116	    6.9247	  -15.6416	
 -380.0000	1.956E-11	-9.759E+9	   20.0013	   21.8100	    6.9219	  -15.6477	
 -385.0000	1.957E-11	2.030E+9	   20.0013	   21.8139	    6.9247	  -15.6399	
 -390.0000	1.950E-11	4.690E+9	   20.0013	   21.8088	    6.9187	  -15.6541	
 -395.0000	1.944E-11	1.811E+9	   20.0013	   21.8123	    6.9165	  -15.6553	
 -400.0000	1.945E-11	2.351E+9	   20.0013	   21.8143	    6.9209	  -15.6462	
 -410.0000	1.955E-11	2.374E+9	   20.0013	   21.8143	    6.9235	  -15.6418	
 -420.0000	1.945E-11	1.820E+9	   20.0013	   21.8064	    6.9326	  -15.6317	
 -430.0000	1.949E-11	-4.244E+11	   20.0013	   21.8058	    6.9276	  -15.6409	
 -440.0000	1.942E-11	1.477E+9	   20.0013	   21.8054	    6.9273	  -15.6417	
 -450.0000	1.950E-11	1.110E+9	   20.0013	   21.8017	    6.9301	  -15.6395	
 -460.0000	1.942E-11	1.069E+9	   20.0013	   21.8017	    6.9241	  -15.6499	
 -470.0000	1.953E-11	3.219E+9	   20.0013	   21.8066	    6.9263	  -15.6426	
 -480.0000	1.951E-11	1.279E+9	   19.9987	   21.7984	    6.9263	  -15.6485	
 -490.0000	1.943E-11	9.746E+8	   19.9987	   21.7993	    6.9235	  -15.6529	
 -500.0000	1.943E-11	9.496E+8	   19.9987	   21.7964	    6.9307	  -15.6423	
 -510.0000	1.952E-11	2.972E+9	   19.9961	   21.7967	    6.9298	  -15.6437	
 -520.0000	1.952E-11	2.800E+9	   19.9987	   21.7967	    6.9213	  -15.6586	
 -530.0000	1.951E-11	1.627E+9	   19.9987	   21.7949	    6.9304	  -15.6440	
 -540.0000	1.941E-11	1.084E+9	   19.9961	   21.8024	    6.9285	  -15.6418	
 -550.0000	1.940E-11	1.969E+9	   19.9987	   21.7953	    6.9282	  -15.6475	
 -560.0000	1.948E-11	1.154E+9	   19.9987	   21.7953	    6.9390	  -15.6289	
 -570.0000	1.946E-11	1.088E+9	   20.0013	   21.7925	    6.9361	  -15.6359	
 -580.0000	1.941E-11	1.457E+9	   20.0039	   21.7978	    6.9333	  -15.6369	
 -590.0000	1.944E-11	8.326E+8	   20.0039	   21.7974	    6.9396	  -15.6263	
 -600.0000	1.940E-11	1.128E+9	   20.0039	   21.7974	    6.9396	  -15.6263	
