GCD Test
Bias: 5000.000000
IV_34252_009_PSS_HM_XX_DIODEHALF_PCB
Date/Time: 9/13/2021 5:53:05 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-2.7900E-10	-2.7900E-10	8.196666E-10	8.196666E-10	   20.0064	   21.7803	    6.9715	  -15.5836	
  -10.0000	-1.7600E-10	-1.7600E-10	4.403855E-10	4.403855E-10	   20.0039	   21.7818	    6.9766	  -15.5738	
  -15.0000	-2.5400E-10	-2.5400E-10	3.369389E-10	3.369389E-10	   20.0013	   21.7818	    6.9668	  -15.5738	
  -20.0000	-4.1400E-10	-4.1400E-10	3.557173E-10	3.557173E-10	   20.0013	   21.7804	    6.9668	  -15.5918	
  -25.0000	-3.4600E-10	-3.4600E-10	2.885444E-10	2.885444E-10	   20.0013	   21.7804	    6.9649	  -15.5918	
  -30.0000	-3.3900E-10	-3.3900E-10	3.049470E-10	3.049470E-10	   20.0013	   21.7827	    6.9649	  -15.5933	
  -35.0000	-2.9000E-10	-2.9000E-10	2.695616E-10	2.695616E-10	   20.0013	   21.7816	    6.9775	  -15.5723	
  -40.0000	-3.9900E-10	-3.9900E-10	2.738281E-10	2.738281E-10	   20.0039	   21.7816	    6.9668	  -15.5723	
  -45.0000	-4.3100E-10	-4.3100E-10	2.600539E-10	2.600539E-10	   20.0039	   21.7845	    6.9668	  -15.5887	
  -50.0000	-4.2600E-10	-4.2600E-10	1.864498E-10	1.864498E-10	   20.0039	   21.7843	    6.9734	  -15.5774	
  -55.0000	-4.0900E-10	-4.0900E-10	1.862861E-10	1.862861E-10	   20.0039	   21.7811	    6.9687	  -15.5880	
  -60.0000	-3.9800E-10	-3.9800E-10	1.795577E-10	1.795577E-10	   20.0039	   21.7829	    6.9636	  -15.5954	
  -65.0000	-4.6800E-10	-4.6800E-10	1.483293E-10	1.483293E-10	   20.0039	   21.7834	    6.9734	  -15.5781	
  -70.0000	-4.9900E-10	-4.9900E-10	1.675214E-10	1.675214E-10	   20.0013	   21.7820	    6.9766	  -15.5737	
  -75.0000	-4.3400E-10	-4.3400E-10	1.352418E-10	1.352418E-10	   20.0013	   21.7758	    6.9709	  -15.5880	
  -80.0000	-4.8400E-10	-4.8400E-10	1.425381E-10	1.425381E-10	   19.9987	   21.7864	    6.9712	  -15.5797	
  -85.0000	-4.9300E-10	-4.9300E-10	1.271964E-10	1.271964E-10	   20.0013	   21.7846	    6.9738	  -15.5766	
  -90.0000	-5.1400E-10	-5.1400E-10	2.212511E-10	2.212511E-10	   19.9987	   21.7841	    6.9696	  -15.5841	
  -95.0000	-5.5200E-10	-5.5200E-10	1.207336E-10	1.207336E-10	   19.9987	   21.7792	    6.9753	  -15.5779	
 -100.0000	-5.1400E-10	-5.1400E-10	1.335791E-10	1.335791E-10	   19.9987	   21.7816	    6.9794	  -15.5690	
 -105.0000	-5.2000E-10	-5.2000E-10	1.366858E-10	1.366858E-10	   20.0013	   21.7830	    6.9709	  -15.5827	
 -110.0000	-5.2800E-10	-5.2800E-10	1.366970E-10	1.366970E-10	   20.0013	   21.7830	    6.9750	  -15.5757	
