GCD Test
Bias: 5000.000000
IV_34252_018_PSS_HM_XX_DIODEQUARTER
Date/Time: 4/27/2021 12:16:01 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-5.771311E-10	-5.771311E-10	   22.7693	   23.1130	   18.5721	   -2.0631	
  -10.0000	-5.785277E-10	-5.785277E-10	   22.7693	   23.1130	   18.5721	   -2.0631	
  -15.0000	-5.802877E-10	-5.802877E-10	   22.7719	   23.1111	   18.5702	   -2.0660	
  -20.0000	-5.830102E-10	-5.830102E-10	   22.7719	   23.1111	   18.5702	   -2.0660	
  -25.0000	-5.850707E-10	-5.850707E-10	   22.7719	   23.1084	   18.5670	   -2.0705	
  -30.0000	-5.875654E-10	-5.875654E-10	   22.7719	   23.1084	   18.5670	   -2.0705	
  -35.0000	-5.899580E-10	-5.899580E-10	   22.7719	   23.1056	   18.5743	   -2.0675	
  -40.0000	-5.932380E-10	-5.932380E-10	   22.7719	   23.1056	   18.5743	   -2.0675	
  -45.0000	-5.984887E-10	-5.984887E-10	   22.7719	   23.1019	   18.5582	   -2.0823	
  -50.0000	-6.016512E-10	-6.016512E-10	   22.7719	   23.1019	   18.5582	   -2.0823	
  -55.0000	-6.049537E-10	-6.049537E-10	   22.7719	   23.1077	   18.5648	   -2.0727	
  -60.0000	-6.063498E-10	-6.063498E-10	   22.7719	   23.1077	   18.5648	   -2.0727	
  -65.0000	-6.078819E-10	-6.078819E-10	   22.7693	   23.1034	   18.5674	   -2.0744	
  -70.0000	-6.082312E-10	-6.082312E-10	   22.7693	   23.1034	   18.5674	   -2.0744	
  -75.0000	-6.092165E-10	-6.092165E-10	   22.7719	   23.1013	   18.5797	   -2.0671	
  -80.0000	-6.095446E-10	-6.095446E-10	   22.7719	   23.1013	   18.5797	   -2.0671	
  -85.0000	-6.101742E-10	-6.101742E-10	   22.7719	   23.0990	   18.5911	   -2.0607	
  -90.0000	-6.102093E-10	-6.102093E-10	   22.7693	   23.1067	   18.5835	   -2.0600	
  -95.0000	-6.105071E-10	-6.105071E-10	   22.7693	   23.1067	   18.5835	   -2.0600	
 -100.0000	-6.111350E-10	-6.111350E-10	   22.7693	   23.1015	   18.5857	   -2.0626	
 -105.0000	-6.115986E-10	-6.115986E-10	   22.7693	   23.0977	   18.5908	   -2.0620	
 -110.0000	-6.118550E-10	-6.118550E-10	   22.7693	   23.0977	   18.5908	   -2.0620	
 -115.0000	-6.120623E-10	-6.120623E-10	   22.7693	   23.1004	   18.5854	   -2.0637	
 -120.0000	-6.120585E-10	-6.120585E-10	   22.7693	   23.1004	   18.5854	   -2.0637	
 -125.0000	-6.121847E-10	-6.121847E-10	   22.7719	   23.0990	   18.5892	   -2.0621	
 -130.0000	-6.126675E-10	-6.126675E-10	   22.7719	   23.0990	   18.5892	   -2.0621	
 -135.0000	-6.129054E-10	-6.129054E-10	   22.7693	   23.0984	   18.5727	   -2.0745	
 -140.0000	-6.134018E-10	-6.134018E-10	   22.7693	   23.0968	   18.5724	   -2.0761	
 -145.0000	-6.133004E-10	-6.133004E-10	   22.7693	   23.0968	   18.5724	   -2.0761	
 -150.0000	-6.138802E-10	-6.138802E-10	   22.7693	   23.0968	   18.5740	   -2.0750	
 -155.0000	-6.143349E-10	-6.143349E-10	   22.7693	   23.0968	   18.5740	   -2.0750	
 -160.0000	-6.142740E-10	-6.142740E-10	   22.7693	   23.0997	   18.5769	   -2.0705	
 -165.0000	-6.142118E-10	-6.142118E-10	   22.7693	   23.0997	   18.5769	   -2.0705	
 -170.0000	-6.147827E-10	-6.147827E-10	   22.7693	   23.1019	   18.5946	   -2.0558	
 -175.0000	-6.150706E-10	-6.150706E-10	   22.7693	   23.1019	   18.5946	   -2.0558	
 -180.0000	-6.146079E-10	-6.146079E-10	   22.7693	   23.1016	   18.5892	   -2.0599	
 -185.0000	-6.153316E-10	-6.153316E-10	   22.7693	   23.0978	   18.5797	   -2.0700	
 -190.0000	-6.151946E-10	-6.151946E-10	   22.7693	   23.0978	   18.5797	   -2.0700	
 -195.0000	-6.151933E-10	-6.151933E-10	   22.7719	   23.1009	   18.5727	   -2.0725	
 -200.0000	-6.156824E-10	-6.156824E-10	   22.7719	   23.1009	   18.5727	   -2.0725	
 -205.0000	-6.151402E-10	-6.151402E-10	   22.7693	   23.0988	   18.5686	   -2.0772	
 -210.0000	-6.155400E-10	-6.155400E-10	   22.7693	   23.0971	   18.5762	   -2.0731	
 -215.0000	-6.160966E-10	-6.160966E-10	   22.7693	   23.0971	   18.5762	   -2.0731	
 -220.0000	-6.166590E-10	-6.166590E-10	   22.7693	   23.1015	   18.5705	   -2.0737	
 -225.0000	-6.171404E-10	-6.171404E-10	   22.7693	   23.1015	   18.5705	   -2.0737	
 -230.0000	-6.166511E-10	-6.166511E-10	   22.7693	   23.1023	   18.5724	   -2.0716	
 -235.0000	-6.177016E-10	-6.177016E-10	   22.7693	   23.1023	   18.5724	   -2.0716	
 -240.0000	-6.172969E-10	-6.172969E-10	   22.7693	   23.0990	   18.5825	   -2.0669	
 -245.0000	-6.175541E-10	-6.175541E-10	   22.7693	   23.0990	   18.5825	   -2.0669	
 -250.0000	-6.173698E-10	-6.173698E-10	   22.7693	   23.1036	   18.5781	   -2.0664	
