GCD Test
Bias: 5000.000000
CV_34253_036_PSS_HM_XX_DIODEHALF
Date/Time: 4/26/2021 3:17:42 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	3.193E-11	1.546E+9	   23.0656	   23.3829	   18.0901	   -2.1982	
  -10.0000	2.408E-11	2.019E+9	   23.0656	   23.3844	   18.1006	   -2.1892	
  -15.0000	2.043E-11	2.277E+9	   23.0656	   23.3839	   18.1047	   -2.1865	
  -20.0000	1.822E-11	2.236E+9	   23.0656	   23.3833	   18.0939	   -2.1950	
  -25.0000	1.663E-11	2.418E+9	   23.0656	   23.3858	   18.0927	   -2.1939	
  -30.0000	1.542E-11	2.312E+9	   23.0656	   23.3842	   18.0772	   -2.2068	
  -35.0000	1.426E-11	2.242E+9	   23.0656	   23.3810	   18.0835	   -2.2047	
  -40.0000	1.314E-11	2.316E+9	   23.0656	   23.3819	   18.0791	   -2.2072	
  -45.0000	1.210E-11	2.548E+9	   23.0656	   23.3854	   18.0889	   -2.1970	
  -50.0000	1.139E-11	2.499E+9	   23.0656	   23.3854	   18.0892	   -2.1968	
  -55.0000	1.102E-11	2.569E+9	   23.0656	   23.3873	   18.1040	   -2.1842	
  -60.0000	1.057E-11	4.529E+8	   23.0656	   23.3800	   18.1022	   -2.1915	
  -65.0000	8.946E-12	9.770E+8	   23.0656	   23.3847	   18.1025	   -2.1875	
  -70.0000	8.787E-12	9.967E+8	   23.0656	   23.3862	   18.1018	   -2.1867	
  -75.0000	8.636E-12	1.015E+9	   23.0682	   23.3861	   18.1132	   -2.1784	
  -80.0000	8.505E-12	1.123E+9	   23.0656	   23.3826	   18.1202	   -2.1760	
  -85.0000	8.389E-12	1.187E+9	   23.0656	   23.3797	   18.1240	   -2.1755	
  -90.0000	8.286E-12	1.340E+9	   23.0656	   23.3852	   18.1278	   -2.1682	
  -95.0000	8.188E-12	1.431E+9	   23.0682	   23.3819	   18.1189	   -2.1775	
 -100.0000	8.102E-12	1.525E+9	   23.0656	   23.3833	   18.1072	   -2.1851	
 -105.0000	8.019E-12	1.536E+9	   23.0656	   23.3839	   18.0990	   -2.1907	
 -110.0000	7.940E-12	1.599E+9	   23.0656	   23.3864	   18.0999	   -2.1880	
 -115.0000	7.868E-12	1.687E+9	   23.0656	   23.3832	   18.1085	   -2.1842	
 -120.0000	7.804E-12	1.711E+9	   23.0656	   23.3852	   18.1053	   -2.1850	
 -125.0000	7.737E-12	1.728E+9	   23.0656	   23.3852	   18.1104	   -2.1812	
 -130.0000	7.681E-12	1.858E+9	   23.0656	   23.3798	   18.1126	   -2.1839	
 -135.0000	7.621E-12	1.829E+9	   23.0656	   23.3869	   18.1031	   -2.1852	
 -140.0000	7.574E-12	1.848E+9	   23.0656	   23.3840	   18.0968	   -2.1923	
 -145.0000	7.527E-12	1.876E+9	   23.0656	   23.3840	   18.0775	   -2.2067	
 -150.0000	7.479E-12	1.877E+9	   23.0656	   23.3863	   18.0762	   -2.2058	
 -155.0000	7.433E-12	1.937E+9	   23.0656	   23.3863	   18.0746	   -2.2070	
 -160.0000	7.390E-12	1.822E+9	   23.0656	   23.3904	   18.0651	   -2.2107	
 -165.0000	7.350E-12	1.895E+9	   23.0682	   23.3851	   18.0806	   -2.2034	
 -170.0000	7.308E-12	1.923E+9	   23.0656	   23.3812	   18.0895	   -2.2000	
 -175.0000	7.273E-12	1.964E+9	   23.0656	   23.3856	   18.0863	   -2.1988	
 -180.0000	7.238E-12	2.000E+9	   23.0656	   23.3854	   18.0816	   -2.2025	
 -185.0000	7.200E-12	1.989E+9	   23.0682	   23.3840	   18.0582	   -2.2211	
 -190.0000	7.166E-12	2.093E+9	   23.0682	   23.3840	   18.0582	   -2.2211	
 -195.0000	7.132E-12	2.138E+9	   23.0656	   23.3880	   18.0576	   -2.2183	
 -200.0000	7.096E-12	1.964E+9	   23.0656	   23.3863	   18.0538	   -2.2226	
 -205.0000	7.068E-12	2.085E+9	   23.0682	   23.3839	   18.0598	   -2.2200	
 -210.0000	7.038E-12	2.118E+9	   23.0656	   23.3866	   18.0835	   -2.2001	
 -215.0000	7.006E-12	2.118E+9	   23.0656	   23.3866	   18.0835	   -2.2001	
 -220.0000	6.973E-12	2.146E+9	   23.0656	   23.3879	   18.0832	   -2.1993	
 -225.0000	6.945E-12	2.228E+9	   23.0656	   23.3887	   18.0806	   -2.2005	
 -230.0000	6.915E-12	2.125E+9	   23.0656	   23.3883	   18.0879	   -2.1954	
 -235.0000	6.893E-12	2.155E+9	   23.0656	   23.3842	   18.0797	   -2.2049	
 -240.0000	6.867E-12	2.251E+9	   23.0656	   23.3867	   18.0806	   -2.2022	
