GCD Test
Bias: 5000.000000
CV_34253_037_PSS_HM_XX_DIODEHALFPSTOP_GRConnected
Date/Time: 4/12/2021 4:26:36 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.999E-11	1.996E-11	2.184E+9	2.196E+8	   23.1145	   23.3506	    6.7034	  -14.9075	
  -10.0000	1.546E-11	1.541E-11	2.601E+9	2.677E+8	   23.1145	   23.3506	    6.6676	  -14.9721	
  -15.0000	1.339E-11	1.333E-11	2.673E+9	2.970E+8	   23.1120	   23.3475	    6.6145	  -15.0710	
  -20.0000	1.215E-11	1.208E-11	2.705E+9	3.086E+8	   23.1145	   23.3521	    6.5158	  -15.2491	
  -25.0000	1.129E-11	1.122E-11	2.916E+9	3.155E+8	   23.1145	   23.3518	    6.4500	  -15.3715	
  -30.0000	1.067E-11	1.060E-11	2.792E+9	2.907E+8	   23.1145	   23.3492	    6.4171	  -15.4349	
  -35.0000	1.018E-11	1.008E-11	2.913E+9	3.184E+8	   23.1145	   23.3518	    6.3577	  -15.5450	
  -40.0000	9.769E-12	9.681E-12	2.804E+9	3.199E+8	   23.1145	   23.3518	    6.3460	  -15.5672	
  -45.0000	9.440E-12	9.354E-12	2.877E+9	3.211E+8	   23.1171	   23.3492	    6.2865	  -15.6821	
  -50.0000	9.159E-12	9.076E-12	2.711E+9	3.038E+8	   23.1171	   23.3519	    6.2663	  -15.7189	
  -55.0000	8.917E-12	8.830E-12	2.536E+9	3.181E+8	   23.1145	   23.3498	    6.2211	  -15.8073	
  -60.0000	8.705E-12	8.621E-12	2.843E+9	3.256E+8	   23.1171	   23.3498	    6.2290	  -15.7921	
  -65.0000	8.517E-12	8.437E-12	2.853E+9	3.257E+8	   23.1171	   23.3530	    6.1898	  -15.8655	
  -70.0000	8.351E-12	8.273E-12	2.741E+9	3.271E+8	   23.1145	   23.3530	    6.1822	  -15.8802	
  -75.0000	8.206E-12	8.126E-12	2.962E+9	3.273E+8	   23.1171	   23.3493	    6.1483	  -15.9486	
  -80.0000	8.070E-12	7.992E-12	2.841E+9	3.291E+8	   23.1171	   23.3530	    6.1388	  -15.9644	
  -85.0000	7.946E-12	7.871E-12	2.849E+9	3.305E+8	   23.1171	   23.3517	    6.1259	  -15.9907	
  -90.0000	7.836E-12	7.759E-12	2.894E+9	3.299E+8	   23.1171	   23.3545	    6.1145	  -16.0110	
  -95.0000	7.739E-12	7.657E-12	2.893E+9	3.288E+8	   23.1171	   23.3523	    6.1003	  -16.0405	
 -100.0000	7.640E-12	7.563E-12	2.861E+9	3.324E+8	   23.1171	   23.3562	    6.1015	  -16.0352	
 -105.0000	7.553E-12	7.475E-12	2.964E+9	3.309E+8	   23.1171	   23.3534	    6.0939	  -16.0521	
 -110.0000	7.469E-12	7.394E-12	2.964E+9	3.330E+8	   23.1197	   23.3513	    6.0984	  -16.0449	
 -115.0000	7.392E-12	7.324E-12	3.282E+9	3.057E+8	   23.1197	   23.3554	    6.0705	  -16.0967	
 -120.0000	7.321E-12	7.252E-12	3.306E+9	3.059E+8	   23.1171	   23.3581	    6.0708	  -16.0941	
 -125.0000	7.252E-12	7.186E-12	3.172E+9	3.069E+8	   23.1171	   23.3555	    6.0677	  -16.1022	
 -130.0000	7.196E-12	7.127E-12	3.173E+9	3.138E+8	   23.1197	   23.3542	    6.0674	  -16.1038	
 -135.0000	7.129E-12	7.064E-12	3.260E+9	3.060E+8	   23.1197	   23.3529	    6.0541	  -16.1309	
 -140.0000	7.074E-12	7.007E-12	3.130E+9	3.080E+8	   23.1197	   23.3533	    6.0607	  -16.1176	
 -145.0000	7.022E-12	6.954E-12	3.426E+9	3.066E+8	   23.1197	   23.3529	    6.0689	  -16.1016	
 -150.0000	6.969E-12	6.902E-12	3.139E+9	2.929E+8	   23.1197	   23.3561	    6.0610	  -16.1149	
 -155.0000	6.926E-12	6.855E-12	3.472E+9	3.067E+8	   23.1197	   23.3534	    6.0629	  -16.1131	
 -160.0000	6.878E-12	6.808E-12	3.384E+9	3.081E+8	   23.1223	   23.3556	    6.0639	  -16.1096	
