GCD Test
Bias: 5000.000000
IV_34253_037_PSS_HM_XX_DIODEHALFPSTOP_Irradiated
Date/Time: 5/24/2021 12:56:32 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated, Second Annealing
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-3.2100E-7	-3.2090E-7	-3.2110E-7	-3.2090E-7	-3.2110E-7	-3.195441E-7	-3.197163E-7	-3.206378E-7	-3.193392E-7	-3.184832E-7	  -20.9672	   12.1928	    3.7897	  -29.3142	
  -20.0000	-4.3223E-7	-4.3250E-7	-4.3230E-7	-4.3160E-7	-4.3250E-7	-4.309268E-7	-4.314139E-7	-4.313008E-7	-4.312298E-7	-4.297628E-7	  -20.9240	   12.2326	    3.7404	  -29.4252	
  -30.0000	-5.1510E-7	-5.1920E-7	-5.1610E-7	-5.1380E-7	-5.1130E-7	-5.084069E-7	-5.098057E-7	-5.090764E-7	-5.078907E-7	-5.068548E-7	  -20.8757	   12.2326	    3.7027	  -29.5320	
  -40.0000	-5.7928E-7	-5.7830E-7	-5.7790E-7	-5.7980E-7	-5.8110E-7	-5.824205E-7	-5.812474E-7	-5.804053E-7	-5.842458E-7	-5.837834E-7	  -20.8528	   12.2129	    3.6395	  -29.7275	
  -50.0000	-6.4125E-7	-6.3970E-7	-6.4270E-7	-6.4430E-7	-6.3830E-7	-6.401872E-7	-6.380459E-7	-6.390491E-7	-6.421590E-7	-6.414947E-7	  -20.7256	   12.2141	    3.5591	  -29.9618	
  -60.0000	-6.9843E-7	-6.9980E-7	-6.9840E-7	-6.9650E-7	-6.9900E-7	-7.001008E-7	-6.987963E-7	-6.996589E-7	-7.020046E-7	-6.999433E-7	  -20.6646	   12.1910	    3.5531	  -29.9955	
  -70.0000	-7.4437E-7	-7.4390E-7	-7.4620E-7	-7.4380E-7	-7.4360E-7	-7.440309E-7	-7.455615E-7	-7.437191E-7	-7.435142E-7	-7.433289E-7	  -20.6112	   12.2014	    3.4877	  -30.1837	
  -80.0000	-7.8497E-7	-7.8330E-7	-7.8650E-7	-7.8520E-7	-7.8490E-7	-7.836131E-7	-7.854238E-7	-7.833137E-7	-7.829390E-7	-7.827759E-7	  -20.5349	   12.1842	    3.4633	  -30.2691	
  -90.0000	-8.2205E-7	-8.1760E-7	-8.1930E-7	-8.2280E-7	-8.2850E-7	-8.295465E-7	-8.307999E-7	-8.286908E-7	-8.289991E-7	-8.296963E-7	  -20.4179	   12.1726	    3.4279	  -30.3849	
 -100.0000	-8.6685E-7	-8.6860E-7	-8.6380E-7	-8.6570E-7	-8.6930E-7	-8.684307E-7	-8.689894E-7	-8.668981E-7	-8.698639E-7	-8.679713E-7	  -20.3085	   12.1408	    3.4023	  -30.4854	
 -110.0000	-9.0820E-7	-9.0740E-7	-9.1010E-7	-9.0730E-7	-9.0800E-7	-9.103514E-7	-9.120849E-7	-9.097627E-7	-9.089289E-7	-9.106292E-7	  -20.2424	   12.1500	    3.3457	  -30.6545	
 -120.0000	-9.5025E-7	-9.5110E-7	-9.5190E-7	-9.5010E-7	-9.4790E-7	-9.491961E-7	-9.495792E-7	-9.495679E-7	-9.475897E-7	-9.500477E-7	  -20.1661	   12.1379	    3.3261	  -30.7243	
 -130.0000	-9.7905E-7	-9.7680E-7	-9.7930E-7	-9.7830E-7	-9.8180E-7	-9.864688E-7	-9.843268E-7	-9.866633E-7	-9.881777E-7	-9.867072E-7	  -20.0872	   12.1529	    3.2966	  -30.8067	
 -140.0000	-1.0202E-6	-1.0220E-6	-1.0230E-6	-1.0190E-6	-1.0170E-6	-1.025958E-6	-1.025905E-6	-1.028433E-6	-1.023600E-6	-1.025895E-6	  -19.9626	   12.1060	    3.2514	  -30.9829	
