#Open Capacitance 1000Hz:4.587390E-12
#Open Capacitance 1000000Hz:Not Measured
#34253_037_PSS_XX_HM_IrradSensor_b
#Date/Time: 5/27/2021 3:47:56 PM
#Sensor Name: 34253_037_PSS_XX_HM_IrradSensor
#Type: P
#Annealing Status: 1100 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated at 1.1e15 at RINSC.  Annealed in Alibava

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3704989743.844205	2.927937	-20.000000	24.806862	-1.398500E-5	-4.722582E-11	8.821410E-11	-1.941402E-7	-1.941167E-7	-1.941089E-7	-1.941155E-7	-1.941203E-7	-1.941161E-7	-1.906399E-6
2	3704989759.488583	2.914007	-20.000000	24.816177	-1.398900E-5	-5.153148E-11	8.822980E-11	-1.941402E-7	-1.941167E-7	-1.941089E-7	-1.941155E-7	-1.941203E-7	-1.941161E-7	-1.908674E-6
3	3704989774.175396	2.787204	-20.000000	24.816652	-1.399100E-5	-5.738912E-11	8.823210E-11	-1.934590E-7	-1.934215E-7	-1.933742E-7	-1.933367E-7	-1.933979E-7	-1.933979E-7	-1.909792E-6
4	3704989789.133434	2.904520	-20.000000	24.808826	-1.397900E-5	-5.834036E-11	8.824310E-11	-1.935877E-7	-1.935831E-7	-1.935727E-7	-1.935560E-7	-1.935749E-7	-1.935779E-7	-1.908758E-6
5	3704989804.162799	2.783415	-20.000000	24.813621	-1.397700E-5	-5.218229E-11	8.824780E-11	-1.937522E-7	-1.937749E-7	-1.937912E-7	-1.937905E-7	-1.937772E-7	-1.937827E-7	-1.912431E-6
6	3704989819.227462	2.859170	-20.000000	24.811203	-1.397500E-5	-5.628764E-11	8.825710E-11	-1.938364E-7	-1.938357E-7	-1.938365E-7	-1.938359E-7	-1.938361E-7	-1.938362E-7	-1.910204E-6
7	3704989834.579580	2.876472	-20.000000	24.806151	-1.397100E-5	-5.573694E-11	8.827020E-11	-1.942052E-7	-1.941914E-7	-1.941786E-7	-1.941752E-7	-1.941876E-7	-1.941850E-7	-1.911422E-6
8	3704989849.414785	2.834973	-20.000000	24.802088	-1.397100E-5	-5.378439E-11	8.827720E-11	-1.952713E-7	-1.952462E-7	-1.951328E-7	-1.951028E-7	-1.951883E-7	-1.951895E-7	-1.910761E-6
9	3704989864.383382	2.855388	-20.000000	24.801353	-1.397100E-5	-5.728898E-11	8.829350E-11	-2.014200E-7	-2.008963E-7	-2.002025E-7	-1.987233E-7	-2.003105E-7	-2.005494E-7	-1.906207E-6
10	3704989879.734247	2.978377	-20.000000	24.799314	-1.397700E-5	-5.518622E-11	8.830050E-11	-1.948381E-7	-1.948395E-7	-1.948369E-7	-1.948286E-7	-1.948358E-7	-1.948375E-7	-1.910509E-6
11	3704989894.388491	2.971363	-20.000000	24.784945	-1.397100E-5	-4.832725E-11	8.832590E-11	-3.202690E-7	-2.864289E-7	-3.050588E-7	-2.890766E-7	-3.002083E-7	-2.970677E-7	-1.860719E-6
12	3704989909.842669	2.964826	-20.000000	24.793408	-1.397400E-5	-5.438516E-11	8.831960E-11	-1.961620E-7	-1.961751E-7	-1.961921E-7	-1.962614E-7	-1.961976E-7	-1.961836E-7	-1.909080E-6
13	3704989924.807711	2.860611	-20.000000	24.786670	-1.398400E-5	-5.403470E-11	8.833320E-11	-1.956698E-7	-1.956547E-7	-1.956657E-7	-1.956553E-7	-1.956614E-7	-1.956605E-7	-1.907845E-6
14	3704989939.623686	2.836587	-20.000000	24.789208	-1.397700E-5	-5.078048E-11	8.834290E-11	-1.961865E-7	-1.961695E-7	-1.961835E-7	-1.961916E-7	-1.961828E-7	-1.961850E-7	-1.908073E-6
15	3704989954.592994	2.862184	-20.000000	24.797192	-1.398300E-5	-5.844045E-11	8.835350E-11	-1.962304E-7	-1.962387E-7	-1.962143E-7	-1.961976E-7	-1.962202E-7	-1.962223E-7	-1.905038E-6
16	3704989970.065922	2.847409	-20.000000	24.787839	-1.398600E-5	-4.987929E-11	8.836580E-11	-1.963028E-7	-1.962797E-7	-1.962930E-7	-1.963258E-7	-1.963003E-7	-1.962979E-7	-1.906686E-6
17	3704989984.923358	2.881763	-20.000000	24.781953	-1.399300E-5	-4.962894E-11	8.837160E-11	-1.966316E-7	-1.966098E-7	-1.966202E-7	-1.966306E-7	-1.966230E-7	-1.966254E-7	-1.907732E-6
18	3704989999.803689	2.816820	-20.000000	24.768538	-1.398400E-5	-5.493585E-11	8.838100E-11	-1.969424E-7	-1.968745E-7	-1.968004E-7	-1.968117E-7	-1.968573E-7	-1.968431E-7	-1.910077E-6
19	3704990014.794085	2.894537	-20.000000	24.774979	-1.398900E-5	-5.683835E-11	8.839030E-11	-1.969930E-7	-1.970266E-7	-1.970265E-7	-1.970062E-7	-1.970131E-7	-1.970163E-7	-1.909950E-6
20	3704990030.320372	2.976475	-20.000000	24.765229	-1.397700E-5	-5.138123E-11	8.839940E-11	-1.967930E-7	-1.967653E-7	-1.967697E-7	-1.968019E-7	-1.967825E-7	-1.967814E-7	-1.909359E-6
21	3704990045.094320	2.823784	-20.000000	24.757935	-1.398100E-5	-5.608735E-11	8.840540E-11	-1.971037E-7	-1.971419E-7	-1.971487E-7	-1.971257E-7	-1.971300E-7	-1.971338E-7	-1.906047E-6
22	3704990060.429065	2.906486	-20.000000	24.762099	-1.398200E-5	-6.034293E-11	8.841560E-11	-1.983621E-7	-1.983543E-7	-1.983653E-7	-1.983898E-7	-1.983679E-7	-1.983637E-7	-1.905540E-6
23	3704990075.197137	2.966236	-20.000000	24.756826	-1.397800E-5	-5.578698E-11	8.841850E-11	-1.984848E-7	-1.984996E-7	-1.985295E-7	-1.985487E-7	-1.985157E-7	-1.985145E-7	-1.905215E-6
24	3704990090.626558	3.042020	-20.000000	24.761029	-1.399000E-5	-5.864065E-11	8.843050E-11	-2.001340E-7	-2.002103E-7	-2.002625E-7	-1.998446E-7	-2.001128E-7	-2.001721E-7	-1.902073E-6
25	3704990105.713801	2.999633	-20.000000	24.748187	-1.396900E-5	-5.478565E-11	8.843910E-11	-1.990940E-7	-1.990776E-7	-1.990596E-7	-1.990619E-7	-1.990733E-7	-1.990697E-7	-1.902824E-6
26	3704990121.032728	2.843609	-20.000000	24.745631	-1.397900E-5	-5.708866E-11	8.845320E-11	-2.177221E-7	-2.133589E-7	-2.111611E-7	-2.136329E-7	-2.139687E-7	-2.134959E-7	-1.887574E-6
27	3704990136.640013	2.890232	-20.000000	24.736971	-1.397500E-5	-5.478566E-11	8.845260E-11	-1.984211E-7	-1.983974E-7	-1.983547E-7	-1.983372E-7	-1.983776E-7	-1.983760E-7	-1.900835E-6
28	3704990151.430957	2.766640	-20.000000	24.733068	-1.397500E-5	-5.123100E-11	8.846280E-11	-1.985518E-7	-1.985467E-7	-1.985646E-7	-1.985957E-7	-1.985647E-7	-1.985582E-7	-1.901559E-6
29	3704990166.971075	2.801768	-20.000000	24.738060	-1.395100E-5	-5.258275E-11	8.846830E-11	-1.985660E-7	-1.985614E-7	-1.985822E-7	-1.985962E-7	-1.985764E-7	-1.985741E-7	-1.903281E-6
30	3704990182.045065	2.824257	-20.000000	24.753517	-1.396700E-5	-4.977913E-11	8.847190E-11	-1.985076E-7	-1.985176E-7	-1.985367E-7	-1.985389E-7	-1.985252E-7	-1.985272E-7	-1.902697E-6
31	3704990197.922858	2.972528	-20.000000	24.757956	-1.396100E-5	-5.778954E-11	8.848330E-11	-1.985331E-7	-1.985347E-7	-1.985219E-7	-1.985198E-7	-1.985274E-7	-1.985275E-7	-1.902664E-6
32	3704990213.165011	2.947707	-20.000000	24.729579	-1.397500E-5	-5.969203E-11	8.848760E-11	-1.985187E-7	-1.985205E-7	-1.984868E-7	-1.984486E-7	-1.984936E-7	-1.985028E-7	-1.904864E-6
33	3704990229.134337	3.000606	-20.000000	24.720938	-1.394000E-5	-9.533854E-11	8.843950E-11	-2.129945E-7	-2.129125E-7	-2.128329E-7	-2.129433E-7	-2.129208E-7	-2.129279E-7	-1.889412E-6
34	3704990243.583802	2.864564	-20.000000	24.715904	-1.396500E-5	-5.198198E-11	8.849880E-11	-1.988361E-7	-1.988247E-7	-1.988210E-7	-1.988469E-7	-1.988322E-7	-1.988304E-7	-1.904507E-6
35	3704990259.008495	2.862733	-20.000000	24.729699	-1.395500E-5	-5.473555E-11	8.850240E-11	-1.987396E-7	-1.987343E-7	-1.987378E-7	-1.987303E-7	-1.987355E-7	-1.987361E-7	-1.904647E-6
36	3704990273.955770	2.820619	-20.000000	24.698626	-1.395600E-5	-4.947871E-11	8.851360E-11	-1.989171E-7	-1.989155E-7	-1.988995E-7	-1.988976E-7	-1.989074E-7	-1.989075E-7	-1.905674E-6
37	3704990289.070315	2.852129	-20.000000	24.719571	-1.395500E-5	-5.613739E-11	8.851910E-11	-1.992744E-7	-1.992992E-7	-1.992867E-7	-1.992559E-7	-1.992791E-7	-1.992806E-7	-1.903876E-6
38	3704990304.294407	2.779407	-20.000000	24.723732	-1.396100E-5	-5.503594E-11	8.852180E-11	-1.994129E-7	-1.994020E-7	-1.993943E-7	-1.993863E-7	-1.993989E-7	-1.993982E-7	-1.901090E-6
39	3704990319.360436	2.843804	-20.000000	24.730551	-1.395500E-5	-5.553659E-11	8.852180E-11	-2.000008E-7	-2.000116E-7	-2.000255E-7	-2.000246E-7	-2.000156E-7	-2.000181E-7	-1.900568E-6
40	3704990333.870617	2.898332	-20.000000	24.715886	-1.396300E-5	-5.083046E-11	8.853130E-11	-2.396004E-7	-2.429559E-7	-2.424594E-7	-2.431214E-7	-2.420343E-7	-2.427077E-7	-1.856065E-6
41	3704990348.986533	2.857841	-20.000000	24.700190	-1.396200E-5	-4.992926E-11	8.853210E-11	-2.129456E-7	-2.143694E-7	-2.150459E-7	-2.137917E-7	-2.140382E-7	-2.140806E-7	-1.882267E-6
42	3704990363.867791	2.901218	-20.000000	24.716896	-1.396400E-5	-5.839028E-11	8.854130E-11	-2.003346E-7	-2.003276E-7	-2.003449E-7	-2.003851E-7	-2.003480E-7	-2.003397E-7	-1.899901E-6
43	3704990378.915029	2.891586	-20.000000	24.704987	-1.397200E-5	-5.738897E-11	8.854710E-11	-2.009775E-7	-2.009860E-7	-2.010235E-7	-2.010278E-7	-2.010037E-7	-2.010047E-7	-1.898297E-6
44	3704990394.409074	2.785421	-20.000000	24.717273	-1.396600E-5	-5.378429E-11	8.855180E-11	-2.070263E-7	-2.069794E-7	-2.069361E-7	-2.069431E-7	-2.069712E-7	-2.069613E-7	-1.896152E-6
45	3704990409.183726	2.765006	-20.000000	24.721296	-1.396200E-5	-5.829017E-11	8.855640E-11	-2.148946E-7	-2.148757E-7	-2.151085E-7	-2.156755E-7	-2.151386E-7	-2.150016E-7	-1.884101E-6
46	3704990424.198189	2.851719	-20.000000	24.710831	-1.396000E-5	-5.483562E-11	8.855490E-11	-2.075710E-7	-2.075508E-7	-2.075523E-7	-2.075919E-7	-2.075665E-7	-2.075616E-7	-1.893590E-6
47	3704990439.298653	2.865133	-20.000000	24.707325	-1.395700E-5	-6.109383E-11	8.856840E-11	-2.617453E-7	-2.881312E-7	-2.507232E-7	-2.323459E-7	-2.582364E-7	-2.562343E-7	-1.866315E-6
48	3704990454.270576	2.904132	-20.000000	24.702886	-1.396200E-5	-5.763928E-11	8.856520E-11	-2.095162E-7	-2.093378E-7	-2.094059E-7	-2.094420E-7	-2.094255E-7	-2.094240E-7	-1.893102E-6
49	3704990469.379464	2.871179	-20.000000	24.702748	-1.396200E-5	-5.909122E-11	8.857060E-11	-2.346079E-7	-2.335636E-7	-2.374200E-7	-2.382946E-7	-2.359715E-7	-2.360139E-7	-1.849294E-6
50	3704990484.311917	2.872537	-20.000000	24.676034	-1.396100E-5	-6.004244E-11	8.857450E-11	-2.015281E-7	-2.015357E-7	-2.015382E-7	-2.015463E-7	-2.015371E-7	-2.015369E-7	-1.901830E-6
51	3704990499.505317	3.028029	-20.000000	24.687369	-1.395300E-5	-5.338373E-11	8.858140E-11	-2.016890E-7	-2.016716E-7	-2.016631E-7	-2.016646E-7	-2.016721E-7	-2.016681E-7	-1.899855E-6
52	3704990514.331374	2.876132	-20.000000	24.680712	-1.394900E-5	-5.228229E-11	8.858380E-11	-2.110150E-7	-2.110175E-7	-2.110215E-7	-2.108949E-7	-2.109872E-7	-2.110162E-7	-1.886601E-6
53	3704990529.368210	2.990781	-20.000000	24.678709	-1.394900E-5	-5.183170E-11	8.859100E-11	-2.108498E-7	-2.108766E-7	-2.109034E-7	-2.108783E-7	-2.108770E-7	-2.108775E-7	-1.888622E-6
54	3704990544.966943	2.960165	-20.000000	24.671416	-1.395100E-5	-6.164450E-11	8.859440E-11	-4.584275E-7	-4.544901E-7	-3.895805E-7	-4.064399E-7	-4.272345E-7	-4.304650E-7	-1.817964E-6
55	3704990559.595020	2.875407	-20.000000	24.660281	-1.394200E-5	-4.952870E-11	8.862720E-11	-2.486474E-7	-2.483680E-7	-2.460636E-7	-2.714480E-7	-2.536317E-7	-2.485077E-7	-1.811299E-6
56	3704990574.766789	2.876964	-20.000000	24.656574	-1.395400E-5	-5.363408E-11	8.858580E-11	-2.308220E-7	-2.292789E-7	-2.259096E-7	-2.231362E-7	-2.272867E-7	-2.275942E-7	-1.858200E-6
57	3704990589.789890	2.855918	-20.000000	24.655701	-1.395200E-5	-4.787654E-11	8.866220E-11	-3.366856E-7	-3.261331E-7	-3.572761E-7	-2.807882E-7	-3.252207E-7	-3.314093E-7	-1.785412E-6
58	3704990604.693714	2.885521	-20.000000	24.668842	-1.395400E-5	-5.473548E-11	8.861850E-11	-2.032520E-7	-2.032239E-7	-2.031852E-7	-2.031612E-7	-2.032056E-7	-2.032046E-7	-1.888310E-6
59	3704990620.071683	2.883415	-20.000000	24.667948	-1.395500E-5	-5.568675E-11	8.862210E-11	-2.036207E-7	-2.036300E-7	-2.036422E-7	-2.036389E-7	-2.036330E-7	-2.036344E-7	-1.894960E-6
60	3704990635.297131	2.953618	-20.000000	24.665473	-1.394500E-5	-5.643764E-11	8.862380E-11	-2.046876E-7	-2.046680E-7	-2.046320E-7	-2.046208E-7	-2.046521E-7	-2.046500E-7	-1.897493E-6
