GCD Test
Bias: 5000.000000
CV_34254_025_PSS_HM_XX_DIODEQUARTER
Date/Time: 4/13/2021 6:06:01 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	3.8025E-10	1.6700E-10	3.9800E-10	5.7500E-10	3.8100E-10	-6.699347E-11	-6.648398E-11	-6.714401E-11	-6.759238E-11	-6.675351E-11	   23.0785	 -246.8610	   28.9696	 -246.8610	
  -10.0000	1.2750E-10	-5.7000E-11	2.1000E-11	1.2000E-10	4.2600E-10	-6.960079E-11	-6.946833E-11	-6.975678E-11	-6.947607E-11	-6.970198E-11	   23.0785	 -246.8610	   28.9741	 -246.8610	
  -15.0000	2.6050E-10	3.8600E-10	4.1000E-10	2.7600E-10	-3.0000E-11	-7.033327E-11	-7.054287E-11	-7.121390E-11	-6.978777E-11	-6.978855E-11	   23.0785	 -246.8610	   28.9671	 -246.8610	
  -20.0000	1.9000E-11	5.3000E-11	-1.9700E-10	1.2000E-11	2.0800E-10	-7.123111E-11	-7.126522E-11	-7.168426E-11	-7.115340E-11	-7.082156E-11	   23.0785	 -246.8610	   28.9633	 -246.8610	
  -25.0000	2.4000E-11	-2.0900E-10	-1.0500E-10	1.2000E-11	3.9800E-10	-7.409535E-11	-7.394500E-11	-7.389775E-11	-7.433797E-11	-7.420067E-11	   23.0785	 -246.8610	   28.9662	 -246.8610	
  -30.0000	7.9000E-11	3.7700E-10	1.7600E-10	3.9000E-11	-2.7600E-10	-7.615565E-11	-7.666288E-11	-7.577695E-11	-7.659812E-11	-7.558466E-11	   23.0810	 -246.8610	   28.9513	 -246.8610	
  -35.0000	-7.0250E-11	-1.4300E-10	-2.6500E-10	-7.4000E-11	2.0100E-10	-7.827363E-11	-7.812880E-11	-7.826243E-11	-7.815566E-11	-7.854765E-11	   23.0810	 -246.8610	   28.9747	 -246.8610	
  -40.0000	-7.2250E-11	1.3100E-10	5.8000E-11	-3.0100E-10	-1.7700E-10	-7.947339E-11	-8.013983E-11	-7.941789E-11	-7.909744E-11	-7.923842E-11	   23.0810	 -246.8610	   28.9677	 -246.8610	
  -45.0000	-1.7450E-10	-1.9000E-11	-3.4900E-10	-2.0200E-10	-1.2800E-10	-8.299774E-11	-8.298501E-11	-8.304735E-11	-8.297296E-11	-8.298563E-11	   23.0785	 -246.8610	   28.9677	 -246.8610	
  -50.0000	6.3500E-11	-6.4000E-11	2.3500E-10	6.4000E-11	1.9000E-11	-8.784596E-11	-8.743156E-11	-8.866189E-11	-8.763541E-11	-8.765497E-11	   23.0810	 -246.8610	   28.9614	 -246.8610	
