GCD Test
Bias: 5000.000000
IV_34254_014_PSS_HM_XX_DIODEQUARTER
Date/Time: 4/26/2021 12:25:41 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-1.273306E-10	-1.273306E-10	   22.9600	   23.3448	   19.7084	   -1.0669	
  -10.0000	-1.288271E-10	-1.288271E-10	   22.9600	   23.3448	   19.7084	   -1.0669	
  -15.0000	-1.301552E-10	-1.301552E-10	   22.9600	   23.3412	   19.6948	   -1.0793	
  -20.0000	-1.316372E-10	-1.316372E-10	   22.9600	   23.3412	   19.6948	   -1.0793	
  -25.0000	-1.331070E-10	-1.331070E-10	   22.9600	   23.3424	   19.6907	   -1.0812	
  -30.0000	-1.351353E-10	-1.351353E-10	   22.9600	   23.3424	   19.6907	   -1.0812	
  -35.0000	-1.364139E-10	-1.364139E-10	   22.9600	   23.3390	   19.6866	   -1.0868	
  -40.0000	-1.391345E-10	-1.391345E-10	   22.9600	   23.3390	   19.6866	   -1.0868	
  -45.0000	-1.424409E-10	-1.424409E-10	   22.9574	   23.3315	   19.6863	   -1.0932	
  -50.0000	-1.459042E-10	-1.459042E-10	   22.9574	   23.3315	   19.6863	   -1.0932	
  -55.0000	-1.501868E-10	-1.501868E-10	   22.9600	   23.3322	   19.6872	   -1.0920	
  -60.0000	-1.539269E-10	-1.539269E-10	   22.9600	   23.3322	   19.6872	   -1.0920	
  -65.0000	-1.561098E-10	-1.561098E-10	   22.9574	   23.3352	   19.6806	   -1.0941	
  -70.0000	-1.583551E-10	-1.583551E-10	   22.9600	   23.3326	   19.6891	   -1.0903	
  -75.0000	-1.595910E-10	-1.595910E-10	   22.9600	   23.3326	   19.6891	   -1.0903	
  -80.0000	-1.614211E-10	-1.614211E-10	   22.9600	   23.3326	   19.6891	   -1.0903	
  -85.0000	-1.623225E-10	-1.623225E-10	   22.9574	   23.3326	   19.6983	   -1.0840	
  -90.0000	-1.629017E-10	-1.629017E-10	   22.9574	   23.3329	   19.6898	   -1.0897	
  -95.0000	-1.626878E-10	-1.626878E-10	   22.9574	   23.3329	   19.6898	   -1.0897	
 -100.0000	-1.629571E-10	-1.629571E-10	   22.9574	   23.3329	   19.6977	   -1.0842	
 -105.0000	-1.635176E-10	-1.635176E-10	   22.9574	   23.3329	   19.6977	   -1.0842	
 -110.0000	-1.637827E-10	-1.637827E-10	   22.9600	   23.3326	   19.7024	   -1.0811	
 -115.0000	-1.637311E-10	-1.637311E-10	   22.9600	   23.3326	   19.7024	   -1.0811	
 -120.0000	-1.644591E-10	-1.644591E-10	   22.9574	   23.3313	   19.7062	   -1.0796	
 -125.0000	-1.643948E-10	-1.643948E-10	   22.9574	   23.3240	   19.7097	   -1.0832	
 -130.0000	-1.648330E-10	-1.648330E-10	   22.9574	   23.3240	   19.7097	   -1.0832	
 -135.0000	-1.644574E-10	-1.644574E-10	   22.9574	   23.3284	   19.7135	   -1.0769	
 -140.0000	-1.649375E-10	-1.649375E-10	   22.9574	   23.3284	   19.7135	   -1.0769	
 -145.0000	-1.652467E-10	-1.652467E-10	   22.9574	   23.3284	   19.7293	   -1.0661	
 -150.0000	-1.648821E-10	-1.648821E-10	   22.9574	   23.3284	   19.7293	   -1.0661	
 -155.0000	-1.658260E-10	-1.658260E-10	   22.9600	   23.3275	   19.7410	   -1.0587	
 -160.0000	-1.654127E-10	-1.654127E-10	   22.9574	   23.3247	   19.7293	   -1.0691	
 -165.0000	-1.659003E-10	-1.659003E-10	   22.9574	   23.3247	   19.7293	   -1.0691	
 -170.0000	-1.658837E-10	-1.658837E-10	   22.9600	   23.3234	   19.7331	   -1.0675	
 -175.0000	-1.658415E-10	-1.658415E-10	   22.9600	   23.3234	   19.7331	   -1.0675	
 -180.0000	-1.658238E-10	-1.658238E-10	   22.9574	   23.3218	   19.7312	   -1.0702	
 -185.0000	-1.665435E-10	-1.665435E-10	   22.9574	   23.3218	   19.7312	   -1.0702	
 -190.0000	-1.662628E-10	-1.662628E-10	   22.9574	   23.3252	   19.7457	   -1.0573	
 -195.0000	-1.666229E-10	-1.666229E-10	   22.9574	   23.3272	   19.7483	   -1.0539	
 -200.0000	-1.666066E-10	-1.666066E-10	   22.9574	   23.3272	   19.7483	   -1.0539	
 -205.0000	-1.669183E-10	-1.669183E-10	   22.9574	   23.3272	   19.7577	   -1.0474	
 -210.0000	-1.672780E-10	-1.672780E-10	   22.9574	   23.3254	   19.7559	   -1.0502	
 -215.0000	-1.672699E-10	-1.672699E-10	   22.9574	   23.3254	   19.7559	   -1.0502	
 -220.0000	-1.673082E-10	-1.673082E-10	   22.9574	   23.3254	   19.7546	   -1.0511	
 -225.0000	-1.675207E-10	-1.675207E-10	   22.9574	   23.3254	   19.7546	   -1.0511	
 -230.0000	-1.677720E-10	-1.677720E-10	   22.9600	   23.3216	   19.7682	   -1.0448	
 -235.0000	-1.682179E-10	-1.682179E-10	   22.9600	   23.3216	   19.7682	   -1.0448	
 -240.0000	-1.677693E-10	-1.677693E-10	   22.9600	   23.3187	   19.7641	   -1.0500	
 -245.0000	-1.683133E-10	-1.683133E-10	   22.9600	   23.3187	   19.7641	   -1.0500	
 -250.0000	-1.683317E-10	-1.683317E-10	   22.9600	   23.3247	   19.7799	   -1.0341	
 -255.0000	-1.685904E-10	-1.685904E-10	   22.9574	   23.3256	   19.7808	   -1.0327	
 -260.0000	-1.689458E-10	-1.689458E-10	   22.9574	   23.3256	   19.7808	   -1.0327	
 -265.0000	-1.691253E-10	-1.691253E-10	   22.9574	   23.3219	   19.7872	   -1.0314	
 -270.0000	-1.690870E-10	-1.690870E-10	   22.9574	   23.3219	   19.7872	   -1.0314	
 -275.0000	-1.693416E-10	-1.693416E-10	   22.9600	   23.3245	   19.7919	   -1.0261	
 -280.0000	-1.693597E-10	-1.693597E-10	   22.9574	   23.3210	   19.7903	   -1.0300	
 -285.0000	-1.689517E-10	-1.689517E-10	   22.9574	   23.3210	   19.7903	   -1.0300	
 -290.0000	-1.696026E-10	-1.696026E-10	   22.9574	   23.3192	   19.7916	   -1.0306	
 -295.0000	-1.698539E-10	-1.698539E-10	   22.9574	   23.3192	   19.7916	   -1.0306	
