34340_007_PSS_HM_XX_IrradSensor
Date/Time: 4/21/2021 4:25:49 PM
Sensor Name: 34340_007_PSS_HM_XX_IrradSensor
Type: P
Annealing Status: Not Irradiated
Environment: RT
Tester: Eric Spencer
Notes: 

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	4.442E-10	4.063E-7	   28.1328	   27.3171	    3.2263	    0.0000	
  -10.0000	3.058E-10	9.165E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -15.0000	2.448E-10	6.101E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -20.0000	2.136E-10	4.933E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -25.0000	1.884E-10	4.256E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -30.0000	1.718E-10	4.432E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -35.0000	1.589E-10	2.958E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -40.0000	1.475E-10	3.170E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -45.0000	1.370E-10	3.496E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -50.0000	1.296E-10	3.779E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -55.0000	1.220E-10	3.243E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -60.0000	1.174E-10	2.419E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -65.0000	1.116E-10	3.194E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -70.0000	1.105E-10	2.064E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -75.0000	1.067E-10	2.011E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -80.0000	1.008E-10	3.107E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -85.0000	9.507E-11	2.337E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -90.0000	9.250E-11	1.879E-8	   28.1328	   27.3171	    3.2263	    0.0000	
  -95.0000	8.915E-11	1.998E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -100.0000	8.880E-11	1.635E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -105.0000	8.590E-11	1.733E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -110.0000	8.303E-11	2.317E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -115.0000	8.198E-11	1.931E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -120.0000	8.250E-11	2.076E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -125.0000	7.802E-11	1.589E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -130.0000	7.716E-11	2.357E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -135.0000	7.795E-11	1.618E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -140.0000	7.596E-11	1.331E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -145.0000	7.446E-11	1.458E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -150.0000	7.232E-11	1.996E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -155.0000	7.203E-11	1.601E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -160.0000	7.003E-11	1.672E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -165.0000	7.045E-11	1.638E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -170.0000	6.785E-11	1.615E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -175.0000	6.744E-11	1.915E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -180.0000	6.692E-11	1.609E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -185.0000	6.577E-11	2.463E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -190.0000	6.568E-11	1.401E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -195.0000	6.470E-11	1.252E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -200.0000	6.385E-11	1.980E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -205.0000	6.324E-11	1.496E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -210.0000	6.228E-11	1.909E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -215.0000	6.142E-11	1.405E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -220.0000	6.076E-11	1.234E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -225.0000	5.910E-11	1.456E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -230.0000	5.794E-11	1.882E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -235.0000	5.790E-11	1.278E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -240.0000	5.645E-11	2.561E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -245.0000	5.641E-11	1.619E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -250.0000	5.648E-11	1.433E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -255.0000	5.577E-11	1.466E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -260.0000	5.732E-11	1.089E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -265.0000	5.535E-11	2.140E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -270.0000	5.710E-11	9.631E-9	   28.1328	   27.3171	    3.2263	    0.0000	
 -275.0000	5.551E-11	2.374E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -280.0000	5.767E-11	1.922E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -285.0000	5.494E-11	1.221E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -290.0000	5.652E-11	1.265E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -295.0000	5.716E-11	1.661E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -300.0000	5.544E-11	1.574E-8	   28.1328	   27.3171	    3.2263	    0.0000	
 -305.0000	5.454E-11	1.857E-8	   28.1328	   27.3171	    3.2263	    0.0000	
