GCD Test
Bias: 5000.000000
CV_34340_014_PSS_HM_XX_DIODEHALFPSTOP_GRConnected
Date/Time: 7/2/2021 4:34:59 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.937E-11	1.542E+9	   20.2793	   19.6995	    7.0196	  -17.0309	
  -10.0000	1.507E-11	2.149E+9	   20.2124	   19.7023	    7.0171	  -17.0331	
  -15.0000	1.310E-11	2.253E+9	   20.0862	   19.6926	    6.9997	  -17.0697	
  -20.0000	1.190E-11	2.219E+9	   19.9575	   19.6974	    7.0092	  -17.0501	
  -25.0000	1.108E-11	2.416E+9	   19.9575	   19.6974	    7.0092	  -17.0501	
  -30.0000	1.049E-11	2.247E+9	   19.7980	   19.6974	    7.0057	  -17.0560	
  -35.0000	1.001E-11	2.143E+9	   19.7362	   19.6854	    6.9987	  -17.0766	
  -40.0000	9.620E-12	2.307E+9	   19.7027	   19.6907	    6.9991	  -17.0722	
  -45.0000	9.302E-12	2.249E+9	   19.7182	   19.6887	    7.0085	  -17.0576	
  -50.0000	9.028E-12	2.255E+9	   19.7825	   19.6811	    7.0013	  -17.0755	
  -55.0000	8.798E-12	2.340E+9	   19.8880	   19.6841	    7.0079	  -17.0621	
  -60.0000	8.598E-12	2.370E+9	   20.0373	   19.6996	    7.0089	  -17.0490	
  -65.0000	8.422E-12	2.191E+9	   20.1789	   19.7058	    7.0114	  -17.0402	
  -70.0000	8.265E-12	2.484E+9	   20.3230	   19.7079	    7.0057	  -17.0482	
  -75.0000	8.121E-12	2.322E+9	   20.4131	   19.7137	    7.0127	  -17.0322	
  -80.0000	7.993E-12	2.376E+9	   20.4620	   19.7202	    7.0139	  -17.0253	
  -85.0000	7.877E-12	2.345E+9	   20.4492	   19.7234	    7.0240	  -17.0059	
  -90.0000	7.772E-12	2.334E+9	   20.3951	   19.7198	    7.0196	  -17.0160	
  -95.0000	7.672E-12	2.414E+9	   20.3050	   19.7322	    7.0155	  -17.0138	
 -100.0000	7.582E-12	2.483E+9	   20.2124	   19.7231	    7.0206	  -17.0120	
 -105.0000	7.497E-12	2.401E+9	   20.1042	   19.7219	    7.0117	  -17.0278	
 -110.0000	7.420E-12	2.375E+9	   20.0064	   19.7154	    7.0139	  -17.0288	
 -115.0000	7.347E-12	2.634E+9	   19.9164	   19.7177	    7.0051	  -17.0421	
 -120.0000	7.276E-12	2.525E+9	   19.8572	   19.7101	    7.0076	  -17.0434	
 -125.0000	7.215E-12	2.657E+9	   19.8288	   19.7105	    7.0025	  -17.0517	
 -130.0000	7.153E-12	2.633E+9	   19.8366	   19.7040	    7.0066	  -17.0496	
 -135.0000	7.098E-12	2.521E+9	   19.8777	   19.7060	    6.9984	  -17.0620	
 -140.0000	7.042E-12	2.582E+9	   19.9575	   19.7010	    7.0085	  -17.0486	
 -145.0000	6.990E-12	2.584E+9	   20.0579	   19.7176	    7.0174	  -17.0214	
 -150.0000	6.941E-12	2.512E+9	   20.1557	   19.7128	    7.0199	  -17.0206	
 -155.0000	6.897E-12	2.643E+9	   20.2407	   19.7172	    7.0171	  -17.0221	
 -160.0000	6.852E-12	2.527E+9	   20.3256	   19.7225	    7.0304	  -16.9958	
 -165.0000	6.809E-12	2.569E+9	   20.3385	   19.7253	    7.0244	  -17.0039	
 -170.0000	6.765E-12	2.573E+9	   20.3076	   19.7200	    7.0237	  -17.0089	
 -175.0000	6.725E-12	2.434E+9	   20.2484	   19.7127	    7.0300	  -17.0035	
 -180.0000	6.688E-12	2.568E+9	   20.0605	   19.7120	    7.0190	  -17.0228	
 -185.0000	6.654E-12	2.684E+9	   20.0605	   19.7120	    7.0190	  -17.0228	
 -190.0000	6.618E-12	2.609E+9	   19.9086	   19.7107	    7.0028	  -17.0511	
 -195.0000	6.578E-12	2.495E+9	   19.7285	   19.7039	    7.0089	  -17.0459	
 -200.0000	6.546E-12	2.536E+9	   19.7182	   19.7119	    7.0073	  -17.0427	
 -205.0000	6.515E-12	2.578E+9	   19.7594	   19.7069	    7.0092	  -17.0431	
 -210.0000	6.481E-12	2.645E+9	   19.8494	   19.7019	    7.0183	  -17.0313	
 -215.0000	6.455E-12	2.702E+9	   20.0476	   19.7106	    7.0316	  -17.0025	
 -220.0000	6.430E-12	2.582E+9	   20.2124	   19.7129	    7.0310	  -17.0019	
 -225.0000	6.414E-12	2.682E+9	   20.3462	   19.7228	    7.0345	  -16.9886	
 -230.0000	6.403E-12	2.563E+9	   20.4543	   19.7281	    7.0291	  -16.9938	
 -235.0000	6.396E-12	2.586E+9	   20.4929	   19.7254	    7.0364	  -16.9835	
 -240.0000	6.387E-12	2.642E+9	   20.4414	   19.7318	    7.0269	  -16.9949	
 -245.0000	6.383E-12	2.600E+9	   20.3153	   19.7396	    7.0256	  -16.9912	
 -250.0000	6.384E-12	2.584E+9	   20.2201	   19.7241	    7.0164	  -17.0182	
 -255.0000	6.379E-12	2.607E+9	   20.1068	   19.7283	    7.0177	  -17.0129	
 -260.0000	6.379E-12	2.509E+9	   20.0116	   19.7225	    7.0092	  -17.0317	
 -265.0000	6.373E-12	2.606E+9	   19.9241	   19.7187	    7.0028	  -17.0452	
 -270.0000	6.377E-12	2.698E+9	   19.8674	   19.7131	    7.0127	  -17.0327	
 -275.0000	6.374E-12	2.713E+9	   19.8469	   19.7082	    7.0022	  -17.0539	
 -280.0000	6.372E-12	2.478E+9	   19.8726	   19.7051	    7.0104	  -17.0423	
 -285.0000	6.370E-12	2.554E+9	   19.9266	   19.7036	    7.0199	  -17.0273	
 -290.0000	6.376E-12	2.819E+9	   20.0193	   19.7044	    7.0111	  -17.0418	
 -295.0000	6.367E-12	2.659E+9	   20.0193	   19.7044	    7.0111	  -17.0418	
 -300.0000	6.370E-12	2.784E+9	   20.2613	   19.7176	    7.0212	  -17.0149	
 -305.0000	6.371E-12	2.561E+9	   20.2613	   19.7176	    7.0212	  -17.0149	
 -310.0000	6.368E-12	2.623E+9	   20.3822	   19.7242	    7.0259	  -17.0020	
 -315.0000	6.368E-12	2.639E+9	   20.3591	   19.7304	    7.0291	  -16.9922	
 -320.0000	6.368E-12	2.597E+9	   20.2973	   19.7323	    7.0187	  -17.0084	
 -325.0000	6.365E-12	2.636E+9	   20.1943	   19.7282	    7.0234	  -17.0034	
 -330.0000	6.366E-12	2.542E+9	   20.0862	   19.7230	    7.0155	  -17.0206	
 -335.0000	6.365E-12	2.642E+9	   19.9884	   19.7171	    7.0171	  -17.0223	
 -340.0000	6.366E-12	2.676E+9	   19.8983	   19.7159	    7.0085	  -17.0375	
 -345.0000	6.365E-12	2.692E+9	   19.8391	   19.7119	    7.0152	  -17.0293	
 -350.0000	6.365E-12	2.614E+9	   19.8134	   19.7069	    7.0013	  -17.0565	
 -355.0000	6.364E-12	2.790E+9	   19.8263	   19.7109	    7.0101	  -17.0386	
 -360.0000	6.362E-12	2.609E+9	   19.8700	   19.7091	    7.0145	  -17.0324	
 -365.0000	6.363E-12	2.605E+9	   19.9704	   19.7033	    7.0158	  -17.0345	
 -370.0000	6.364E-12	2.509E+9	   20.0811	   19.7033	    7.0278	  -17.0142	
 -375.0000	6.366E-12	2.566E+9	   20.1789	   19.7128	    7.0247	  -17.0125	
 -380.0000	6.363E-12	2.647E+9	   20.2484	   19.7175	    7.0269	  -17.0054	
 -385.0000	6.360E-12	2.524E+9	   20.2921	   19.7189	    7.0310	  -16.9974	
 -390.0000	6.364E-12	2.663E+9	   20.2973	   19.7280	    7.0174	  -17.0137	
 -395.0000	6.363E-12	2.595E+9	   20.2613	   19.7252	    7.0386	  -16.9800	
 -400.0000	6.365E-12	2.694E+9	   20.1918	   19.7267	    7.0225	  -17.0061	
 -410.0000	6.362E-12	2.623E+9	   20.1042	   19.7307	    7.0275	  -16.9946	
 -420.0000	6.364E-12	2.590E+9	   19.9781	   19.7219	    7.0187	  -17.0160	
 -430.0000	6.364E-12	2.558E+9	   19.8520	   19.7219	    7.0206	  -17.0128	
 -440.0000	6.364E-12	2.676E+9	   19.7799	   19.7179	    7.0142	  -17.0264	
 -450.0000	6.358E-12	2.663E+9	   19.7362	   19.6995	    7.0256	  -17.0208	
 -460.0000	6.360E-12	2.670E+9	   19.7413	   19.7044	    7.0234	  -17.0209	
 -470.0000	6.358E-12	2.667E+9	   19.7413	   19.7044	    7.0234	  -17.0209	
 -480.0000	6.357E-12	2.600E+9	   19.8623	   19.7044	    7.0133	  -17.0380	
 -490.0000	6.355E-12	2.734E+9	   19.9653	   19.7198	    7.0202	  -17.0149	
 -500.0000	0.000E+0	0.000E+0	    0.0000	    0.0000	    0.0000	    0.0000	
