GCD Test
Bias: 5000.000000
IV_34340_014_PSS_HM_XX_DIODEQUARTER
Date/Time: 7/2/2021 4:40:33 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	2.3300E-10	2.3300E-10	-3.170519E-11	-3.170519E-11	   19.8134	   19.7673	    9.2998	  -13.0704	
  -10.0000	1.3300E-10	1.3300E-10	-3.322221E-11	-3.322221E-11	   19.8134	   19.7621	    9.2998	  -13.5956	
  -15.0000	1.2100E-10	1.2100E-10	-3.432918E-11	-3.432918E-11	   19.7465	   19.7621	    8.8102	  -13.5956	
  -20.0000	2.0100E-10	2.0100E-10	-3.539989E-11	-3.539989E-11	   19.7645	   19.7708	    8.8102	  -14.2487	
  -25.0000	2.5000E-11	2.5000E-11	-3.724346E-11	-3.724346E-11	   19.8288	   19.7736	    8.4146	  -14.5602	
  -30.0000	2.4000E-11	2.4000E-11	-3.966535E-11	-3.966535E-11	   19.9318	   19.7736	    8.2530	  -14.8040	
  -35.0000	8.6000E-11	8.6000E-11	-4.197257E-11	-4.197257E-11	   19.9318	   19.7851	    8.2530	  -15.0299	
  -40.0000	1.0000E-11	1.0000E-11	-4.421949E-11	-4.421949E-11	   20.0862	   19.7917	    8.0965	  -15.2560	
  -45.0000	 0.0000E+0	 0.0000E+0	-4.705797E-11	-4.705797E-11	   20.2046	   19.7977	    7.9991	  -15.3973	
  -50.0000	-1.2000E-11	-1.2000E-11	-4.928941E-11	-4.928941E-11	   20.3205	   19.7968	    7.9004	  -15.5472	
  -55.0000	-4.7000E-11	-4.7000E-11	-5.204255E-11	-5.204255E-11	   20.3951	   19.7981	    7.8147	  -15.6773	
  -60.0000	-1.5000E-10	-1.5000E-10	-5.392277E-11	-5.392277E-11	   20.4131	   19.8054	    7.7407	  -15.7861	
  -65.0000	-8.9000E-11	-8.9000E-11	-5.527824E-11	-5.527824E-11	   20.3771	   19.8130	    7.6856	  -15.8660	
  -70.0000	-1.9000E-10	-1.9000E-10	-5.533326E-11	-5.533326E-11	   20.2973	   19.8038	    7.6104	  -15.9907	
  -75.0000	-1.7100E-10	-1.7100E-10	-5.567589E-11	-5.567589E-11	   20.1995	   19.8059	    7.5569	  -16.0736	
  -80.0000	-2.2700E-10	-2.2700E-10	-5.562497E-11	-5.562497E-11	   20.0142	   19.8059	    7.4725	  -16.0736	
  -85.0000	-1.4100E-10	-1.4100E-10	-5.634323E-11	-5.634323E-11	   20.0142	   19.8008	    7.4725	  -16.2117	
  -90.0000	-2.1300E-10	-2.1300E-10	-5.669443E-11	-5.669443E-11	   19.8494	   19.7994	    7.4077	  -16.3168	
  -95.0000	-1.7800E-10	-1.7800E-10	-5.673172E-11	-5.673172E-11	   19.7748	   19.7994	    7.4077	  -16.3168	
 -100.0000	-2.2300E-10	-2.2300E-10	-5.806459E-11	-5.806459E-11	   19.7645	   19.7888	    7.3378	  -16.3947	
 -105.0000	-1.8100E-10	-1.8100E-10	-5.938360E-11	-5.938360E-11	   19.7980	   19.7888	    7.3378	  -16.4378	
 -110.0000	-1.6600E-10	-1.6600E-10	-6.124774E-11	-6.124774E-11	   19.8700	   19.8018	    7.2938	  -16.4998	
 -115.0000	-2.7700E-10	-2.7700E-10	-6.194158E-11	-6.194158E-11	   20.0245	   19.8018	    7.2805	  -16.4998	
 -120.0000	-1.8400E-10	-1.8400E-10	-6.358327E-11	-6.358327E-11	   20.0245	   19.8051	    7.2805	  -16.5191	
 -125.0000	-1.7100E-10	-1.7100E-10	-6.440157E-11	-6.440157E-11	   20.1866	   19.8046	    7.2568	  -16.5584	
 -130.0000	-2.1300E-10	-2.1300E-10	-6.500536E-11	-6.500536E-11	   20.3256	   19.8130	    7.2483	  -16.5662	
 -135.0000	-2.4200E-10	-2.4200E-10	-6.433905E-11	-6.433905E-11	   20.4234	   19.8207	    7.2287	  -16.5928	
 -140.0000	-2.1200E-10	-2.1200E-10	-6.391880E-11	-6.391880E-11	   20.4775	   19.8232	    7.2188	  -16.6071	
 -145.0000	-2.5100E-10	-2.5100E-10	-6.275722E-11	-6.275722E-11	   20.4698	   19.8305	    7.2173	  -16.6043	
 -150.0000	-2.8800E-10	-2.8800E-10	-6.153802E-11	-6.153802E-11	   20.4054	   19.8412	    7.1844	  -16.6508	
 -155.0000	-3.7300E-10	-3.7300E-10	-6.085642E-11	-6.085642E-11	   20.3153	   19.8325	    7.1755	  -16.6719	
