GCD Test
Bias: 5000.000000
IV_34341_012_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 6/30/2021 1:17:21 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-8.5000E-11	-8.5000E-11	-4.449604E-11	-4.449604E-11	   19.7233	   17.2285	    8.1436	  -17.1054	
  -10.0000	-5.5000E-11	-5.5000E-11	-5.104818E-11	-5.104818E-11	   19.8366	   17.2419	    8.1458	  -17.0922	
  -15.0000	-9.0000E-11	-9.0000E-11	-5.970509E-11	-5.970509E-11	   20.0142	   17.2380	    8.1429	  -17.0992	
  -20.0000	-8.1000E-11	-8.1000E-11	-6.154930E-11	-6.154930E-11	   20.1248	   17.2380	    8.1429	  -17.0992	
  -25.0000	-1.4300E-10	-1.4300E-10	-6.324438E-11	-6.324438E-11	   20.1943	   17.2638	    8.1335	  -17.0937	
  -30.0000	-1.0600E-10	-1.0600E-10	-6.371070E-11	-6.371070E-11	   20.2149	   17.2679	    8.1344	  -17.0892	
  -35.0000	-1.6400E-10	-1.6400E-10	-6.354018E-11	-6.354018E-11	   20.1866	   17.2675	    8.1290	  -17.0974	
  -40.0000	-1.2700E-10	-1.2700E-10	-6.308405E-11	-6.308405E-11	   20.1068	   17.2767	    8.1192	  -17.0895	
  -45.0000	-2.6700E-10	-2.6700E-10	-6.251023E-11	-6.251023E-11	   19.9961	   17.2767	    8.1183	  -17.1048	
  -50.0000	-3.1000E-10	-3.1000E-10	-6.233766E-11	-6.233766E-11	   19.9961	   17.2512	    8.1183	  -17.1253	
  -55.0000	-1.9600E-10	-1.9600E-10	-6.251467E-11	-6.251467E-11	   19.8443	   17.2477	    8.1113	  -17.1380	
  -60.0000	-3.5400E-10	-3.5400E-10	-6.257334E-11	-6.257334E-11	   19.7362	   17.2345	    8.1116	  -17.1475	
  -65.0000	-2.5400E-10	-2.5400E-10	-6.386895E-11	-6.386895E-11	   19.6410	   17.2245	    8.1101	  -17.1573	
  -70.0000	-3.1000E-10	-3.1000E-10	-6.578835E-11	-6.578835E-11	   19.6024	   17.2199	    8.1135	  -17.1557	
  -75.0000	-3.8400E-10	-3.8400E-10	-6.865965E-11	-6.865965E-11	   19.6127	   17.2346	    8.1214	  -17.1331	
  -80.0000	-3.9600E-10	-3.9600E-10	-7.131522E-11	-7.131522E-11	   19.6770	   17.2466	    8.1306	  -17.1107	
  -85.0000	-3.9000E-10	-3.9000E-10	-7.328102E-11	-7.328102E-11	   19.7722	   17.2374	    8.1319	  -17.1158	
  -90.0000	-3.9800E-10	-3.9800E-10	-7.571047E-11	-7.571047E-11	   19.8726	   17.2315	    8.1338	  -17.1174	
  -95.0000	-4.1600E-10	-4.1600E-10	-7.719526E-11	-7.719526E-11	   19.9884	   17.2394	    8.1331	  -17.1124	
 -100.0000	-3.1000E-10	-3.1000E-10	-7.870316E-11	-7.870316E-11	   20.1429	   17.2394	    8.1379	  -17.1124	
 -105.0000	-3.0100E-10	-3.0100E-10	-8.019269E-11	-8.019269E-11	   20.1840	   17.2380	    8.1379	  -17.1066	
 -110.0000	-3.4400E-10	-3.4400E-10	-8.098885E-11	-8.098885E-11	   20.1840	   17.2452	    8.1300	  -17.1127	
 -115.0000	-3.2400E-10	-3.2400E-10	-8.202511E-11	-8.202511E-11	   20.1351	   17.2292	    8.1455	  -17.1288	
 -120.0000	-3.8900E-10	-3.8900E-10	-8.306116E-11	-8.306116E-11	   20.0502	   17.2292	    8.1395	  -17.1021	
 -125.0000	-3.3300E-10	-3.3300E-10	-8.399396E-11	-8.399396E-11	   19.9421	   17.2260	    8.1398	  -17.1132	
 -130.0000	-3.3400E-10	-3.3400E-10	-8.572303E-11	-8.572303E-11	   19.8211	   17.2358	    8.1398	  -17.1055	
 -135.0000	-3.7700E-10	-3.7700E-10	-8.631727E-11	-8.631727E-11	   19.7130	   17.1994	    8.1306	  -17.1480	
 -140.0000	-3.7400E-10	-3.7400E-10	-8.820279E-11	-8.820279E-11	   19.6487	   17.1994	    8.1300	  -17.1461	
 -145.0000	-4.9700E-10	-4.9700E-10	-9.048313E-11	-9.048313E-11	   19.6255	   17.1822	    8.1433	  -17.1600	
 -150.0000	-5.3600E-10	-5.3600E-10	-9.340907E-11	-9.340907E-11	   19.6255	   17.1954	    8.1433	  -17.1307	
 -155.0000	-4.9400E-10	-4.9400E-10	-9.552074E-11	-9.552074E-11	   19.6744	   17.1882	    8.1407	  -17.1398	
 -160.0000	-4.3000E-10	-4.3000E-10	-9.806792E-11	-9.806792E-11	   19.7491	   17.1907	    8.1350	  -17.1462	
 -165.0000	-4.4400E-10	-4.4400E-10	-1.005558E-10	-1.005558E-10	   19.8494	   17.1893	    8.1474	  -17.1293	
 -170.0000	-4.5700E-10	-4.5700E-10	-1.021397E-10	-1.021397E-10	   19.9447	   17.2079	    8.1376	  -17.1296	
 -175.0000	-4.6500E-10	-4.6500E-10	-1.033041E-10	-1.033041E-10	   20.0502	   17.2098	    8.1423	  -17.1213	
 -180.0000	-5.4900E-10	-5.4900E-10	-1.036618E-10	-1.036618E-10	   20.1248	   17.2193	    8.1534	  -17.0981	
 -185.0000	-4.9400E-10	-4.9400E-10	-1.041591E-10	-1.041591E-10	   20.1737	   17.2268	    8.1417	  -17.1095	
 -190.0000	-5.1800E-10	-5.1800E-10	-1.032829E-10	-1.032829E-10	   20.1892	   17.2099	    8.1388	  -17.1262	
 -195.0000	-4.7800E-10	-4.7800E-10	-1.023772E-10	-1.023772E-10	   20.1583	   17.2066	    8.1369	  -17.1315	
 -200.0000	-5.4500E-10	-5.4500E-10	-1.006026E-10	-1.006026E-10	   20.0939	   17.1981	    8.1410	  -17.1319	
 -205.0000	-5.4800E-10	-5.4800E-10	-9.999866E-11	-9.999866E-11	   19.9936	   17.1882	    8.1341	  -17.1495	
 -210.0000	-4.5400E-10	-4.5400E-10	-9.910207E-11	-9.910207E-11	   19.8932	   17.1851	    8.1395	  -17.1439	
 -215.0000	-5.3800E-10	-5.3800E-10	-9.875194E-11	-9.875194E-11	   19.7825	   17.1715	    8.1357	  -17.1597	
 -220.0000	-6.1100E-10	-6.1100E-10	-9.957556E-11	-9.957556E-11	   19.7027	   17.1753	    8.1246	  -17.1730	
 -225.0000	-6.5800E-10	-6.5800E-10	-1.012986E-10	-1.012986E-10	   19.6487	   17.1622	    8.1205	  -17.1888	
 -230.0000	-5.7600E-10	-5.7600E-10	-1.029386E-10	-1.029386E-10	   19.6487	   17.1510	    8.1357	  -17.1750	
 -235.0000	-5.9300E-10	-5.9300E-10	-1.050148E-10	-1.050148E-10	   19.7027	   17.1589	    8.1335	  -17.1724	
 -240.0000	-6.2900E-10	-6.2900E-10	-1.067376E-10	-1.067376E-10	   19.7799	   17.1705	    8.1363	  -17.1595	
 -245.0000	-5.8900E-10	-5.8900E-10	-1.082995E-10	-1.082995E-10	   19.8855	   17.1826	    8.1322	  -17.1564	
 -250.0000	-6.5000E-10	-6.5000E-10	-1.089016E-10	-1.089016E-10	   19.9961	   17.1790	    8.1322	  -17.1591	
 -255.0000	-6.9300E-10	-6.9300E-10	-1.101754E-10	-1.101754E-10	   20.0888	   17.1950	    8.1328	  -17.1462	
 -260.0000	-5.8700E-10	-5.8700E-10	-1.102311E-10	-1.102311E-10	   20.1660	   17.1817	    8.1309	  -17.1589	
 -265.0000	-6.1200E-10	-6.1200E-10	-1.097591E-10	-1.097591E-10	   20.2021	   17.1927	    8.1290	  -17.1534	
 -270.0000	-6.4500E-10	-6.4500E-10	-1.087189E-10	-1.087189E-10	   20.1995	   17.1827	    8.1199	  -17.1743	
 -275.0000	-5.6700E-10	-5.6700E-10	-1.066863E-10	-1.066863E-10	   20.1480	   17.1832	    8.1262	  -17.1647	
 -280.0000	-6.6100E-10	-6.6100E-10	-1.049327E-10	-1.049327E-10	   20.0631	   17.1735	    8.1281	  -17.1692	
 -285.0000	-5.3600E-10	-5.3600E-10	-1.038449E-10	-1.038449E-10	   19.9447	   17.1644	    8.1173	  -17.1917	
 -290.0000	-6.2500E-10	-6.2500E-10	-1.028349E-10	-1.028349E-10	   19.7413	   17.1644	    8.1025	  -17.1917	
 -295.0000	-6.1700E-10	-6.1700E-10	-1.023250E-10	-1.023250E-10	   19.6513	   17.1549	    8.1025	  -17.2206	
 -300.0000	-6.6200E-10	-6.6200E-10	-1.034668E-10	-1.034668E-10	   19.6075	   17.1392	    8.1132	  -17.2208	
 -305.0000	-6.6600E-10	-6.6600E-10	-1.054622E-10	-1.054622E-10	   19.6229	   17.1392	    8.1088	  -17.2166	
 -310.0000	-6.6500E-10	-6.6500E-10	-1.074946E-10	-1.074946E-10	   19.6873	   17.1331	    8.1157	  -17.2277	
 -315.0000	-7.1100E-10	-7.1100E-10	-1.083887E-10	-1.083887E-10	   19.7696	   17.1244	    8.1230	  -17.2240	
 -320.0000	-7.0400E-10	-7.0400E-10	-1.104647E-10	-1.104647E-10	   19.8752	   17.1354	    8.1123	  -17.2051	
 -325.0000	-7.0800E-10	-7.0800E-10	-1.118711E-10	-1.118711E-10	   19.9678	   17.1440	    8.1148	  -17.2144	
 -330.0000	-8.1700E-10	-8.1700E-10	-1.124397E-10	-1.124397E-10	   20.0579	   17.1532	    8.1221	  -17.2039	
 -335.0000	-7.2500E-10	-7.2500E-10	-1.131933E-10	-1.131933E-10	   20.0579	   17.1518	    8.1221	  -17.1943	
 -340.0000	-8.5400E-10	-8.5400E-10	-1.124945E-10	-1.124945E-10	   20.1274	   17.1565	    8.1097	  -17.2087	
