GCD Test
Bias: 5000.000000
IV_34341_013_PSS_HM_XX_DIODEHALF
Date/Time: 4/28/2021 1:51:09 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-1.255143E-10	-1.255143E-10	   22.4267	   22.6268	    7.6328	  -13.8622	
  -10.0000	-1.402587E-10	-1.402587E-10	   22.4267	   22.6268	    7.6328	  -13.8622	
  -15.0000	-1.456766E-10	-1.456766E-10	   22.4242	   22.6243	    7.4949	  -14.0863	
  -20.0000	-1.476122E-10	-1.476122E-10	   22.4242	   22.6243	    7.4949	  -14.0863	
  -25.0000	-1.493332E-10	-1.493332E-10	   22.4242	   22.6267	    7.3412	  -14.3366	
  -30.0000	-1.512860E-10	-1.512860E-10	   22.4242	   22.6253	    7.2868	  -14.4280	
  -35.0000	-1.566430E-10	-1.566430E-10	   22.4242	   22.6253	    7.2868	  -14.4280	
  -40.0000	-1.551200E-10	-1.551200E-10	   22.4242	   22.6263	    7.1509	  -14.6557	
  -45.0000	-1.598191E-10	-1.598191E-10	   22.4242	   22.6231	    7.0677	  -14.7998	
  -50.0000	-1.626082E-10	-1.626082E-10	   22.4242	   22.6231	    7.0677	  -14.7998	
  -55.0000	-1.672812E-10	-1.672812E-10	   22.4242	   22.6203	    6.9984	  -14.9210	
  -60.0000	-1.717700E-10	-1.717700E-10	   22.4242	   22.6203	    6.9984	  -14.9210	
  -65.0000	-1.770978E-10	-1.770978E-10	   22.4242	   22.6215	    6.9077	  -15.0778	
  -70.0000	-1.806781E-10	-1.806781E-10	   22.4242	   22.6229	    6.8602	  -15.1599	
  -75.0000	-1.842324E-10	-1.842324E-10	   22.4242	   22.6229	    6.8602	  -15.1599	
  -80.0000	-1.881333E-10	-1.881333E-10	   22.4242	   22.6170	    6.7755	  -15.3142	
  -85.0000	-1.899371E-10	-1.899371E-10	   22.4242	   22.6176	    6.7445	  -15.3689	
  -90.0000	-1.862153E-10	-1.862153E-10	   22.4242	   22.6176	    6.7445	  -15.3689	
  -95.0000	-2.013256E-10	-2.013256E-10	   22.4242	   22.6188	    6.7138	  -15.4229	
 -100.0000	-2.015829E-10	-2.015829E-10	   22.4242	   22.6188	    6.7138	  -15.4229	
 -105.0000	-1.981326E-10	-1.981326E-10	   22.4242	   22.6190	    6.6682	  -15.5047	
 -110.0000	-1.991284E-10	-1.991284E-10	   22.4242	   22.6190	    6.6682	  -15.5047	
 -115.0000	-1.997289E-10	-1.997289E-10	   22.4242	   22.6162	    6.6031	  -15.6247	
 -120.0000	-2.006832E-10	-2.006832E-10	   22.4242	   22.6162	    6.6031	  -15.6247	
 -125.0000	-2.010598E-10	-2.010598E-10	   22.4242	   22.6136	    6.5617	  -15.7022	
 -130.0000	-2.015756E-10	-2.015756E-10	   22.4242	   22.6136	    6.5617	  -15.7022	
 -135.0000	-2.020556E-10	-2.020556E-10	   22.4242	   22.6180	    6.5455	  -15.7285	
 -140.0000	-2.025674E-10	-2.025674E-10	   22.4242	   22.6180	    6.5455	  -15.7285	
 -145.0000	-2.027731E-10	-2.027731E-10	   22.4242	   22.6140	    6.5269	  -15.7657	
 -150.0000	-2.029831E-10	-2.029831E-10	   22.4242	   22.6169	    6.5133	  -15.7886	
 -155.0000	-2.033060E-10	-2.033060E-10	   22.4242	   22.6169	    6.5133	  -15.7886	
 -160.0000	-2.031757E-10	-2.031757E-10	   22.4242	   22.6156	    6.5051	  -15.8047	
 -165.0000	-2.043316E-10	-2.043316E-10	   22.4242	   22.6156	    6.5051	  -15.8047	
 -170.0000	-2.035201E-10	-2.035201E-10	   22.4242	   22.6152	    6.4700	  -15.8698	
 -175.0000	-2.048584E-10	-2.048584E-10	   22.4242	   22.6125	    6.4564	  -15.8971	
 -180.0000	-2.053247E-10	-2.053247E-10	   22.4242	   22.6125	    6.4564	  -15.8971	
 -185.0000	-2.050471E-10	-2.050471E-10	   22.4242	   22.6125	    6.4434	  -15.9211	
 -190.0000	-2.071687E-10	-2.071687E-10	   22.4242	   22.6125	    6.4434	  -15.9211	
 -195.0000	-2.058483E-10	-2.058483E-10	   22.4242	   22.6140	    6.4279	  -15.9489	
 -200.0000	-2.068283E-10	-2.068283E-10	   22.4242	   22.6122	    6.4260	  -15.9538	
 -205.0000	-2.070609E-10	-2.070609E-10	   22.4242	   22.6122	    6.4260	  -15.9538	
 -210.0000	-2.082016E-10	-2.082016E-10	   22.4242	   22.6187	    6.4197	  -15.9608	
 -215.0000	-2.092134E-10	-2.092134E-10	   22.4242	   22.6187	    6.4197	  -15.9608	
 -220.0000	-2.080229E-10	-2.080229E-10	   22.4242	   22.6184	    6.3960	  -16.0054	
 -225.0000	-2.095770E-10	-2.095770E-10	   22.4242	   22.6184	    6.3960	  -16.0054	
 -230.0000	-2.099397E-10	-2.099397E-10	   22.4242	   22.6201	    6.3947	  -16.0065	
 -235.0000	-2.107264E-10	-2.107264E-10	   22.4242	   22.6201	    6.3947	  -16.0065	
 -240.0000	-2.101519E-10	-2.101519E-10	   22.4242	   22.6181	    6.3703	  -16.0536	
 -245.0000	-2.143076E-10	-2.143076E-10	   22.4242	   22.6181	    6.3789	  -16.0376	
 -250.0000	-2.125081E-10	-2.125081E-10	   22.4242	   22.6181	    6.3789	  -16.0376	
 -255.0000	-2.118268E-10	-2.118268E-10	   22.4216	   22.6178	    6.3725	  -16.0496	
 -260.0000	-2.134539E-10	-2.134539E-10	   22.4216	   22.6178	    6.3725	  -16.0496	
 -265.0000	-2.131475E-10	-2.131475E-10	   22.4242	   22.6149	    6.3476	  -16.0988	
 -270.0000	-2.127186E-10	-2.127186E-10	   22.4242	   22.6189	    6.3387	  -16.1126	
 -275.0000	-2.124048E-10	-2.124048E-10	   22.4242	   22.6189	    6.3387	  -16.1126	
 -280.0000	-2.126551E-10	-2.126551E-10	   22.4216	   22.6189	    6.3270	  -16.1347	
 -285.0000	-2.144369E-10	-2.144369E-10	   22.4216	   22.6114	    6.3077	  -16.1767	
 -290.0000	-2.142375E-10	-2.142375E-10	   22.4216	   22.6114	    6.3077	  -16.1767	
 -295.0000	-2.128321E-10	-2.128321E-10	   22.4242	   22.6145	    6.2995	  -16.1900	
 -300.0000	-2.124047E-10	-2.124047E-10	   22.4242	   22.6145	    6.2995	  -16.1900	
 -305.0000	-2.131837E-10	-2.131837E-10	   22.4216	   22.6160	    6.2976	  -16.1925	
 -310.0000	-2.128166E-10	-2.128166E-10	   22.4216	   22.6160	    6.2976	  -16.1925	
 -315.0000	-2.154392E-10	-2.154392E-10	   22.4216	   22.6154	    6.2932	  -16.2013	
 -320.0000	-2.160821E-10	-2.160821E-10	   22.4242	   22.6154	    6.2976	  -16.1929	
 -325.0000	-2.158399E-10	-2.158399E-10	   22.4242	   22.6154	    6.2976	  -16.1929	
 -330.0000	-2.159381E-10	-2.159381E-10	   22.4216	   22.6117	    6.2941	  -16.2022	
 -335.0000	-2.160612E-10	-2.160612E-10	   22.4216	   22.6117	    6.2941	  -16.2022	
 -340.0000	-2.175107E-10	-2.175107E-10	   22.4242	   22.6167	    6.2856	  -16.2148	
 -345.0000	-2.159320E-10	-2.159320E-10	   22.4242	   22.6167	    6.2856	  -16.2148	
 -350.0000	-2.180868E-10	-2.180868E-10	   22.4242	   22.6129	    6.2830	  -16.2224	
 -355.0000	-2.173550E-10	-2.173550E-10	   22.4242	   22.6136	    6.2837	  -16.2207	
 -360.0000	-2.182414E-10	-2.182414E-10	   22.4242	   22.6136	    6.2837	  -16.2207	
 -365.0000	-2.169860E-10	-2.169860E-10	   22.4242	   22.6157	    6.2925	  -16.2023	
 -370.0000	-2.201912E-10	-2.201912E-10	   22.4242	   22.6157	    6.2925	  -16.2023	
 -375.0000	-2.175502E-10	-2.175502E-10	   22.4216	   22.6221	    6.2944	  -16.1941	
 -380.0000	-2.184820E-10	-2.184820E-10	   22.4242	   22.6209	    6.2865	  -16.2099	
 -385.0000	-2.174915E-10	-2.174915E-10	   22.4242	   22.6209	    6.2865	  -16.2099	
 -390.0000	-2.184905E-10	-2.184905E-10	   22.4216	   22.6162	    6.2985	  -16.1905	
 -395.0000	-2.186768E-10	-2.186768E-10	   22.4216	   22.6162	    6.2985	  -16.1905	
 -400.0000	-2.192184E-10	-2.192184E-10	   22.4242	   22.6213	    6.2894	  -16.2043	
 -410.0000	-2.208536E-10	-2.208536E-10	   22.4242	   22.6150	    6.2903	  -16.2070	
 -420.0000	-2.218077E-10	-2.218077E-10	   22.4242	   22.6150	    6.2903	  -16.2070	
 -430.0000	-2.202893E-10	-2.202893E-10	   22.4242	   22.6195	    6.2862	  -16.2116	
 -440.0000	-2.209368E-10	-2.209368E-10	   22.4242	   22.6195	    6.2862	  -16.2116	
 -450.0000	-2.216553E-10	-2.216553E-10	   22.4242	   22.6175	    6.2704	  -16.2431	
 -460.0000	-2.213292E-10	-2.213292E-10	   22.4242	   22.6162	    6.2720	  -16.2410	
 -470.0000	-2.220240E-10	-2.220240E-10	   22.4242	   22.6162	    6.2720	  -16.2410	
 -480.0000	-2.225776E-10	-2.225776E-10	   22.4242	   22.6159	    6.2606	  -16.2630	
 -490.0000	-2.233962E-10	-2.233962E-10	   22.4242	   22.6159	    6.2606	  -16.2630	
 -500.0000	-2.234095E-10	-2.234095E-10	   22.4242	   22.6163	    6.2511	  -16.2808	
 -510.0000	-2.238626E-10	-2.238626E-10	   22.4242	   22.6163	    6.2511	  -16.2808	
 -520.0000	-2.208830E-10	-2.208830E-10	   22.4216	   22.6207	    6.2343	  -16.3097	
 -530.0000	-2.243979E-10	-2.243979E-10	   22.4216	   22.6207	    6.2343	  -16.3097	
