GCD Test
Bias: 5000.000000
IV_34341_024_PSS_HM_XX_DIODEHALF_Biased_Box
Date/Time: 7/22/2021 4:00:08 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-6.7200E-10	-6.7200E-10	7.303898E-10	7.303898E-10	   19.7594	   20.3254	   59.5664	   12.1863	
  -10.0000	-6.9200E-10	-6.9200E-10	3.645592E-10	3.645592E-10	   19.7594	   20.3171	   59.5664	   12.1908	
  -15.0000	-9.2200E-10	-9.2200E-10	2.830569E-10	2.830569E-10	   19.8108	   20.3423	   59.6392	   12.2330	
  -20.0000	-5.9400E-10	-5.9400E-10	1.242915E-10	1.242915E-10	   19.8829	   20.3423	   59.6249	   12.2330	
  -25.0000	-1.2290E-9	-1.2290E-9	-1.961365E-11	-1.961365E-11	   19.8829	   20.3170	   59.6249	   12.2056	
  -30.0000	-1.5370E-9	-1.5370E-9	-5.811604E-11	-5.811604E-11	   20.0116	   20.3427	   59.6442	   12.2346	
  -35.0000	-1.4120E-9	-1.4120E-9	-5.631035E-11	-5.631035E-11	   20.0116	   20.3427	   59.6442	   12.2346	
  -40.0000	-1.7790E-9	-1.7790E-9	-6.556938E-11	-6.556938E-11	   20.1248	   20.3254	   59.5936	   12.2056	
  -45.0000	-2.4830E-9	-2.4830E-9	-6.664783E-11	-6.664783E-11	   20.1995	   20.3493	   59.5797	   12.2244	
  -50.0000	-3.0100E-9	-3.0100E-9	-6.486577E-11	-6.486577E-11	   20.2716	   20.3493	   59.5727	   12.2244	
  -55.0000	-3.5960E-9	-3.5960E-9	-6.739300E-11	-6.739300E-11	   20.2716	   20.3354	   59.5727	   12.2096	
  -60.0000	-4.0750E-9	-4.0750E-9	-7.072713E-11	-7.072713E-11	   20.2690	   20.3359	   59.5183	   12.1962	
  -65.0000	-4.6530E-9	-4.6530E-9	-6.596823E-11	-6.596823E-11	   20.2381	   20.3418	   59.5073	   12.1989	
  -70.0000	-5.6220E-9	-5.6220E-9	-6.962889E-11	-6.962889E-11	   20.1789	   20.3306	   59.5212	   12.1919	
  -75.0000	-5.7050E-9	-5.7050E-9	-7.446700E-11	-7.446700E-11	   20.0528	   20.3306	   59.5553	   12.1919	
  -80.0000	-5.9920E-9	-5.9920E-9	-7.509729E-11	-7.509729E-11	   20.0528	   20.3439	   59.5553	   12.2132	
  -85.0000	-5.7080E-9	-5.7080E-9	-7.838088E-11	-7.838088E-11	   19.9550	   20.3439	   59.5474	   12.2111	
  -90.0000	-5.3680E-9	-5.3680E-9	-7.428694E-11	-7.428694E-11	   19.8700	   20.3643	   59.5335	   12.2267	
  -95.0000	-4.8940E-9	-4.8940E-9	-7.934281E-11	-7.934281E-11	   19.7799	   20.3643	   59.5417	   12.2267	
 -100.0000	-4.7250E-9	-4.7250E-9	-7.586629E-11	-7.586629E-11	   19.7799	   20.3643	   59.5417	   12.2288	
 -105.0000	-4.5200E-9	-4.5200E-9	-8.227664E-11	-8.227664E-11	   19.7491	   20.3425	   59.5332	   12.2061	
 -110.0000	-4.4460E-9	-4.4460E-9	-7.547517E-11	-7.547517E-11	   19.7748	   20.3425	   59.5525	   12.2061	
 -115.0000	-4.5440E-9	-4.5440E-9	-8.004500E-11	-8.004500E-11	   19.7748	   20.3256	   59.5525	   12.1952	
 -120.0000	-4.5400E-9	-4.5400E-9	-8.020940E-11	-8.020940E-11	   19.8366	   20.3257	   59.5772	   12.2016	
