GCD Test
Bias: 5000.000000
IV_34343_036_PSS_HM_XX_DIODEHALFPSTOP_Biased_Front
Date/Time: 7/15/2021 4:41:59 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-3.1000E-11	-3.1000E-11	-4.776678E-11	-4.776678E-11	   20.1223	   21.2036	   29.7147	    2.8169	
  -10.0000	-1.1500E-10	-1.1500E-10	-5.116610E-11	-5.116610E-11	   20.0888	   21.2003	   29.3662	    2.6481	
  -15.0000	-1.5900E-10	-1.5900E-10	-5.490624E-11	-5.490624E-11	   20.0528	   21.2017	   29.0753	    2.5093	
  -20.0000	-2.0200E-10	-2.0200E-10	-5.559499E-11	-5.559499E-11	   19.9961	   21.2017	   28.7375	    2.5093	
  -25.0000	-3.5200E-10	-3.5200E-10	-5.621124E-11	-5.621124E-11	   19.9961	   21.1965	   28.7375	    2.3409	
  -30.0000	-2.8500E-10	-2.8500E-10	-5.736221E-11	-5.736221E-11	   19.9292	   21.1965	   28.3934	    2.3409	
  -35.0000	-3.0300E-10	-3.0300E-10	-5.767511E-11	-5.767511E-11	   19.9292	   21.1925	   28.3934	    2.1686	
  -40.0000	-3.4800E-10	-3.4800E-10	-5.840867E-11	-5.840867E-11	   19.8855	   21.2022	   28.1739	    2.0683	
  -45.0000	-3.8600E-10	-3.8600E-10	-5.963786E-11	-5.963786E-11	   19.8674	   21.2022	   28.0127	    2.0683	
  -50.0000	-4.1700E-10	-4.1700E-10	-6.006522E-11	-6.006522E-11	   19.8674	   21.2042	   28.0127	    1.9897	
  -55.0000	-4.5500E-10	-4.5500E-10	-6.204509E-11	-6.204509E-11	   19.8700	   21.1983	   27.8960	    1.9263	
  -60.0000	-4.7100E-10	-4.7100E-10	-6.418077E-11	-6.418077E-11	   19.8880	   21.1944	   27.7989	    1.8743	
  -65.0000	-4.7600E-10	-4.7600E-10	-6.467680E-11	-6.467680E-11	   19.9395	   21.1944	   27.6616	    1.8743	
  -70.0000	-5.4700E-10	-5.4700E-10	-6.667685E-11	-6.667685E-11	   19.9395	   21.1973	   27.6616	    1.8075	
  -75.0000	-6.0700E-10	-6.0700E-10	-6.826578E-11	-6.826578E-11	   20.0039	   21.1977	   27.5525	    1.7528	
  -80.0000	-5.6000E-10	-5.6000E-10	-6.977344E-11	-6.977344E-11	   20.0785	   21.1977	   27.4696	    1.7528	
  -85.0000	-6.4900E-10	-6.4900E-10	-7.172133E-11	-7.172133E-11	   20.0785	   21.1977	   27.4696	    1.7107	
  -90.0000	-6.6200E-10	-6.6200E-10	-7.342864E-11	-7.342864E-11	   20.1506	   21.1977	   27.3662	    1.7107	
  -95.0000	-6.5700E-10	-6.5700E-10	-7.495239E-11	-7.495239E-11	   20.1506	   21.1977	   27.3662	    1.6581	
 -100.0000	-7.4700E-10	-7.4700E-10	-7.655375E-11	-7.655375E-11	   20.1789	   21.2040	   27.3030	    1.6312	
 -105.0000	-7.5800E-10	-7.5800E-10	-7.854523E-11	-7.854523E-11	   20.1789	   21.2040	   27.2359	    1.6312	
 -110.0000	-8.9400E-10	-8.9400E-10	-8.073083E-11	-8.073083E-11	   20.1789	   21.1978	   27.2359	    1.5917	
 -115.0000	-7.1900E-10	-7.1900E-10	-8.300322E-11	-8.300322E-11	   20.1506	   21.2025	   27.1695	    1.5617	
 -120.0000	-6.7900E-10	-6.7900E-10	-8.468119E-11	-8.468119E-11	   20.0811	   21.2025	   27.1221	    1.5617	
 -125.0000	-6.9500E-10	-6.9500E-10	-8.554125E-11	-8.554125E-11	   20.0296	   21.2025	   27.0958	    1.5373	
 -130.0000	-7.6600E-10	-7.6600E-10	-8.745733E-11	-8.745733E-11	   19.9833	   21.1914	   27.0724	    1.5143	
 -135.0000	-8.3900E-10	-8.3900E-10	-8.740152E-11	-8.740152E-11	   19.9472	   21.1945	   27.0389	    1.5049	
 -140.0000	-9.4000E-10	-9.4000E-10	-8.776474E-11	-8.776474E-11	   19.9215	   21.1948	   27.0130	    1.4879	
 -145.0000	-8.3900E-10	-8.3900E-10	-8.920636E-11	-8.920636E-11	   19.9215	   21.1969	   27.0130	    1.4763	
 -150.0000	-9.0000E-10	-9.0000E-10	-8.983665E-11	-8.983665E-11	   19.9138	   21.1846	   26.9978	    1.4580	
 -155.0000	-9.9000E-10	-9.9000E-10	-9.132253E-11	-9.132253E-11	   19.9241	   21.1768	   26.9855	    1.4450	
 -160.0000	-1.3600E-9	-1.3600E-9	-9.247511E-11	-9.247511E-11	   19.9472	   21.1830	   26.9677	    1.4411	
 -165.0000	-1.4470E-9	-1.4470E-9	-9.306773E-11	-9.306773E-11	   19.9833	   21.1872	   26.9402	    1.4306	
 -170.0000	-1.2940E-9	-1.2940E-9	-9.377580E-11	-9.377580E-11	   20.0219	   21.1863	   26.9314	    1.4252	
 -175.0000	-1.2440E-9	-1.2440E-9	-9.363258E-11	-9.363258E-11	   20.0656	   21.1827	   26.9067	    1.4094	
 -180.0000	-1.2380E-9	-1.2380E-9	-9.393043E-11	-9.393043E-11	   20.0991	   21.1919	   26.8953	    1.4113	
 -185.0000	-1.3110E-9	-1.3110E-9	-9.362019E-11	-9.362019E-11	   20.1248	   21.1879	   26.8877	    1.4040	
 -190.0000	-1.1420E-9	-1.1420E-9	-9.255192E-11	-9.255192E-11	   20.1351	   21.1881	   26.8805	    1.4004	
 -195.0000	-1.2030E-9	-1.2030E-9	-9.204472E-11	-9.204472E-11	   20.1300	   21.1853	   26.8580	    1.3864	
 -200.0000	-1.0730E-9	-1.0730E-9	-9.193857E-11	-9.193857E-11	   20.1068	   21.1960	   26.8412	    1.3868	
 -205.0000	-1.0350E-9	-1.0350E-9	-9.160672E-11	-9.160672E-11	   20.0734	   21.1910	   26.8336	    1.3786	
 -210.0000	-1.0050E-9	-1.0050E-9	-9.044898E-11	-9.044898E-11	   20.0322	   21.1874	   26.8270	    1.3721	
 -215.0000	-1.0450E-9	-1.0450E-9	-9.028706E-11	-9.028706E-11	   19.9833	   21.1802	   26.8166	    1.3605	
 -220.0000	-9.9600E-10	-9.9600E-10	-8.979859E-11	-8.979859E-11	   19.9369	   21.1687	   26.8182	    1.3515	
 -225.0000	-1.0180E-9	-1.0180E-9	-8.984279E-11	-8.984279E-11	   19.9035	   21.1788	   26.8020	    1.3518	
 -230.0000	-9.6700E-10	-9.6700E-10	-9.096542E-11	-9.096542E-11	   19.8777	   21.1722	   26.8046	    1.3475	
 -235.0000	-9.5100E-10	-9.5100E-10	-9.097950E-11	-9.097950E-11	   19.8829	   21.1722	   26.7960	    1.3475	
 -240.0000	-1.0180E-9	-1.0180E-9	-9.135434E-11	-9.135434E-11	   19.9112	   21.1776	   26.7960	    1.3476	
 -245.0000	-1.0600E-9	-1.0600E-9	-9.234272E-11	-9.234272E-11	   19.9524	   21.1737	   26.7824	    1.3450	
 -250.0000	-9.1700E-10	-9.1700E-10	-9.357069E-11	-9.357069E-11	   20.0039	   21.1737	   26.7856	    1.3373	
 -255.0000	-1.0320E-9	-1.0320E-9	-9.344499E-11	-9.344499E-11	   20.0502	   21.1814	   26.7808	    1.3455	
 -260.0000	-9.7400E-10	-9.7400E-10	-9.364278E-11	-9.364278E-11	   20.0965	   21.1768	   26.7868	    1.3391	
 -265.0000	-9.7600E-10	-9.7600E-10	-9.361185E-11	-9.361185E-11	   20.1274	   21.1756	   26.7755	    1.3412	
 -270.0000	-8.7900E-10	-8.7900E-10	-9.370350E-11	-9.370350E-11	   20.1274	   21.1728	   26.7755	    1.3329	
 -275.0000	-9.3900E-10	-9.3900E-10	-9.330342E-11	-9.330342E-11	   20.1429	   21.1732	   26.7660	    1.3283	
 -280.0000	-9.9100E-10	-9.9100E-10	-9.256353E-11	-9.256353E-11	   20.1351	   21.1762	   26.7565	    1.3259	
 -285.0000	-8.3400E-10	-8.3400E-10	-9.170267E-11	-9.170267E-11	   20.1145	   21.1726	   26.7527	    1.3209	
 -290.0000	-8.3000E-10	-8.3000E-10	-9.067887E-11	-9.067887E-11	   20.0734	   21.1692	   26.7457	    1.3143	
 -295.0000	-8.3100E-10	-8.3100E-10	-9.080472E-11	-9.080472E-11	   20.0347	   21.1677	   26.7489	    1.3147	
 -300.0000	-8.3700E-10	-8.3700E-10	-8.980306E-11	-8.980306E-11	   19.9858	   21.1664	   26.7359	    1.3069	
 -305.0000	-8.2000E-10	-8.2000E-10	-8.941706E-11	-8.941706E-11	   19.9472	   21.1709	   26.7306	    1.3079	
 -310.0000	-7.9100E-10	-7.9100E-10	-8.966453E-11	-8.966453E-11	   19.9086	   21.1642	   26.7404	    1.3073	
 -315.0000	-8.3000E-10	-8.3000E-10	-8.957591E-11	-8.957591E-11	   19.8880	   21.1679	   26.7385	    1.3095	
 -320.0000	-8.6600E-10	-8.6600E-10	-9.009601E-11	-9.009601E-11	   19.8803	   21.1662	   26.7356	    1.3065	
 -325.0000	-8.4600E-10	-8.4600E-10	-9.115732E-11	-9.115732E-11	   19.8906	   21.1657	   26.7369	    1.3068	
 -330.0000	-9.3100E-10	-9.3100E-10	-9.210336E-11	-9.210336E-11	   19.9189	   21.1695	   26.7407	    1.3120	
 -335.0000	-8.0000E-10	-8.0000E-10	-9.297481E-11	-9.297481E-11	   19.9627	   21.1662	   26.7426	    1.3102	
 -340.0000	-8.9900E-10	-8.9900E-10	-9.324411E-11	-9.324411E-11	   20.0090	   21.1719	   26.7410	    1.3142	
 -345.0000	-9.2400E-10	-9.2400E-10	-9.350140E-11	-9.350140E-11	   20.0631	   21.1659	   26.7438	    1.3106	
 -350.0000	-9.3700E-10	-9.3700E-10	-9.374134E-11	-9.374134E-11	   20.1094	   21.1783	   26.7321	    1.3151	
 -355.0000	-9.2600E-10	-9.2600E-10	-9.323866E-11	-9.323866E-11	   20.1403	   21.1742	   26.7283	    1.3096	
 -360.0000	-8.5800E-10	-8.5800E-10	-9.305369E-11	-9.305369E-11	   20.1583	   21.1720	   26.7302	    1.3087	
 -365.0000	-8.9700E-10	-8.9700E-10	-9.197602E-11	-9.197602E-11	   20.1506	   21.1759	   26.7318	    1.3128	
 -370.0000	-8.9200E-10	-8.9200E-10	-9.191919E-11	-9.191919E-11	   20.0939	   21.1759	   26.7198	    1.3128	
 -375.0000	-8.8800E-10	-8.8800E-10	-9.073498E-11	-9.073498E-11	   20.0476	   21.1697	   26.7198	    1.3013	
 -380.0000	-9.0500E-10	-9.0500E-10	-9.008826E-11	-9.008826E-11	   19.9987	   21.1601	   26.7128	    1.2940	
 -385.0000	-8.8300E-10	-8.8300E-10	-9.013816E-11	-9.013816E-11	   19.9575	   21.1601	   26.7182	    1.2895	
 -390.0000	-7.7000E-10	-7.7000E-10	-9.067944E-11	-9.067944E-11	   19.9241	   21.1569	   26.7173	    1.2896	
 -395.0000	-8.6200E-10	-8.6200E-10	-9.030153E-11	-9.030153E-11	   19.9061	   21.1581	   26.7138	    1.2901	
 -400.0000	-8.8000E-10	-8.8000E-10	-9.096298E-11	-9.096298E-11	   19.9061	   21.1658	   26.7138	    1.2949	
 -410.0000	-8.9700E-10	-8.9700E-10	-9.112775E-11	-9.112775E-11	   19.9061	   21.1569	   26.7195	    1.2903	
 -420.0000	-8.9500E-10	-8.9500E-10	-9.150358E-11	-9.150358E-11	   19.9241	   21.1582	   26.7249	    1.2941	
 -430.0000	-8.6900E-10	-8.6900E-10	-9.156980E-11	-9.156980E-11	   19.9498	   21.1590	   26.7230	    1.2938	
 -440.0000	-8.7200E-10	-8.7200E-10	-9.223149E-11	-9.223149E-11	   19.9884	   21.1517	   26.7258	    1.2891	
 -450.0000	-8.7100E-10	-8.7100E-10	-9.308258E-11	-9.308258E-11	   20.0270	   21.1533	   26.7217	    1.2883	
 -460.0000	-8.8600E-10	-8.8600E-10	-9.307625E-11	-9.307625E-11	   20.0682	   21.1526	   26.7312	    1.2926	
 -470.0000	-8.8100E-10	-8.8100E-10	-9.308050E-11	-9.308050E-11	   20.1042	   21.1603	   26.7192	    1.2930	
 -480.0000	-8.8000E-10	-8.8000E-10	-9.227669E-11	-9.227669E-11	   20.1223	   21.1578	   26.7261	    1.2944	
 -490.0000	-8.8800E-10	-8.8800E-10	-9.250769E-11	-9.250769E-11	   20.1300	   21.1606	   26.7331	    1.3005	
 -500.0000	-8.3100E-10	-8.3100E-10	-9.144083E-11	-9.144083E-11	   20.1197	   21.1621	   26.7233	    1.2966	
 -510.0000	-8.6400E-10	-8.6400E-10	-9.105971E-11	-9.105971E-11	   20.0914	   21.1609	   26.7302	    1.2992	
 -520.0000	-7.2800E-10	-7.2800E-10	-9.054002E-11	-9.054002E-11	   20.0553	   21.1612	   26.7268	    1.2977	
 -530.0000	-8.3500E-10	-8.3500E-10	-9.030394E-11	-9.030394E-11	   20.0090	   21.1614	   26.7315	    1.3003	
 -540.0000	-7.0100E-10	-7.0100E-10	-8.968791E-11	-8.968791E-11	   19.9653	   21.1543	   26.7337	    1.2954	
 -550.0000	-8.3000E-10	-8.3000E-10	-8.936663E-11	-8.936663E-11	   19.9215	   21.1507	   26.7460	    1.2988	
 -560.0000	-7.3400E-10	-7.3400E-10	-8.944935E-11	-8.944935E-11	   19.8880	   21.1515	   26.7416	    1.2971	
 -570.0000	-7.1400E-10	-7.1400E-10	-8.996556E-11	-8.996556E-11	   19.8700	   21.1440	   26.7483	    1.2942	
 -580.0000	-8.3500E-10	-8.3500E-10	-9.024930E-11	-9.024930E-11	   19.8726	   21.1466	   26.7464	    1.2954	
 -590.0000	-7.9800E-10	-7.9800E-10	-9.111281E-11	-9.111281E-11	   19.9189	   21.1466	   26.7559	    1.2954	
 -600.0000	-8.3200E-10	-8.3200E-10	-9.230051E-11	-9.230051E-11	   19.9189	   21.1422	   26.7559	    1.2966	
 -610.0000	-8.1500E-10	-8.1500E-10	-9.221717E-11	-9.221717E-11	   20.0090	   21.1475	   26.7685	    1.3077	
 -620.0000	-8.5300E-10	-8.5300E-10	-9.340628E-11	-9.340628E-11	   20.0785	   21.1475	   26.7628	    1.3077	
 -630.0000	-7.1600E-10	-7.1600E-10	-9.353046E-11	-9.353046E-11	   20.1223	   21.1510	   26.7619	    1.3077	
 -640.0000	-8.3400E-10	-8.3400E-10	-9.340542E-11	-9.340542E-11	   20.1531	   21.1472	   26.7638	    1.3040	
 -650.0000	-8.1000E-10	-8.1000E-10	-9.260564E-11	-9.260564E-11	   20.1609	   21.1516	   26.7638	    1.3088	
 -660.0000	-7.9500E-10	-7.9500E-10	-9.240949E-11	-9.240949E-11	   20.1429	   21.1540	   26.7694	    1.3108	
 -670.0000	-8.0300E-10	-8.0300E-10	-9.157648E-11	-9.157648E-11	   20.1145	   21.1510	   26.7647	    1.3112	
 -680.0000	-8.2800E-10	-8.2800E-10	-9.093785E-11	-9.093785E-11	   20.0682	   21.1531	   26.7565	    1.3105	
 -690.0000	-8.3600E-10	-8.3600E-10	-9.079036E-11	-9.079036E-11	   20.0193	   21.1490	   26.7634	    1.3027	
 -700.0000	-6.8900E-10	-6.8900E-10	-8.999039E-11	-8.999039E-11	   20.0193	   21.1590	   26.7634	    1.3148	
 -710.0000	-8.1000E-10	-8.1000E-10	-9.025949E-11	-9.025949E-11	   19.9678	   21.1459	   26.7615	    1.3027	
 -720.0000	-8.0700E-10	-8.0700E-10	-8.971475E-11	-8.971475E-11	   19.9318	   21.1447	   26.7710	    1.3066	
 -730.0000	-8.1500E-10	-8.1500E-10	-8.968604E-11	-8.968604E-11	   19.9009	   21.1426	   26.7660	    1.3022	
 -740.0000	-7.1300E-10	-7.1300E-10	-9.049457E-11	-9.049457E-11	   19.8906	   21.1401	   26.7707	    1.3025	
 -750.0000	-8.2900E-10	-8.2900E-10	-9.034139E-11	-9.034139E-11	   19.8932	   21.1361	   26.7723	    1.2999	
 -760.0000	-8.5000E-10	-8.5000E-10	-9.225523E-11	-9.225523E-11	   19.9164	   21.1360	   26.7758	    1.3017	
 -770.0000	-8.2100E-10	-8.2100E-10	-9.221655E-11	-9.221655E-11	   19.9524	   21.1371	   26.7808	    1.3052	
 -780.0000	-8.5200E-10	-8.5200E-10	-9.244631E-11	-9.244631E-11	   19.9987	   21.1395	   26.7919	    1.3130	
 -790.0000	-8.5600E-10	-8.5600E-10	-9.313669E-11	-9.313669E-11	   20.0450	   21.1374	   26.8027	    1.3168	
 -800.0000	-8.3300E-10	-8.3300E-10	-9.341213E-11	-9.341213E-11	   20.0939	   21.1460	   26.8033	    1.3245	
 -810.0000	-8.4900E-10	-8.4900E-10	-9.278429E-11	-9.278429E-11	   20.1274	   21.1428	   26.8020	    1.3211	
 -820.0000	-7.9200E-10	-7.9200E-10	-9.266447E-11	-9.266447E-11	   20.1506	   21.1461	   26.7982	    1.3219	
 -830.0000	-8.3900E-10	-8.3900E-10	-9.187185E-11	-9.187185E-11	   20.1506	   21.1402	   26.7982	    1.3169	
 -840.0000	-8.0000E-10	-8.0000E-10	-9.139373E-11	-9.139373E-11	   20.1326	   21.1507	   26.8030	    1.3283	
 -850.0000	-8.2100E-10	-8.2100E-10	-9.046748E-11	-9.046748E-11	   20.1017	   21.1406	   26.7992	    1.3177	
 -860.0000	-7.7900E-10	-7.7900E-10	-9.041880E-11	-9.041880E-11	   20.0579	   21.1413	   26.8087	    1.3233	
 -870.0000	-8.0200E-10	-8.0200E-10	-9.006328E-11	-9.006328E-11	   20.0064	   21.1445	   26.7963	    1.3196	
 -880.0000	-7.7500E-10	-7.7500E-10	-8.933893E-11	-8.933893E-11	   19.9653	   21.1452	   26.7935	    1.3187	
 -890.0000	-7.8700E-10	-7.8700E-10	-8.915189E-11	-8.915189E-11	   19.9215	   21.1422	   26.7992	    1.3191	
 -900.0000	-7.8600E-10	-7.8600E-10	-8.980540E-11	-8.980540E-11	   19.8932	   21.1435	   26.8074	    1.3244	
 -910.0000	-8.1700E-10	-8.1700E-10	-9.042038E-11	-9.042038E-11	   19.8803	   21.1331	   26.8112	    1.3175	
 -920.0000	-7.9000E-10	-7.9000E-10	-9.072127E-11	-9.072127E-11	   19.8855	   21.1280	   26.8147	    1.3150	
 -930.0000	-8.2000E-10	-8.2000E-10	-9.188690E-11	-9.188690E-11	   19.9086	   21.1375	   26.8131	    1.3223	
 -940.0000	-6.8100E-10	-6.8100E-10	-9.302218E-11	-9.302218E-11	   19.9447	   21.1359	   26.8242	    1.3267	
 -950.0000	-7.1600E-10	-7.1600E-10	-9.266305E-11	-9.266305E-11	   19.9961	   21.1333	   26.8280	    1.3264	
 -960.0000	-6.8800E-10	-6.8800E-10	-9.299670E-11	-9.299670E-11	   20.0528	   21.1420	   26.8112	    1.3252	
 -970.0000	-7.5200E-10	-7.5200E-10	-9.322122E-11	-9.322122E-11	   20.0991	   21.1425	   26.8175	    1.3288	
 -980.0000	-8.3000E-10	-8.3000E-10	-9.342695E-11	-9.342695E-11	   20.1531	   21.1426	   26.8197	    1.3301	
 -990.0000	-7.7400E-10	-7.7400E-10	-9.291181E-11	-9.291181E-11	   20.1531	   21.1426	   26.8197	    1.3301	
-1000.0000	-6.9800E-10	-6.9800E-10	-9.268260E-11	-9.268260E-11	   20.1583	   21.1426	   26.8163	    1.3283	
