GCD Test
Bias: 5000.000000
CV_36697_036_PSS_HM_XX_DIODE
Date/Time: 9/24/2021 1:57:29 PM
Sensor Name: 36697_036_DIODE
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.023E-10	7.345E+8	   21.0464	   21.8767	    9.6739	  -11.5026	
  -10.0000	7.435E-11	9.291E+8	   21.0258	   21.8676	    9.6657	  -11.5201	
  -15.0000	6.164E-11	8.069E+8	   21.0104	   21.7306	    9.6673	  -11.6222	
  -20.0000	5.247E-11	8.310E+8	   20.9924	   21.8312	    9.6626	  -11.5519	
  -25.0000	4.447E-11	1.004E+9	   20.9769	   21.8700	    9.6559	  -11.5309	
  -30.0000	3.978E-11	1.196E+9	   20.9615	   21.7086	    9.6452	  -11.6675	
  -35.0000	3.694E-11	1.154E+9	   20.9435	   21.7861	    9.6338	  -11.6233	
  -40.0000	3.375E-11	1.129E+8	   20.9280	   21.8121	    9.6287	  -11.6100	
  -45.0000	2.895E-11	1.074E+9	   20.9126	   21.8400	    9.6208	  -11.5990	
  -50.0000	2.775E-11	1.082E+9	   20.8971	   21.7925	    9.6309	  -11.6221	
  -55.0000	2.671E-11	1.140E+9	   20.8842	   21.7889	    9.6410	  -11.6118	
  -60.0000	2.581E-11	1.183E+9	   20.8688	   21.8359	    9.6360	  -11.5825	
  -65.0000	2.501E-11	1.310E+9	   20.8508	   21.8359	    9.6227	  -11.5997	
  -70.0000	2.430E-11	1.388E+9	   20.8379	   21.7479	    9.6082	  -11.6854	
  -75.0000	2.367E-11	1.380E+9	   20.8225	   21.7729	    9.5819	  -11.7005	
  -80.0000	2.308E-11	1.420E+9	   20.8096	   21.8439	    9.5607	  -11.6740	
  -85.0000	2.256E-11	1.507E+9	   20.7967	   21.8264	    9.5633	  -11.6841	
  -90.0000	2.208E-11	1.625E+9	   20.7813	   21.8313	    9.5579	  -11.6874	
  -95.0000	2.163E-11	1.559E+9	   20.7684	   21.7622	    9.5670	  -11.7279	
