GCD Test
Bias: 5000.000000
IV_37398_031_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 11/8/2021 5:15:59 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated and not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-9.5000E-11	-9.5000E-11	-6.344759E-11	-6.344759E-11	   20.0708	   21.6975	    6.8251	  -15.8991	
  -10.0000	-7.0000E-12	-7.0000E-12	-6.496463E-11	-6.496463E-11	   20.0708	   21.6970	    6.7827	  -15.9740	
  -15.0000	-5.5000E-11	-5.5000E-11	-7.089978E-11	-7.089978E-11	   20.0708	   21.6979	    6.7467	  -16.0372	
  -20.0000	-6.3000E-11	-6.3000E-11	-7.255921E-11	-7.255921E-11	   20.0708	   21.6967	    6.7075	  -16.1079	
  -25.0000	-1.1100E-10	-1.1100E-10	-7.365394E-11	-7.365394E-11	   20.0708	   21.6970	    6.6793	  -16.1579	
  -30.0000	-1.4200E-10	-1.4200E-10	-7.470511E-11	-7.470511E-11	   20.0708	   21.6946	    6.6578	  -16.1982	
  -35.0000	-2.3000E-10	-2.3000E-10	-7.517854E-11	-7.517854E-11	   20.0734	   21.7035	    6.6392	  -16.2253	
  -40.0000	-2.3800E-10	-2.3800E-10	-7.638491E-11	-7.638491E-11	   20.0734	   21.6986	    6.6227	  -16.2585	
  -45.0000	-1.8100E-10	-1.8100E-10	-7.778462E-11	-7.778462E-11	   20.0734	   21.7006	    6.6214	  -16.2593	
  -50.0000	-1.3200E-10	-1.3200E-10	-7.869539E-11	-7.869539E-11	   20.0734	   21.7008	    6.6031	  -16.2923	
  -55.0000	-2.1400E-10	-2.1400E-10	-8.008124E-11	-8.008124E-11	   20.0708	   21.6951	    6.5901	  -16.3199	
  -60.0000	-2.9300E-10	-2.9300E-10	-8.145916E-11	-8.145916E-11	   20.0708	   21.7029	    6.5829	  -16.3274	
  -65.0000	-3.0300E-10	-3.0300E-10	-8.305750E-11	-8.305750E-11	   20.0708	   21.6999	    6.5743	  -16.3451	
  -70.0000	-3.0900E-10	-3.0900E-10	-8.455599E-11	-8.455599E-11	   20.0708	   21.7008	    6.5731	  -16.3468	
  -75.0000	-2.3300E-10	-2.3300E-10	-8.667377E-11	-8.667377E-11	   20.0708	   21.7008	    6.5626	  -16.3468	
  -80.0000	-1.9600E-10	-1.9600E-10	-8.849922E-11	-8.849922E-11	   20.0708	   21.7034	    6.5626	  -16.3638	
  -85.0000	-2.9700E-10	-2.9700E-10	-9.154591E-11	-9.154591E-11	   20.0734	   21.7019	    6.5547	  -16.3793	
  -90.0000	-2.1800E-10	-2.1800E-10	-9.554113E-11	-9.554113E-11	   20.0734	   21.7019	    6.5553	  -16.3793	
  -95.0000	-3.4600E-10	-3.4600E-10	-1.004290E-10	-1.004290E-10	   20.0734	   21.7026	    6.5541	  -16.3776	
 -100.0000	-2.4400E-10	-2.4400E-10	-1.045495E-10	-1.045495E-10	   20.0734	   21.7001	    6.5557	  -16.3818	
 -105.0000	-2.5200E-10	-2.5200E-10	-1.066680E-10	-1.066680E-10	   20.0708	   21.6959	    6.5497	  -16.3819	
 -110.0000	-2.9800E-10	-2.9800E-10	-1.073993E-10	-1.073993E-10	   20.0708	   21.7015	    6.5509	  -16.3888	
 -115.0000	-2.4600E-10	-2.4600E-10	-1.088003E-10	-1.088003E-10	   20.0734	   21.6995	    6.5550	  -16.3879	
 -120.0000	-2.8900E-10	-2.8900E-10	-1.091148E-10	-1.091148E-10	   20.0734	   21.6969	    6.5550	  -16.3823	
 -125.0000	-3.2900E-10	-3.2900E-10	-1.097186E-10	-1.097186E-10	   20.0708	   21.6949	    6.5515	  -16.3901	
 -130.0000	-3.4200E-10	-3.4200E-10	-1.104444E-10	-1.104444E-10	   20.0708	   21.6953	    6.5553	  -16.3830	
 -135.0000	-2.5900E-10	-2.5900E-10	-1.114473E-10	-1.114473E-10	   20.0734	   21.6987	    6.5629	  -16.3667	
 -140.0000	-3.9900E-10	-3.9900E-10	-1.115864E-10	-1.115864E-10	   20.0734	   21.6943	    6.5402	  -16.4113	
 -145.0000	-2.8700E-10	-2.8700E-10	-1.121947E-10	-1.121947E-10	   20.0708	   21.6940	    6.5506	  -16.3926	
 -150.0000	-3.0500E-10	-3.0500E-10	-1.125661E-10	-1.125661E-10	   20.0708	   21.6895	    6.5544	  -16.3889	
 -155.0000	-2.9500E-10	-2.9500E-10	-1.140715E-10	-1.140715E-10	   20.0708	   21.6930	    6.5512	  -16.3921	
 -160.0000	-3.7800E-10	-3.7800E-10	-1.141219E-10	-1.141219E-10	   20.0708	   21.6916	    6.5534	  -16.3891	
 -165.0000	-3.0400E-10	-3.0400E-10	-1.145297E-10	-1.145297E-10	   20.0708	   21.6965	    6.5538	  -16.3849	
 -170.0000	-3.2200E-10	-3.2200E-10	-1.150594E-10	-1.150594E-10	   20.0708	   21.6900	    6.5531	  -16.3908	
 -175.0000	-3.1200E-10	-3.1200E-10	-1.158715E-10	-1.158715E-10	   20.0708	   21.6928	    6.5538	  -16.3876	
 -180.0000	-3.6000E-10	-3.6000E-10	-1.157184E-10	-1.157184E-10	   20.0708	   21.6918	    6.5563	  -16.3838	
 -185.0000	-3.7400E-10	-3.7400E-10	-1.169086E-10	-1.169086E-10	   20.0708	   21.6912	    6.5544	  -16.3877	
 -190.0000	-3.7800E-10	-3.7800E-10	-1.174797E-10	-1.174797E-10	   20.0708	   21.6926	    6.5528	  -16.3895	
 -195.0000	-3.8400E-10	-3.8400E-10	-1.179949E-10	-1.179949E-10	   20.0708	   21.6893	    6.5471	  -16.4023	
 -200.0000	-3.4900E-10	-3.4900E-10	-1.187879E-10	-1.187879E-10	   20.0708	   21.6913	    6.5452	  -16.4043	
