GCD Test
Bias: 5000.000000
IV_37398_012_PSS_HM_XX_DIODEHALF
Date/Time: 11/8/2021 2:24:20 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Not Irradiated and not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.7500E-10	1.7500E-10	-6.246240E-11	-6.246240E-11	   20.0605	   21.6636	    6.8273	  -15.9200	
  -10.0000	9.0000E-11	9.0000E-11	-6.416219E-11	-6.416219E-11	   20.0605	   21.6650	    6.7650	  -16.0288	
  -15.0000	1.2900E-10	1.2900E-10	-6.630584E-11	-6.630584E-11	   20.0605	   21.6640	    6.7166	  -16.1154	
  -20.0000	1.4400E-10	1.4400E-10	-6.844971E-11	-6.844971E-11	   20.0605	   21.6640	    6.6837	  -16.1154	
  -25.0000	1.3300E-10	1.3300E-10	-7.083253E-11	-7.083253E-11	   20.0605	   21.6683	    6.6692	  -16.1710	
  -30.0000	5.5000E-11	5.5000E-11	-7.531890E-11	-7.531890E-11	   20.0579	   21.6704	    6.6401	  -16.1955	
  -35.0000	-7.1000E-11	-7.1000E-11	-8.194651E-11	-8.194651E-11	   20.0579	   21.6675	    6.6278	  -16.2498	
  -40.0000	-3.0000E-11	-3.0000E-11	-9.059310E-11	-9.059310E-11	   20.0605	   21.6664	    6.6097	  -16.2728	
  -45.0000	-1.1000E-10	-1.1000E-10	-9.344770E-11	-9.344770E-11	   20.0579	   21.6696	    6.5977	  -16.3030	
  -50.0000	-1.1400E-10	-1.1400E-10	-9.877217E-11	-9.877217E-11	   20.0579	   21.6698	    6.5977	  -16.3246	
  -55.0000	-1.0200E-10	-1.0200E-10	-1.002843E-10	-1.002843E-10	   20.0605	   21.6707	    6.5769	  -16.3618	
  -60.0000	-1.1200E-10	-1.1200E-10	-1.018268E-10	-1.018268E-10	   20.0605	   21.6733	    6.5702	  -16.3720	
  -65.0000	-4.5000E-11	-4.5000E-11	-1.021240E-10	-1.021240E-10	   20.0605	   21.6662	    6.5769	  -16.3651	
  -70.0000	-2.0900E-10	-2.0900E-10	-1.034975E-10	-1.034975E-10	   20.0579	   21.6673	    6.5557	  -16.4028	
  -75.0000	-8.3000E-11	-8.3000E-11	-1.041382E-10	-1.041382E-10	   20.0579	   21.6704	    6.5563	  -16.3993	
  -80.0000	-2.2500E-10	-2.2500E-10	-1.048668E-10	-1.048668E-10	   20.0605	   21.6739	    6.5440	  -16.4193	
  -85.0000	-1.6400E-10	-1.6400E-10	-1.049221E-10	-1.049221E-10	   20.0605	   21.6714	    6.5351	  -16.4373	
  -90.0000	-2.5100E-10	-2.5100E-10	-1.056784E-10	-1.056784E-10	   20.0605	   21.6722	    6.5323	  -16.4419	
  -95.0000	-1.9500E-10	-1.9500E-10	-1.058359E-10	-1.058359E-10	   20.0605	   21.6691	    6.5335	  -16.4418	
 -100.0000	-1.7400E-10	-1.7400E-10	-1.065092E-10	-1.065092E-10	   20.0579	   21.6715	    6.5376	  -16.4326	
 -105.0000	-1.5900E-10	-1.5900E-10	-1.064299E-10	-1.064299E-10	   20.0605	   21.6716	    6.5323	  -16.4423	
 -110.0000	-3.0400E-10	-3.0400E-10	-1.068728E-10	-1.068728E-10	   20.0605	   21.6719	    6.5237	  -16.4577	
 -115.0000	-2.7300E-10	-2.7300E-10	-1.072183E-10	-1.072183E-10	   20.0605	   21.6727	    6.5218	  -16.4606	
 -120.0000	-1.8300E-10	-1.8300E-10	-1.077198E-10	-1.077198E-10	   20.0579	   21.6721	    6.5133	  -16.4766	
 -125.0000	-1.7800E-10	-1.7800E-10	-1.078634E-10	-1.078634E-10	   20.0579	   21.6773	    6.5139	  -16.4717	
 -130.0000	-3.0600E-10	-3.0600E-10	-1.084732E-10	-1.084732E-10	   20.0579	   21.6757	    6.5095	  -16.4810	
 -135.0000	-1.9400E-10	-1.9400E-10	-1.083556E-10	-1.083556E-10	   20.0605	   21.6743	    6.5120	  -16.4773	
 -140.0000	-1.9300E-10	-1.9300E-10	-1.090778E-10	-1.090778E-10	   20.0605	   21.6744	    6.5066	  -16.4871	
 -145.0000	-3.2100E-10	-3.2100E-10	-1.095155E-10	-1.095155E-10	   20.0579	   21.6700	    6.5095	  -16.4851	
 -150.0000	-3.5300E-10	-3.5300E-10	-1.094290E-10	-1.094290E-10	   20.0579	   21.6739	    6.5187	  -16.4655	
 -155.0000	-3.4900E-10	-3.4900E-10	-1.099114E-10	-1.099114E-10	   20.0605	   21.6695	    6.5114	  -16.4820	
 -160.0000	-2.2500E-10	-2.2500E-10	-1.103593E-10	-1.103593E-10	   20.0605	   21.6680	    6.5098	  -16.4860	
 -165.0000	-2.9300E-10	-2.9300E-10	-1.102316E-10	-1.102316E-10	   20.0605	   21.6767	    6.5063	  -16.4860	
