GCD Test
Bias: 5000.000000
CV_37895_001_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 12/17/2021 10:31:25 AM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Unirradiated 
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	2.700E-11	6.999E+8	   20.0965	   21.6205	   23.2144	   -0.2599	
  -10.0000	1.924E-11	1.165E+9	   20.0965	   21.6202	   23.2113	   -0.2621	
  -15.0000	1.550E-11	1.467E+9	   20.0965	   21.6202	   23.2245	   -0.2542	
  -20.0000	1.290E-11	1.732E+9	   20.0965	   21.6202	   23.2245	   -0.2542	
  -25.0000	1.054E-11	2.035E+9	   20.0965	   21.6152	   23.2394	   -0.2496	
  -30.0000	8.991E-12	2.792E+9	   20.0965	   21.6152	   23.2394	   -0.2496	
  -35.0000	8.015E-12	3.003E+9	   20.0965	   21.6101	   23.2407	   -0.2532	
  -40.0000	7.326E-12	3.157E+9	   20.0965	   21.6146	   23.2479	   -0.2451	
  -45.0000	6.830E-12	3.023E+9	   20.0991	   21.6145	   23.2536	   -0.2419	
  -50.0000	6.447E-12	2.459E+9	   20.0991	   21.6134	   23.2514	   -0.2441	
  -55.0000	6.125E-12	1.418E+9	   20.0965	   21.6165	   23.2498	   -0.2424	
  -60.0000	5.727E-12	3.571E+8	   20.0965	   21.6172	   23.2672	   -0.2316	
  -65.0000	4.590E-12	2.071E+8	   20.0991	   21.6203	   23.2476	   -0.2405	
  -70.0000	3.879E-12	7.989E+8	   20.0965	   21.6232	   23.2634	   -0.2288	
  -75.0000	3.717E-12	2.999E+9	   20.0991	   21.6199	   23.2657	   -0.2302	
  -80.0000	3.594E-12	3.774E+9	   20.0991	   21.6169	   23.2830	   -0.2225	
  -85.0000	3.486E-12	3.814E+9	   20.0991	   21.6197	   23.2796	   -0.2221	
  -90.0000	3.379E-12	4.271E+9	   20.0991	   21.6208	   23.2736	   -0.2248	
  -95.0000	3.290E-12	4.605E+9	   20.0991	   21.6214	   23.2846	   -0.2177	
 -100.0000	3.200E-12	4.693E+9	   20.0965	   21.6217	   23.2897	   -0.2145	
 -105.0000	3.122E-12	5.184E+9	   20.0965	   21.6207	   23.2985	   -0.2102	
 -110.0000	3.051E-12	5.419E+9	   20.0965	   21.6220	   23.2944	   -0.2115	
 -115.0000	2.981E-12	5.752E+9	   20.0939	   21.6196	   23.3046	   -0.2075	
 -120.0000	2.916E-12	6.450E+9	   20.0965	   21.6240	   23.3175	   -0.1962	
 -125.0000	2.857E-12	6.827E+9	   20.0965	   21.6237	   23.3156	   -0.1976	
 -130.0000	2.800E-12	5.905E+9	   20.0965	   21.6159	   23.3257	   -0.1982	
 -135.0000	2.747E-12	6.765E+9	   20.0939	   21.6197	   23.3235	   -0.1963	
 -140.0000	2.696E-12	7.282E+9	   20.0914	   21.6193	   23.3238	   -0.1964	
 -145.0000	2.646E-12	6.327E+9	   20.0939	   21.6205	   23.3254	   -0.1945	
 -150.0000	2.599E-12	7.696E+9	   20.0914	   21.6194	   23.3349	   -0.1899	
 -155.0000	2.556E-12	7.024E+9	   20.0914	   21.6231	   23.3371	   -0.1854	
 -160.0000	2.514E-12	6.738E+9	   20.0939	   21.6241	   23.3422	   -0.1816	
 -165.0000	2.477E-12	6.812E+9	   20.0888	   21.6222	   23.3406	   -0.1841	
 -170.0000	2.436E-12	6.909E+9	   20.0914	   21.6196	   23.3416	   -0.1857	
 -175.0000	2.400E-12	6.867E+9	   20.0888	   21.6198	   23.3510	   -0.1800	
 -180.0000	2.362E-12	6.595E+9	   20.0888	   21.6198	   23.3548	   -0.1778	
 -185.0000	2.327E-12	6.823E+9	   20.0862	   21.6174	   23.3640	   -0.1744	
 -190.0000	2.291E-12	6.900E+9	   20.0862	   21.6236	   23.3590	   -0.1722	
 -195.0000	2.258E-12	8.401E+9	   20.0837	   21.6224	   23.3624	   -0.1711	
 -200.0000	2.225E-12	8.442E+9	   20.0862	   21.6219	   23.3571	   -0.1747	
 -205.0000	2.192E-12	7.279E+9	   20.0837	   21.6198	   23.3653	   -0.1716	
 -210.0000	2.170E-12	7.915E+9	   20.0837	   21.6191	   23.3703	   -0.1692	
 -215.0000	2.145E-12	8.213E+9	   20.0811	   21.6225	   23.3792	   -0.1612	
 -220.0000	2.133E-12	7.589E+9	   20.0785	   21.6227	   23.3782	   -0.1616	
 -225.0000	2.123E-12	9.092E+9	   20.0811	   21.6241	   23.3880	   -0.1546	
 -230.0000	2.110E-12	6.759E+9	   20.0785	   21.6189	   23.3820	   -0.1625	
 -235.0000	2.104E-12	8.695E+9	   20.0759	   21.6216	   23.3824	   -0.1601	
 -240.0000	2.100E-12	7.558E+9	   20.0759	   21.6190	   23.3887	   -0.1586	
 -245.0000	2.097E-12	8.735E+9	   20.0734	   21.6161	   23.3944	   -0.1577	
 -250.0000	2.091E-12	8.676E+9	   20.0734	   21.6192	   23.3963	   -0.1539	
 -255.0000	2.090E-12	8.628E+9	   20.0734	   21.6196	   23.3969	   -0.1532	
 -260.0000	2.089E-12	8.218E+9	   20.0708	   21.6167	   23.4032	   -0.1520	
 -265.0000	2.083E-12	7.469E+9	   20.0708	   21.6174	   23.4032	   -0.1514	
 -270.0000	2.081E-12	8.628E+9	   20.0682	   21.6153	   23.4023	   -0.1536	
 -275.0000	2.083E-12	7.384E+9	   20.0682	   21.6165	   23.4092	   -0.1485	
 -280.0000	2.078E-12	8.396E+9	   20.0682	   21.6165	   23.4092	   -0.1485	
 -285.0000	2.079E-12	9.546E+9	   20.0656	   21.6165	   23.4130	   -0.1464	
 -290.0000	2.076E-12	6.781E+9	   20.0656	   21.6181	   23.4102	   -0.1467	
 -295.0000	2.074E-12	7.481E+9	   20.0656	   21.6181	   23.4254	   -0.1378	
 -300.0000	2.072E-12	8.021E+9	   20.0631	   21.6160	   23.4228	   -0.1410	
 -305.0000	2.074E-12	8.892E+9	   20.0631	   21.6139	   23.4225	   -0.1430	
 -310.0000	2.073E-12	8.369E+9	   20.0605	   21.6140	   23.4298	   -0.1387	
 -315.0000	2.069E-12	7.955E+9	   20.0605	   21.6119	   23.4273	   -0.1419	
 -320.0000	2.071E-12	7.565E+9	   20.0605	   21.6114	   23.4380	   -0.1360	
 -325.0000	2.068E-12	7.686E+9	   20.0579	   21.6155	   23.4380	   -0.1325	
 -330.0000	2.066E-12	7.731E+9	   20.0579	   21.6129	   23.4333	   -0.1375	
 -335.0000	2.066E-12	8.526E+9	   20.0553	   21.6161	   23.4263	   -0.1389	
 -340.0000	2.066E-12	8.392E+9	   20.0553	   21.6161	   23.4434	   -0.1289	
 -345.0000	2.066E-12	7.949E+9	   20.0553	   21.6172	   23.4333	   -0.1339	
 -350.0000	2.064E-12	8.434E+9	   20.0528	   21.6180	   23.4273	   -0.1367	
 -355.0000	2.062E-12	1.187E+10	   20.0528	   21.6150	   23.4349	   -0.1348	
 -360.0000	2.063E-12	9.687E+9	   20.0528	   21.6195	   23.4349	   -0.1311	
 -365.0000	2.066E-12	9.753E+9	   20.0502	   21.6165	   23.4405	   -0.1302	
 -370.0000	2.067E-12	7.817E+9	   20.0502	   21.6135	   23.4481	   -0.1283	
 -375.0000	2.062E-12	8.119E+9	   20.0502	   21.6135	   23.4481	   -0.1283	
 -380.0000	2.059E-12	8.482E+9	   20.0502	   21.6153	   23.4418	   -0.1305	
 -385.0000	2.061E-12	8.642E+9	   20.0502	   21.6153	   23.4371	   -0.1333	
 -390.0000	2.062E-12	7.774E+9	   20.0476	   21.6169	   23.4526	   -0.1228	
 -395.0000	2.061E-12	7.926E+9	   20.0450	   21.6142	   23.4658	   -0.1173	
 -400.0000	2.063E-12	9.576E+9	   20.0450	   21.6142	   23.4658	   -0.1173	
 -410.0000	2.059E-12	8.894E+9	   20.0450	   21.6180	   23.4731	   -0.1098	
 -420.0000	2.060E-12	6.730E+9	   20.0450	   21.6180	   23.4731	   -0.1098	
 -430.0000	2.056E-12	8.830E+9	   20.0450	   21.6188	   23.4867	   -0.1013	
 -440.0000	2.060E-12	7.529E+9	   20.0425	   21.6231	   23.4937	   -0.0936	
 -450.0000	2.059E-12	8.532E+9	   20.0425	   21.6184	   23.4937	   -0.0975	
 -460.0000	2.056E-12	8.102E+9	   20.0399	   21.6212	   23.5136	   -0.0835	
 -470.0000	2.054E-12	7.708E+9	   20.0399	   21.6194	   23.5041	   -0.0906	
 -480.0000	2.058E-12	1.039E+10	   20.0399	   21.6176	   23.5164	   -0.0849	
 -490.0000	2.054E-12	8.268E+9	   20.0373	   21.6195	   23.5108	   -0.0866	
 -500.0000	2.055E-12	8.157E+9	   20.0373	   21.6179	   23.5269	   -0.0785	
 -510.0000	2.057E-12	9.604E+9	   20.0373	   21.6204	   23.5256	   -0.0771	
 -520.0000	2.056E-12	9.687E+9	   20.0373	   21.6156	   23.5259	   -0.0810	
 -530.0000	2.055E-12	8.986E+9	   20.0347	   21.6149	   23.5297	   -0.0794	
 -540.0000	2.054E-12	8.517E+9	   20.0373	   21.6155	   23.5262	   -0.0809	
 -550.0000	2.053E-12	9.831E+9	   20.0347	   21.6182	   23.5269	   -0.0783	
 -560.0000	2.052E-12	8.130E+9	   20.0347	   21.6145	   23.5398	   -0.0738	
 -570.0000	2.052E-12	8.755E+9	   20.0322	   21.6172	   23.5402	   -0.0714	
 -580.0000	2.052E-12	9.425E+9	   20.0322	   21.6167	   23.5380	   -0.0731	
 -590.0000	2.051E-12	7.679E+9	   20.0347	   21.6171	   23.5500	   -0.0657	
 -600.0000	2.052E-12	9.334E+9	   20.0322	   21.6171	   23.5490	   -0.0663	
