GCD Test
Bias: 5000.000000
IV_37895_001_PSS_HM_XX_DIODEHALF
Date/Time: 12/17/2021 9:52:01 AM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Unirradiated 
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	9.2000E-11	9.2000E-11	-7.223668E-11	-7.223668E-11	   20.1480	   21.6729	   22.7897	   -0.4693	
  -10.0000	-6.0000E-11	-6.0000E-11	-7.405467E-11	-7.405467E-11	   20.1480	   21.6690	   22.8289	   -0.4490	
  -15.0000	-3.2000E-11	-3.2000E-11	-7.700792E-11	-7.700792E-11	   20.1480	   21.6706	   22.8596	   -0.4292	
  -20.0000	2.1000E-11	2.1000E-11	-8.121365E-11	-8.121365E-11	   20.1480	   21.6651	   22.8824	   -0.4202	
  -25.0000	-4.5000E-11	-4.5000E-11	-8.983209E-11	-8.983209E-11	   20.1429	   21.6681	   22.8994	   -0.4074	
  -30.0000	-1.2200E-10	-1.2200E-10	-9.575642E-11	-9.575642E-11	   20.1454	   21.6694	   22.9086	   -0.4009	
  -35.0000	-1.8700E-10	-1.8700E-10	-1.007214E-10	-1.007214E-10	   20.1454	   21.6694	   22.9146	   -0.4009	
  -40.0000	-2.1400E-10	-2.1400E-10	-1.045851E-10	-1.045851E-10	   20.1454	   21.6654	   22.9156	   -0.4006	
  -45.0000	-2.3700E-10	-2.3700E-10	-1.072385E-10	-1.072385E-10	   20.1454	   21.6673	   22.9342	   -0.3985	
  -50.0000	-2.3300E-10	-2.3300E-10	-1.100594E-10	-1.100594E-10	   20.1429	   21.6690	   22.9317	   -0.3858	
  -55.0000	-1.9600E-10	-1.9600E-10	-1.120193E-10	-1.120193E-10	   20.1429	   21.6677	   22.9431	   -0.3885	
  -60.0000	-2.7200E-10	-2.7200E-10	-1.135386E-10	-1.135386E-10	   20.1403	   21.6655	   22.9364	   -0.3835	
  -65.0000	-2.9600E-10	-2.9600E-10	-1.144001E-10	-1.144001E-10	   20.1429	   21.6611	   22.9447	   -0.3912	
  -70.0000	-2.7200E-10	-2.7200E-10	-1.152028E-10	-1.152028E-10	   20.1429	   21.6642	   22.9466	   -0.3836	
  -75.0000	-3.1000E-10	-3.1000E-10	-1.158036E-10	-1.158036E-10	   20.1429	   21.6679	   22.9466	   -0.3794	
  -80.0000	-2.0000E-10	-2.0000E-10	-1.163132E-10	-1.163132E-10	   20.1403	   21.6692	   22.9443	   -0.3797	
  -85.0000	-3.3400E-10	-3.3400E-10	-1.177276E-10	-1.177276E-10	   20.1403	   21.6659	   22.9326	   -0.3894	
  -90.0000	-3.5100E-10	-3.5100E-10	-1.179939E-10	-1.179939E-10	   20.1403	   21.6643	   22.9383	   -0.3874	
  -95.0000	-3.7100E-10	-3.7100E-10	-1.183991E-10	-1.183991E-10	   20.1403	   21.6653	   22.9475	   -0.3810	
 -100.0000	-3.3500E-10	-3.3500E-10	-1.191092E-10	-1.191092E-10	   20.1403	   21.6609	   22.9529	   -0.3815	
 -105.0000	-3.2700E-10	-3.2700E-10	-1.193616E-10	-1.193616E-10	   20.1403	   21.6629	   22.9510	   -0.3809	
 -110.0000	-3.8600E-10	-3.8600E-10	-1.197111E-10	-1.197111E-10	   20.1403	   21.6619	   22.9513	   -0.3817	
 -115.0000	-2.7700E-10	-2.7700E-10	-1.202310E-10	-1.202310E-10	   20.1377	   21.6621	   22.9481	   -0.3834	
 -120.0000	-2.6100E-10	-2.6100E-10	-1.204042E-10	-1.204042E-10	   20.1377	   21.6641	   22.9589	   -0.3752	
 -125.0000	-2.9000E-10	-2.9000E-10	-1.211518E-10	-1.211518E-10	   20.1377	   21.6606	   22.9665	   -0.3737	
 -130.0000	-4.1300E-10	-4.1300E-10	-1.215725E-10	-1.215725E-10	   20.1377	   21.6606	   22.9633	   -0.3737	
