GCD Test
Bias: 5000.000000
CV_37896_044_PSS_HM_XX_DIODEQUARTER
Date/Time: 12/17/2021 3:48:06 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Unirradiated 
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	7.593E-12	5.620E+9	   19.9987	   21.3654	   22.8267	   -0.7046	
  -20.0000	4.989E-12	7.363E+9	   19.9987	   21.3684	   22.8226	   -0.7045	
  -30.0000	2.943E-12	6.323E+9	   19.9987	   21.3684	   22.8242	   -0.7036	
  -40.0000	2.188E-12	7.317E+9	   20.0013	   21.3659	   22.8318	   -0.7011	
  -50.0000	1.022E-12	4.833E+8	   19.9987	   21.3634	   22.8134	   -0.7142	
  -60.0000	7.501E-13	5.243E+9	   20.0013	   21.3641	   22.8188	   -0.7104	
  -70.0000	6.677E-13	5.836E+9	   20.0013	   21.3682	   22.8232	   -0.7043	
  -80.0000	6.018E-13	5.955E+9	   20.0013	   21.3651	   22.8191	   -0.7093	
  -90.0000	5.479E-13	6.781E+9	   20.0013	   21.3651	   22.8299	   -0.7029	
 -100.0000	5.056E-13	6.284E+9	   20.0039	   21.3670	   22.8299	   -0.7013	
 -110.0000	4.646E-13	6.941E+9	   20.0013	   21.3629	   22.8280	   -0.7059	
 -120.0000	4.291E-13	9.788E+9	   20.0013	   21.3721	   22.8299	   -0.6970	
 -130.0000	3.952E-13	9.444E+9	   20.0013	   21.3629	   22.8359	   -0.7012	
 -140.0000	3.720E-13	8.792E+9	   20.0013	   21.3626	   22.8276	   -0.7063	
 -150.0000	3.482E-13	9.088E+9	   20.0013	   21.3621	   22.8299	   -0.7054	
 -160.0000	3.252E-13	8.558E+9	   19.9987	   21.3619	   22.8229	   -0.7098	
 -170.0000	2.981E-13	8.929E+9	   20.0013	   21.3627	   22.8201	   -0.7108	
 -180.0000	2.852E-13	1.185E+10	   19.9987	   21.3657	   22.8207	   -0.7079	
 -190.0000	2.662E-13	1.109E+10	   19.9987	   21.3608	   22.8226	   -0.7109	
 -200.0000	2.484E-13	8.077E+9	   19.9987	   21.3608	   22.8226	   -0.7109	
 -210.0000	2.351E-13	1.283E+10	   19.9987	   21.3637	   22.8242	   -0.7075	
 -220.0000	2.217E-13	9.960E+9	   20.0013	   21.3604	   22.8216	   -0.7118	
 -230.0000	2.118E-13	9.485E+9	   20.0013	   21.3587	   22.8112	   -0.7194	
 -240.0000	2.063E-13	1.146E+10	   20.0013	   21.3579	   22.8087	   -0.7216	
 -250.0000	1.993E-13	9.635E+9	   20.0013	   21.3602	   22.8065	   -0.7210	
 -260.0000	1.946E-13	8.919E+9	   20.0013	   21.3585	   22.8065	   -0.7225	
 -270.0000	1.960E-13	1.353E+10	   20.0013	   21.3598	   22.8128	   -0.7176	
 -280.0000	1.943E-13	1.413E+10	   20.0013	   21.3599	   22.8023	   -0.7237	
 -290.0000	1.935E-13	1.567E+10	   20.0013	   21.3558	   22.8049	   -0.7257	
 -300.0000	1.913E-13	1.097E+10	   19.9987	   21.3583	   22.8017	   -0.7255	
 -310.0000	1.927E-13	1.362E+10	   19.9987	   21.3589	   22.7891	   -0.7325	
 -320.0000	1.859E-13	1.321E+10	   19.9987	   21.3589	   22.7887	   -0.7328	
 -330.0000	1.868E-13	1.419E+10	   19.9987	   21.3590	   22.7881	   -0.7330	
 -340.0000	1.857E-13	8.926E+9	   19.9987	   21.3596	   22.7853	   -0.7343	
 -350.0000	1.871E-13	1.277E+10	   20.0013	   21.3567	   22.7929	   -0.7321	
 -360.0000	1.846E-13	1.218E+10	   20.0013	   21.3538	   22.7941	   -0.7338	
 -370.0000	1.859E-13	9.377E+9	   20.0013	   21.3597	   22.7884	   -0.7323	
 -380.0000	1.846E-13	1.367E+10	   19.9987	   21.3572	   22.7802	   -0.7393	
 -390.0000	1.890E-13	1.267E+10	   19.9987	   21.3566	   22.7755	   -0.7427	
 -400.0000	1.816E-13	9.764E+9	   19.9987	   21.3570	   22.7761	   -0.7419	
 -420.0000	1.825E-13	1.100E+10	   19.9987	   21.3552	   22.7688	   -0.7478	
 -440.0000	1.822E-13	1.271E+10	   20.0013	   21.3578	   22.7770	   -0.7407	
 -460.0000	1.806E-13	1.056E+10	   20.0013	   21.3575	   22.7704	   -0.7449	
 -480.0000	1.812E-13	1.188E+10	   20.0013	   21.3561	   22.7634	   -0.7503	
 -500.0000	1.815E-13	8.755E+9	   20.0013	   21.3562	   22.7672	   -0.7479	
 -520.0000	1.781E-13	1.064E+10	   20.0013	   21.3579	   22.7596	   -0.7510	
 -540.0000	1.800E-13	1.058E+10	   20.0013	   21.3567	   22.7495	   -0.7581	
 -560.0000	1.790E-13	9.861E+9	   20.0013	   21.3565	   22.7486	   -0.7589	
 -580.0000	1.796E-13	1.151E+10	   19.9987	   21.3565	   22.7574	   -0.7536	
 -600.0000	1.792E-13	1.105E+10	   20.0013	   21.3550	   22.7527	   -0.7576	
