GCD Test
Bias: 5000.000000
CV_34330_049_2-S_HM_XX_DIODEHALFPSTOP_GRConnected
Date/Time: 9/10/2021 1:58:44 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	2.202E-11	4.808E+8	   19.9858	   21.8616	    7.3077	  -14.9563	
  -10.0000	1.669E-11	2.233E+9	   19.9884	   21.8606	    7.2925	  -14.9821	
  -15.0000	1.440E-11	2.270E+9	   19.9936	   21.8606	    7.2748	  -15.0115	
  -20.0000	1.302E-11	2.500E+9	   19.9936	   21.8606	    7.2748	  -15.0115	
  -25.0000	1.207E-11	2.467E+9	   20.0090	   21.8611	    7.2495	  -15.0532	
  -30.0000	1.140E-11	2.550E+9	   20.0116	   21.8596	    7.2423	  -15.0664	
  -35.0000	1.084E-11	2.408E+9	   20.0142	   21.8607	    7.2369	  -15.0746	
  -40.0000	1.039E-11	2.641E+9	   20.0142	   21.8644	    7.2198	  -15.1004	
  -45.0000	1.002E-11	2.410E+9	   20.0116	   21.8635	    7.2264	  -15.0899	
  -50.0000	9.700E-12	2.401E+9	   20.0064	   21.8658	    7.2328	  -15.0777	
  -55.0000	9.430E-12	2.516E+9	   19.9987	   21.8605	    7.2375	  -15.0736	
  -60.0000	9.189E-12	2.139E+9	   19.9936	   21.8627	    7.2366	  -15.0736	
  -65.0000	8.964E-12	2.721E+9	   19.9858	   21.8637	    7.2388	  -15.0692	
  -70.0000	8.778E-12	2.757E+9	   19.9807	   21.8644	    7.2299	  -15.0835	
  -75.0000	8.612E-12	2.624E+9	   19.9781	   21.8560	    7.2173	  -15.1108	
  -80.0000	8.468E-12	2.497E+9	   19.9807	   21.8621	    7.2132	  -15.1132	
  -85.0000	8.330E-12	2.815E+9	   19.9833	   21.8563	    7.2182	  -15.1090	
  -90.0000	8.209E-12	2.685E+9	   19.9858	   21.8580	    7.2170	  -15.1099	
  -95.0000	8.090E-12	2.675E+9	   19.9910	   21.8606	    7.2125	  -15.1153	
 -100.0000	7.984E-12	2.459E+9	   19.9936	   21.8588	    7.2011	  -15.1357	
 -105.0000	7.890E-12	2.794E+9	   20.0013	   21.8583	    7.2071	  -15.1260	
 -110.0000	7.800E-12	3.071E+9	   20.0039	   21.8615	    7.2068	  -15.1242	
 -115.0000	7.712E-12	2.676E+9	   20.0090	   21.8637	    7.2005	  -15.1332	
 -120.0000	7.629E-12	2.759E+9	   20.0116	   21.8567	    7.2005	  -15.1384	
 -125.0000	7.558E-12	2.834E+9	   20.0090	   21.8567	    7.1954	  -15.1468	
 -130.0000	7.485E-12	3.213E+9	   20.0090	   21.8633	    7.1967	  -15.1398	
 -135.0000	7.419E-12	2.802E+9	   20.0039	   21.8599	    7.1844	  -15.1630	
 -140.0000	7.358E-12	2.932E+9	   19.9987	   21.8539	    7.1954	  -15.1489	
 -145.0000	7.297E-12	2.910E+9	   19.9910	   21.8550	    7.1822	  -15.1703	
 -150.0000	7.238E-12	2.857E+9	   19.9910	   21.8550	    7.1822	  -15.1703	
 -155.0000	7.188E-12	2.847E+9	   19.9833	   21.8520	    7.1667	  -15.1986	
 -160.0000	7.137E-12	2.885E+9	   19.9807	   21.8520	    7.1638	  -15.2034	
 -165.0000	7.088E-12	3.008E+9	   19.9807	   21.8514	    7.1553	  -15.2183	
 -170.0000	7.040E-12	3.144E+9	   19.9807	   21.8514	    7.1553	  -15.2183	
 -175.0000	6.999E-12	2.893E+9	   19.9858	   21.8553	    7.1550	  -15.2159	
 -180.0000	6.953E-12	3.221E+9	   19.9936	   21.8560	    7.1594	  -15.2079	
 -185.0000	6.914E-12	3.088E+9	   19.9987	   21.8554	    7.1414	  -15.2387	
 -190.0000	6.875E-12	2.743E+9	   20.0013	   21.8560	    7.1597	  -15.2074	
 -195.0000	6.830E-12	2.824E+9	   20.0064	   21.8581	    7.1404	  -15.2383	
 -200.0000	6.798E-12	2.824E+9	   20.0064	   21.8575	    7.1546	  -15.2148	
 -205.0000	6.762E-12	2.965E+9	   20.0039	   21.8573	    7.1651	  -15.1974	
 -210.0000	6.736E-12	2.801E+9	   20.0039	   21.8556	    7.1480	  -15.2274	
 -215.0000	6.697E-12	3.217E+9	   19.9987	   21.8525	    7.1477	  -15.2302	
 -220.0000	6.669E-12	2.842E+9	   19.9961	   21.8541	    7.1483	  -15.2280	
 -225.0000	6.635E-12	3.375E+9	   19.9936	   21.8557	    7.1395	  -15.2418	
 -230.0000	6.604E-12	2.602E+9	   19.9884	   21.8557	    7.1335	  -15.2519	
 -235.0000	6.573E-12	2.815E+9	   19.9858	   21.8505	    7.1338	  -15.2552	
 -240.0000	6.545E-12	2.792E+9	   19.9858	   21.8492	    7.1268	  -15.2679	
 -245.0000	6.518E-12	2.800E+9	   19.9858	   21.8538	    7.1268	  -15.2645	
 -250.0000	6.490E-12	2.868E+9	   19.9910	   21.8499	    7.1252	  -15.2700	
 -255.0000	6.465E-12	3.104E+9	   19.9961	   21.8510	    7.1312	  -15.2591	
 -260.0000	6.441E-12	3.207E+9	   20.0013	   21.8581	    7.1309	  -15.2544	
