#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.327000E-12
#34331_007_2-S_HM_XX_Interstrip
#Date/Time: 9/7/2021 3:35:41 PM
#Sensor Name: 34331_007_2-S_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: Diced at Fermilab

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1	3713888201.113058	2.006210	23.500000	25.457779	-2.530000E-9	5.340560E-12	-2.660318E-11	-3.089162E-11	-3.629634E-11
2	3713888224.175786	2.006576	23.500000	25.468956	-2.520000E-9	5.406700E-12	-2.362197E-11	-2.877501E-11	-3.448189E-11
3	3713888247.726022	2.058417	23.500000	25.475436	-2.520000E-9	5.426320E-12	-2.516248E-11	-3.134610E-11	-3.499219E-11
4	3713888271.376253	2.048768	23.500000	25.485008	-2.520000E-9	5.434240E-12	-2.607039E-11	-3.141603E-11	-3.672546E-11
5	3713888295.096433	2.015809	23.500000	25.490260	-2.520000E-9	5.438610E-12	-2.474927E-11	-3.112715E-11	-3.442935E-11
6	3713888318.945658	1.969450	23.500000	25.494857	-2.520000E-9	5.440330E-12	-2.520703E-11	-3.169020E-11	-3.538431E-11
7	3713888342.473011	2.023845	23.500000	25.501712	-2.520000E-9	5.440440E-12	-2.583610E-11	-3.086240E-11	-3.703929E-11
8	3713888366.166970	1.958208	23.500000	25.504665	-2.510000E-9	5.442000E-12	-2.620534E-11	-3.141357E-11	-3.661406E-11
9	3713888389.986825	1.971782	23.500000	25.506787	-2.510000E-9	5.441100E-12	-2.644741E-11	-3.196069E-11	-3.654740E-11
10	3713888413.569975	2.003210	23.500000	25.511125	-2.520000E-9	5.439410E-12	-2.740071E-11	-3.275821E-11	-3.689127E-11
11	3713888437.386041	2.036970	23.500000	25.516655	-2.520000E-9	5.438810E-12	-2.627138E-11	-3.195780E-11	-3.786444E-11
12	3713888461.107479	1.972205	23.500000	25.521410	-2.510000E-9	5.440720E-12	-2.501116E-11	-3.008958E-11	-3.483681E-11
13	3713888484.748322	1.912877	23.500000	25.522184	-2.510000E-9	5.439840E-12	-2.608307E-11	-3.174047E-11	-3.588418E-11
14	3713888508.319761	1.922590	23.500000	25.527514	-2.510000E-9	5.441580E-12	-2.599373E-11	-3.152704E-11	-3.640346E-11
15	3713888532.132046	1.918217	23.500000	25.530764	-2.510000E-9	5.440100E-12	-2.656025E-11	-3.333290E-11	-3.764178E-11
16	3713888555.666630	1.965281	23.500000	25.533696	-2.510000E-9	5.439550E-12	-2.591746E-11	-2.985609E-11	-3.674875E-11
17	3713888579.517081	2.001902	23.500000	25.538018	-2.510000E-9	5.439070E-12	-2.597348E-11	-3.150862E-11	-3.639936E-11
18	3713888603.232818	1.944620	23.500000	25.539345	-2.510000E-9	5.439700E-12	-2.505101E-11	-3.144054E-11	-3.604934E-11
19	3713888626.942235	1.940657	23.500000	25.544278	-2.510000E-9	4.780860E-12	-2.903689E-11	-2.951038E-11	-2.849243E-11
20	3713888650.651690	1.927818	23.500000	25.547826	-2.510000E-9	5.439780E-12	-2.310797E-11	-2.845769E-11	-5.038624E-11
21	3713888674.520654	1.961333	23.500000	25.553969	-2.500000E-9	5.439400E-12	-2.619855E-11	-3.048577E-11	-3.618897E-11
22	3713888698.193744	1.902304	23.500000	25.554842	-2.500000E-9	5.438070E-12	-2.662156E-11	-3.034143E-11	-3.491445E-11
23	3713888721.900622	1.954768	23.500000	25.558647	-2.510000E-9	5.437780E-12	-2.511806E-11	-3.042444E-11	-3.661687E-11
24	3713888745.615032	1.904200	23.500000	25.565304	-2.500000E-9	5.438010E-12	-2.720525E-11	-3.196186E-11	-3.783966E-11
25	3713888769.424393	1.843349	23.500000	25.562847	-2.510000E-9	5.438380E-12	-2.563836E-11	-3.115552E-11	-3.766832E-11
26	3713888793.051291	1.935790	23.500000	25.567208	-2.510000E-9	5.438730E-12	-2.611637E-11	-3.099545E-11	-3.534154E-11
27	3713888816.914699	1.973370	23.500000	25.570021	-2.500000E-9	5.438830E-12	-2.711610E-11	-3.259399E-11	-3.870241E-11
28	3713888840.631624	1.966140	23.500000	25.572717	-2.500000E-9	5.439140E-12	-2.579395E-11	-3.135751E-11	-3.471306E-11
29	3713888864.182921	1.919033	23.500000	25.575551	-2.500000E-9	5.439740E-12	-2.557723E-11	-3.193874E-11	-3.715718E-11
30	3713888887.615418	1.886662	23.500000	25.579078	-2.500000E-9	5.440730E-12	-2.613414E-11	-3.229487E-11	-3.570891E-11
31	3713888911.026861	1.746326	23.500000	25.576621	-2.500000E-9	5.439950E-12	-2.688996E-11	-3.161245E-11	-3.895385E-11
32	3713888934.413560	1.723347	23.500000	25.578719	-2.500000E-9	5.439420E-12	-2.767422E-11	-3.176414E-11	-3.794716E-11
33	3713888957.832484	1.844468	23.500000	25.584327	-2.500000E-9	5.438810E-12	-2.507879E-11	-3.035878E-11	-3.561382E-11
34	3713888981.227205	1.963372	23.500000	25.589026	-2.500000E-9	5.438360E-12	-2.430946E-11	-3.086048E-11	-3.445380E-11
35	3713889004.655179	1.934583	23.500000	25.597091	-2.500000E-9	5.439370E-12	-2.913334E-11	-3.340031E-11	-3.962524E-11
36	3713889028.103530	1.849927	23.500000	25.595821	-2.500000E-9	5.439650E-12	-2.624208E-11	-3.045426E-11	-3.579436E-11
37	3713889052.083423	1.893741	23.500000	25.604642	-2.500000E-9	5.440650E-12	-2.538239E-11	-3.118412E-11	-3.815302E-11
38	3713889075.630767	1.772966	23.500000	25.601590	-2.510000E-9	5.439480E-12	-2.904031E-11	-3.406719E-11	-3.893829E-11
39	3713889099.339293	1.792783	23.500000	25.605195	-2.510000E-9	5.439930E-12	-2.652604E-11	-3.305396E-11	-3.732604E-11
40	3713889122.830098	1.764405	23.500000	25.610844	-2.510000E-9	5.439900E-12	-2.654711E-11	-3.340314E-11	-3.776865E-11
41	3713889146.534608	1.640831	23.500000	25.615382	-2.500000E-9	5.440280E-12	-2.586793E-11	-3.235907E-11	-3.658656E-11
42	3713889170.118243	1.731436	23.500000	25.622138	-2.500000E-9	5.439190E-12	-2.605479E-11	-3.303862E-11	-3.800029E-11
43	3713889194.073769	1.723070	23.500000	25.625805	-2.500000E-9	5.438070E-12	-2.576857E-11	-3.071164E-11	-3.771837E-11
44	3713889217.750758	1.677351	23.500000	25.626200	-2.500000E-9	5.439740E-12	-2.584298E-11	-3.168561E-11	-3.783305E-11
45	3713889241.467214	1.691526	23.500000	25.636405	-2.510000E-9	5.439150E-12	-2.801399E-11	-3.252238E-11	-3.827956E-11
46	3713889265.281518	1.627783	23.500000	25.638112	-2.500000E-9	5.438070E-12	-2.747997E-11	-3.441492E-11	-3.932426E-11
47	3713889289.129337	1.588411	23.500000	25.637475	-2.500000E-9	5.438090E-12	-2.723994E-11	-3.254978E-11	-3.715878E-11
48	3713889312.643841	1.828939	23.500000	25.642530	-2.500000E-9	5.438400E-12	-2.653215E-11	-3.079973E-11	-3.409620E-11
49	3713889336.486420	1.789035	23.500000	25.642826	-2.500000E-9	5.439200E-12	-2.739737E-11	-3.353683E-11	-3.878779E-11
50	3713889360.130097	1.582003	23.500000	25.662743	-2.500000E-9	5.438520E-12	-2.759363E-11	-3.288015E-11	-3.924124E-11
51	3713889383.799194	1.560816	23.500000	25.661216	-2.490000E-9	5.438750E-12	-2.426528E-11	-2.906154E-11	-3.596461E-11
52	3713889407.367143	1.548497	23.500000	25.659117	-2.500000E-9	5.438420E-12	-2.576651E-11	-3.004328E-11	-3.512985E-11
53	3713889431.225101	1.556752	23.500000	25.659730	-2.500000E-9	5.439300E-12	-2.630807E-11	-3.120861E-11	-3.517053E-11
54	3713889454.949207	1.541804	23.500000	25.667260	-2.500000E-9	5.439640E-12	-2.498880E-11	-3.072531E-11	-3.487247E-11
55	3713889478.666506	1.571038	23.500000	25.674691	-2.500000E-9	5.438030E-12	-2.393569E-11	-3.098760E-11	-3.557962E-11
56	3713889502.226670	1.593328	23.500000	25.680460	-2.510000E-9	5.434330E-12	-2.462897E-11	-3.087005E-11	-3.474918E-11
57	3713889525.921232	1.655407	23.500000	25.678636	-2.500000E-9	5.427800E-12	-2.398231E-11	-2.983699E-11	-3.552177E-11
58	3713889549.458765	1.569759	23.500000	25.694291	-2.500000E-9	5.408050E-12	-2.424236E-11	-3.054968E-11	-3.751613E-11
59	3713889572.848574	1.527263	23.500000	25.697361	-2.500000E-9	5.344900E-12	-2.479784E-11	-2.933833E-11	-3.560170E-11
#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.334630E-12
#34331_007_2-S_HM_XX_Interstrip
#Date/Time: 9/7/2021 4:21:41 PM
#Sensor Name: 34331_007_2-S_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: Diced at Fermilab

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
19	3713890960.742328	1.695396	23.500000	25.919408	-2.530000E-9	5.448770E-12	-2.493289E-11	-3.215794E-11	-3.674526E-11
