38695_002_2-S_HM_XX_Unirrad
Date/Time: 2/8/2022 3:54:00 PM
Sensor Name: 38695_002_2-S_HM_XX
Station: Tesla
Annealing Status: Not Irradiated
Environment: 20C
Tester: Eric Spencer
Notes: cleaved at Brown

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	3.860E-10	2.847E-7	   20.0000	   30.1425	    1.5073	    0.0000	
  -10.0000	2.688E-10	4.975E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -15.0000	2.165E-10	2.915E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -20.0000	1.866E-10	2.411E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -25.0000	1.664E-10	1.899E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -30.0000	1.511E-10	1.754E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -35.0000	1.393E-10	1.429E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -40.0000	1.295E-10	1.535E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -45.0000	1.206E-10	1.028E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -50.0000	1.137E-10	9.916E-9	   20.0000	   30.1425	    1.5073	    0.0000	
  -55.0000	1.079E-10	1.015E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -60.0000	1.041E-10	8.578E-9	   20.0000	   30.1425	    1.5073	    0.0000	
  -65.0000	9.978E-11	8.924E-9	   20.0000	   30.1425	    1.5073	    0.0000	
  -70.0000	9.653E-11	9.925E-9	   20.0000	   30.1425	    1.5073	    0.0000	
  -75.0000	9.330E-11	1.039E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -80.0000	8.657E-11	1.437E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -85.0000	8.393E-11	1.027E-8	   20.0000	   30.1425	    1.5073	    0.0000	
  -90.0000	8.160E-11	9.638E-9	   20.0000	   30.1425	    1.5073	    0.0000	
  -95.0000	7.992E-11	7.277E-9	   20.0000	   30.1425	    1.5073	    0.0000	
 -100.0000	7.754E-11	4.930E-9	   20.0000	   30.1425	    1.5073	    0.0000	
 -105.0000	7.604E-11	3.153E-9	   20.0000	   30.1425	    1.5073	    0.0000	
 -110.0000	7.500E-11	4.752E-9	   20.0000	   30.1425	    1.5073	    0.0000	
 -115.0000	7.294E-11	6.532E-9	   20.0000	   30.1425	    1.5073	    0.0000	
 -120.0000	7.144E-11	3.042E-9	   20.0000	   30.1425	    1.5073	    0.0000	
 -125.0000	7.030E-11	7.389E-9	   20.0000	   30.1425	    1.5073	    0.0000	
 -130.0000	6.961E-11	4.584E-9	   20.0000	   30.1425	    1.5073	    0.0000	
