GCD Test
Bias: 5000.000000
IV_38695_002_2-S_HM_XX_DIODEHALFPSTOP
Date/Time: 2/9/2022 5:40:33 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Unirradiated
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.4760E-9	-1.4760E-9	-1.460287E-11	-1.460287E-11	    0.2021	   13.2512	   29.9472	   -3.9621	
  -20.0000	-4.2200E-9	-4.2200E-9	-1.571839E-11	-1.571839E-11	    0.1279	   13.2605	   29.9440	   -3.9554	
  -30.0000	-6.5430E-9	-6.5430E-9	-1.638106E-11	-1.638106E-11	   -0.0026	   13.2605	   29.9187	   -3.9554	
  -40.0000	-8.4320E-9	-8.4320E-9	-1.672004E-11	-1.672004E-11	   -0.0026	   13.2506	   29.9187	   -3.9753	
  -50.0000	-8.7510E-9	-8.7510E-9	-1.665607E-11	-1.665607E-11	   -0.1049	   13.2492	   29.9250	   -3.9737	
  -60.0000	-8.3130E-9	-8.3130E-9	-1.752449E-11	-1.752449E-11	   -0.1970	   13.2492	   29.9140	   -3.9737	
  -70.0000	-8.1050E-9	-8.1050E-9	-1.779848E-11	-1.779848E-11	   -0.1970	   13.2433	   29.9140	   -3.9837	
  -80.0000	-7.3450E-9	-7.3450E-9	-1.925238E-11	-1.925238E-11	   -0.2584	   13.2433	   29.9083	   -3.9837	
  -90.0000	-6.7840E-9	-6.7840E-9	-1.995640E-11	-1.995640E-11	   -0.2584	   13.2285	   29.9083	   -3.9991	
 -100.0000	-6.6830E-9	-6.6830E-9	-2.120128E-11	-2.120128E-11	   -0.2507	   13.2208	   29.9045	   -4.0075	
 -110.0000	-6.8850E-9	-6.8850E-9	-2.118294E-11	-2.118294E-11	   -0.2098	   13.2208	   29.9149	   -4.0075	
 -120.0000	-7.4460E-9	-7.4460E-9	-2.184928E-11	-2.184928E-11	   -0.2098	   13.2383	   29.9149	   -3.9876	
 -130.0000	-7.9420E-9	-7.9420E-9	-2.190163E-11	-2.190163E-11	   -0.2098	   13.2383	   29.9149	   -3.9876	
 -140.0000	-8.1710E-9	-8.1710E-9	-2.326345E-11	-2.326345E-11	   -0.0972	   13.2449	   29.9001	   -3.9885	
 -150.0000	-1.0015E-8	-1.0015E-8	-2.223735E-11	-2.223735E-11	   -0.0154	   13.2449	   29.9054	   -3.9885	
 -160.0000	-1.2010E-8	-1.2010E-8	-2.345207E-11	-2.345207E-11	   -0.0154	   13.2403	   29.9054	   -3.9901	
 -170.0000	-1.5600E-8	-1.5600E-8	-2.377801E-11	-2.377801E-11	    0.0435	   13.2300	   29.8966	   -4.0030	
 -180.0000	-1.9560E-8	-1.9560E-8	-2.470959E-11	-2.470959E-11	    0.0435	   13.2300	   29.8966	   -4.0030	
 -190.0000	-2.3900E-8	-2.3900E-8	-2.450038E-11	-2.450038E-11	    0.0921	   13.2321	   29.8893	   -4.0045	
 -200.0000	-2.9900E-8	-2.9900E-8	-2.542522E-11	-2.542522E-11	    0.0998	   13.2411	   29.8665	   -4.0067	
 -210.0000	-3.4710E-8	-3.4710E-8	-2.615817E-11	-2.615817E-11	    0.0998	   13.2411	   29.8665	   -4.0067	
 -220.0000	-3.9150E-8	-3.9150E-8	-2.629934E-11	-2.629934E-11	    0.0972	   13.2352	   29.8466	   -4.0207	
 -230.0000	-4.3300E-8	-4.3300E-8	-2.759352E-11	-2.759352E-11	    0.0742	   13.2347	   29.8292	   -4.0290	
 -240.0000	-4.4750E-8	-4.4750E-8	-2.776260E-11	-2.776260E-11	    0.0742	   13.2347	   29.8292	   -4.0290	
 -250.0000	-4.6790E-8	-4.6790E-8	-2.739899E-11	-2.739899E-11	    0.0281	   13.2294	   29.8147	   -4.0400	
 -260.0000	-4.6300E-8	-4.6300E-8	-2.814741E-11	-2.814741E-11	   -0.0128	   13.2263	   29.7998	   -4.0494	
 -270.0000	-4.5670E-8	-4.5670E-8	-2.807387E-11	-2.807387E-11	   -0.0128	   13.2263	   29.7998	   -4.0494	
 -280.0000	-4.4500E-8	-4.4500E-8	-2.904740E-11	-2.904740E-11	   -0.0742	   13.2207	   29.7840	   -4.0612	
 -290.0000	-3.9470E-8	-3.9470E-8	-2.899179E-11	-2.899179E-11	   -0.1049	   13.2072	   29.7853	   -4.0724	
 -300.0000	-3.8110E-8	-3.8110E-8	-2.910771E-11	-2.910771E-11	   -0.1049	   13.2072	   29.7853	   -4.0724	
 -310.0000	-3.5120E-8	-3.5120E-8	-2.956727E-11	-2.956727E-11	   -0.1510	   13.1949	   29.7859	   -4.0828	
 -320.0000	-2.9900E-8	-2.9900E-8	-2.926294E-11	-2.926294E-11	   -0.1689	   13.2053	   29.7612	   -4.0848	
 -330.0000	-2.6350E-8	-2.6350E-8	-3.000159E-11	-3.000159E-11	   -0.1689	   13.2053	   29.7612	   -4.0848	
 -340.0000	-2.4230E-8	-2.4230E-8	-3.045810E-11	-3.045810E-11	   -0.1714	   13.2053	   29.7536	   -4.0882	
 -350.0000	-2.2150E-8	-2.2150E-8	-3.159645E-11	-3.159645E-11	   -0.1535	   13.1894	   29.7498	   -4.1036	
 -360.0000	-2.1750E-8	-2.1750E-8	-3.150580E-11	-3.150580E-11	   -0.1535	   13.1894	   29.7498	   -4.1036	
 -370.0000	-2.1310E-8	-2.1310E-8	-3.136219E-11	-3.136219E-11	   -0.1126	   13.1894	   29.7400	   -4.1080	
 -380.0000	-2.2580E-8	-2.2580E-8	-3.198004E-11	-3.198004E-11	   -0.0742	   13.1873	   29.7619	   -4.1001	
 -390.0000	-2.4020E-8	-2.4020E-8	-3.219923E-11	-3.219923E-11	   -0.0742	   13.1873	   29.7619	   -4.1001	
 -400.0000	-2.5880E-8	-2.5880E-8	-3.198023E-11	-3.198023E-11	   -0.0077	   13.2065	   29.7647	   -4.0822	
 -420.0000	-3.2010E-8	-3.2010E-8	-3.265472E-11	-3.265472E-11	    0.0281	   13.1941	   29.7574	   -4.0962	
 -440.0000	-3.7330E-8	-3.7330E-8	-3.285945E-11	-3.285945E-11	    0.0281	   13.1941	   29.7574	   -4.0962	
 -460.0000	-4.3300E-8	-4.3300E-8	-3.359566E-11	-3.359566E-11	    0.0793	   13.1941	   29.7261	   -4.1102	
 -480.0000	-5.3550E-8	-5.3550E-8	-3.318051E-11	-3.318051E-11	    0.1049	   13.2147	   29.7195	   -4.0953	
 -500.0000	-6.3120E-8	-6.3120E-8	-3.429665E-11	-3.429665E-11	    0.1049	   13.2147	   29.7195	   -4.0953	
 -520.0000	-7.2890E-8	-7.2890E-8	-3.407846E-11	-3.407846E-11	    0.1254	   13.1962	   29.7065	   -4.1171	
 -540.0000	-8.4520E-8	-8.4520E-8	-3.479145E-11	-3.479145E-11	    0.1203	   13.2034	   29.6920	   -4.1174	
 -560.0000	-9.8700E-8	-9.8700E-8	-3.477453E-11	-3.477453E-11	    0.1203	   13.2034	   29.6920	   -4.1174	
 -580.0000	-9.9900E-8	-9.9900E-8	0.000000E+0	0.000000E+0	    0.0000	    0.0000	    0.0000	    0.0000	
