GCD Test
Bias: 5000.000000
IV_38695_002_2-S_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 2/9/2022 5:59:19 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Unirradiated
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-3.7200E-10	-3.7200E-10	-4.073648E-12	-4.073648E-12	    0.1305	   13.0296	   30.4263	   -3.9208	
  -20.0000	-1.7280E-9	-1.7280E-9	-4.287136E-12	-4.287136E-12	    0.1305	   13.0229	   30.4263	   -3.9494	
  -30.0000	-3.4880E-9	-3.4880E-9	-4.987088E-12	-4.987088E-12	    0.1331	   13.0412	   30.4311	   -3.9314	
  -40.0000	-5.5520E-9	-5.5520E-9	-5.903992E-12	-5.903992E-12	    0.1254	   13.0444	   30.4083	   -3.9386	
  -50.0000	-7.4720E-9	-7.4720E-9	-5.279410E-12	-5.279410E-12	    0.0870	   13.0444	   30.3830	   -3.9386	
  -60.0000	-9.4840E-9	-9.4840E-9	-6.498011E-12	-6.498011E-12	    0.0870	   13.0454	   30.3830	   -3.9488	
  -70.0000	-1.0790E-8	-1.0790E-8	-6.121353E-12	-6.121353E-12	    0.0256	   13.0454	   30.3336	   -3.9488	
  -80.0000	-1.2380E-8	-1.2380E-8	-6.127055E-12	-6.127055E-12	    0.0256	   13.0574	   30.3336	   -3.9599	
  -90.0000	-1.2770E-8	-1.2770E-8	-5.870581E-12	-5.870581E-12	   -0.0333	   13.0469	   30.2903	   -3.9881	
 -100.0000	-1.2200E-8	-1.2200E-8	-6.500252E-12	-6.500252E-12	   -0.0819	   13.0677	   30.2818	   -3.9737	
 -110.0000	-1.1250E-8	-1.1250E-8	-6.387195E-12	-6.387195E-12	   -0.1177	   13.0477	   30.2530	   -4.0038	
 -120.0000	-1.0240E-8	-1.0240E-8	-6.125832E-12	-6.125832E-12	   -0.1382	   13.0500	   30.2334	   -4.0104	
 -130.0000	-9.3900E-9	-9.3900E-9	-5.961643E-12	-5.961643E-12	   -0.1407	   13.0500	   30.2106	   -4.0104	
 -140.0000	-9.3510E-9	-9.3510E-9	-6.812947E-12	-6.812947E-12	   -0.1407	   13.0660	   30.2106	   -4.0065	
 -150.0000	-8.9650E-9	-8.9650E-9	-6.207724E-12	-6.207724E-12	   -0.1151	   13.0820	   30.1863	   -4.0033	
 -160.0000	-9.1530E-9	-9.1530E-9	-6.545067E-12	-6.545067E-12	   -0.0665	   13.0820	   30.1743	   -4.0033	
 -170.0000	-9.6220E-9	-9.6220E-9	-7.022364E-12	-7.022364E-12	   -0.0665	   13.0711	   30.1743	   -4.0181	
 -180.0000	-1.0290E-8	-1.0290E-8	-7.149886E-12	-7.149886E-12	    0.0154	   13.0711	   30.1455	   -4.0181	
 -190.0000	-1.1390E-8	-1.1390E-8	-8.077175E-12	-8.077175E-12	    0.0154	   13.0668	   30.1455	   -4.0346	
 -200.0000	-1.4760E-8	-1.4760E-8	-9.010787E-12	-9.010787E-12	    0.0716	   13.0782	   30.1363	   -4.0287	
 -210.0000	-1.7800E-8	-1.7800E-8	-1.027990E-11	-1.027990E-11	    0.0716	   13.0782	   30.1363	   -4.0287	
 -220.0000	-2.1440E-8	-2.1440E-8	-1.065046E-11	-1.065046E-11	    0.1305	   13.0727	   30.1221	   -4.0397	
 -230.0000	-2.6710E-8	-2.6710E-8	-1.137322E-11	-1.137322E-11	    0.1510	   13.0789	   30.1091	   -4.0401	
 -240.0000	-3.1240E-8	-3.1240E-8	-1.130681E-11	-1.130681E-11	    0.1510	   13.0789	   30.1091	   -4.0401	
 -250.0000	-3.5000E-8	-3.5000E-8	-1.233677E-11	-1.233677E-11	    0.1612	   13.0801	   30.0892	   -4.0478	
 -260.0000	-4.0010E-8	-4.0010E-8	-1.160749E-11	-1.160749E-11	    0.1510	   13.0937	   30.0787	   -4.0406	
 -270.0000	-4.2410E-8	-4.2410E-8	-1.290635E-11	-1.290635E-11	    0.1510	   13.0937	   30.0787	   -4.0406	
 -280.0000	-4.3700E-8	-4.3700E-8	-1.208478E-11	-1.208478E-11	    0.1075	   13.0919	   30.0585	   -4.0511	
 -290.0000	-4.3900E-8	-4.3900E-8	-1.212267E-11	-1.212267E-11	    0.0691	   13.1120	   30.0398	   -4.0419	
 -300.0000	-4.4450E-8	-4.4450E-8	-1.217095E-11	-1.217095E-11	    0.0691	   13.1120	   30.0398	   -4.0419	
 -310.0000	-4.6460E-8	-4.6460E-8	-1.258408E-11	-1.258408E-11	   -0.0051	   13.0955	   30.0098	   -4.0695	
 -320.0000	-4.3200E-8	-4.3200E-8	-1.251644E-11	-1.251644E-11	   -0.0435	   13.1021	   29.9858	   -4.0744	
 -330.0000	-4.1630E-8	-4.1630E-8	-1.261300E-11	-1.261300E-11	   -0.0435	   13.1021	   29.9858	   -4.0744	
 -340.0000	-3.9710E-8	-3.9710E-8	-1.283668E-11	-1.283668E-11	   -0.1075	   13.0976	   29.9719	   -4.0846	
 -350.0000	-3.4710E-8	-3.4710E-8	-1.276273E-11	-1.276273E-11	   -0.1382	   13.0835	   29.9605	   -4.1018	
 -360.0000	-3.1040E-8	-3.1040E-8	-1.314815E-11	-1.314815E-11	   -0.1382	   13.0835	   29.9605	   -4.1018	
 -370.0000	-2.8290E-8	-2.8290E-8	-1.287661E-11	-1.287661E-11	   -0.1612	   13.0683	   29.9579	   -4.1161	
 -380.0000	-2.5100E-8	-2.5100E-8	-1.292447E-11	-1.292447E-11	   -0.1612	   13.0789	   29.9402	   -4.1148	
 -390.0000	-2.3550E-8	-2.3550E-8	-1.374951E-11	-1.374951E-11	   -0.1612	   13.0789	   29.9402	   -4.1148	
 -400.0000	-2.2630E-8	-2.2630E-8	-1.363848E-11	-1.363848E-11	   -0.1305	   13.0693	   29.9364	   -4.1248	
 -420.0000	-2.3600E-8	-2.3600E-8	-1.407748E-11	-1.407748E-11	   -0.1023	   13.0685	   29.9273	   -4.1296	
 -440.0000	-2.4920E-8	-2.4920E-8	-1.375175E-11	-1.375175E-11	   -0.1023	   13.0685	   29.9273	   -4.1296	
 -460.0000	-2.6760E-8	-2.6760E-8	-1.462892E-11	-1.462892E-11	   -0.0461	   13.0649	   29.9127	   -4.1392	
 -480.0000	-3.0570E-8	-3.0570E-8	-1.503655E-11	-1.503655E-11	   -0.0051	   13.0735	   29.8947	   -4.1397	
 -500.0000	-3.4520E-8	-3.4520E-8	-1.529791E-11	-1.529791E-11	   -0.0051	   13.0735	   29.8947	   -4.1397	
 -520.0000	-3.8970E-8	-3.8970E-8	-1.490169E-11	-1.490169E-11	    0.0588	   13.0719	   29.8615	   -4.1559	
 -540.0000	-4.7780E-8	-4.7780E-8	-1.525024E-11	-1.525024E-11	    0.0844	   13.0850	   29.8552	   -4.1473	
 -560.0000	-5.5270E-8	-5.5270E-8	-1.572977E-11	-1.572977E-11	    0.0844	   13.0850	   29.8552	   -4.1473	
 -580.0000	-6.4260E-8	-6.4260E-8	-1.485850E-11	-1.485850E-11	    0.1151	   13.0813	   29.8627	   -4.1471	
 -600.0000	-7.6320E-8	-7.6320E-8	-1.537471E-11	-1.537471E-11	    0.1228	   13.0747	   29.8533	   -4.1571	
 -620.0000	-8.3010E-8	-8.3010E-8	-1.526002E-11	-1.526002E-11	    0.1228	   13.0747	   29.8533	   -4.1571	
 -640.0000	-8.8400E-8	-8.8400E-8	-1.586240E-11	-1.586240E-11	    0.1177	   13.0660	   29.8681	   -4.1580	
 -660.0000	-9.9900E-8	-9.9900E-8	0.000000E+0	0.000000E+0	    0.0000	    0.0000	    0.0000	    0.0000	
