#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.305900E-12
#38873_003_2-S_HM_XX_Unirrad_Interstrip
#Date/Time: 3/7/2022 10:49:07 AM
#Sensor Name: 38873_003_2-S_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: Cleaved at Brown

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3729513027.101558	1.236487	20.000000	27.239213	-2.580000E-9	5.303460E-12	-1.357275E-11	-1.758693E-11	-2.182662E-11	-2.269978E-11	-2.778422E-11	-3.113499E-11
2	3729513063.236753	1.247145	20.000000	27.234714	-2.580000E-9	5.367650E-12	-1.221895E-11	-1.352839E-11	-1.671030E-11	-1.874591E-11	-2.172154E-11	-2.568646E-11
3	3729513099.203292	1.244122	20.000000	27.240343	-2.580000E-9	5.389020E-12	-1.316040E-11	-1.504329E-11	-2.022893E-11	-2.132821E-11	-2.485583E-11	-2.970842E-11
4	3729513135.076345	1.220343	20.000000	27.240481	-2.590000E-9	5.397600E-12	-1.047958E-11	-1.779814E-11	-1.892910E-11	-2.223674E-11	-2.638649E-11	-3.161506E-11
5	3729513171.334485	1.225916	20.000000	27.238044	-2.580000E-9	5.400610E-12	-1.594959E-11	-1.992861E-11	-2.213023E-11	-2.373039E-11	-2.892359E-11	-3.031706E-11
6	3729513207.277569	1.205509	20.000000	27.234042	-2.580000E-9	5.400510E-12	-1.306126E-11	-1.534711E-11	-1.781961E-11	-2.223901E-11	-2.409615E-11	-2.972051E-11
7	3729513243.380497	1.208319	20.000000	27.235925	-2.590000E-9	5.400930E-12	-1.037430E-11	-1.469617E-11	-2.001858E-11	-2.234858E-11	-2.839656E-11	-3.228482E-11
8	3729513279.481057	1.211682	20.000000	27.238481	-2.590000E-9	5.401910E-12	-1.143964E-11	-1.851023E-11	-1.960643E-11	-2.475792E-11	-2.696405E-11	-3.297278E-11
9	3729513315.589690	1.208063	20.000000	27.242881	-2.580000E-9	5.402920E-12	-1.318515E-11	-1.644640E-11	-2.193685E-11	-2.489062E-11	-2.931839E-11	-3.284990E-11
10	3729513351.686300	1.199317	20.000000	27.242068	-2.580000E-9	5.403470E-12	-1.012141E-11	-1.586517E-11	-1.822319E-11	-2.450728E-11	-2.949992E-11	-2.997238E-11
11	3729513387.800922	1.191118	20.000000	27.238618	-2.580000E-9	5.401380E-12	-1.264788E-11	-1.574251E-11	-2.149526E-11	-2.475813E-11	-2.673938E-11	-3.089340E-11
12	3729513424.043138	1.192503	20.000000	27.239353	-2.580000E-9	5.401760E-12	-1.306106E-11	-1.537738E-11	-2.152859E-11	-2.487509E-11	-2.952487E-11	-3.439057E-11
13	3729513460.148781	1.192766	20.000000	27.240997	-2.580000E-9	5.402750E-12	-1.480331E-11	-1.709590E-11	-2.103670E-11	-2.398678E-11	-2.831357E-11	-3.110970E-11
14	3729513496.425937	1.199270	20.000000	27.242068	-2.580000E-9	5.402890E-12	-1.070223E-11	-1.492618E-11	-1.886105E-11	-2.247475E-11	-2.851392E-11	-2.961524E-11
15	3729513532.401901	1.196085	20.000000	27.245000	-2.580000E-9	5.403620E-12	-8.240146E-12	-1.306495E-11	-1.816330E-11	-2.148566E-11	-2.499857E-11	-3.043588E-11
16	3729513568.224263	1.177904	20.000000	27.246764	-2.580000E-9	5.404280E-12	-1.125708E-11	-1.714886E-11	-2.040458E-11	-2.340210E-11	-2.895471E-11	-3.211700E-11
17	3729513604.059594	1.196570	20.000000	27.248865	-2.580000E-9	5.403790E-12	-1.384142E-11	-1.855276E-11	-2.078096E-11	-2.622215E-11	-2.997855E-11	-3.365276E-11
18	3729513639.882960	1.186969	20.000000	27.247081	-2.580000E-9	5.403570E-12	-1.164633E-11	-1.515556E-11	-1.949972E-11	-2.433598E-11	-2.838881E-11	-3.255939E-11
19	3729513675.718289	1.175427	20.000000	27.246883	-2.580000E-9	5.400900E-12	-1.440159E-11	-2.074580E-11	-2.557183E-11	-2.917161E-11	-3.219530E-11	-3.809321E-11
