#Open Capacitance 1000Hz:6.248940E-12
#Open Capacitance 1000000Hz:Not Measured
#38874_049_2-S_HM_XX_Unirrad
#Date/Time: 3/7/2022 12:24:14 PM
#Sensor Name: 38874_049_2-S_HM_XX
#Station: Tesla 2
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: Cleaved at Brown

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3729518733.810664	3.447263	24.458153	27.142369	-4.250000E-9	-6.764330E-11	8.173060E-11	-6.221586E-11	-6.412206E-11	-6.340883E-11	-6.213668E-11	-6.297086E-11	-6.281234E-11	-3.322211E-6
2	3729518749.514627	3.444718	24.461226	27.172036	-4.230000E-9	-6.358680E-11	8.174090E-11	-6.317983E-11	-6.408351E-11	-6.338124E-11	-6.428753E-11	-6.373303E-11	-6.373238E-11	-3.323971E-6
3	3729518766.357496	3.451805	24.456945	27.181390	-4.240000E-9	-6.293580E-11	8.173520E-11	-6.652768E-11	-6.666027E-11	-6.655043E-11	-6.572777E-11	-6.636654E-11	-6.653905E-11	-3.322193E-6
4	3729518783.161112	3.453812	24.455460	27.187294	-4.230000E-9	-6.523949E-11	8.173940E-11	-6.563867E-11	-6.400066E-11	-6.557146E-11	-6.511184E-11	-6.508066E-11	-6.534165E-11	-3.322814E-6
5	3729518799.861382	3.444840	24.451971	27.187413	-4.230000E-9	-6.258528E-11	8.173630E-11	-6.730547E-11	-6.794722E-11	-6.782804E-11	-6.787214E-11	-6.773822E-11	-6.785009E-11	-3.325699E-6
6	3729518816.571533	3.446819	24.449514	27.179109	-4.220000E-9	-6.508923E-11	8.173530E-11	-6.121373E-11	-6.624083E-11	-6.359927E-11	-6.515018E-11	-6.405100E-11	-6.437473E-11	-3.322092E-6
7	3729518833.253144	3.442220	24.444758	27.207031	-4.220000E-9	-6.013129E-11	8.173460E-11	-6.214851E-11	-6.156581E-11	-6.340438E-11	-6.083879E-11	-6.198937E-11	-6.185716E-11	-3.321712E-6
8	3729518849.911377	3.449934	24.441151	27.194190	-4.220000E-9	-6.649138E-11	8.173090E-11	-6.482779E-11	-6.495368E-11	-6.484990E-11	-6.688199E-11	-6.537834E-11	-6.490179E-11	-3.316830E-6
9	3729518866.740048	3.445235	24.439964	27.166725	-4.220000E-9	-6.579031E-11	8.173860E-11	-5.894191E-11	-6.199175E-11	-6.107776E-11	-5.842749E-11	-6.010973E-11	-6.000983E-11	-3.319384E-6
10	3729518883.445043	3.439386	24.433938	27.173184	-4.220000E-9	-6.569013E-11	8.173550E-11	-6.358873E-11	-6.315590E-11	-6.282132E-11	-6.209856E-11	-6.291613E-11	-6.298861E-11	-3.322828E-6
11	3729518900.441645	3.439022	24.428608	27.183906	-4.210000E-9	-6.448832E-11	8.173500E-11	-6.420187E-11	-6.285178E-11	-6.335668E-11	-6.168802E-11	-6.302459E-11	-6.310423E-11	-3.320719E-6
12	3729518917.281639	3.430206	24.429519	27.188642	-4.220000E-9	-6.488887E-11	8.173660E-11	-6.693660E-11	-6.406074E-11	-6.656121E-11	-6.270823E-11	-6.506669E-11	-6.531098E-11	-3.317541E-6
13	3729518934.109597	3.437181	24.426130	27.207647	-4.200000E-9	-6.654151E-11	8.173480E-11	-6.135428E-11	-6.110716E-11	-6.141621E-11	-6.329515E-11	-6.179320E-11	-6.138524E-11	-3.320728E-6
14	3729518950.961534	3.443611	24.421236	27.181964	-4.220000E-9	-6.493909E-11	8.173750E-11	-6.519283E-11	-6.355521E-11	-6.559886E-11	-6.414725E-11	-6.462354E-11	-6.467004E-11	-3.316471E-6
15	3729518967.933230	3.443574	24.413964	27.195696	-4.210000E-9	-6.368703E-11	8.173600E-11	-6.256957E-11	-6.286759E-11	-6.376272E-11	-6.211519E-11	-6.282877E-11	-6.271858E-11	-3.317735E-6
16	3729518984.706849	3.450218	24.409345	27.191514	-4.200000E-9	-6.538976E-11	8.173050E-11	-5.973474E-11	-6.128442E-11	-6.258071E-11	-6.071253E-11	-6.107810E-11	-6.099848E-11	-3.316524E-6
17	3729519001.560881	3.433661	24.411309	27.180418	-4.200000E-9	-6.428800E-11	8.172820E-11	-6.566549E-11	-6.513923E-11	-6.413407E-11	-6.310025E-11	-6.450976E-11	-6.463665E-11	-3.315433E-6
18	3729519018.419298	3.440644	24.409405	27.171758	-4.200000E-9	-6.614088E-11	8.173430E-11	-6.879408E-11	-7.011921E-11	-6.640263E-11	-6.663332E-11	-6.798731E-11	-6.771370E-11	-3.315374E-6
