GCD Test
Bias: 5000.000000
CV_34253_037_PSS_HM_XX_DIODEHALF_Irradiated
Date/Time: 5/28/2021 11:30:37 AM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated, Fully Annealed
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.097E-11	3.028E-12	5.472E+6	7.929E+6	   -0.0154	   12.5330	   10.1246	  -18.1063	
  -20.0000	2.121E-11	3.296E-12	5.654E+6	1.080E+7	   -0.0128	   12.5146	   10.1284	  -18.1161	
  -30.0000	2.073E-11	3.279E-12	5.658E+6	1.117E+7	   -0.0128	   12.5072	   10.1240	  -18.1269	
  -40.0000	2.089E-11	3.279E-12	5.610E+6	1.115E+7	   -0.0026	   12.4826	   10.1350	  -18.1331	
  -50.0000	2.080E-11	3.279E-12	5.591E+6	1.116E+7	    0.0077	   12.4700	   10.1490	  -18.1267	
  -60.0000	2.070E-11	3.281E-12	5.590E+6	1.117E+7	    0.0026	   12.5226	   10.1483	  -18.0869	
  -70.0000	2.071E-11	3.282E-12	5.587E+6	1.119E+7	    0.0102	   12.4671	   10.1423	  -18.1366	
  -80.0000	2.056E-11	3.285E-12	5.581E+6	1.119E+7	    0.0102	   12.4719	   10.1474	  -18.1271	
  -90.0000	1.781E-11	3.331E-12	6.218E+6	1.250E+7	    0.0102	   12.4590	   10.1376	  -18.1484	
 -100.0000	1.523E-11	3.481E-12	1.239E+7	1.191E+7	    0.0154	   12.4705	   10.1471	  -18.1285	
 -110.0000	1.472E-11	3.518E-12	1.243E+7	1.130E+7	    0.0179	   12.4899	   10.1499	  -18.1102	
 -120.0000	1.617E-11	3.086E-12	1.549E+7	6.337E+6	    0.0128	   12.4690	   10.1464	  -18.1304	
 -130.0000	1.323E-11	3.336E-12	2.107E+7	7.309E+6	    0.0128	   12.4510	   10.1632	  -18.1249	
 -140.0000	1.186E-11	3.452E-12	2.528E+7	8.116E+6	    0.0230	   12.4295	   10.1521	  -18.1543	
 -150.0000	1.070E-11	3.526E-12	2.872E+7	8.660E+6	    0.0154	   12.4295	   10.1509	  -18.1558	
 -160.0000	9.639E-12	3.613E-12	3.322E+7	9.419E+6	    0.0179	   12.4285	   10.1632	  -18.1423	
 -170.0000	8.963E-12	3.674E-12	3.708E+7	1.000E+7	    0.0179	   12.4504	   10.1743	  -18.1126	
 -180.0000	8.568E-12	3.716E-12	4.211E+7	1.055E+7	    0.0154	   12.4582	   10.1755	  -18.1051	
 -190.0000	8.303E-12	3.744E-12	4.716E+7	1.099E+7	    0.0102	   12.4401	   10.1825	  -18.1110	
 -200.0000	7.913E-12	3.764E-12	5.068E+7	1.134E+7	    0.0077	   12.4300	   10.1689	  -18.1345	
 -210.0000	7.763E-12	3.784E-12	5.347E+7	1.175E+7	    0.0051	   12.4373	   10.1705	  -18.1270	
 -220.0000	7.597E-12	3.797E-12	5.524E+7	1.205E+7	    0.0026	   12.3921	   10.1651	  -18.1682	
 -230.0000	7.521E-12	3.807E-12	5.728E+7	1.235E+7	    0.0026	   12.3710	   10.1777	  -18.1699	
 -240.0000	7.317E-12	3.816E-12	6.092E+7	1.262E+7	   -0.0026	   12.3595	   10.1872	  -18.1677	
 -250.0000	7.213E-12	3.824E-12	6.301E+7	1.295E+7	   -0.0077	   12.4035	   10.1866	  -18.1346	
 -260.0000	7.153E-12	3.829E-12	6.534E+7	1.318E+7	   -0.0205	   12.3499	   10.1894	  -18.1726	
 -270.0000	7.003E-12	3.834E-12	6.500E+7	1.342E+7	   -0.0179	   12.3780	   10.1894	  -18.1509	
 -280.0000	6.997E-12	3.839E-12	6.611E+7	1.363E+7	   -0.0205	   12.3663	   10.1825	  -18.1680	
 -290.0000	6.918E-12	3.842E-12	6.793E+7	1.385E+7	   -0.0230	   12.3706	   10.1964	  -18.1486	
 -300.0000	6.859E-12	3.845E-12	6.795E+7	1.407E+7	   -0.0230	   12.3332	   10.1932	  -18.1811	
 -310.0000	6.787E-12	3.847E-12	6.738E+7	1.428E+7	   -0.0230	   12.3391	   10.1869	  -18.1839	
 -320.0000	6.772E-12	3.850E-12	7.187E+7	1.448E+7	   -0.0205	   12.3624	   10.1945	  -18.1571	
 -330.0000	6.666E-12	3.852E-12	7.209E+7	1.465E+7	   -0.0179	   12.3664	   10.1973	  -18.1508	
 -340.0000	6.630E-12	3.853E-12	7.266E+7	1.484E+7	   -0.0205	   12.3687	   10.1923	  -18.1548	
 -350.0000	6.608E-12	3.853E-12	7.108E+7	1.502E+7	   -0.0102	   12.3640	   10.1977	  -18.1523	
 -360.0000	6.563E-12	3.853E-12	7.210E+7	1.522E+7	   -0.0102	   12.3677	   10.1945	  -18.1531	
 -370.0000	6.503E-12	3.855E-12	7.338E+7	1.537E+7	   -0.0051	   12.3530	   10.2049	  -18.1524	
 -380.0000	6.437E-12	3.854E-12	7.599E+7	1.556E+7	   -0.0077	   12.3658	   10.1898	  -18.1600	
 -390.0000	6.356E-12	3.855E-12	7.641E+7	1.569E+7	   -0.0102	   12.3504	   10.1999	  -18.1602	
 -400.0000	6.394E-12	3.855E-12	7.797E+7	1.586E+7	   -0.0102	   12.3029	   10.2030	  -18.1933	
 -410.0000	6.391E-12	3.856E-12	7.754E+7	1.602E+7	   -0.0077	   12.3029	   10.2198	  -18.1740	
 -420.0000	6.428E-12	3.854E-12	7.608E+7	1.615E+7	   -0.0000	   12.3006	   10.2094	  -18.1877	
 -430.0000	6.358E-12	3.855E-12	7.746E+7	1.627E+7	    0.0026	   12.3106	   10.2005	  -18.1902	
 -440.0000	6.261E-12	3.854E-12	7.532E+7	1.644E+7	   -0.0000	   12.2997	   10.2034	  -18.1953	
 -450.0000	6.292E-12	3.853E-12	7.451E+7	1.655E+7	   -0.0000	   12.2798	   10.2024	  -18.2118	
 -460.0000	6.140E-12	3.853E-12	8.165E+7	1.671E+7	    0.0026	   12.2914	   10.2081	  -18.1963	
 -470.0000	6.120E-12	3.852E-12	7.526E+7	1.686E+7	    0.0026	   12.3030	   10.2024	  -18.1939	
 -480.0000	6.119E-12	3.852E-12	7.754E+7	1.702E+7	    0.0077	   12.2790	   10.2163	  -18.1964	
 -490.0000	6.111E-12	3.851E-12	7.835E+7	1.714E+7	    0.0128	   12.2713	   10.2119	  -18.2074	
 -500.0000	6.092E-12	3.850E-12	7.978E+7	1.726E+7	    0.0102	   12.2497	   10.2046	  -18.2324	
 -510.0000	5.900E-12	3.846E-12	8.389E+7	1.790E+7	    0.0205	   12.2585	   10.2037	  -18.2267	
 -520.0000	5.831E-12	3.843E-12	8.069E+7	1.793E+7	    0.0179	   12.2754	   10.2287	  -18.1850	
 -530.0000	5.891E-12	3.843E-12	7.566E+7	1.798E+7	    0.0179	   12.2609	   10.2094	  -18.2184	
 -540.0000	5.895E-12	3.843E-12	7.701E+7	1.808E+7	    0.0230	   12.2718	   10.2034	  -18.2168	
 -550.0000	5.880E-12	3.838E-12	7.971E+7	1.815E+7	    0.0128	   12.2445	   10.2094	  -18.2310	
 -560.0000	5.865E-12	3.839E-12	7.659E+7	1.824E+7	    0.0077	   12.2542	   10.2049	  -18.2286	
 -570.0000	5.863E-12	3.836E-12	7.883E+7	1.832E+7	    0.0077	   12.2385	   10.2106	  -18.2342	
 -580.0000	5.813E-12	3.836E-12	7.659E+7	1.843E+7	    0.0051	   12.2425	   10.2034	  -18.2395	
 -590.0000	5.823E-12	3.835E-12	7.420E+7	1.852E+7	    0.0051	   12.2227	   10.2106	  -18.2464	
 -600.0000	5.833E-12	3.834E-12	7.770E+7	1.876E+7	   -0.0000	   12.2227	   10.2116	  -18.2453	
 -610.0000	5.765E-12	3.834E-12	7.648E+7	1.890E+7	   -0.0000	   12.2006	   10.2252	  -18.2468	
 -620.0000	5.805E-12	3.832E-12	7.898E+7	1.898E+7	    0.0026	   12.1861	   10.2198	  -18.2642	
 -630.0000	5.878E-12	3.830E-12	7.808E+7	1.906E+7	   -0.0026	   12.1762	   10.2154	  -18.2768	
 -640.0000	5.782E-12	3.830E-12	8.066E+7	1.917E+7	   -0.0102	   12.1894	   10.2315	  -18.2482	
 -650.0000	5.745E-12	3.828E-12	7.897E+7	1.929E+7	   -0.0154	   12.2076	   10.2163	  -18.2516	
 -660.0000	5.686E-12	3.828E-12	7.844E+7	1.948E+7	   -0.0154	   12.1742	   10.2245	  -18.2679	
 -670.0000	5.741E-12	3.826E-12	8.178E+7	1.968E+7	   -0.0128	   12.1787	   10.2179	  -18.2720	
 -680.0000	5.749E-12	3.826E-12	8.299E+7	1.987E+7	   -0.0179	   12.1770	   10.2264	  -18.2635	
 -690.0000	5.690E-12	3.823E-12	8.426E+7	1.992E+7	   -0.0230	   12.1831	   10.2163	  -18.2705	
 -700.0000	5.679E-12	3.822E-12	8.171E+7	2.003E+7	   -0.0154	   12.2062	   10.2318	  -18.2348	
 -710.0000	5.651E-12	3.821E-12	8.235E+7	2.027E+7	   -0.0128	   12.1615	   10.2381	  -18.2621	
 -720.0000	5.616E-12	3.819E-12	8.222E+7	2.035E+7	   -0.0128	   12.1584	   10.2353	  -18.2678	
 -730.0000	5.590E-12	3.818E-12	8.200E+7	2.048E+7	   -0.0128	   12.1448	   10.2328	  -18.2812	
 -740.0000	5.581E-12	3.816E-12	8.263E+7	2.056E+7	   -0.0077	   12.1746	   10.2340	  -18.2567	
 -750.0000	5.550E-12	3.815E-12	8.186E+7	2.075E+7	   -0.0026	   12.1597	   10.2559	  -18.2432	
 -760.0000	5.512E-12	3.815E-12	8.376E+7	2.091E+7	   -0.0026	   12.1727	   10.2391	  -18.2524	
 -770.0000	5.534E-12	3.812E-12	8.417E+7	2.104E+7	    0.0051	   12.1433	   10.2448	  -18.2685	
 -780.0000	5.496E-12	3.811E-12	7.847E+7	2.127E+7	    0.0026	   12.1519	   10.2479	  -18.2583	
 -790.0000	5.423E-12	3.808E-12	8.356E+7	2.134E+7	    0.0026	   12.1546	   10.2486	  -18.2555	
 -800.0000	5.469E-12	3.807E-12	8.203E+7	2.147E+7	    0.0026	   12.1378	   10.2505	  -18.2663	
 -810.0000	5.461E-12	3.805E-12	7.959E+7	2.153E+7	    0.0026	   12.1012	   10.2653	  -18.2776	
 -820.0000	5.434E-12	3.803E-12	8.193E+7	2.167E+7	    0.0077	   12.1012	   10.2562	  -18.2881	
 -830.0000	5.580E-12	3.801E-12	7.666E+7	2.176E+7	    0.0102	   12.1146	   10.2479	  -18.2871	
 -840.0000	5.393E-12	3.799E-12	7.945E+7	2.187E+7	    0.0077	   12.1158	   10.2473	  -18.2869	
 -850.0000	5.371E-12	3.797E-12	7.728E+7	2.197E+7	    0.0102	   12.1158	   10.2634	  -18.2684	
 -860.0000	5.388E-12	3.793E-12	7.865E+7	2.196E+7	    0.0051	   12.0974	   10.2568	  -18.2903	
 -870.0000	5.225E-12	3.793E-12	7.406E+7	2.211E+7	    0.0051	   12.0958	   10.2685	  -18.2781	
 -880.0000	5.290E-12	3.790E-12	7.589E+7	2.235E+7	    0.0077	   12.0870	   10.2723	  -18.2805	
 -890.0000	5.245E-12	3.787E-12	8.048E+7	2.244E+7	   -0.0000	   12.0838	   10.2587	  -18.2986	
 -900.0000	5.297E-12	3.785E-12	7.418E+7	2.250E+7	   -0.0026	   12.0752	   10.2676	  -18.2951	
 -910.0000	5.205E-12	3.783E-12	7.350E+7	2.256E+7	    0.0026	   12.1245	   10.2774	  -18.2458	
 -920.0000	5.220E-12	3.781E-12	7.074E+7	2.266E+7	   -0.0051	   12.0807	   10.2758	  -18.2815	
 -930.0000	5.188E-12	3.779E-12	6.867E+7	2.270E+7	   -0.0102	   12.0776	   10.2799	  -18.2792	
 -940.0000	5.135E-12	3.776E-12	6.952E+7	2.279E+7	   -0.0102	   12.0720	   10.2837	  -18.2792	
 -950.0000	5.089E-12	3.774E-12	6.751E+7	2.286E+7	   -0.0102	   12.0503	   10.2818	  -18.2981	
 -960.0000	5.106E-12	3.770E-12	6.519E+7	2.292E+7	   -0.0154	   12.0503	   10.2919	  -18.2865	
 -970.0000	5.041E-12	3.767E-12	6.505E+7	2.302E+7	   -0.0128	   12.0420	   10.2995	  -18.2844	
 -980.0000	5.071E-12	3.764E-12	6.361E+7	2.305E+7	   -0.0154	   12.0351	   10.3023	  -18.2864	
 -990.0000	4.864E-12	3.747E-12	9.529E+7	2.673E+7	   -0.0154	   12.0422	   10.2998	  -18.2838	
-1000.0000	4.905E-12	3.745E-12	9.116E+7	2.681E+7	   -0.0128	   12.0381	   10.3080	  -18.2776	
