GCD Test
Bias: 5000.000000
IV_34252_009_PSS_HM_XX_DIODEHALFPSTOP_PCB
Date/Time: 9/14/2021 12:05:58 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	6.3000E-11	6.3000E-11	5.609747E-10	5.609747E-10	   20.0656	   21.9351	    7.1319	  -15.1940	
  -10.0000	-8.0000E-11	-8.0000E-11	4.725027E-10	4.725027E-10	   20.0656	   21.9109	    7.1319	  -15.2139	
  -15.0000	-1.8600E-10	-1.8600E-10	3.153640E-10	3.153640E-10	   20.0656	   21.9288	    7.1398	  -15.1874	
  -20.0000	-3.0000E-10	-3.0000E-10	2.938479E-10	2.938479E-10	   20.0682	   21.9407	    7.1452	  -15.1696	
  -25.0000	-2.3800E-10	-2.3800E-10	2.596882E-10	2.596882E-10	   20.0656	   21.9407	    7.1376	  -15.1696	
  -30.0000	-4.0000E-10	-4.0000E-10	2.903464E-10	2.903464E-10	   20.0656	   21.8946	    7.1376	  -15.2163	
  -35.0000	-4.3200E-10	-4.3200E-10	3.092963E-10	3.092963E-10	   20.0656	   21.8946	    7.1490	  -15.2163	
  -40.0000	-4.6000E-10	-4.6000E-10	2.841729E-10	2.841729E-10	   20.0656	   21.9579	    7.1490	  -15.1505	
  -45.0000	-5.1200E-10	-5.1200E-10	2.666360E-10	2.666360E-10	   20.0656	   21.9448	    7.1420	  -15.1719	
  -50.0000	-4.7000E-10	-4.7000E-10	2.705478E-10	2.705478E-10	   20.0656	   21.9448	    7.1467	  -15.1719	
  -55.0000	-4.5900E-10	-4.5900E-10	2.790152E-10	2.790152E-10	   20.0656	   21.9650	    7.1467	  -15.1491	
  -60.0000	-4.9900E-10	-4.9900E-10	2.474196E-10	2.474196E-10	   20.0656	   21.9650	    7.1455	  -15.1491	
  -65.0000	-5.2500E-10	-5.2500E-10	2.097558E-10	2.097558E-10	   20.0656	   21.9603	    7.1455	  -15.1546	
  -70.0000	-5.5100E-10	-5.5100E-10	2.505496E-10	2.505496E-10	   20.0656	   21.9052	    7.1524	  -15.1834	
  -75.0000	-6.2700E-10	-6.2700E-10	2.220809E-10	2.220809E-10	   20.0656	   21.9052	    7.1417	  -15.1834	
  -80.0000	-7.0500E-10	-7.0500E-10	2.426382E-10	2.426382E-10	   20.0656	   21.9360	    7.1417	  -15.1789	
  -85.0000	-6.5300E-10	-6.5300E-10	1.730337E-10	1.730337E-10	   20.0631	   21.9508	    7.1505	  -15.1531	
  -90.0000	-6.6700E-10	-6.6700E-10	2.009143E-10	2.009143E-10	   20.0631	   21.9508	    7.1452	  -15.1531	
  -95.0000	-6.9300E-10	-6.9300E-10	1.608323E-10	1.608323E-10	   20.0631	   21.9455	    7.1452	  -15.1661	
