#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 100000Hz:4.909820E-12
#34341_012_PSS_XX_HM_Interstrip
#Date/Time: 6/29/2021 3:42:03 PM
#Sensor Name: 34341_012_PSS_XX_HM
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: Humidity sensor not in chamber, chamber less than 10%

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1	3707840591.915754	44.992023	22.609444	21.714501	2.073000E-8	5.932230E-12	-2.570135E-10	-2.570135E-10	-4.195846E-10
2	3707840617.147680	44.304225	22.606748	21.735052	-2.440000E-9	5.986590E-12	-2.593788E-10	-3.395389E-10	-4.186659E-10
3	3707840642.962962	43.829414	22.602013	21.772268	-2.430000E-9	5.997850E-12	-2.586850E-10	-3.391354E-10	-4.211251E-10
4	3707840668.628113	43.061850	22.601000	21.652296	-2.430000E-9	6.000070E-12	-2.593864E-10	-3.396624E-10	-4.217031E-10
5	3707840694.312681	42.695979	22.597712	21.645558	-2.430000E-9	6.001080E-12	-2.593458E-10	-3.402760E-10	-4.206554E-10
6	3707840720.255371	41.744240	22.594582	21.650138	-2.420000E-9	6.002090E-12	-2.588074E-10	-3.383323E-10	-4.215029E-10
7	3707840746.184896	41.095794	22.590538	21.663631	-2.420000E-9	6.002790E-12	-2.574056E-10	-3.403730E-10	-4.247047E-10
8	3707840771.852149	40.530187	22.591073	21.673086	-2.420000E-9	6.000310E-12	-2.585247E-10	-3.404931E-10	-4.214784E-10
9	3707840797.519077	40.570897	22.586514	21.684262	-2.430000E-9	6.000630E-12	-2.560508E-10	-3.390062E-10	-4.208523E-10
10	3707840823.203756	40.469474	22.583782	21.716026	-2.420000E-9	6.000990E-12	-2.590027E-10	-3.394172E-10	-4.208157E-10
