#Open Capacitance 1000Hz:6.562810E-12
#Open Capacitance 100000Hz:Not Measured
#34343_036_PSS_HM_XX
#Date/Time: 7/13/2021 3:11:22 PM
#Sensor Name: 34343_036_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3709048350.504529	1.612781	22.507862	21.829735	-2.080000E-9	-7.560676E-11	9.065770E-11	-2.333251E-10	-2.329101E-10	-2.321207E-10	-2.335897E-10	-2.329864E-10	-2.331176E-10	-2.650638E-6
2	3709048367.496695	1.609085	22.507151	21.803735	-2.080000E-9	-7.104949E-11	9.065880E-11	-2.333251E-10	-2.329101E-10	-2.321207E-10	-2.335897E-10	-2.329864E-10	-2.331176E-10	-2.653382E-6
3	3709048384.429608	1.599291	22.503623	21.775260	-2.080000E-9	-7.490574E-11	9.065470E-11	-2.333516E-10	-2.326906E-10	-2.323814E-10	-2.307034E-10	-2.322818E-10	-2.325360E-10	-2.654811E-6
4	3709048401.075152	1.601387	22.498766	21.754512	-2.090000E-9	-7.370383E-11	9.064820E-11	-2.335816E-10	-2.321256E-10	-2.333845E-10	-2.308594E-10	-2.324878E-10	-2.327551E-10	-2.657890E-6
5	3709048417.774311	1.591704	22.495081	21.733306	-2.090000E-9	-7.781031E-11	9.064740E-11	-2.327394E-10	-2.322588E-10	-2.295803E-10	-2.356944E-10	-2.325682E-10	-2.324991E-10	-2.658829E-6
6	3709048434.447172	1.588939	22.488761	21.792678	-2.080000E-9	-7.735970E-11	9.064550E-11	-2.321509E-10	-2.321210E-10	-2.310883E-10	-2.324728E-10	-2.319583E-10	-2.321359E-10	-2.656094E-6
7	3709048451.258364	1.590871	22.482953	21.801556	-2.080000E-9	-7.841132E-11	9.064070E-11	-2.340500E-10	-2.318990E-10	-2.325224E-10	-2.327428E-10	-2.328036E-10	-2.326326E-10	-2.654472E-6
8	3709048467.927423	1.588566	22.478317	21.836870	-2.080000E-9	-7.280224E-11	9.063560E-11	-2.335683E-10	-2.326709E-10	-2.327110E-10	-2.342222E-10	-2.332931E-10	-2.331396E-10	-2.656657E-6
9	3709048484.580558	1.573394	22.471558	21.837701	-2.080000E-9	-7.350357E-11	9.063640E-11	-2.321841E-10	-2.347010E-10	-2.345387E-10	-2.333604E-10	-2.336961E-10	-2.339495E-10	-2.656191E-6
10	3709048501.240690	1.574653	22.467021	21.731860	-2.080000E-9	-7.315292E-11	9.063960E-11	-2.318980E-10	-2.353868E-10	-2.336847E-10	-2.353461E-10	-2.340789E-10	-2.345154E-10	-2.655898E-6
11	3709048517.943686	1.556087	22.464226	21.702016	-2.080000E-9	-7.630797E-11	9.063590E-11	-2.314707E-10	-2.325337E-10	-2.333979E-10	-2.334713E-10	-2.327184E-10	-2.329658E-10	-2.654608E-6
12	3709048534.598567	1.564428	22.459075	21.703543	-2.070000E-9	-7.295256E-11	9.063480E-11	-2.328058E-10	-2.335373E-10	-2.340068E-10	-2.357184E-10	-2.340171E-10	-2.337721E-10	-2.651679E-6
13	3709048551.276724	1.562154	22.457013	21.767195	-2.080000E-9	-7.465544E-11	9.063450E-11	-2.336147E-10	-2.336038E-10	-2.338687E-10	-2.328012E-10	-2.334721E-10	-2.336093E-10	-2.654085E-6
