GCD Test
Bias: 5000.000000
IV_34343_036_PSS_HM_XX_DIODEQUARTER_Biased_Front
Date/Time: 7/16/2021 12:06:59 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-1.8000E-11	-1.8000E-11	-4.357614E-11	-4.357614E-11	   20.1326	   21.0336	   30.8428	    3.4621	
  -10.0000	-4.0000E-11	-4.0000E-11	-3.189620E-11	-3.189620E-11	   20.1326	   21.0523	   30.8428	    3.2115	
  -15.0000	-2.0000E-11	-2.0000E-11	-8.128528E-11	-8.128528E-11	   20.1454	   21.0362	   30.4045	    2.9955	
  -20.0000	-1.4400E-10	-1.4400E-10	-3.614507E-11	-3.614507E-11	   20.1377	   21.0384	   30.0351	    2.8251	
  -25.0000	-1.8900E-10	-1.8900E-10	-3.951328E-11	-3.951328E-11	   20.1042	   21.0384	   29.5693	    2.8251	
  -30.0000	-4.2500E-10	-4.2500E-10	-7.966335E-11	-7.966335E-11	   20.1042	   21.0309	   29.5693	    2.5987	
  -35.0000	-3.1800E-10	-3.1800E-10	-3.986712E-11	-3.986712E-11	   20.0528	   21.0403	   29.1793	    2.4204	
  -40.0000	-4.0000E-10	-4.0000E-10	-4.397154E-11	-4.397154E-11	   20.0013	   21.0403	   28.9358	    2.4204	
  -45.0000	-4.6000E-10	-4.6000E-10	-4.421030E-11	-4.421030E-11	   20.0013	   21.0296	   28.9358	    2.2936	
  -50.0000	-4.7300E-10	-4.7300E-10	-4.653468E-11	-4.653468E-11	   19.9575	   21.0256	   28.7204	    2.1855	
  -55.0000	-5.7300E-10	-5.7300E-10	-5.079395E-11	-5.079395E-11	   19.9266	   21.0356	   28.5614	    2.1163	
  -60.0000	-6.0900E-10	-6.0900E-10	-5.629606E-11	-5.629606E-11	   19.8932	   21.0356	   28.3381	    2.1163	
  -65.0000	-6.9700E-10	-6.9700E-10	-5.283332E-11	-5.283332E-11	   19.8932	   21.0434	   28.3381	    2.0132	
  -70.0000	-8.0600E-10	-8.0600E-10	-5.705408E-11	-5.705408E-11	   19.8906	   21.0300	   28.1429	    1.9051	
  -75.0000	-8.3000E-10	-8.3000E-10	-5.901177E-11	-5.901177E-11	   19.9086	   21.0300	   27.9978	    1.9051	
  -80.0000	-8.6400E-10	-8.6400E-10	-5.952756E-11	-5.952756E-11	   19.9086	   21.0300	   27.9978	    1.8329	
  -85.0000	-8.6100E-10	-8.6100E-10	-6.616214E-11	-6.616214E-11	   19.9653	   21.0300	   27.8292	    1.8329	
