GCD Test
Bias: 5000.000000
IV_34343_036_PSS_HM_XX_DIODE_Biased_Front
Date/Time: 7/15/2021 2:53:20 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	7.0000E-11	7.0000E-11	-9.534414E-11	-9.534414E-11	   20.1248	   20.9646	   29.7726	    2.8485	
  -10.0000	-8.3000E-11	-8.3000E-11	-1.102945E-10	-1.102945E-10	   20.1248	   20.9705	   29.7726	    2.6429	
  -15.0000	-1.4800E-10	-1.4800E-10	-1.090970E-10	-1.090970E-10	   20.0914	   20.9814	   29.5054	    2.5256	
  -20.0000	-2.8000E-10	-2.8000E-10	-1.162853E-10	-1.162853E-10	   20.0605	   20.9804	   29.2274	    2.3919	
  -25.0000	-2.3000E-10	-2.3000E-10	-1.370150E-10	-1.370150E-10	   19.9961	   20.9804	   28.9867	    2.3919	
  -30.0000	-3.0000E-10	-3.0000E-10	-1.170063E-10	-1.170063E-10	   19.9961	   20.9804	   28.9867	    2.2759	
  -35.0000	-3.1400E-10	-3.1400E-10	-1.202083E-10	-1.202083E-10	   19.9266	   20.9804	   28.7005	    2.2759	
  -40.0000	-2.9700E-10	-2.9700E-10	-1.355193E-10	-1.355193E-10	   19.9266	   20.9747	   28.7005	    2.1320	
  -45.0000	-3.8700E-10	-3.8700E-10	-1.407569E-10	-1.407569E-10	   19.8906	   20.9892	   28.5225	    2.0574	
  -50.0000	-4.4900E-10	-4.4900E-10	-1.580373E-10	-1.580373E-10	   19.8649	   20.9819	   28.3808	    1.9814	
  -55.0000	-4.9700E-10	-4.9700E-10	-1.492672E-10	-1.492672E-10	   19.8674	   20.9819	   28.2631	    1.9814	
  -60.0000	-5.4300E-10	-5.4300E-10	-1.560022E-10	-1.560022E-10	   19.8674	   20.9700	   28.2631	    1.9131	
  -65.0000	-4.9500E-10	-4.9500E-10	-1.750779E-10	-1.750779E-10	   19.8880	   20.9798	   28.1822	    1.8814	
  -70.0000	-6.6200E-10	-6.6200E-10	-1.709672E-10	-1.709672E-10	   19.9241	   20.9816	   28.1173	    1.8509	
  -75.0000	-6.5000E-10	-6.5000E-10	-1.764438E-10	-1.764438E-10	   19.9704	   20.9830	   28.0357	    1.8115	
  -80.0000	-6.2500E-10	-6.2500E-10	-1.787252E-10	-1.787252E-10	   20.0502	   20.9830	   27.9415	    1.8115	
