37399_033_PSS_HM_XX_Unirrad
Date/Time: 11/1/2021 3:50:50 PM
Sensor Name: 37399_033_PSS_HM_XX
Type: P
Annealing Status: Not Irradiated
Environment: 23.5C
Tester: Eric Spencer
Notes: Pre-irrad measurement

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	4.939E-10	4.336E-7	   20.0000	   27.0956	    1.4298	    0.0000	
  -10.0000	3.040E-10	6.109E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -15.0000	2.482E-10	3.968E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -20.0000	2.153E-10	3.142E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -25.0000	1.897E-10	2.596E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -30.0000	1.715E-10	2.174E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -35.0000	1.593E-10	1.979E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -40.0000	1.499E-10	1.638E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -45.0000	1.412E-10	2.479E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -50.0000	1.285E-10	1.332E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -55.0000	1.232E-10	1.295E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -60.0000	1.181E-10	1.366E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -65.0000	1.138E-10	1.177E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -70.0000	1.102E-10	1.093E-8	   20.0000	   27.0956	    1.4298	    0.0000	
  -75.0000	1.068E-10	9.055E-9	   20.0000	   27.0956	    1.4298	    0.0000	
  -80.0000	1.037E-10	9.863E-9	   20.0000	   27.0956	    1.4298	    0.0000	
  -85.0000	1.008E-10	8.843E-9	   20.0000	   27.0956	    1.4298	    0.0000	
  -90.0000	9.811E-11	6.937E-9	   20.0000	   27.0956	    1.4298	    0.0000	
  -95.0000	9.587E-11	8.566E-9	   20.0000	   27.0956	    1.4298	    0.0000	
 -100.0000	9.348E-11	7.632E-9	   20.0000	   27.0956	    1.4298	    0.0000	
 -105.0000	9.139E-11	7.171E-9	   20.0000	   27.0956	    1.4298	    0.0000	
 -110.0000	8.965E-11	7.549E-9	   20.0000	   27.0956	    1.4298	    0.0000	
 -115.0000	8.771E-11	7.022E-9	   20.0000	   27.0956	    1.4298	    0.0000	
 -120.0000	8.604E-11	6.324E-9	   20.0000	   27.0956	    1.4298	    0.0000	
